Bengali,Hindi
আবেলিয়ান গ্রুপ,आबेली समूह
আবেলিয়ান সেমিগ্রুপ,आबेली सामिसमूह
abscissa,भुज
পরম,"निरपेक्ष, परम, अचर, परिशुद्‌ध"
পরম মিলন,निरपेक्ष अभिसरण
পরম ত্রুটি,निरपेक्ष त्रुटि
পরম সর্বোচ্চ,परम उच्चिष्ठ
পরম সর্বনিম্ন,परम निम्निष्ठ
পরম মান,निरपेक्ष मान
পরম বেগ,निरपेक्ष वेग
বিমূর্ত বীজগণিত,अमूर्त बीजगणित
বিমূর্ত গ্রুপ তত্ত্ব,अमूर्त समूह सिद्‌धांत
ত্বরণ,त्वरण
মাধ্যাকর্ষণ বলের প্রভাবে গতি বৃদ্ধি,गुरुत्वीय त्वरण
গ্রহণযোগ্য পছন্দ সেট,स्वीकार्य वरण-समुच्चय
গ্রহণযোগ্য মানের স্তর,स्वीकार्य गुणता स्तर
গ্রহণযোগ্য পরিসীমা,स्वीकार्य परिसर
গ্রহণযোগ্য নির্ভরযোগ্যতা স্তর,मान्य विश्वसनीयता स्तर
গ্রহণযোগ্য নমুনা,स्वीकरण-प्रतिचयन
সঞ্চিত ত্রুটি,संचित त्रुटि
সঠিকতা,यथार्थता
অভিনয় শক্তি,लगा हुआ बल
কর্ম," क्रिया , कर्म"
কর্ম এবং প্রতিক্রিয়া,क्रिया और प्रतिक्रिया
বাস্তব বিজ্ঞান,बीमा विज्ञान
তীব্র কোণযুক্ত ত্রিভুজ,न्यूनकोण त्रिभुज
অ্যাসাইক্লিক,अचक्रीय
যোগ করুন,"योग करना, जोड़ना"
যোগকারী,योजक
সংযোজন,"योग, जोड़, संकलन (स.), योगात्मक (वि.)"
সংযোজন সূত্র,योग का सूत्र
জটিল সংখ্যার সংযোজন,सम्मिश्र संख्याओं का योग
ফাংশন সংযোজন,फलनों का योग
ম্যাট্রিক্সের সংযোজন,आव्यूहों का योग
বহুপদ সংযোজন,बहुपदों का योग
সম্ভাবনার সংযোজন,प्रायिकताओं का योग
ভেক্টর সংযোজন,सदिशों का योग
