Punjabi,Malayalam
ਐਬੈਕਸਿਅਲ ਸਤਹ,നിബാക്സിയൽ ഉപരിതലം
ਪੇਟ,അടിവയറ്
ਪੇਟ AORTA,വയറുവേദന അയോട്ടോ
ਪੇਟ ਗੰਗਾਲੀਆ,വയറിലെ ഗാംഗ്ലിയ
ਅਬੈਲਮੋਸਚਸ ਐਸਕੂਲਟਸ,Abelmoschus എസ്സുലന്റസ്
ਅਸਧਾਰਨ,വെറുക്കല്
ਅੱਛਾ,അബി)
ਅਬਿੰਗਡਨ ਕਛੂਆ,അബിങ്ഡൺ ആമ
ਅਬੀਓਜੀਨੇਸਿਸ,അബിയോജെനിസിസ്
ਅਬੀਓਟਿਕ,അബിയോട്ടിക്
ਅਬੀਓਟਿਕ ਕਾਰਕ,അശുഭാപ്തി ഘടകം
ਅਸਧਾਰਨ ਪਿਸ਼ਾਬ,അസാധാരണമായ മൂത്രം
ਅਬੋ ਬਲੱਡ ਗਰੁੱਪ,അബോ രക്തം ഗ്രൂപ്പ്
Abscisic ਐਸਿਡ,അബ്സിസിക് ആസിഡ്
ਵਿਵੇਕ,നിര്വഹണം
ਸੋਖਣਾ,ഉള്ക്കൊള്ളുക
ਸਮਾਈ ਪੀਕ,ആഗിരണം കൊടുമുടി
ਸਮਾਈ,ആഗിരണം
ਅੱਕੀਆ ਕੈਟੂਯੂ,അക്കേഷ്യ കാറ്റെച്ചു
ਅਕਾਰੀਆ ਅਰਬੀ,അക്കാര്യ അറബിക്ക
ਐਕਾਪ੍ਰਿਨ,അകാപ്രിൻ
ਮੰਨਣਯੋਗ ਜਿਨਸੀ ਵਿਵਹਾਰ,സ്വീകാര്യമായ ലൈംഗിക പെരുമാറ്റം
ਐਕਸੈਸਰੀ ਗਲੈਂਡ,ആക്സസറി ഗ്രന്ഥി
ਐਕਸੈਸਰੀ ਗਲੈਂਡ,ആക്സസറി ഗ്രന്ഥി
ਸਹਾਇਕ ਅੰਗ,ആക്സസറി അവയവം
ਅਨੁਕੂਲਤਾ,ACCLIMATIES
ਅਹਿਮ,അക്ലിമിലൈസ്
ਰਿਹਾਇਸ਼ (ਫੋਕਸ ਕਰਨਾ),താമസം (ഫോക്കസിംഗ്)
ਅੱਖ ਦੀ ਰਿਹਾਇਸ਼,കണ്ണിന്റെ താമസം
ਅਦਭੁਤ ਵਾਧਾ,പ്രകടിപ്പിക്കുന്ന വളർച്ച
ਇਕੱਠਾ,കൂന്വാരം
ਜੈਵਿਕ ਪਦਾਰਥ ਦਾ ਇਕੱਠਾ ਹੋਣਾ,ജൈവവസ്തുക്കളുടെ ശേഖരണം
ਮਿੱਟੀ ਦਾ ਇਕੱਠਾ ਹੋਣਾ,മണ്ണിന്റെ ശേഖരണം
ਐਸੀਲੂਲਰ,അസെലുലാർ
ਐਸੀਲੂਲਰ ਜੀਵ,അസെല്ലുലാർ ജീവികൾ
ਐਸੀਟੌਮੂਲਮ,Aecetabulum
ਐਸੀਟਲਾਈਡਾਈਡ,അസെറ്റൽഡിഹൈഡ്
ਐਸੀਟੇਲ ਰੀਜ਼ਨ,അസെറ്റി കൊവെൻസിഎംഇ
ਅਮੀਥਿਨਾ,അച്ചാതിന
ਅੱਕੇ,നെച്ചെൻ തരം
ਅਕੇਸ਼ੀ,അച്ചീൻ
AchlamyDosporeae,ആൾമെംഡിഡോസ്പോര്പോറിയ
ਐਸਿਡ ਬਾਰਸ਼,അമ്ല മഴ
