Hindi,Tamil
अपाक्ष पृष्ठ,அபாக்ஸியல் மேற்பரப்பு
उदर,அடிவயிறு
उदर महाधमनी,வயிற்று பெருநாடி
उदर गुच्छिका,வயிற்று கேங்க்லியா
अबेलमॉस्कस एस्कुलेन्टस,அபெல்மோஷஸ் எஸ்குலெண்டஸ்
विपथन,மாறுபாடு
ऐबीज (बलूत),அபிஸ்
ऐबिंग्डन कछुआ,அபிங்டன் ஆமை
अजीवात्जनन,அபியோஜெனெஸிஸ்
अजीवीय,அஜியோடிக்
"अजीवीय कारक, अजैव कारक",அஜியோடிக் காரணி
अपसामानय मूत्र,அசாதாரண சிறுநீர்
ए.बी.ओ. रुधिर वर्ग,ABO இரத்தக் குழு
एब्सिसिक अम्ल,அப்சிசிக் அமிலம்
विलगन,கஷ்டம்
अवशोषण करना,உறிஞ்சும்
अवशोषण शिखर,உறிஞ்சுதல் உச்சம்
अवशोषण,உறிஞ்சுதல்
अकेशिया कैटेच्यू,அகாசியா கேடெச்சு
अकेशिया अरेबिका (बबूल),அகாரியா அரபிகா
ऐकैप्रिन,அகப்ரின்
स्वीकार्य लैंगिक व्यवहार,ஏற்றுக்கொள்ளக்கூடிய பாலியல் நடத்தை
सहायक ग्रंथि,துணை சுரப்பி
अतिरिक्त ग्रंथि,துணை சுரப்பி
सहायक अंग,துணை உறுப்பு
"पर्यनुकूलन, दशानुकूलन",பழக்கவழக்கமயமாக்கல்
"पर्यनुकूलित करना, दशानुकूलित करना",பழக்கப்படுத்துங்கள்
समंजन (फोकसन),தங்குமிடம் (கவனம் செலுத்துதல்)
नेत्र की समंजन क्षमता,கண் தங்குமிடம்
अभिवर्धी वृद्धि,திரட்டல் வளர்ச்சி
"संचय, संचयन",குவிப்பு
कार्बनिक पदार्थों का एकत्रीकरण,கரிமப் பொருட்களின் குவிப்பு
मृदा संचयन,மண்ணின் குவிப்பு
अकोशिकीय,அசெல்லுலர்
अकोशिकीय जीव,அசெல்லுலர் உயிரினம்
"श्रोणिउलूखल, ऐसीटैबुलम",அசிடபூலம்
ऐसीटेल्डिहाइड,அசிடால்டிஹைட்
ऐसीटिल सह-ऐंजाइम,அசிடைல் கோஎன்சைம்
ऐकेटाइना,அச்சாடினா
ऐकीन प्रकार,அச்சீன் வகை
ऐकीन,அச்சீன்
ऐक्लेमाइडोस्पोरी,அச்ச்சைடோஸ்போரே
अम्ल वर्षा,அமில மழை
अम्लीय,அமிலத்தன்மை
अम्लीय गैस,அமில வாயு
अम्लता,அமிலத்தன்மை
गुच्छकोष्ठक कोशिका,அசிநார் செல்
अगुहिक,அகோலோமேட்
ऐकोनिटम,அகோனிட்டம்
"एकॉर्न कृमि, बंजुक कृमि",ஏகோர்ன் புழு
"ध्वानिक मंडलन, ध्वानिक जोननिर्माण",ஒலி மண்டலம்
उपार्जित लक्षण,வாங்கிய எழுத்து
उपार्जित प्रतिरक्षा,நோய் எதிர்ப்பு சக்தி
उपार्जित प्रतिरक्षा न्यूनता संलक्षण (एड्स),வாங்கிய இம்யூனோ குறைபாடு நோய்க்குறி (எய்ட்ஸ்)
ऐक्रैनिया,அக்னியா
एक्रिडीन रंजक,அக்ரிடைன் சாயம்
अग्रकेंद्री,அக்ரோஷென்ட்ரிக்
अंसकूट,அக்ரோமியன்
अग्राभिसारी अनुक्रम,அக்ரோபெட்டல் வரிசை
अग्राभिसारी क्रम,அக்ரோபெட்டல் ஆர்டர்
एक्रोसिन,அக்ரோசின்
ऐक्टिन,ஆக்டின்
ऐक्टिन-सम प्रोटीन,ஆக்டின் போன்ற புரதம்
त्रिज्यासममित,ஆக்டினோமார்பிக்
एक्टिनोमाइसिटीज,ஆக்டினோமைசீட்கள்
क्रिया विभव,செயல்பாட்டு திறன்
सक्रियित आपंक,செயல்படுத்தப்பட்ட கசடு
सक्रियित आपंक फ्लॉक,செயல்படுத்தப்பட்ட கசடு மிதவை
सक्रियण ऊर्जा,செயல்படுத்தும் ஆற்றல்
सक्रिय अवशोषण,செயலில் உறிஞ்சுதல்
सक्रिय प्रतिरक्षा,செயலில் நோய் எதிர்ப்பு சக்தி
सक्रिय विकिरण,செயலில் கதிர்வீச்சு
सक्रिय स्थल,செயலில் உள்ள தளம்
ऐक्टिविन,ஆக்டிவின்
लंबाग्र,அக்யூமினேட்
ऐडैम्सिया,ஆடம்ஸியா
अनुकूलनशीलता,தகவமைப்பு
अनुकूलन,தழுவல்
प्रकाश प्रवृत्ति के प्रति अनुकूलन,ஒளி ஆட்சிக்கு தழுவல்
जलाभाव के प्रति अनुकूलन,நீர் பற்றாக்குறைக்கு தழுவல்
अनुकूली (अभि) लक्षण,தகவமைப்பு பண்புகள்
अनुकूली प्रतिरक्षा,தகவமைப்பு நோய் எதிர்ப்பு சக்தி
अनुकूली विकिरण,தகவமைப்பு கதிர்வீச்சு
अनुकूली विशेषक,தகவமைப்பு பண்பு
अभ्यक्ष पृष्ठ,அடாக்ஸியல் மேற்பரப்பு
व्यसनी विकार,போதை கோளாறு
ऐडेनीन,அடினின்
ऐडिनोकॉर्टिकोट्रॉपिन,அடினோகார்டிகோட்ரோபின்
ऐडेनोहाइपोफाइसिस,அடினோஹைபோஃபிசிஸ்
ऐडेनोसिन डाइफास्फेट,அடினோசின் டைபாஸ்பேட்
ऐडेनोसिन डीएमीनेज,அடினோசின் டீமினேஸ்
ऐडेनोसिन मोनोफॉस्फेट,அடினோசின் மோனோபாஸ்பேட்
ऐडेनोसिन ट्राइफॉस्फेट,அடினோசின் ட்ரைபாஸ்பேட் (ஏடிபி)
एडेनिलेट साइक्लेज,அடினிலேட் சைக்லேஸ்
आसंजी बल,பிசின் சக்தி
ऐडिपेट,கொழுப்பு
वसाणु (वसा कोशिका),அடிபோசைட் (கொழுப்பு செல்)
वसा ऊतक,கொழுப்பு திசு
संलग्न,Adnate
संलग्न समुदाय,அருகிலுள்ள சமூகம்
अधिवृक्क,அட்ரீனல்
अधिवृक्क ग्रंथि,அட்ரினல் சுரப்பி
एड्रिनोकॉर्टिकोट्रॉपिक हॉर्मोन,அட்ரினோகார்டிகோட்ரோபிக் ஹார்மோன் (ACTH)
एड्रिनोकॉर्टिकोट्रॉपिक निर्मोचक हार्मोन,அட்ரினோகார்டிகோட்ரோபிக் வெளியீட்டு ஹார்மோன் (ACTRH)
अधिशोषक,Adsorbent
अधिशोषण,உறிஞ்சுதல்
उन्नत कशेरुकी,மேம்பட்ட சோர்டேட்
लाभकारी उत्परिवर्तन,சாதகமான பிறழ்வு
बाह्य कंचुक,சாகச
अपस्थानिक जड़,சாகச வேர்
प्रतिकूल प्रभाव,பாதகமான விளைவு
ईडीज,Aedes
संवर्ध-वातन,கலாச்சாரத்தின் காற்றோட்டம்
वायूतक,ஏரென்கிமா
"वायव (वि.), एरियल (सं.)",வான்வழி
वायव जड़,வான்வழி வேர்
वायव प्ररोह,வான்வழி படப்பிடிப்பு
वायु श्वसन,ஏரோபிக் சுவாசம்
ऑक्सी श्वसन,ஏரோபிக் சுவாசம்
सौंदर्यबोध,அழகியல்
पुष्पदल विन्यास,அவதூறு
ग्रीष्मनिष्क्रियता,அவதூறு
अभिवाही,Afferent
बंधुता वर्णलेखन,இணைப்பு நிறமூர்த்தம்
ग्रसित अंग,பாதிக்கப்பட்ட உறுப்பு
वनरोपण,காடு வளர்ப்பு
अनिषेकबीजता,அகமோஸ்பெர்மி
ऐगार,அகர்
ऐगेरोस,அகரோஸ்
ऐगेरोस जेल वैद्युतकण संचलन,அகரோஸ் ஜெல் எலெட்ரோபோரேசிஸ்
एगेरोस बहुलक जेल,அகரோஸ் பாலிமர் ஜெல்
एगास्ट,அகாஸ்ட்
अगेव,நீலக்கத்தாழை
आयु अनुसार वितरण,வயது விநியோகம்
आयु पिरैमिड,வயது பிரமிட்
आश्लेषण,திரட்டுதல்
पुंज,மதிப்பீட்டு
पुटक पुंज,நுண்ணறைகளின் மொத்தம்
पुटक समुच्चय,நுண்ணறைகளின் மொத்தம்
"समुच्चय, समुच्चयन",திரட்டுதல்
आक्रामकता,ஆக்கிரமிப்பு
प्रक्षोभक तंत्र,கிளர்ச்சி அமைப்பு
ऐग्नेथा,அக்னாதா
अगूटी,அகூட்டி
ग्रेना-रहित हरितलवक,அக்ரானல் குளோரோபிளாஸ்ட்
"अकणकीय, रवाहीन",வேளாண்
अकणिकाणु,அக்ரானுலோசைட்
"कृषि, खेती",வேளாண்மை
कृषिवानिकी,வளர்ப்பு
"ऐग्रोबैक्टीरियम माध्यित, कृषि-जीवाणु माध्यित",அக்ரோபாக்டீரியம் மத்தியஸ்தம்
ऐग्रोबैक्टीरियम टूमिफेसियन्स,அக்ரோபாக்டீரியம் டூம்ஃபேசியன்ஸ்
कृषि-रसायन,வேளாண் வேதியியல்
कृषि रसायनिक,வேளாண் வேதியியல்
कृषि-जलवायु अंचल,வேளாண் மண்டலம்
सस्यीय विशेषक,வேளாண் பண்பு
सस्यविज्ञान,வேளாண்
एड्स,எய்ட்ஸ்
वायु आशय,காற்று சிறுநீர்ப்பை
वातानुकूलक,ஏர் கண்டிஷனர்
वायु पथ,விமானப் பாதை
वायु प्रदूषण,காற்று மாசுபாடு
वायु कोश,ஏர் சாக்
वायु धानी,காற்று வெற்றிடம்
वायु-श्वसन,காற்று சுவாசம்
