Assamese,Tamil
abacus,அபாகஸ்
অস্বাভাৱিক সমাপ্তি,அசாதாரண நிறுத்தம்
abort,கருக்கலைப்பு
নিৰপেক্ষ,அறுதி
নিৰপেক্ষ ঠিকনা,முழுமையான முகவரி
নিৰপেক্ষ সম্বোধন,முழுமையான முகவரி
নিৰপেক্ষ এছেম্বলাৰ,முழுமையான அசெம்பிளர்
নিৰপেক্ষ ক&#39;ড,முழுமையான குறியீடு
নিৰপেক্ষ আদেশ,முழுமையான கட்டளை
নিৰপেক্ষ তথ্য,முழுமையான தரவு
নিৰপেক্ষ নিৰ্দেশনা,முழுமையான அறிவுறுத்தல்
নিৰপেক্ষ ধৰণ,முழுமையான பயன்முறை
নিৰপেক্ষ পথ,முழுமையான பாதை
নিৰপেক্ষ প্ৰগ্ৰেমিং,முழுமையான நிரலாக்கம்
বিমূৰ্ত শ্ৰেণী,சுருக்க வர்க்கம்
বিমূৰ্ত তথ্যৰ ধৰণ,சுருக்க தரவு வகை
বিমূৰ্ত মেচিন,சுருக்க இயந்திரம்
বিমূৰ্ত চিহ্ন,சுருக்க சின்னம்
বিমূৰ্ত বাক্যবিন্যাস,சுருக்க தொடரியல்
গ্ৰহণযোগ্যতা পৰীক্ষা,ஏற்றுக்கொள்ளும் சோதனை
প্ৰৱেশ প্ৰমাণীকৰণ,அணுகல் அங்கீகாரம்
প্ৰৱেশ ক&#39;ড,அணுகல் குறியீடு
প্ৰৱেশ নিয়ন্ত্ৰণ,நுழைவு கட்டுப்பாடு
এক্সেছ স্কেন,அணுகல் ஸ்கேன்
আনুষংগিক বস্তু,துணை
একাউণ্ট,கணக்கு
একাউণ্ট আইডি,கணக்கு ஐடி
এক্যুলেটৰ,திரட்டி
শুদ্ধতা,துல்லியம்
acess,அணுகல்
প্ৰৱেশ নিয়ন্ত্ৰণ বাইট,அணுகல் கட்டுப்பாட்டு பைட்
acess index,அணுகல் குறியீடு
acess key,அணுகல் விசை
acess মেট্ৰিক্স,அணுகல் அணி
প্ৰৱেশ ধৰণ,அணுகல் முறை
