Odiya,Hindi
ୱେଷ୍ଟମିନିଷ୍ଟରର ଆବି |,वैस्‍टम‍िन्‍स्‍टर मठ
ଅବକ୍ଷୟ,मालखाना
ଦାସତ୍ୱ ରଦ୍ଦ,दासता का उन्मूलन
ଆଦିବାସୀ,आदिवासी
ଅବ୍ରହାମ ଏରା,अब्राहम काल
ଅନୁପସ୍ଥିତ ଜମିଦାରମାନେ |,प्रवासी ज़मींदार
ଏକାଡେମୀ |,अकादमी; विद्वत्परिषद
ଆକ୍ରା ସମ୍ମିଳନୀ |,अक्रा सम्मेलन
ଆକ୍ରୁଏଲ୍ |,"प्रोद्भूत सामग्री, उपचित सामग्री"
ଆକଲଚ୍ୟୁଚର୍,"परसंस्कृति-ग्रहण, उत्संस्करण"
ଆକେଲଡାମା |,एसेलडामा
ଆଖିଆନ୍ (= ଆଚିଆନ୍),एकियायी
ଆଚିଆନ୍ ଲିଗ୍ (= ଆଚିଆନ୍ ଲିଗ୍),एकीयायी लीग
ଆକ୍ରୋପଲିସ୍ |,एक्रोपोलिस
ଆକ୍ଟା ଡିଆର୍ନା |,"शाही रोज़नामचा, दैनिक समाचार"
ଆକ୍ଟା ସେନାଟସ୍ |,सीनेट का कार्यवृत्त
ଆକ୍ଟ ଆଡେଲ୍ |,"अपर प्रपत्र, एक्टे एडिशनेल"
ସକ୍ରିୟ ରେକର୍ଡ (= ସାମ୍ପ୍ରତିକ ରେକର୍ଡ),सक्रिय रिकार्ड
ଆଟେଣ୍ଡର୍ ଆକ୍ଟ |,अपकीर्त्ति अधिनियम
କ୍ଷତିପୂରଣ ଏବଂ ବିସ୍ମୟର ନିୟମ |,दंड विमुक्ति एवं विस्मरण अधिनियम
ସମାଧାନ ନିୟମ,"राज्य-व्यवस्था अधिनियम, एक्ट ऑफ सेटिलमेंट"
ବିଜ୍ଞାପନ ଚୁକ୍ତି ସିଲ୍ |,संविदा मुद्रा
ଆଡୁଲାମାଇଟ୍ସ |,आडुलम गुटवादी
ଶତ୍ରୁ,विपक्षी
ଶତ୍ରୁ,2. शत्रु
ଆଓନ୍,युग
ଏରାରିୟମ୍ |,इरेरियम
ବାୟୁ ଯୁଦ୍ଧ |,"आकाशी युद्ध, हवाई लड़ाई"
ଆଟୋଲିଆନ୍ ଲିଗ୍ |,"एटोलियन लीग, एटोलियायी संघ"
ବୟସ,"काल, युग"
ବାର୍ଦ୍ଧକ୍ୟ (= ବାର୍ଦ୍ଧକ୍ୟ),"काल-प्रभावन, जीर्णन"
ବାର୍ଦ୍ଧକ୍ୟ ପ୍ରକ୍ରିୟା |,जीर्णन-प्रक्रिया
ଆଗେଲାଇ |,एजिलायी
Ival ିଭାଲିର ବୟସ |,शौर्य युग
ଜ୍ଞାନର ବୟସ |,"प्रबोध युग, ज्ञानोदय युग"
ପେରିକଲ୍ସର ବୟସ |,पेरीक्लीज़ युग
କାରଣର ବୟସ |,तर्क प्रधान युग
କୃଷିବାଦ,भूमि सुधारवाद
କୃଷି ଆନ୍ଦୋଳନ |,भूमि सुधारवादी आंदोलन
ଆଲବିଅନ୍ |,एलबियन
ଆଲବମ୍,अलबम
ଆଲଡରମ୍ୟାନ୍ |,"पौर मुख्य, विशिष्ट पौर, आल्‍डर्मन"
ଭ୍ରାନ୍ତ ବାହୁ |,कुलांकित आयुध
ବନ୍ଧୁତା,मैत्री
ଆମ୍ଫିକ୍ଟୋନିକ୍ ପରିଷଦ |,एम्फिकटिआनी परिषद
ଆମ୍ଫିକ୍ଟୋନିକ୍ ଲିଗ୍ |,ऊपर देo : Amphictyonic Council
ଆମ୍ଫିଥେଟର,"रंगवाट, रंगभूमि, अखाड़ा"
ଅମ୍ରି ନାଲ୍ ଗୋଷ୍ଠୀ (କୁମ୍ଭାରର),(मृद्भांडों का) अमरीनाल वर्ग
ଆନାକ୍ରୋନିଜିମ୍ |,"काल-वैषम्य, काल-दोष"
ଆନାକ୍ରୋନିଷ୍ଟିକ୍ |,काल-वैषम्ययुक्त
ପୂର୍ବପୁରୁଷ,पूर्वज
ପୂର୍ବପୁରୁଷ ପୂଜା |,पितृ-पूजा
ପିତୃପୁରୁଷ,कुल-परंपरा
ପିତୃପୁରୁଷ,2. वंश
ପିତୃପୁରୁଷ,3. वंश-क्रम
ପିତୃପୁରୁଷ,4. उच्च कुल
ପ୍ରାଚୀନ ଶାସନ,"प्राचीन शासन-व्यवस्था, क्रांति पूर्व शासन-व्यवस्था"
ପ୍ରାଚୀନ,"पुरातन, प्राचीन"
