Malayalam,Gujarati
ഉപേക്ഷിക്കുക,ગર્ભપાત
ടൈമർ നിർത്തുക,ગર્ભપાત સમય
കേവല വിലാസം,અબાધિત સંબોધન
കേവല വിലാസം,પૂર્ણ સંબોધન
കേവല അസംബന്ധം,સંપૂર્ણ સંમેલન
കേവല കോഡ്,પૂર્ણ સંહિતા
കേവല കോഡിംഗ്,પૂર્ણ સંહિતા
കേവല കമാൻഡ്,પૂર્ણ આદેશ
കേവല കോർഡിനേറ്റ്,સંપૂર્ણ સંકલન
കേവല ഡാറ്റ,અબાધિત આંકડા
കേവല പിശക്,નિરપેક્ષ ભૂલ
കേവല പദപ്രയോഗം,પૂર્ણ અભિવ્યક્તિ
കേവല പ്രബോധനം,અબાધિત સૂચના
കേവല ലോഡർ,અબાધિત લોડર
കേവല ക്രമം,સંપૂર્ણ
കേവല പ്രോഗ്രാമിംഗ്,પૂર્ણ કાર્યક્રમ
കേവല പദം,અબાધિત મુદત
യഥാർത്ഥ മൂല്യം,અબાધિત મૂલ્ય
കേവല വെക്റ്റർ,અબાધિત વેક્ટર
വേര്പെട്ടുനില്ക്കുന്ന,નિષ્ક્રિય
അമൃതിയുള്ള,યોગ્યતા
അമൂർത്ത ചിഹ്നം,સાર -સારાંશ
ത്വരിതപ്പെടുത്തൽ കാലയളവ്,પ્રવેગશ ગાળો
ത്വരണം സമയം,પ્રવેગકોનો સમય
സരഭാരം,ઉચ્ચારણ
സ്വീകാര്യത പരിശോധന,સ્વીકૃતિ કસોટી
പ്രവേശനം,પ્રવેશ
കൈ,પ્રવેશ હાથ
ആക്സസ് ക്രമീകരണം,પ્રવેશ -વ્યવસ્થા
അതോറിറ്റി ആക്സസ് ചെയ്യുക,પ્રવેશ સત્તાવાર
ആക്സസ് ചാർജ്,પ્રવેશ -ખર્ચ
ആക്സസ് ക്ലാസ്,પ્રવેશ -વર્ગ
ഡാറ്റ ബേസ് മാനേജുമെന്റ് ആക്സസ് ചെയ്യുക,પ્રવેશ -આધાર વ્યવસ્થાપન
പ്രവേശന അന്തരീക്ഷം,પર્યાવરણ
വിടവ് ആക്സസ് ചെയ്യുക,પ્રવેશ અંતર
ആക്സസ് സൂചിക,પ્રવેશ -સૂચિ
ആക്സസ് ലൈൻ,પ્રવેશ -રેખા
ആക്സസ് സംവിധാനം,પ્રવેશ -પદ્ધતિ
ആക്സസ് രീതി,પ્રવેશ પદ્ધતિ
ആക്സസ് രീതി പതിവ്,પ્રવેશ -પદ્ધતિ
ആക്സസ് മോഡ്,પ્રવેશ -પદ્ધતિ
വലത് ആക്സസ്,પ્રવેશ -હક
ആക്സസ് സ്കാൻ,પ્રવેશ -સ્કેન
ആക്സസ് സമയം,પ્રવેશ સમય
അക്കൌണ്ടിംഗ്,નામું
അക്ക ing ണ്ടിംഗ് ധനകാര്യ സംവിധാനം,હિસાબ -પદ્ધતિ પદ્ધતિ
അക്ക ing ണ്ടിംഗ് മെഷീൻ,હિસાબ -વ્યવસ્થા
അക്കൗണ്ട് നമ്പർ,ખાતા નંબર
അടിഞ്ഞുകൂടുന്നത് പുനരുൽപാദനം,સંચયી પ્રજનનકર્તા
സഞ്ചിതം,એકઠા કરનાર
സഞ്ചിത രജിസ്റ്റർ,સંચિત રજિસ્ટર
സഞ്ചിത ഷിഫ്റ്റ് നിർദ്ദേശം,સંચય -પાળી સૂચના
കൃതത,ચોકસાઈ
കൃത്യത നിയന്ത്രണ പ്രതീകം,ચોકસાઈ નિયંત્રણ
കൃത്യത നിയന്ത്രണ സംവിധാനം,ચોકસાઈ નિયંત્રણ પદ્ધતિ
എയ്സ് പൈലറ്റ്,પાસાનો પાસાનો પો
പ്രതീകം അംഗീകരിക്കുക,પાત્ર સ્વીકારવું
അക്കോസ്റ്റിക് കപ്ലർ,ધ્વનિકર્તા
അക്കോസ്റ്റിക് കപ്ലിംഗ്,ધ્વનિ -જોડાણ
അക്ക ou സ്റ്റിക് കാലതാമസം,ધ્વનિ વિલંબ રેખા
അക്കോസ്റ്റിക് മെമ്മറി,ધ્વનિમૂર્તિ
അക്കോസ്റ്റിക് മോഡം,ધ્વનિ -મોડેમ
അക്കോസ്റ്റിക് സിഗ്നൽ,ધ્વનિ સંકેત
അക്ക ou സ്റ്റിക് സ്റ്റോറേജ്,ધ્વનિ સંગ્રહ
സംക്ഷേപം,ટૂંકાક્ષર
പവര്ത്തി,ક્રિયા
പ്രവർത്തന ചക്രം,કાર્ય -ચક્ર
ആക്ഷൻ ലൈൻ,ક્રિયા -રેખ
ആക്ഷൻ സന്ദേശം,ક્રિયા
പ്രവർത്തന സവിശേഷത,કાર્ય -સ્પષ્ટીકરણ
സജീവമാക്കല്,સક્રિય
സജീവമായ,સક્રિય
സജീവ ഫയൽ,સક્રિય ફાઈલ
സജീവ ലൈൻ,સક્રિય રેખા
സജീവ ലിങ്ക്,સક્રિય કડી
സജീവ മാസ്റ്റർ ഫയൽ,સક્રિય માસ્ટર ફાઇલ
സജീവ മാസ്റ്റർ ഇനം,સક્રિય મુખ્ય વસ્તુ
സജീവ ഉപഗ്രഹം,સક્રિય ઉપગ્રહ
സജീവ സ്റ്റേഷൻ,સક્રિય કેન્દ્ર
സജീവ സംഭരണം,સક્રિય સંગ્રહ
പ്രവർത്തനം,પ્રવૃત્તિ
പ്രവർത്തന നില,પ્રવૃત્તિ સ્તરે
പ്രവർത്തന ലോഡിംഗ്,પ્રવૃત્તિ લોડિંગ
പ്രവർത്തന അനുപാതം,પ્રવૃત્તિ ગુણોત્તર
യഥാർത്ഥ വിലാസം (= കേവല വിലാസം),વાસ્તવિક સરનામું (= સંપૂર્ણ સરનામું)
യഥാർത്ഥ കോഡ് (= കേവല കോഡ്),વાસ્તવિક કોડ (= સંપૂર્ણ કોડ)
