Malayalam,Hindi
നിർത്തലാക്കിയ അവയവം,रुद्ध-वृद्धि अंग
നിർത്തലാക്കിയ വിത്ത്,रुद्ध वृद्धि बीज
ഗര്ഭഛിദം,"गर्भपात, गर्भस्राव, वृद्धि विरोध"
കേവല കള,"अवांछित अपतृण, पूर्ण खरपतवार"
ആഗിരണം ചെയ്യപ്പെട്ട വ്യാജം,अवशोषित धनायन
ആഗിരണം,अवशोषण
അബിസീനിയൻ കടുക്,ऐबिसिनी सरसों
Ala എഴുതിയത്,"एकेरेसनाशी, चिचड़ीनाशी"
അക്വെൻട്രിക്,अकेंद्री
ആക്സന്റ്വേറ്റ് (സെൽ),प्रवर्धन (कोशिका)
അംഗീകരിച്ച സഹിഷ്ണുത,स्वीकृत सहायता
ഉപസാധനം,"अतिरिक्त, सहायक, गौण"
ACCLIMATIES,पर्यनुकूलन
കൂന്വാരം,संचय
കൃതത,"यथार्थता, परिशुद्धता"
Aiverulus,"एसर्वुलस, बीजाणुपात्र"
അസഹീകരണം,"ऐसीटीकरण, सिरका बनाना"
അസിഡിറ്റി,"अम्लीकरण, अम्लन"
ആദിമീറ്റര്,"अम्लतामापी, एसिडीमीटर"
അസിഡിറ്റി,अम्लता
അഡോഫിലിക്,अम्लरागी
അസിഡിലേറ്റഡ് റോക്ക് ഫോസ്ഫേറ്റ്,अम्लीकृत रॉक फॉस्फेट
അയ്യോണിക്,अम्लसह
അക്വിഫർ,जलभृत
കൈവശപ്പെടുത്തൽ,अधिग्रहण
ഏന്വുല്ല്,एकड़
പസ്താര,"क्षेत्रफल, रकबा"
അക്രോസൻട്രിക് ക്രോമസോം,उपांत बिंदु क्रोमोसोम
അക്രോപോറ്റൽ,अग्राभिसारी
അക്രോസോം,ऐक्रोसोम
ആക്റ്റിനോമൈസെറ്റുകൾ,एक्टिनोमाइसिटीज
സജീവ റൂട്ട് സോൺ,सक्रिय मूलक्षेत्र
തുളച്ചുകയറുന്ന,"उग्र, तीव्र"
പൊരുത്തപ്പെടലി,अनुकूलनशीलता
പൊരുത്തപ്പെടുത്തൽ,अनुकूलन
അഷൈൻ,"आसंजन, अभिलाग, बन्ध"
അദിപ്പോസ്,वसामय
ക്രമീകരണ സമവാക്യം,समायोजन समीकरण
അഡോബ് മണ്ണ്,ऐडोब मृदा
പ്രത്യേകത,अपमिश्रक
സാഹസികത,अपस्थानिक
Aecidiossoror,"एसीडियोस्पोर, एसीडियम बीजाणु"
ഓലിയൻ പ്രക്രിയ,वातोढ़ प्रक्रिया
Aiolian,वातोढ़
ഓറേറ്റ്,वातन करना
ഏരിയൽ,"वायव, आकाशी"
ഏയ്റോമീറ്റർ,"ऐरोमीटर, वायुमापी, वायुघनत्वमाप"
എയറോസോൾ,ऐरोसॉल
പകർച്ചവ്വാധം,"पुष्पदलविन्यास, ग्रीष्मनिष्क्रियता"
Aetiiology (etiology),"रोग हेतु विज्ञान, व्याधिनिदान विज्ञान"
വനനം,वनरोपण
പ്രക്ഷോഭക്തി,"विलोडन, प्रक्षोभन"
ന്വര്,"ऐगमार्क, कृष्यंक"
കാർഷികം,"भूमी संबंधी, कृषि संबंधी"
കാർഷിക ക്ലിനിക്,कृषि निदानालय
