Marathi,Kannada
अजैविक पुनरुत्पादन,ಅಜೀವಕ ಸಂತಾನೋತ್ಪತ್ತಿ
अलौकिक,ಅಧಿಸಾಮಾನ್ಯ
1. चौथे पोट 2. इवोमासोम,1. ನಾಲ್ಕನೇ ಹೊಟ್ಟೆ 2. ಎವೋಮಾಸೋಮ್
रंध्र वाढीचा अवयव,ಸ್ಟೊಮಾಟಲ್ ಬೆಳವಣಿಗೆಯ ಅಂಗ
वाढ खुंटलेले बीज,ಕುಂಠಿತ ಬೆಳವಣಿಗೆ ಬೀಜ
1. गर्भपात 2. गर्भपात 3. वाढीचा प्रतिकार,1. ಗರ್ಭಪಾತ 2. ಗರ್ಭಪಾತ 3. ಬೆಳವಣಿಗೆಯ ಪ್ರತಿರೋಧ
1. अवांछित तण 2. पूर्ण तण,1. ಅನಗತ್ಯ ಕಳೆಗಳು 2. ಸಂಪೂರ್ಣ ಕಳೆಗಳು
शोषलेले केशन,ಹೀರಿಕೊಳ್ಳಲ್ಪಟ್ಟ ಕ್ಯಾಷನ್
शोषण,ಹೀರಿಕೊಳ್ಳುವಿಕೆ
Abyssinian मोहरी,ಅಬಿಸ್ಸಿನಿಯನ್ ಸಾಸಿವೆ
1. ऍकेरिसाइड,1. ಅಕಾರಿಸೈಡ್
केंद्राभिमुख,ಕೇಂದ್ರಾಭಿಮುಖ
प्रवर्धन (सेल),ವರ್ಧನೆ (ಕೋಶ)
मंजूर सहिष्णुता,ಸಹಿಷ್ಣುತೆಯನ್ನು ಅನುಮೋದಿಸಲಾಗಿದೆ
1.अतिरिक्त 2.अॅक्सेसरी 3.अॅक्सेसरी,1.ಹೆಚ್ಚುವರಿ 2.ಪರಿಕರ 3.ಪರಿಕರ
रुपांतर,ರೂಪಾಂತರ
जमा,ಶೇಖರಣೆ
1. अचूकता 2. अचूकता,1.ವಾಕ್ಯುರಸಿ 2. ನಿಖರತೆ
1. एसरव्हुलस 2. स्पोरोफाइट,1. ಅಸೆರ್ವುಲಸ್ 2. ಸ್ಪೊರೊಫೈಟ್
1. एसिटायझेशन 2. व्हिनेगर बनवणे 3. एसिटिलीन,1. ಅಸಿಟೈಸೇಶನ್ 2. ವಿನೆಗರ್ ತಯಾರಿಸುವುದು 3. ಅಸಿಟಿಲಿನ್
1. आम्लीकरण 2. आम्लीकरण,1. ಆಮ್ಲೀಕರಣ 2. ಆಮ್ಲೀಕರಣ
1. ऍसिडोमीटर 2. ऍसिडीमीटर,1. ಆಸಿಡೋಮೀಟರ್ 2. ಆಸಿಡಿಮೀಟರ್
आंबटपणा,ಆಮ್ಲೀಯತೆ
ऍसिडोफाइल,ಅಸಿಡೋಫೈಲ್
ऍसिडिफाइड रॉक फॉस्फेट,ಆಮ್ಲೀಕೃತ ರಾಕ್ ಫಾಸ್ಫೇಟ್
आम्लीकृत,ಆಮ್ಲೀಕೃತ
जलचर,ಜಲಚರ
संपादन,ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವಿಕೆ
एकर,ಎಕರೆ
1. क्षेत्रफळ 2. क्षेत्रफळ,1. ಪ್ರದೇಶ 2. ಪ್ರದೇಶ
अंतिम बिंदू गुणसूत्र,ಎಂಡ್ ಪಾಯಿಂಟ್ ಕ್ರೋಮೋಸೋಮ್
पुढे दिसणारा,ಮುಂದೆ ನೋಡುವ
acrosome,ಅಕ್ರೋಸೋಮ್
actinomycetes,ಆಕ್ಟಿನೊಮೈಸೆಟ್ಸ್
सक्रिय कोर,ಸಕ್ರಿಯ ಕೋರ್
1. उग्र 2. तीव्र,1. ಉಗ್ರ 2. ತೀವ್ರ
अनुकूलता,ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ
सानुकूलन,ಗ್ರಾಹಕೀಕರಣ
1. आसंजन 2. आसंजन,1. ಅಂಟಿಕೊಳ್ಳುವಿಕೆ 2. ಅಂಟಿಕೊಳ್ಳುವಿಕೆ
सेबेशियस,ಮೇದಸ್ಸಿನ
समायोजन समीकरण,ಹೊಂದಾಣಿಕೆ ಸಮೀಕರಣ
adobe माती,ಅಡೋಬ್ ಮಣ್ಣು
भेसळ करणारा,ಕಲಬೆರಕೆ
एक्टोपिक,ಅಪಸ್ಥಾನೀಯ
Isidiospore Isidium बीजाणू,ಇಸಿಡಿಯೋಸ್ಪೋರ್ ಐಸಿಡಿಯಮ್ ಸ್ಪೋರ್
