Tamil,Punjabi
உயிரற்ற இனப்பெருக்கம்,ਅਬਾਇਓਟਿਕ ਪ੍ਰਜਨਨ
அமானுஷ்ய,ਅਲੌਕਿਕ
1. நான்காவது வயிறு 2. எவோமாசோம்,1. ਚੌਥਾ ਪੇਟ 2. ਈਵੋਮਾਸੋਮ
வயிற்று வளர்ச்சி உறுப்பு,ਸਟੋਮੈਟਲ ਵਿਕਾਸ ਅੰਗ
வளர்ச்சி குன்றிய விதை,ਰੁਕਿਆ ਹੋਇਆ ਵਾਧਾ ਬੀਜ
1. கருக்கலைப்பு 2. கருச்சிதைவு 3. வளர்ச்சி எதிர்ப்பு,1. ਗਰਭਪਾਤ 2. ਗਰਭਪਾਤ 3. ਵਿਕਾਸ ਪ੍ਰਤੀਰੋਧ
1. தேவையற்ற களைகள் 2. முழுமையான களைகள்,1. ਅਣਚਾਹੇ ਜੰਗਲੀ ਬੂਟੀ 2. ਮੁਕੰਮਲ ਨਦੀਨ
உறிஞ்சப்பட்ட கேஷன்,ਲੀਨ cation
உறிஞ்சுதல்,ਸਮਾਈ
அபிசீனிய கடுகு,ਐਬੀਸੀਨੀਅਨ ਸਰ੍ਹੋਂ
1. காரக்கொல்லி,1. ਐਕਰੀਸਾਈਡ
மையவிலக்கு,centripetal
பெருக்கம் (செல்),ਪ੍ਰਸਾਰਨ (ਸੈੱਲ)
அனுமதிக்கப்பட்ட சகிப்புத்தன்மை,ਮਨਜ਼ੂਰ ਸਹਿਣਸ਼ੀਲਤਾ
1.கூடுதல் 2.துணை 3.துணை,1. ਵਾਧੂ 2. ਐਕਸੈਸਰੀ 3. ਐਕਸੈਸਰੀ
தழுவல்,ਅਨੁਕੂਲਨ
திரட்சி,ਇਕੱਠਾ ਕਰਨਾ
1.vacuracy 2. துல்லியம்,1. ਸ਼ੁੱਧਤਾ 2. ਸ਼ੁੱਧਤਾ
1. அசெர்வலஸ் 2. ஸ்போரோஃபைட்,1. ਏਸਰਵੁਲਸ 2. ਸਪੋਰੋਫਾਈਟ
1. அசிடைசேஷன் 2. வினிகர் தயாரித்தல் 3. அசிட்டிலின்,1. ਐਸੀਟਾਈਜ਼ੇਸ਼ਨ 2. ਸਿਰਕਾ ਬਣਾਉਣਾ 3. ਐਸੀਟਿਲੇਨ
1. அமிலமயமாக்கல் 2. அமிலமயமாக்கல்,1. ਤੇਜ਼ਾਬੀਕਰਨ 2. ਤੇਜ਼ਾਬੀਕਰਨ
1. அமிலமானி 2. அமிலமானி,1. ਐਸੀਡੋਮੀਟਰ 2. ਐਸਿਡਮੀਟਰ
அமிலத்தன்மை,ਐਸਿਡਿਟੀ
அமிலத்தன்மை,ਐਸਿਡੋਫਾਈਲ
அமிலமாக்கப்பட்ட ராக் பாஸ்பேட்,ਤੇਜ਼ਾਬ ਚੱਟਾਨ ਫਾਸਫੇਟ
அமிலமாக்கப்பட்ட,ਤੇਜ਼ਾਬ
நீர்நிலை,aquifer
கையகப்படுத்தல்,ਪ੍ਰਾਪਤੀ
ஏக்கர்,ਏਕੜ
1. பகுதி 2. பகுதி,1. ਖੇਤਰ 2. ਖੇਤਰ
இறுதி புள்ளி குரோமோசோம்,ਅੰਤ ਬਿੰਦੂ ਕ੍ਰੋਮੋਸੋਮ
முன்னோக்கு,ਅਗਾਂਹਵਧੂ
குரோசோம்,acrosome
ஆக்டினோமைசீட்ஸ்,ਐਕਟਿਨੋਮਾਈਸੀਟਸ
செயலில் உள்ள மைய,ਸਰਗਰਮ ਕੋਰ
1. சீற்றம் 2. தீவிரம்,1. ਗੁੱਸੇ ਵਾਲਾ 2. ਤੀਬਰ
தழுவல்,ਅਨੁਕੂਲਤਾ
தனிப்பயனாக்கம்,ਕਸਟਮਾਈਜ਼ੇਸ਼ਨ
1. ஒட்டுதல் 2. ஒட்டுதல்,1. ਅਡੈਸ਼ਨ 2. ਅਡੈਸ਼ਨ
செபாசியஸ்,sebaceous
சரிசெய்தல் சமன்பாடு,ਸਮਾਯੋਜਨ ਸਮੀਕਰਨ
அடோப் மண்,ਅਡੋਬ ਮਿੱਟੀ
கலப்படம்,ਮਿਲਾਵਟ ਕਰਨ ਵਾਲਾ
எக்டோபிக்,ਐਕਟੋਪਿਕ
இசிடியோஸ்போர் இசிடியம் ஸ்போர்,ਆਈਸੀਡਿਓਸਪੋਰ ਆਈਸੀਡੀਅਮ ਸਪੋਰ
ஏரோடைனமிக் செயல்முறை,ਐਰੋਡਾਇਨਾਮਿਕ ਪ੍ਰਕਿਰਿਆ
வென்ட்ரல்,ਵੈਂਟ੍ਰਲ
காற்றோட்டம் செய்ய,ਹਵਾ ਦੇਣ ਲਈ
1. காற்று 2. ஆகாஷி,1. ਹਵਾ 2. ਆਕਾਸ਼ੀ
1. ஏரோமீட்டர் 2. ஏரோமீட்டர் 3. ஏரோமீட்டர்,1. ਐਰੋਮੀਟਰ 2. ਐਰੋਮੀਟਰ 3. ਐਰੋਮੀਟਰ
ஏரோசல்,ਐਰੋਸੋਲ
1. மஞ்சரி 2. கோடை உறக்கம்,1. ਫੁੱਲ 2. ਗਰਮੀਆਂ ਦੀ ਸੁਸਤਤਾ
நோய் அறிவியல்,ਬਿਮਾਰੀ ਦਾ ਵਿਗਿਆਨ
காடு வளர்ப்பு,ਜੰਗਲਾਤ
1. கிளர்ச்சி 2. கொந்தளிப்பு,1. ਅੰਦੋਲਨ 2. ਗੜਬੜ
அக்மார்க்,ਐਗਮਾਰਕ
1. நிலம் தொடர்பான 2. விவசாயம்,1. ਜ਼ਮੀਨ ਨਾਲ ਸਬੰਧਤ 2. ਖੇਤੀਬਾੜੀ
விவசாய மருத்துவமனை,ਖੇਤੀਬਾੜੀ ਕਲੀਨਿਕ
1. விவசாயத் தொழிலாளர்கள் 2. விவசாயத் தொழிலாளர்கள்,1. ਖੇਤੀ ਮਜ਼ਦੂਰ 2. ਖੇਤੀ ਮਜ਼ਦੂਰ
