Malayalam,Punjabi
വിലക്ഷണമായ,ਅਸਧਾਰਨ
ഉപേക്ഷിക്കുക,ਅਧੂਰਾ ਛੱਡਣਾ
വധനം,ਘ੍ਰਿਣਾ
ആകസ്മികമായ,ਅਚਾਨਕ
കേവല ഫീൽഡ് ശക്തി,ਪੂਰੀ ਫੀਲਡ ਤਾਕਤ
കേവല താപനില,ਪੂਰਨ ਤਾਪਮਾਨ
യഥാർത്ഥ മൂല്യം,ਸਹੀ ਮੁੱਲ
ഉള്ക്കൊള്ളുക,ਸੋਖਣਾ
ആഗിരണം കോ-കാര്യക്ഷമമാണ്,ਸਮਾਈ ਸਹਿਕਾਰਤਾ
ആഗിരണം നഷ്ടം,ਸਮਾਈ ਨੁਕਸਾਨ
വേര്പെട്ടുനില്ക്കുന്ന,ਸਾਰ
ആക്സിലറോമീറ്റർ,ਐਕਸੀਲਾਮੀਟਰ
സ്വീകാര്യത പരിശോധന,ਪ੍ਰਵਾਨਗੀ ਟੈਸਟ
പ്രവേശനം,ਪਹੁੰਚ
പ്രവേശന നിയന്ത്രണം,ਐਕਸੈਸ ਕੰਟਰੋਲ
പ്രവേശന പോയിന്റ്,ਐਕਸੈਸ ਪੁਆਇੰਟ
ആക്സസ് സമയം,ਐਕਸੈਸ ਟਾਈਮ
പ്രവേശനക്ഷമത,ਪਹੁੰਚਯੋਗਤਾ
സഞ്ചിത സെൽ,ਇਕੱਤਰ ਕਰਨ ਵਾਲਾ ਸੈੱਲ
കൃതത,ਸ਼ੁੱਧਤਾ
സൂക്ഷ്മമായ,ਸਹੀ
അച്രോമാറ്റിക് ലെൻസ്,ਅਕੀਰੋਮੈਟਿਕ ਲੈਂਜ਼
പുളിപ്പുള്ള,ਐਸਿਡ
ആസിഡ് തെളിവ്,ਐਸਿਡ ਦਾ ਸਬੂਤ
അസിഡിറ്റി,ਐਸਿਡਿਟੀ
അംഗീകാര ബിറ്റ്,ਪ੍ਰਵਾਨਗੀ ਬਿੱਟ
അക്കോസ്റ്റിക്,ਧੁਨੀ
അക്കോസ്റ്റിക് ആശയവിനിമയം,ਧੁਨੀ ਸੰਚਾਰ
അക്കോസ്റ്റിക് ഡിഫ്യൂഷൻ,ਧੁਨੀ ਫੈਲਾਉਣ
അക്കോസ്റ്റിക് ഇക്വൈസർ,ਧੁਨੀ ਬਰਾਬਰੀ
അക്കോസ്റ്റിക് ഫീഡ്ബാക്ക്,ਧੁਨੀ ਫੀਡਬੈਕ
അക്ക ou സ്റ്റിക് ഫിൽട്ടർ,ਧੁਨੀ ਫਿਲਟਰ
അക്കോസ്റ്റിക് ഇംപാസ്,ਧੁਨੀ ਰੁਕਾਵਟ
അക്കോസ്റ്റിക് മാസ്കിംഗ്,ਧੁਨੀ ਮਾਸਕਿੰਗ
അക്കോസ്റ്റിക് പവർ,ਧੁਨੀ ਸ਼ਕਤੀ
അക്കോസ്റ്റിക് പ്രോപ്പർട്ടി,ਧੁਨੀ ਸੰਪਤੀ
അക്കോട്ടിക് റിയാൻസ്,ਧੁਨੀ ਪ੍ਰਤੀਕਰਮ
അക്ക ou സ്റ്റിക് റിഫ്ലെക്സ്,ਧੁਨੀ ਪ੍ਰਤੀਬਿੰਬ
അക്കോസ്റ്റിക് ടൈൽ,ਧੁਨੀ ਟਾਈਲ
അക്ക ou സ്റ്റിക് തരംഗം,ਧੁਨੀ ਲਹਿਰ
ശബ്ദ ആഗിരണം,ਧੁਨੀ ਸਮਾਈ
അക്കോസ്റ്റിക്കൽ അറ്റൻയൂട്ടിന്റെ സ്ഥിരാങ്കം,ਧੂ-ਰਹਿਤ ਅਟੁੱਟ ਨਿਰੰਤਰ
അക്കോസ്റ്റിക്കൽ നനവ്,ਧੁਨੀ ਗਿੱਲੀ
അക്കോസ്റ്റിക്കൽ കാലതാമസം,ਧੁਨੀ ਦੇਰੀ ਦੀ ਲਾਈਨ
അക്കോസ്റ്റിക്കൽ വക്രമാനം,ਧੁਨੀ ਵਿਗਾੜ
അക്കോസ്റ്റിക്കൽ നാളം,ਧੁਨੀ ਨਲੀ
അക്കോസ്റ്റിക്കൽ എനർജി,ਧੁਨੀ energy ਰਜਾ
അക്കോസ്റ്റിക്കൽ ഫീഡ്ബാക്ക്,ਧੁਨੀ ਫੀਡਬੈਕ
അക്കോസ്റ്റിക്കൽ ഫിൽട്ടർ,ਧੁਨੀ ਫਿਲਟਰ
അക്കോസ്റ്റിക്കൽ ഇംപെഡൻസ്,ਧਾਰਨਾ
അക്കോസ്റ്റിക്കൽ പ്രചരണം സ്ഥിരാങ്കം,ਧੁਨੀ ਪ੍ਰਸਾਰ ਨੂੰ ਸਥਿਰ
അക്കോസ്റ്റിക്കൽ റെസിസ്റ്റൻസ്,ਧੁਨੀ ਪ੍ਰਤੀਰੋਧ
ശബ്ദപരമായി ഇൻസുലേറ്റ്,ਧੁਨੀ
അക്കോസ്റ്റിക്സ്,ਧੁਨੀ
കൈവശപ്പെടുത്തൽ,ਗ੍ਰਹਿਣ
സംക്ഷേപം,ਐਕਰੋਨਾਈਮ
പ്രവർത്തന മേഖല,ਕਾਰਵਾਈ ਖੇਤਰ
സജീവമാക്കിയ ഫിലമെന്റ്,ਸਰਗਰਮ ਤੰਦ
സജീവമായ,ਕਿਰਿਆਸ਼ੀਲ
സജീവ ഏരിയ,ਐਕਟਿਵ ਖੇਤਰ
സജീവ വിൻഡോ,ਐਕਟਿਵ ਵਿੰਡੋ
പൊരുത്തപ്പെടലി,ਅਨੁਕੂਲਤਾ
അഡാപ്റ്റർ (അഡാപ്റ്റർ),ਅਡੈਪਟਰ (ਅਡੈਪਟਰ)
അഡാപ്റ്റീവ് ഡിഫറൻഷ്യൽ പൾസ് കോഡ് മോഡുലേഷൻ,ਅਡੈਪਟਿਵ ਇਨਫਿਅਲ ਪਲਸ ਕੋਡ ਸੰਚਾਲਨ
മേൽവിലാസ പുസ്തകം,ਐਡਰੈੱਸ ਬੁੱਕ
വിലാസ ബസ്,ਪਤਾ ਬੱਸ
വിലാസ മിഴിവ്,ਪਤਾ ਹੱਲ
