Hindi,Malayalam
अजीवात् जनन,അജിയോട്ടിക് പുനരുൽപാദനം
अपसामान्य,അസാധാരണമായ
1. चतुर्थ आमाशय 2. ऐवोमैसम,1. നാലാമത്തെ വയറ് 2. ഇവോമസോം
रुद्ध-वृद्धि अंग,സ്റ്റോമറ്റൽ വളർച്ച അവയവം
रुद्ध वृद्धि बीज,വളർച്ച മുരടിച്ച വിത്ത്
1. गर्भपात 2. गर्भस्राव 3. वृद्धि विरोध,1. ഗർഭച്ഛിദ്രം 2. ഗർഭം അലസൽ 3. വളർച്ചയുടെ പ്രതിരോധം
1. अवांछित अपतृण 2. पूर्ण खरपतवार,1. ആവശ്യമില്ലാത്ത കളകൾ 2. പൂർണ്ണമായ കളകൾ
अवशोषित धनायन,ആഗിരണം ചെയ്യപ്പെട്ട കാറ്റേഷൻ
अवशोषण,ആഗിരണം
ऐबिसिनी सरसों,അബിസീനിയൻ കടുക്
1.एकेरेसनाशी 2. चिचड़ीनाशी,1. acaricide
अकेंद्री,കേന്ദ്രാഭിമുഖം
प्रवर्धन (कोशिका),ആംപ്ലിഫിക്കേഷൻ (സെൽ)
स्वीकृत सह्यता,അനുവദിച്ച സഹിഷ്ണുത
1.अतिरिक्त 2. सहायक 3. गौण,1.അഡീഷണൽ 2.അക്സസറി 3.അക്സസറി
पर्यनुकूलन,പൊരുത്തപ്പെടുത്തൽ
संचय,ശേഖരണം
1.vयथार्थता 2. परिशुद्धता,1. vaccuracy 2. കൃത്യത
1. एसर्वुलस 2. बीजाणुपात्र,1. അസെർവുലസ് 2. സ്പോറോഫൈറ്റ്
1. ऐसीटीकरण 2. सिरका बनाना 3. ऐसीटीलन,1. അസറ്റൈസേഷൻ 2. വിനാഗിരി ഉണ്ടാക്കൽ 3. അസറ്റിലിൻ
1. अम्लीकरण 2. अम्लन,1. അസിഡിഫിക്കേഷൻ 2. അസിഡിഫിക്കേഷൻ
1.अम्लतामापी 2. एसिडीमीटर,1. അസിഡോമീറ്റർ 2. അസിഡിമീറ്റർ
अम्लता,അസിഡിറ്റി
अम्लरागी,അസിഡോഫൈൽ
अम्लीकृत रॉक फॉस्फेट,അസിഡിഫൈഡ് റോക്ക് ഫോസ്ഫേറ്റ്
अम्लसह,അസിഡിഫൈഡ്
जलभृत,ജലാശയം
अधिग्रहण,കൈവശപ്പെടുത്തൽ
एकड़,ഏക്കർ
1.क्षेत्रफल 2. रकबा,1. ഏരിയ 2. ഏരിയ
उपांत बिंदु क्रोमोसोम,അവസാന പോയിന്റ് ക്രോമസോം
अग्राभिसारी,മുന്നോട്ട് നോക്കുന്ന
ऐक्रोसोम,അക്രോസോം
एक्टिनोमाइसिटीज,ആക്റ്റിനോമൈസെറ്റുകൾ
सक्रिय मूलक्षेत्र,സജീവ കോർ
1.उग्र 2. तीव्र,1. ക്രോധം 2. തീവ്രം
अनुकूलनशीलता,പൊരുത്തപ്പെടുത്തൽ
अनुकूलन,ഇഷ്ടാനുസൃതമാക്കൽ
1. आसंजन 2. अभिलाग,1. അഡീഷൻ 2. അഡീഷൻ
वसामय,സെബാസിയസ്
समायोजन समीकरण,ക്രമീകരിക്കൽ സമവാക്യം
ऐडोब मृदा,അഡോബ് മണ്ണ്
अपमिश्रक,വ്യഭിചാരം
अपस्थानिक,എക്ടോപിക്
इसीडियोस्पोर इसीडियम बीजाणु,ഇസിഡിയോസ്പോർ ഇസിഡിയം ബീജം
वातोढ़ प्रक्रिया,എയറോഡൈനാമിക് പ്രക്രിയ
वातोढ़,വെൻട്രൽ
वातन करना,വായുസഞ്ചാരത്തിനായി
1. वायव 2. आकाशी,1. വായു 2. ആകാശി
1. ऐरोमीटर 2. वायुमापी 3. वायुघनत्वमाप,1. എയറോമീറ്റർ 2. എയറോമീറ്റർ 3. എയറോമീറ്റർ
ऐरोसोल,എയറോസോൾ
1. पुष्पदलविन्यास 2. ग्रीष्मनिष्क्रियता,1. പൂങ്കുല 2. വേനൽ സുഷുപ്തി
रोग हेतु विज्ञान,രോഗ ശാസ്ത്രം
वनरोपण,വനവൽക്കരണം
1. विलोडन 2. प्रक्षोभन,1. പ്രക്ഷോഭം 2. പ്രക്ഷുബ്ധത
ऐगमार्क,അഗ്മാർക്ക്
1. भूमि संबंधी 2. कृषि संबंधी,1. ഭൂമിയുമായി ബന്ധപ്പെട്ട 2. കാർഷിക
कृषि निदानालय,കാർഷിക ക്ലിനിക്ക്
1. कृषि श्रम 2. खेतिहर मजदूर,1. കാർഷിക തൊഴിലാളികൾ 2. കാർഷിക തൊഴിലാളികൾ
कृषि विपणन,കാർഷിക വിപണനം
कृषि प्रद्योगिकी,കാർഷിക സാങ്കേതികവിദ്യ
1. कृषि 2. खेतीबारी 3. कृषि विज्ञान,1. കൃഷി 2. കൃഷി 3. അഗ്രികൾച്ചറൽ സയൻസ്
कृषि वनवर्धन,കാർഷിക വനവൽക്കരണം
कृषि जैविक विविधता,കാർഷിക ജൈവവൈവിധ്യം
कृषि जैविक दोष,കാർഷിക ജൈവ വൈകല്യങ്ങൾ
कृषि जैविकी,കാർഷിക ജീവശാസ്ത്രം
कृषि जलवायुवीय विविधता,കാർഷിക-കാലാവസ്ഥാ വൈവിധ്യം
कृषिजलवायुवीय जोन निर्माण,കാർഷിക കാലാവസ്ഥാ മേഖല സൃഷ്ടിക്കൽ
कृषिवानिकी,അഗ്രോഫോറസ്ട്രി
सस्य मृदा विज्ञान,കാർഷിക ശാസ്ത്രം
सस्य विज्ञान,അഗ്രോണമിക്
कृषि पशुचारणिक,കാർഷിക ഇടയൻ
फसल प्रसंस्करण,വിള സംസ്കരണം
घास विज्ञान,പുല്ല് ശാസ്ത്രം
सस्य प्ररूप,വിള തരം
अधिपादप,എപ്പിഫൈറ്റ്
ऐकिओची मृदा,aikiochi മണ്ണ്
वर्णकहीनता,വർണ്ണാന്ധത
एल्फिसॉल,ആൽഫിസോൾ
शैवाल,ആൽഗകൾ
शैवाल रोग,ആൽഗ രോഗം
क्षार जल,ആൽക്കലി വെള്ളം
क्षारीय,ആൽക്കലൈൻ
विकल्पी,ബദൽ
एलीलो रसायन,അല്ലെലോ രസതന്ത്രം
युग्मविकल्पी,അല്ലീൽ
एलीलोपैथी,അല്ലെലോപ്പതി
वीथी सस्यन,വേത്തി വിള
परनिषेक-फलता,പൂർത്തീകരണം
परनिषेचन,ബീജസങ്കലനം
1. सापेक्षमिति 2. ऐलोमैट्री,1. ആപേക്ഷികത 2. അലോമെട്രി
परबहुगुणित,മൾട്ടിപ്ലോയിഡി
1. परयुग्मन 2. अपायुग्लन,1. പാരാസിഗോസിറ്റി
1. एकातंर वर्ष फलन 2. एकांतरित फलन,1. ഇതര വർഷത്തെ പ്രവർത്തനം 2. ഇതര പ്രവർത്തനം
वैकल्पिक भूमि उपयोग,ബദൽ ഭൂമി ഉപയോഗം
परिवेश,പരിസ്ഥിതി
सुधारक,പരിഷ്കർത്താവ്
असूत्रीविभाजन,മൈറ്റോസിസ്
ऐमीनन,ആമീനൻ
अमोनियन,അമോണിയൻ
अमोनीकारक,അമ്നിഫെറസ്
1.अप्रभावी रूप  2.अरूपी,1. ഫലപ്രദമല്ലാത്ത രൂപം 2. അരൂപി
उभय मिश्रण,ഉഭയജീവി മിശ്രിതം
उभयधर्मी,ആംഫോട്ടെറിക്
उपचय,സ്റ്റോക്ക്പൈലിംഗ്
