Odiya,Punjabi
ଅସ୍ୱାଭାବିକ |,ਅਸਧਾਰਨ
ପରିତ୍ୟାଗ,ਅਧੂਰਾ ਛੱਡਣਾ
ଅଳିଆ ଆବେଗ,ਘ੍ਰਿਣਾ
ଆକସ୍ମିକ,ਅਚਾਨਕ
ସଂପୂର୍ଣ୍ଣ କ୍ଷେତ୍ର ଶକ୍ତି |,ਪੂਰੀ ਫੀਲਡ ਤਾਕਤ
ସଂପୂର୍ଣ୍ଣ ତାପମାତ୍ରା |,ਪੂਰਨ ਤਾਪਮਾਨ
ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ,ਸਹੀ ਮੁੱਲ
ଶୋଷଣ,ਸੋਖਣਾ
ଅବଶୋଷଣ ସହ-ଦକ୍ଷ |,ਸਮਾਈ ਸਹਿਕਾਰਤਾ
ଶୋଷଣୀୟ କ୍ଷତି |,ਸਮਾਈ ਨੁਕਸਾਨ
ବିସ୍ତୃତ,ਸਾਰ
ଆକ୍ସଲେରୋମିଟର |,ਐਕਸੀਲਾਮੀਟਰ
ଗ୍ରହଣ ପରୀକ୍ଷା,ਪ੍ਰਵਾਨਗੀ ਟੈਸਟ
ପ୍ରବେଶ,ਪਹੁੰਚ
ପ୍ରବେଶ ନିୟନ୍ତ୍ରଣ,ਐਕਸੈਸ ਕੰਟਰੋਲ
ପ୍ରବେଶ ବିନ୍ଦୁ,ਐਕਸੈਸ ਪੁਆਇੰਟ
ସମୟ ପ୍ରବେଶ କରନ୍ତୁ |,ਐਕਸੈਸ ਟਾਈਮ
ଅଭିଗମ୍ୟତା |,ਪਹੁੰਚਯੋਗਤਾ
ଆକ୍ୟୁଲେଟର କକ୍ଷ |,ਇਕੱਤਰ ਕਰਨ ਵਾਲਾ ਸੈੱਲ
ସଠିକତା,ਸ਼ੁੱਧਤਾ
ସଠିକ୍,ਸਹੀ
ଆଖୋଟୋମାଟିକ୍ ଲେନ୍ସ |,ਅਕੀਰੋਮੈਟਿਕ ਲੈਂਜ਼
ଏସିଡ୍ |,ਐਸਿਡ
ଏସିଡ୍ ପ୍ରମାଣ |,ਐਸਿਡ ਦਾ ਸਬੂਤ
ଅମ୍ଳତା,ਐਸਿਡਿਟੀ
ସ୍ୱୀକୃତି ବିଟ୍,ਪ੍ਰਵਾਨਗੀ ਬਿੱਟ
ଆକାଶବାଣୀ |,ਧੁਨੀ
ଆକାଶବାଣୀ ଯୋଗାଯୋଗ |,ਧੁਨੀ ਸੰਚਾਰ
ଆକାଶବାଣୀ ବିସ୍ତାର,ਧੁਨੀ ਫੈਲਾਉਣ
ଆକାଶବାଣୀ ସମାନତା |,ਧੁਨੀ ਬਰਾਬਰੀ
ଆକାଶବାଣୀ ମତାମତ |,ਧੁਨੀ ਫੀਡਬੈਕ
ଆକାଶବାଣୀ ଫିଲ୍ଟର |,ਧੁਨੀ ਫਿਲਟਰ
ଆକାଶବାଣୀ ପ୍ରତିରୋଧ |,ਧੁਨੀ ਰੁਕਾਵਟ
ଆକାଶବାଣୀ ମାସ୍କିଂ |,ਧੁਨੀ ਮਾਸਕਿੰਗ
ଆକାଶବାଣୀ ଶକ୍ତି |,ਧੁਨੀ ਸ਼ਕਤੀ
ଆକାଶବାଣୀ ସମ୍ପତ୍ତି |,ਧੁਨੀ ਸੰਪਤੀ
ଆକାଶବାଣୀ ପ୍ରତିକ୍ରିୟା |,ਧੁਨੀ ਪ੍ਰਤੀਕਰਮ
ଆକାଶବାଣୀ ପ୍ରତିଫଳନ |,ਧੁਨੀ ਪ੍ਰਤੀਬਿੰਬ
ଆକାଶବାଣୀ ଟାଇଲ୍ |,ਧੁਨੀ ਟਾਈਲ
ଆକାଶବାଣୀ ତରଙ୍ଗ |,ਧੁਨੀ ਲਹਿਰ
ଆକାଶବାଣୀ ଅବଶୋଷଣ |,ਧੁਨੀ ਸਮਾਈ
ଆକାଶବାଣୀ ଆଟେନେସନ୍ ସ୍ଥିର |,ਧੂ-ਰਹਿਤ ਅਟੁੱਟ ਨਿਰੰਤਰ
ଆକାଶବାଣୀ ଡମ୍ପିଂ |,ਧੁਨੀ ਗਿੱਲੀ
ଆକାଶବାଣୀ ବିଳମ୍ବ ରେଖା |,ਧੁਨੀ ਦੇਰੀ ਦੀ ਲਾਈਨ
ଆକାଶବାଣୀ ବିକୃତି |,ਧੁਨੀ ਵਿਗਾੜ
ଆକାଶବାଣୀ ନଳୀ |,ਧੁਨੀ ਨਲੀ
ଆକାଶବାଣୀ ଶକ୍ତି |,ਧੁਨੀ energy ਰਜਾ
ଆକାଶବାଣୀ ମତାମତ |,ਧੁਨੀ ਫੀਡਬੈਕ
ଆକାଶବାଣୀ ଫିଲ୍ଟର |,ਧੁਨੀ ਫਿਲਟਰ
ଆକାଶବାଣୀ ପ୍ରତିରୋଧକ |,ਧਾਰਨਾ
ଆକାଶବାଣୀ ପ୍ରଚାର ସ୍ଥିର |,ਧੁਨੀ ਪ੍ਰਸਾਰ ਨੂੰ ਸਥਿਰ
ଆକାଶବାଣୀ ପ୍ରତିରୋଧ |,ਧੁਨੀ ਪ੍ਰਤੀਰੋਧ
ଆକାଶ ଭାବରେ ଇନସୁଲେଡ୍ |,ਧੁਨੀ
