Kannada,Telugu
ವೆಸ್ಟ್‌ಮಿನಿಸ್ಟರ್‌ನ ಅಬ್ಬೆ,అబ్బే ఆఫ్ వెస్ట్‌మినిస్టర్
ವ್ಯಭಿಚಾರ,పదవీ విరమణ
ಗುಲಾಮಗಿರಿಯ ನಿರ್ಮೂಲನೆ,బానిసత్వ నిర్మూలన
ಮೂಲನಿವಾಸಿಗಳು,ఆదివాసి
ಅಬ್ರಹಾಂ ಯುಗ,అబ్రహం యుగం
ಗೈರುಹಾಜರಾದ ಭೂಮಾಲೀಕರು,గైర్హాజరు భూస్వాములు
ಅಕಾಡೆಮಿ,అకాడమీ
ಅಕ್ರಾ ಸಮ್ಮೇಳನ,అక్ర సమావేశం
ಸಂಚಯಗಳು,సంపాదన
ಸಂಸ್ಕಾರ,సంస్కారము
ಅಸೆಲ್ಡಾಮಾ,అసెల్డామా
ಅಚೆಯನ್ (=ಅಚಿಯನ್),అచెయన్ (=అచియన్)
ಅಚೆಯನ್ ಲೀಗ್ (=ಅಚಿಯನ್ ಲೀಗ್),అచీయన్ లీగ్ (=అచియన్ లీగ్)
ಆಕ್ರೊಪೊಲಿಸ್,అక్రోపోలిస్
ಆಕ್ಟಾ ಡೈರ್ನಾ,ఆక్టా డియుర్నా
ಆಕ್ಟಾ ಸೆನಾಟಸ್,ఆక్టా సెనాటస్
ಆಕ್ಟೆ ಹೆಚ್ಚುವರಿ,యాక్టే అడిషనల్
ಸಕ್ರಿಯ ದಾಖಲೆ (=ಪ್ರಸ್ತುತ ದಾಖಲೆ),యాక్టివ్ రికార్డ్ (=ప్రస్తుత రికార్డు)
ಸಾಧಿಸುವವರ ಕ್ರಿಯೆ,సాధించేవారి చర్య
ನಷ್ಟ ಪರಿಹಾರ ಮತ್ತು ಮರೆವಿನ ಕಾಯಿದೆ,నష్టపరిహారం మరియు ఉపేక్ష చట్టం
ವಸಾಹತು ಕಾಯಿದೆ,సెటిల్మెంట్ చట్టం
ಜಾಹೀರಾತು ಒಪ್ಪಂದದ ಮುದ್ರೆ,ప్రకటన ఒప్పంద ముద్ర
ಅಡುಲಮೈಟ್ಸ್,అడుల్లామైట్స్
ಎದುರಾಳಿ,విరోధి
ಎದುರಾಳಿ,విరోధి
ಏಯಾನ್,అయాన్
ಏರೋರಿಯಮ್,ఏరోరియం
ವೈಮಾನಿಕ ಯುದ್ಧ,వైమానిక యుద్ధం
ಏಟೋಲಿಯನ್ ಲೀಗ್,ఏటోలియన్ లీగ్
ವಯಸ್ಸು,వయస్సు
ವಯಸ್ಸಾಗುವಿಕೆ (=ವಯಸ್ಸಾದ),వృద్ధాప్యం (=వృద్ధాప్యం)
