Assamese,English
এবেলিয়ান গোট,Abelian group
abelian অৰ্ধগোট,abelian semigroup
abscissa,abscissa
নিৰপেক্ষ,absolute
নিৰপেক্ষ অভিসৰণ,absolute convergence
নিৰপেক্ষ ভুল,absolute error
নিৰপেক্ষ সৰ্বোচ্চ,absolute maximum
নিৰপেক্ষ নূন্যতম,absolute minimum
নিৰপেক্ষ মূল্য,absolute value
নিৰপেক্ষ বেগ,absolute velocity
বিমূৰ্ত বীজগণিত,abstract algebra
বিমূৰ্ত গোট তত্ত্ব,abstract group theory
বেগ বৃদ্ধি,acceleration
মাধ্যাকৰ্ষণৰ ফলত হোৱা ত্বৰণ,acceleration due to gravity
গ্ৰহণযোগ্য পছন্দৰ ছেট,acceptable choice set
গ্ৰহণযোগ্য গুণগত মানৰ স্তৰ,acceptable quality level
গ্ৰহণযোগ্য পৰিসৰ,acceptable range
গ্ৰহণযোগ্য নিৰ্ভৰযোগ্যতা স্তৰ,acceptable reliability level
গ্ৰহণযোগ্য নমুনা সংগ্ৰহ কৰা,acceptable sampling
সঞ্চিত ভুল,accumulated error
শুদ্ধতা,accuracy
ক্ৰিয়াশীল শক্তি,acting force
কাৰ্য কৰা,action
ক্ৰিয়া আৰু প্ৰতিক্ৰিয়া,action and reaction
কৃষি বিজ্ঞান,acturial science
তীব্ৰ কোণীয়া ত্ৰিভুজ,acute angled triangle
অচক্ৰীয়,acyclic
যোগ কৰা,add
adder,adder
যোগ,addition
যোগ সূত্ৰ,addition formula
জটিল সংখ্যাৰ সংযোজন,addition of complex numbers
ফলনসমূহৰ সংযোজন,addition of functions
মেট্ৰিক্সৰ সংযোজন,addition of matrices
বহুপদ যোগ কৰা,addition of polynomials
সম্ভাৱনাৰ সংযোজন,addition of probabilities
ভেক্টৰৰ সংযোজন,addition of vectors
যোগ উপপাদ্য,addition theorem
যোগকৰণ গোট,additive group
যোগকৰণৰ বিপৰীত,additive inverse
যোগসূত্ৰৰ বৈশিষ্ট্য,additive property
যোগকৰণ,additivity
সংলগ্নতা মেট্ৰিক্স,adjacency matrix
পাৰ্শ্বৱৰ্তী,adjacent
কাষৰীয়া কোণ,adjacent angles
কাষৰীয়া শিখৰ,adjacent vertex
adjoin,adjoin
সংলগ্ন,adjoining
সংযুক্ত নিৰ্ণায়ক,adjoint determinant
সংযুক্ত অৱভেদ্য সমীকৰণ,adjoint differential equation
সংযুক্ত সমীকৰণ,adjoint equation
সংলগ্ন মেট্ৰিক্স,adjoint matrix
মেট্ৰিক্সৰ সংযুক্ত,adjoint of matrix
এডজুগেট মেট্ৰিক্স,adjugate matrix
গ্ৰহণযোগ্য সিদ্ধান্ত কাৰ্য্য,admissible decision function
গ্ৰহণযোগ্য অনুমান,admissible hypothesis
বায়ুগতিবিদ্যা বল,aerodynamic force
বায়ুগতিবিদ্যা,aerodynamics
affine জ্যামিতি,affine geometry
affine মেপিং,affine mapping
affine ৰূপান্তৰ,affine transformation
চলকসমূহ একত্ৰিত কৰা,aggregating variables
বীজগণিত,algebra
বীজগণিতীয়ভাৱে বন্ধ কৰা হৈছে,algebraically closed
বীজগণিতীয় সমীকৰণ,algebraic equation
বীজগণিতীয় প্ৰকাশ,algebraic expression
বীজগণিতীয় ৰূপ,algebraic form
বীজগণিতীয় ফলন,algebraic function
বীজগণিতীয় জ্যামিতি,algebraic geometry
বীজগণিতীয় বহুগুণতা,algebraic multiplicity
বীজগণিতীয় ব্যৱস্থা,algebraic system
সকলো-পূৰ্ণসংখ্যা সমস্যা,all-integer problem
আবণ্টনৰ সমস্যা,allocation problem
বৰ্ণানুক্ৰমিক সংকেত,alphabetical notation
বৰ্ণানুক্ৰমিক আখৰ,alphabetic character
বিকল্প কোণ,alternate angle
বিকল্প ৰূপ,alternating form
বিকল্প গোট,alternating group
বিকল্প মেট্ৰিক্স,alternating matrix
বিকল্প শৃংখলা,alternating series
বিকল্প অনুমান,alternative hypothesis
বিকল্প optima,alternative optima
বিকল্প ফলাফল,alternative outcome
এনালগ-টু-ডিজিটেল ৰূপান্তৰক,analog-to-digital converter
এনালগ কম্পিউটাৰ,analogue computer
বিশ্লেষণ,analysis
সহাৱস্থানৰ বিশ্লেষণ,analysis of covariance
গণনা তথ্যৰ বিশ্লেষণ,analysis of enumeration data
ভ্যাৰিয়েন্সৰ বিশ্লেষণ,analysis of variance
বিশ্লেষণাত্মক জ্যামিতি,analytic geometry
বিশ্লেষণাত্মক কাৰ্য্য,analytic function
কোণ,angle
সংস্পৰ্শৰ কোণ,angle of contact
বিচ্যুতিৰ কোণ,angle of deflection
বিষণ্ণতাৰ কোণ,angle of depression
বিচ্যুতিৰ কোণ,angle of deviation
বিবৰ্তনৰ কোণ,angle of diffraction
উচ্চতাৰ কোণ,angle of elevation
প্ৰাদুৰ্ভাৱৰ কোণ,angle of incidence
প্ৰক্ষেপণৰ কোণ,angle of projection
প্ৰতিফলনৰ কোণ,angle of reflection
বিবৰ্তনৰ কোণ,angle of refraction
ঘূৰ্ণনৰ কোণ,angle of rotation
মুঠ প্ৰতিফলনৰ কোণ,angle of total reflection
কৌণিক ত্বৰণ,angular acceleration
কৌণিক গতি,angular motion
কৌণিক গতি,angular speed
কৌণিক বেগ,angular velocity
annulus,annulus
উত্তৰ,answer
এন্টি – ডেৰাইভেটিভ,anti – derivative
এন্টিচিমেট্ৰিক ফাংচন,antisymmetric function
প্ৰযোজ্য,applicable
দৰ্খাস্ত,application
ডাইনামিক প্ৰগ্ৰেমিং প্ৰয়োগ কৰা হৈছে,applied dynamic programming
প্ৰয়োগ কৰা জ্যামিতি,applied geometry
প্ৰয়োগ কৰা গণিত,applied mathematics
প্ৰয়োগ কৰা পৰিসংখ্যা,applied statistics
অনুমানিক,approximately
প্ৰায় অবিৰত ফলন,approximately continuous function
আনুমানিক পদ্ধতি,approximate method
আনুমানিক সমাধান,approximate solution
আনুমানিক সমস্যা,approximation problem
আনুমানিক বৈশিষ্ট্য,approximation property
aptitude পৰীক্ষাৰ বেটাৰী,aptitude test battery
আৰ্গাণ্ড ডায়েগ্ৰাম,Argand diagram
ইচ্ছাকৃতভাৱে বাছি লোৱা,arbitrarily chosen
স্বেচ্ছাচাৰী,arbitrary
ইচ্ছাকৃত ধ্ৰুৱক,arbitrary constant
ইচ্ছাকৃত উপাদান,arbitrary element
ইচ্ছাকৃত বিন্দু,arbitrary point
আৰ্কিমিডিয়ান আইন,Archemedean law
আৰ্কিমিডিছ নীতি,Archimedes principle
চাপৰ দৈৰ্ঘ্য,arc length
বৃত্তৰ চাপ,arc of circle
চাপ চাইন বিতৰণ,arc sine distribution
চাপ চাইন ৰূপান্তৰ,arc sine transformation
এলাকা,area
এৰিয়াল টেক্সচাৰ,areal texture
জটিল সংখ্যাৰ যুক্তি,argument of complex number
গাণিতিক গড়,arithmetic mean
গাণিতিক কাৰ্য্য,arithmetic operation
গাণিতিক একক,arithmetic unit
ব্যৱস্থা,arrangement
এৰে,array
কৃত্ৰিম উপগ্ৰহ,artificial satellite
কৃত্ৰিম চলক,artificial variable
আৰোহণ কৰা,ascend
আৰোহী,ascending
মাত্ৰাৰ আৰোহী ক্ৰম,ascending order of magnitude
আৰোহী শৃংখলা,ascending series
এছেম্বলাৰ ভাষা,assembler language
নিযুক্তিৰ সমস্যা,assignment problem
সহযোগী আইন,associative law
অপাৰেটৰৰ এছ&#39;চিয়েটিভ ল&#39;,associative law of operators
এছ&#39;চিয়েটিভ অপাৰেচন,associative operation
সহযোগিতা,associativity
ধৰি লোৱা গড়,assumed mean
ধাৰণা কৰা সম্ভাৱনা বিতৰণ,assumed probability distribution
ধাৰণা,assumption
জ্যোতিষ,astrology
মহাকাশ অভিযন্তা,astronautical engineer
জ্যোতিৰ্বিজ্ঞানী,astronomer
জ্যোতিৰ্বিজ্ঞানৰ ঘড়ী,astronomical clock
জ্যোতিৰ্বিজ্ঞান,astronomy
অসমতাপূৰ্ণ বক্ৰ,asymmetrical curve
বিষমতা,asymmetry
asymptote,asymptote
এছিম্পটটিক,asymptotic
asymptotically দক্ষ অনুমানক,asymptotically efficient estimator
asymptotically নিৰপেক্ষ অনুমানক,asymptotically unbiased estimator
asymptotic আচৰণ,asymptotic behavior
এছিম্পটটিক বিতৰণ ফলন,asymptotic distribution function
এছিম্পটটিক প্ৰসাৰণ,asymptotic expansion
বায়ুমণ্ডলীয় চাপ,atmospheric pressure
যাদৃচ্ছিকভাৱে,at random
বৈশিষ্ট্য,attribute
বৈশিষ্ট্যসমূহৰ নমুনা সংগ্ৰহ পদ্ধতি,attributes sampling procedure
বৰ্ধিত মেট্ৰিক্স,augmented matrix
স্ব-সম্বন্ধ সহগ,autocorrelation coefficient
স্বয়ংসম্বন্ধ কাৰ্য্য,autocorrelation function
অটোকোভেৰিয়েন্স,autocovariance
স্বয়ংক্ৰিয় কম্পিউটাৰ,automatic computer
অটোৰিগ্ৰেছন,autoregression
সহায়ক সমীকৰণ,auxiliary equation
গড় নমুনা সংখ্যা বক্ৰ (ASN বক্ৰ),average sample number curve (A.S.N. Curve)
axiom,axiom
স্বতন্ত্ৰীয় পদ্ধতি,axiomatic approach
সম্ভাৱনাৰ স্বতন্ত্ৰতা,axiom of probability
অক্ষ,axis
abscissa ৰ অক্ষ,axis of abscissa
পৃথিৱীৰ অক্ষ,axis of earth
বিপ্লৱৰ অক্ষ,axis of revolution
ঘূৰ্ণনৰ অক্ষ,axis of rotation
স্পিনৰ অক্ষ,axis of spin
বেক-বিকল্প,back-substitution
পিছপৰা পাৰ্থক্য,backward difference
বেকৱাৰ্ড-ইন্টাৰপলেচন সূত্ৰ,backward-interpolation formula
ভাৰসাম্যতা বজাই ৰখা,balance
সুষম ডিজাইন,balanced design
বেলেন্স শ্বীট,balance sheet
বেলিষ্টিক মিছাইল,ballistic missile
বেলিষ্টিকছ,ballistics
বাৰ,bar
ভেঁটি,base
ভিত্তি কোণ,base angle
লগাৰিদমৰ ভিত্তি,base of logarithm
প্ৰাথমিক,basic
মূল সম্ভৱপৰ সমাধান,basic feasible solution
মূল সমাধান,basic solution
মূল চলক,basic variable
ভিত্তিত,basis
ভিত্তি উপাদান,basis element
ভিত্তি মেট্ৰিক্স,basis matrix
এটা ভেক্টৰ স্থানৰ ভিত্তি,basis of a vector space
উপস্থানৰ ভিত্তি,basis of subspace
বেইছিয়ান অনুমান,Bayesian estimate
বেইছৰ নিয়ম,Bayes' law
বেইছৰ উপপাদ্য,Bayes' theorem
বাৰ্নৌলি বিতৰণ,Bernoulli distribution
বাৰ্নৌলি নম্বৰ,Bernoulli number
বাৰ্নৌলি সম্ভাৱনা ফলন,Bernoulli probability function
বাৰ্নৌলিৰ সমীকৰণ,Bernoulli's equation
বেৰী ফাংচন,Berry function
বেষ্ট ফিট,best fit
শ্ৰেষ্ঠ - ফিট লাইন,best - fit line
উত্তম সমাধান,best solution
শ্ৰেষ্ঠ কৌশলসমূহ,best strategies
বিটা বিতৰণ,beta distribution
পক্ষপাত,bias
পক্ষপাতমূলক অনুমান,biased estimate
বিহাৰমনিক সমীকৰণ,biharmonic equation
bijection,bijection
bijective মানচিত্ৰ,bijective map
bijective মেপিং,bijective mapping
দ্বিৰৈখিক ৰূপ,bilinear form
দ্বিৰৈখিক ফলন,bilinear function
দ্বিৰৈখিক হাৰ্মিটিয়ান ৰূপ,bilinear Hermitian form
বাইনাৰী,binary
বাইনাৰী ক&#39;ড,binary code
বাইনাৰী ক&#39;ড কৰা দশমিক,binary coded decimal
বাইনাৰী ক&#39;ডিং,binary coding
বাইনাৰী কম্পিউটাৰ,binary computer
বাইনাৰী অংক,binary digit
বাইনাৰী অপাৰেচন,binary operation
বাইনাৰী ব্যৱস্থা,binary system
বাইনাৰী চলক,binary variable
দ্বিপদ সহগ,binomial coefficient
দ্বিপদ বিতৰণ,binomial distribution
দ্বিপদ সমীকৰণ,binomial equation
দ্বিপদ সম্প্ৰসাৰণ,binomial expansion
দ্বিপদ অভিব্যক্তি,binomial expression
দ্বিপদ ৰেণ্ডম চলক,binomial random variable
দ্বিপদ উপপাদ্য,binomial theorem
দ্বিখণ্ড,bisection
দ্বিখণ্ডন পদ্ধতি,bisection method
দ্বিখণ্ড,bisector
biserial,biserial
বিট,bit
দ্বিচলকীয় দ্বিপদ বিতৰণ,bivariate binomial distribution
দ্বিচলকীয় সম্পৰ্ক সহগ,bivariate correlation coefficient
দ্বিচলকীয় বিতৰণ,bivariate distribution
দ্বিচলকীয় স্বাভাৱিক বিতৰণ,bivariate normal distribution
বাইভেক্টৰ,bivector
বোল্টজমেন সমীকৰণ,Boltzmann equation
বুলিয়ান বীজগণিত,Boolean algebra
Bose - আইনষ্টাইন পৰিসংখ্যা,Bose - Einstein statistics
সীমাৰ অৱস্থা,boundary condition
সীমা স্তৰ,boundary layer
সীমাৰেখা,boundary line
সীমা মূল্য,boundary value
সীমা মূল্যৰ সমস্যা,boundary value problem
সীমাবদ্ধ ফলন,bounded function
সীমাবদ্ধ মেট্ৰিক্স,bounded matrix
সীমাবদ্ধ অঞ্চল,bounded region
সীমাবদ্ধ ছেট,bounded set
ব্ৰাউনিয়ান গতি,Brownian motion
গণনা কৰ,calculate
গণনা কৰা,calculating
গণনা কৰা মেচিন,calculating machine
গণনা কৰা,calculation
গণনামূলক পদ্ধতি,calculational procedure
কেলকুলেটৰ,calculator
কেলকুলাছ,calculus
তাৰতম্যৰ কেলকুলাছ,calculus of variation
কেলৰি,calorie
বাতিল আইন,cancellation law
কেননিক সমীকৰণ,canonical equation
কেননিক ৰূপ,canonical form
কেননিক মেট্ৰিক্স,canonical matrix
কেন্টৰ ছেট,Cantor set
কেণ্টৰৰ ত্ৰিমাত্ৰিক চেট,Cantor's ternary set
ক্ষমতাসম্পন্ন পৰিবহণ সমস্যা,capacitated transportation problem
ক্ষমতা,capacity
কেপিলাৰী বল,capillary force
কাৰ্ডিনেল নম্বৰ,cardinal number
কাৰ্টেছিয়ান অক্ষ,Cartesian axes
কাৰ্টেছিয়ান স্থানাংক,Cartesian coordinates
কাৰ্টেছিয়ান উৎপাদন,Cartesian product
গোটৰ কাৰ্টেছিয়ান উৎপাদক,Cartesian product of sets
কেছ ষ্টডি,case study
বিপৰ্যয়জনক উঠা-নমা,catastrophic fluctuation
কেটেনাৰী,Catenary
কাউচি বিতৰণ,Cauchy distribution
কাউচি সূত্ৰ,Cauchy formula
কৌচি গৌৰছাট উপপাদ্য,Cauchy Goursat theorem
কাউচি ৰিমেন চৰ্ত,Cauchy Riemann conditions
ক&#39;চি ক্ৰম,Cauchy sequence
কৌচি অবিচ্ছেদ্য,Cauchy integral
কাউচি প্ৰধান মূল্য,Cauchy principal value
ক’চি অৱশিষ্ট উপপাদ্য,Cauchy residue theorem
কেলি হেমিল্টন উপপাদ্য,Cayley Hamilton theorem
আকাশী দেহ,celestial body
আকাশী জোখ,celestial measurement
আকাশী যান্ত্ৰিকতা,celestial mechanics
আকাশী বস্তু,celestial object
কোষ কম্পাঙ্ক,cell frequency
লোকপিয়ল,census
চেন্টাইল,centile
চেন্টিমিটাৰ,centimeter
চেণ্টিমিটাৰ গ্ৰাম দ্বিতীয় ব্যৱস্থা,centimeter gram second system
কেন্দ্ৰীয়,central
কেন্দ্ৰীয় অক্ষ,central axis
কেন্দ্ৰীয় পাৰ্থক্য,central difference
কেন্দ্ৰীয় পাৰ্থক্য সূত্ৰ,central difference formula
কেন্দ্ৰীয় পাৰ্থক্য টেবুল,central difference table
কেন্দ্ৰীয় সীমা উপপাদ্য,central limit theorem
কেন্দ্ৰীয় মুহূৰ্ত,central moment
কেন্দ্ৰীয় প্ৰক্ৰিয়াকৰণ একক (CPU),central processing unit (C.P.U)
কেন্দ্ৰীয় প্ৰৱণতা,central tendency
কেন্দ্ৰ,centre
মাধ্যাকৰ্ষণ কেন্দ্ৰ,centre of gravity
গোটৰ কেন্দ্ৰ,centre of group
ভৰৰ কেন্দ্ৰ,centre of mass
প্ৰতিসমতাৰ কেন্দ্ৰ,centre of symmetry
কেন্দ্ৰপৃথক বল,centrifugal force
কেন্দ্ৰিক বল,centripetal force
কেন্দ্ৰবিন্দু,centroid
নিশ্চয়তা,certainty
cgs ব্যৱস্থা,c.g.s. system
cgs ইউনিট,c.g.s. unit
পাৰ্থক্যৰ শৃংখল নিয়ম,chain rule of differentiation
আকস্মিক কাৰণ,chance causes
chance moves,chance moves
অক্ষৰ পৰিৱৰ্তন,change of axes
ভিত্তিৰ পৰিৱৰ্তন,change of basis
ক্ৰম সলনি কৰা,change of order
বৈশিষ্ট্য সহগ,characteristic coefficient
নিৰ্ণায়ক,determinant
বৈশিষ্ট্যপূৰ্ণ সমীকৰণ,characteristic equation
বৈশিষ্ট্যপূৰ্ণ কাৰ্য্য,characteristic function
লগাৰিদমৰ বৈশিষ্ট্য,characteristic of logarithm
বৈশিষ্ট্যপূৰ্ণ বহুপদ,characteristic polynomial
বৈশিষ্ট্যপূৰ্ণ মূল্য,characteristic value
বৈশিষ্ট্যপূৰ্ণ ভেক্টৰ,characteristic vector
আখৰৰ গোট,character set
তালিকা,chart
কাই-স্কেয়াৰ বিতৰণ,chi-square distribution
