Kannada,Malayalam
ಸ್ಥಗಿತಗೊಳಿಸು,ഉപേക്ഷിക്കുക
ಟೈಮರ್ ಅನ್ನು ಸ್ಥಗಿತಗೊಳಿಸಿ,ടൈമർ നിർത്തുക
ಸಂಪೂರ್ಣ ವಿಳಾಸ,കേവല വിലാസം
ಸಂಪೂರ್ಣ ವಿಳಾಸ,കേവല വിലാസം
ಸಂಪೂರ್ಣ ಅಸೆಂಬ್ಲರ್,കേവല അസംബന്ധം
ಸಂಪೂರ್ಣ ಕೋಡ್,കേവല കോഡ്
ಸಂಪೂರ್ಣ ಕೋಡಿಂಗ್,കേവല കോഡിംഗ്
ಸಂಪೂರ್ಣ ಆಜ್ಞೆ,കേവല കമാൻഡ്
ಸಂಪೂರ್ಣ ಸಮನ್ವಯ,കേവല കോർഡിനേറ്റ്
ಸಂಪೂರ್ಣ ಡೇಟಾ,കേവല ഡാറ്റ
ಸಂಪೂರ್ಣ ದೋಷ,കേവല പിശക്
ಸಂಪೂರ್ಣ ಅಭಿವ್ಯಕ್ತಿ,കേവല പദപ്രയോഗം
ಸಂಪೂರ್ಣ ಸೂಚನೆ,കേവല പ്രബോധനം
ಸಂಪೂರ್ಣ ಲೋಡರ್,കേവല ലോഡർ
ಸಂಪೂರ್ಣ ಕ್ರಮ,കേവല ക്രമം
ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್,കേവല പ്രോഗ്രാമിംഗ്
ಸಂಪೂರ್ಣ ಪದ,കേവല പദം
ಸಂಪೂರ್ಣ ಮೌಲ್ಯ,യഥാർത്ഥ മൂല്യം
ಸಂಪೂರ್ಣ ವೆಕ್ಟರ್,കേവല വെക്റ്റർ
ಅಮೂರ್ತ,വേര്പെട്ടുനില്ക്കുന്ന
ಅಮೂರ್ತಗೊಳಿಸುವ,അമൃതിയുള്ള
ಅಮೂರ್ತ ಚಿಹ್ನೆ,അമൂർത്ത ചിഹ്നം
ವೇಗವರ್ಧನೆ ಅವಧಿ,ത്വരിതപ്പെടുത്തൽ കാലയളവ്
ವೇಗವರ್ಧಕ ಸಮಯ,ത്വരണം സമയം
ಉಚ್ಚಾರಣಾ,സരഭാരം
ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ,സ്വീകാര്യത പരിശോധന
