Bengali,Kannada
অবসান,ದಾಟುವುದು
সংক্ষেপণ,ಸಂಕ್ಷಿಪ್ತ ರೂಪ
অপহরণ,ಅಪಹರಣ
অবসান,ನಿರುತ್ಸಾಹಗೊಳಿಸುವಿಕೆ
ক্ষমতা,ಸಾಮರ್ಥ್ಯ
অ্যাব initio,ಎಬಿ ಇನಿಶಿಯೋ
সক্ষম,ಸಮರ್ಥ
অস্বাভাবিক,ಅಸಹಜ
বিলুপ্তি,ನಿರ್ಮೂಲನ
বিলোপ পোস্ট,ರದ್ದುಮಾಡುವಿಕೆ
উপর্যুক্ত,ಮೇಲೆ ತಿಳಿಸಿದ
উপরে উদ্ধৃত,ಮೇಲೆ ಉಲ್ಲೇಖಿಸಲಾಗಿದೆ
উপরে বলেছেন,ಮೇಲೆ ಹೇಳಿದರು
অনুপস্থিতি,ಅನುಪಸ್ಥಿತಿ
অনুপস্থিত,ಗೈರುಹಾಜರಿ
অনুপস্থিতি,ಗೈರುಹಾಜರಿ
অনুপস্থিত বিবৃতি,ಗೈರುಹಾಜರಿ ಹೇಳಿಕೆ
পরম,ಸಂಪೂರ್ಣ
পরম একচেটিয়া,ಸಂಪೂರ್ಣ ಏಕಸ್ವಾಮ್ಯ
পরম মালিকানা,ಸಂಪೂರ್ಣ ಮಾಲೀಕತ್ವ
শোষণ,ಹೀರುವಿಕೆ
বিমূর্ত,ಅಮೂರ್ತ
অ্যাবস্ট্রাক্টস্টেটমেন্ট,ಅಮೂರ್ತತೆ
অযৌক্তিক,ಅಸಂಬದ್ಧ
প্রাচুর্য,ಹೇರಳವಾಗಿರುವುದು
ক্ষমতার অপব্যবহার,ಅಧಿಕಾರದ ದುರುಪಯೋಗ
অবমাননাকর ভাষা,ನಿಂದಕ ಭಾಷೆ
একাডেমিক,ಶೈಕ್ಷಣಿಕ
একাডেমিক আলোচনা,ಶೈಕ್ಷಣಿಕ ಚರ್ಚೆ
একাডেমিক ছুটি,ಶೈಕ್ಷಣಿಕ ರಜೆ
শিক্ষাগত যোগ্যতা,ಶೈಕ್ಷಣಿಕ ಅರ್ಹತೆ
একাডেমিক রেকর্ড,ಶೈಕ್ಷಣಿಕ ದಾಖಲೆ
প্রশংসা,ತಪ್ಪೊಟ್ಟು
গ্রহণ,ಒಪ್ಪಿಕೊಳ್ಳಿ
গ্রহণযোগ্যতা,ಸ್ವೀಕಾರಾರ್ಹತೆ
অফিস গ্রহণ,ಕಚೇರಿಯ ಸ್ವೀಕಾರ
দরপত্র গ্রহণ,ಟೆಂಡರ್ ಸ್ವೀಕಾರ
অ্যাক্সেস,ಪ್ರವೇಶ
প্রবেশ,ಪ್ರವೇಶ
আনুষঙ্গিক,ಪರಿಕರ
দুর্ঘটনা,ಅಪಘಾತ
প্রশংসাপত্র,ಒಗ್ಗೂಡಿಸುವಿಕೆ
থাকার ব্যবস্থা,ಸೌಕರ್ಯ
সহকারী,ಜೊತೆಗಾರ
চুক্তি,ಸ ೦ ಗೀತ
অ্যাকশন,ಪ್ರೇಕ್ಷಕ
তদনুসারে,ಹಾಗೆಯೇ
অ্যাকাউন্ট,ಖಾತೆ
দায়িত্ব,ಹೊಣೆಗಾರಿಕೆ
দায়ী,ಹೊಣೆಗಾರ
হিসাবরক্ষণ,ಹೊಣೆ
হিসাবরক্ষক,ಲೆಕ್ಕಪರಿಶೋಧಕ
কি কারণে,ಇದಕ್ಕೆ ಖಾತೆ
অ্যাকাউন্ট হেড,ಖಾತೆ
অর্জিত সুবিধা,ಸಂಚಿತ ಲಾಭ
পেনশন আদায়,ಸಂಚಿತ ಪಿಂಚಣಿ
জমা,ಸಂಗ್ರಹಣೆ
সঠিকতা,ನಿಖರತೆ
নির্ভুল,ನಿಖರವಾದ
অভিযোগ,ಆರೋಪಿಸು
অভিযুক্ত,ಆರೋಪಿ
অর্জন,ಸಾಧನೆ
স্বীকৃতি,ಸ್ವೀಕೃತಿ
স্বীকৃতি বকেয়া,ಸ್ವೀಕೃತಿ ಕಾರಣ
পরিচিত,ಪರಿಚಯ
