Hindi,English
ऐम्पियर (मात्रक),A (Ampere unit of current)
ऐंगस्ट्रम,A (angstrom)
ए-वर्ग प्रवर्धक,A amplifier
ए.एन रेडियो सहाय,A-N radio range
ए-क्रमवीक्षण प्रस्तुति,A-scan presentation
ए-दर्श,A-scope
ए-स्कोप प्रदर्शन,A-scope display
ए-टी कर्तित क्रिस्टल,A-T Cut crystal
"ए.सी-डी.सी. लाभ, ए. सी-डी. सी लब्धि, ए. सी-डी. सी. प्रवर्धन",A.c-d.c. gain
पूर्वाह्न,A.M. (ante meridiem)
ए.एम.यू. (परमाणु संहति मात्रक),A.m.u. (atomic mass unit)
आर्ड-वार्क*,Aard-vark
ऐब-ऐम्पियर,Ab ampere
ए-बी वर्ग प्रवर्धक,AB amplifier
आदितः,Ab initio
ए-बी शक्ति पिटक,AB power pack
एबीएसी =एलाइनमेंट चार्ट=नोमोग्राफ़,Abac=alignment chart=nomograph
ऐबे संख्या (ऐबे नियतांक),Abbe number (=Abbe constant)
ऐबे अपवर्तनमापी,ABBE refractometer
ऐबे ज्या अवस्था,Abbe sine condition
स्वचालित बायस प्रतिकार,Abc (automatic bias compensation)
ऐबकूलॉम,Abcoulomb
"विपथन, अपेरण",Aberration
विपथन संशोधक लेन्स,Aberration corrector lens
आकाश-विपथन,Aberration of light
एबफैराड,Abfarad
एबहेनरी,Abhenry
ऐबनी प्रभाव (ऐबनी नियम),Abney effect (=Abney law)
अपसामान्य ध्रुवण,Abnormal polarisation
अपसामान्य संचरण,Abnormal propagation
अपसामान्य परावर्तन,Abnormal reflection
अपसामान्य अपवर्तन*,Abnormal refraction
अपसामान्य प्रतिरोध,Abnormal resistance
ऐब-ओम,Abohm
"पूर्वपात, विफलन",Abortion
"असंलग्न, सहसा, खड़ा, विच्छिन्न, खंडित",Abrupt
सहसा जंप,Abrupt jump
भुज*,Abscissa
लुप्त परावर्तन,Absent reflection
लुप्त स्पैक्ट्रम,Absent spectrum
"निरपेक्ष, परम, अचर, परिशुद्ध",Absolute
निरपेक्ष त्वरण,Absolute acceleration
निरपेक्ष यथार्थता,Absolute accuracy
निरपेक्ष पता,Absolute address-specific address
भूसापेक्ष तुंगतामापी,Absolute altimeter
भूसापेक्ष तुंगता,Absolute altitude
निरपेक्ष ऐम्पियर,Absolute ampere
परम क्वथनांक,Absolute boilling point
निरपेक्ष तेजमापीय दीप्ति,Absolute bolometric luminosity
निरपेक्ष धारिता,Absolute capacity
निरपेक्ष ऊँचाई,Absolute ceiling
निरपेक्ष वर्णाक,Absolute colour index
"निरपेक्ष विन्यास, असंदिग्ध विन्यास",Absolute configuration
निरपेक्ष कूलॉम,Absolute coulomb
पूर्ण अंधकार,Absolute darkness
निरपेक्ष कालनिर्धारण,Absolute dating
निरपेक्ष घनत्व*,Absolute density
निरपेक्ष अपवहन,Absolute drift
निरपेक्ष इ.एम.यू. (विद्युत् चुबंकीय मात्रक),Absolute e.m.u.
निरपेक्ष इ.एस.यू. (स्थिर विद्युत् मात्रक),Absolute e.s.u.
निरपेक्ष दक्षता,Absolute efficiency
निरपेक्ष विद्युतमापी,Absolute electrometer
"निरपेक्ष बारंबारता, निरपेक्ष आवृत्ति",Absolute frequency
निरपेक्ष आर्द्रता,Absolute humidity
निरपेक्ष आपतन,Absolute incidence
निरपेक्ष अपवर्तनांक,Absolute index of refraction
निरपेक्ष अस्‍थायित्व,Absolute instability
निरपेक्ष अस्‍थायित्व,Absolute intensity
"निरपेक्ष तीव्रता, निरपेक्ष उग्रता",Absolute length
शैथिल्य की निरपेक्ष सीमा,Absolute limit of hysteresis
निरपेक्ष ज्योतिर्मयता देहली,Absolute luminance threshold
निरपेक्ष ज्योति वक्र,Absolute luminosity curve
निरपेक्ष कांतिमान,Absolute magnitude
निरपेक्ष दाबांतरमापी,Absolute manometer
परम उच्चिष्ठ,Absolute maximum
निरपेक्ष चरम सीमांक,Absolute maximum rating
परम निम्निष्ठ,Absolute minimum
निरपेक्ष संवेग,Absolute momentum
निरपेक्ष गति,Absolute motion
निरपेक्ष संगीत,Absolute music=pure music
निरपेक्ष प्रेक्षण,Absolute observation
निरपेक्ष ओम,Absolute ohm
निरपेक्ष दिगविन्यास,Absolute orientation
निरपेक्ष विद्युत्-शीलता,Absolute permittivity
निरपेक्ष तारत्व,Absolute pitch
निरपेक्ष दाब,Absolute pressure = true pressure
निरपेक्ष गुणधर्म,Absolute property
निरपेक्ष अदिश,Absolute scalar
ताप का परम मापक्रम*,Absolute scale of temperature
"निरपेक्ष युगपत्ता, निरपेक्ष समकालिकता",Absolute simultancity
निरपेक्ष प्रतिबल,Absolute stress
निरपेक्ष सममिति,Absolute symmetry
निरपेक्ष गति-निकाय,Absolute system of motion
निरपेक्ष मात्रक पद्धति,Absolute system of units
परम ताप,Absolute temperature
निरपेक्ष काल,Absolute time
निरपेक्ष मात्रक,Absolute unit
निरपेक्ष मान,Absolute value
पूर्णाक अभिकलित्र,Absolute value computer
निरपेक्ष वेग,Absolute velocity
निरपेक्ष श्यानता,Absolute viscosity
निरपेक्ष भार,Absolute weight
परम शून्य*,Absolute zero
शून्य का निरपेक्ष भाजक,Absolute zero devisor
अवशोषण करना,Absorb
अवशोषणांक*,Absorbance
अवशोषित ऊर्जा,Absorbed energy
"अवशोषक, अवशोषी",Absorber
अवशोषी माध्यम*,Absorbing medium
अवशोषण सामर्थ्य,Absorbing power
अवशोषणांश,Absorptance
अवशोषणमापी*,Absorptiometer
अवशोषणामिति*,Absorptiometry
अवशोषण,Absorption
अवशोषण - बैन्ड*,Absorption band
अवशोषण परिपथ,Absorption circuit
अवशोषण-गुणांक,Absorption coeffieient
अवशोषण-स्तम्भ,Absorption column
अवशोषण-स्थिरांक,Absorption constant
अवशोषण सांतत्यक,Absorption continua
अवशोषण-परिक्षेत्र,Absorption cross section
अवशोषण-धारा,Absorption current
अवशोषण वक्र*,Absorption curve (=transmission curve)
अवशोषण भंग,Absorption discontinuity
अवशोषण कोर,Absorption edge
अवशोषण गुणक,Absorption factor
अवशोषण फिल्टर,Absorption filter
अवशोषण ज्वाला प्रकाशमिति*,Absorption flame photometry
अवशोषण आर्द्रतामापी,Absorption hygrometer
अवशोषण घातांक,Absorption index
अवशोषण सीमांत,Absorption limit
अवशोषण रेखा,Absorption line
अवशोषणजन्य हानि,Absorption loss
अवशोषण माडुलन,Absorption modulation=loss modulation
प्रकाश अवशोषण,Absorption of light
विकिरण ऊर्जा का अवशोषण,Absorption of radiant energy
अवशोषण शिखर,Absorption peak
अवशोषण प्रकाशमिति,Absorption photometry
अवशोषण अनुपात,Absorption ratio
अवशोषण श्रेणी*,Absorption series
अवशोषण स्पेक्ट्रम प्रकाशमिति*,Absorption spectro photometry
अवशोषण स्पेक्ट्रम*,Absorption spectrum
"अवशोषण नली, अवशोषण नाल",Absorption tube
अवशोषण तरगमापी,Absorption vavemeter
अवशोषी*,Absorptive
अवशोषी क्षीणकारी,Absorptive attenuator
अवशोषण नियम*,Absorptive law
अवशोषण माध्यम,Absorptive medium
"अवशोषण क्षमता, अवशोषकता*",Absorptive power
अवशोषकता*,Absorptivity
स्टूडिओ सज्जा,Abstract set=studio decoration
बाहुल्य अनुपात,Abundance ratio
ऐबवोल्ट,Abvolt
ऐबवाट,Abwatt
त्वरित करना,Accelerate
त्वरण-विराम दूरी,Accelerate-stop distance
त्वरित,Accelerated
त्वरित कालप्रभावन परीक्षण,Accelerated ageing test
त्वरित प्रवाह,Accelerated flow
त्वरित गति,Accelerated motion
त्वरित निकाय,Accelerated system
त्वरक तुला,Accelerating balance
त्वरक इलैक्ट्रोड*,Accelerating electrode
त्वरक काल*,Accelerating period
त्वरक प्रावस्था,Accelerating phase
त्वरक दर,Accelerating rate
त्वरक वोल्टता*,Accelerating voltage
त्वरण,Acceleration
त्वरणिक अपदहन,Acceleration blowout=rich extinction=flame out
त्वरण गुणांक,Acceleration coefficient
त्वरण घटक,Acceleration component
गुरूत्वीय त्वरण,Acceleration due to gravity
त्वरण गुणक,Acceleration factor
त्वरणिक प्रतिभरण,Acceleration feedback
गुरूत्व त्वरण,Acceleration of gravity
त्वरण विभव,Acceleration potential
त्वरण-नियम,Acceleration principle
त्वरण-प्रक्रम,Acceleration process
त्वरण प्रेदश,Acceleration space
त्वरण प्रविधी,Acceleration technique
"त्वरण सहिष्णुता, त्वरण सहनसीमा",Acceleration tolerance
त्वरण-सदिश,Acceleration vector
त्वरण-वोल्टता,Acceleration voltage
त्वरण तरंग,Acceleration wave
त्वरक,Accelerative
"त्वरित्र, त्वरक*",Accelerator
त्वरक समीकरण,Accelerator equation
त्वरणलेखी*,Accelerograph
त्वरणमापी,Accelerometer
त्वरणमापीय सुमेलन,Accelerometer matching
प्राक्प्रबलक,Accentuator
मान्य वर्ण,Acceptable character
स्वीकरण-कोण,Acceptance angle
स्वीकरण-विनिर्देश,Acceptance specifications
स्वीकारी परीक्षण,Acceptance test
"ग्राही*, स्वीकारी",Acceptor
ग्राही परमाणु,Acceptor atom
ग्राही आबंध,Acceptor bond
ग्राही परिपथ,Acceptor circuit
ग्राही स्तर,Acceptor level
आदाता अणु,Acceptor molecule
ग्राही गुणधर्म,Acceptor property
ग्राही गुणधर्म तल,Acceptor property level
त्वरक नली,Accererating tube
"अभिगम, प्रतीक्षा, अभिगम्यता",Access
अभिगम भुज,Access arm
