Bengali,Odiya
গর্ভপাত,ପରିତ୍ୟାଗ
গর্ভপাত টাইমার,ଟାଇମର୍ ପରିତ୍ୟାଗ କରନ୍ତୁ |
পরম ঠিকানা,ସଂପୂର୍ଣ୍ଣ ଠିକଣା
পরম ঠিকানা,ସଂପୂର୍ଣ୍ଣ ଠିକଣା
পরম এসেম্বলার,ସଂପୂର୍ଣ୍ଣ ଏକତ୍ରିତ ବ୍ୟକ୍ତି |
পরম কোড,ସଂପୂର୍ଣ୍ଣ କୋଡ୍
পরম কোডিং,ସଂପୂର୍ଣ୍ଣ କୋଡିଂ |
পরম কমান্ড,ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ
পরম সমন্বয়,ସଂପୂର୍ଣ୍ଣ ସଂଯୋଜନା |
পরম ডেটা,ସଂପୂର୍ଣ୍ଣ ତଥ୍ୟ |
পরম ত্রুটি,ସଂପୂର୍ଣ୍ଣ ତ୍ରୁଟି |
পরম অভিব্যক্তি,ସଂପୂର୍ଣ୍ଣ ଅଭିବ୍ୟକ୍ତି |
পরম নির্দেশ,ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶନାମା
পরম লোডার,ସଂପୂର୍ଣ୍ଣ ଲୋଡର୍ |
পরম আদেশ,ସଂପୂର୍ଣ୍ଣ କ୍ରମ
পরম প্রোগ্রামিং,ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ |
পরম শব্দ,ସଂପୂର୍ଣ୍ଣ ଶବ୍ଦ
পরম মান,ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ
পরম ভেক্টর,ସଂପୂର୍ଣ୍ଣ ଭେକ୍ଟର |
বিমূর্ত,ବିସ୍ତୃତ
বিমূর্ত,ବିସ୍ତୃତ
বিমূর্ত প্রতীক,ବିସ୍ତୃତ ପ୍ରତୀକ |
ত্বরণ সময়কাল,ତ୍ୱରଣ ସମୟ
ত্বরণের সময়,ତ୍ୱରାନପୂର୍ଣ୍ଣ ସମୟ |
অ্যাকসেন্ট,ଉଚ୍ଚାରଣ
স্বীকৃতি পরীক্ষা,ଗ୍ରହଣ ପରୀକ୍ଷା
