Gujarati,Punjabi
"1.એબેકસ, 2. ગણતરી","1. ਅਬੈਕਸ, 2. ਗਿਣਤੀ"
અસામાન્ય અંત,ਅਸਧਾਰਨ ਅੰਤ
ઇન્ટરસેપ્ટ,ਰੁਕਾਵਟ
"1. સંપૂર્ણ, 2. સર્વોચ્ચ","1. ਸੰਪੂਰਨ, 2. ਸੁਪਰੀਮ"
સંપૂર્ણ સરનામું,ਪੂਰਾ ਪਤਾ
સંપૂર્ણ સંબોધનક્ષમતા,ਸੰਪੂਰਨ ਪਤਾਯੋਗਤਾ
સંપૂર્ણ એસેમ્બલર,ਪੂਰਨ ਅਸੈਂਬਲਰ
"1. સંપૂર્ણ કોડ, 2. સંપૂર્ણ કોડ","1. ਸੰਪੂਰਨ ਕੋਡ, 2. ਪੂਰਨ ਕੋਡ"
સંપૂર્ણ આદેશ,ਪੂਰਨ ਹੁਕਮ
"1. સંપૂર્ણ આંકડા, 2. સંપૂર્ણ ડેટા","1. ਸੰਪੂਰਨ ਅੰਕੜੇ, 2. ਪੂਰਨ ਡਾਟਾ"
સંપૂર્ણ સૂચના,ਪੂਰਨ ਹਦਾਇਤ
સંપૂર્ણ મોડ,ਪੂਰਨ ਮੋਡ
સંપૂર્ણ માર્ગ,ਪੂਰਨ ਮਾਰਗ
"1. સંપૂર્ણ પ્રોગ્રામિંગ, 2. સંપૂર્ણ પ્રોગ્રામિંગ","1. ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ, 2. ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ"
અમૂર્ત વર્ગ,ਐਬਸਟਰੈਕਟ ਕਲਾਸ
અમૂર્ત ડેટા પ્રકાર,ਸੰਖੇਪ ਡਾਟਾ ਕਿਸਮ
અમૂર્ત મશીન,ਐਬਸਟਰੈਕਟ ਮਸ਼ੀਨ
અમૂર્ત પ્રતીક,ਸੰਖੇਪ ਚਿੰਨ੍ਹ
અમૂર્ત વાક્યરચના,ਸੰਖੇਪ ਸੰਟੈਕਸ
સ્વીકૃતિ કસોટી,ਸਵੀਕ੍ਰਿਤੀ ਟੈਸਟ
પ્રવેશ પ્રમાણપત્ર,ਪਹੁੰਚ ਪ੍ਰਮਾਣੀਕਰਣ
"1. એક્સેસ કોડ, 2. ઍક્સેસ કોડ","1. ਪਹੁੰਚ ਕੋਡ, 2. ਐਕਸੈਸ ਕੋਡ"
વપરાશ નિયંત્રણ,ਪਹੁੰਚ ਕੰਟਰੋਲ
ઍક્સેસ સ્કેનિંગ,ਐਕਸੈਸ ਸਕੈਨਿੰਗ
એસેસરીઝ,ਸਹਾਇਕ ਉਪਕਰਣ
નામું,ਲੇਖਾਕਾਰੀ
"1. એકાઉન્ટ ID, 2. એકાઉન્ટિંગ ઓળખ","1. ਖਾਤਾ ID, 2. ਲੇਖਾ ਪਛਾਣ"
સંચયક,ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ
"1. ચોકસાઈ, 2. ચોકસાઈ","1. ਸ਼ੁੱਧਤਾ, 2. ਸ਼ੁੱਧਤਾ"
ઍક્સેસ,ਪਹੁੰਚ
એક્સેસ કંટ્રોલ બાઇટ્સ,ਪਹੁੰਚ ਕੰਟਰੋਲ ਬਾਈਟ
ઍક્સેસ સૂચક,ਪਹੁੰਚ ਸੂਚਕ
ઍક્સેસ કી,ਪਹੁੰਚ ਕੁੰਜੀ
"1. એક્સેસ મેટ્રિક્સ, 2. એક્સેસ મેટ્રિક્સ","1. ਪਹੁੰਚ ਮੈਟਰਿਕਸ, 2. ਪਹੁੰਚ ਮੈਟਰਿਕਸ"
ઍક્સેસ મોડ,ਪਹੁੰਚ ਮੋਡ
ઍક્સેસ વિશેષાધિકારો,ਪਹੁੰਚ ਅਧਿਕਾਰ
ઍક્સેસ સુરક્ષા,ਪਹੁੰਚ ਸੁਰੱਖਿਆ
"1. એક્સેસ સર્વર, 2. સર્વર ઍક્સેસ કરો","1. ਐਕਸੈਸ ਸਰਵਰ, 2. ਸਰਵਰ ਤੱਕ ਪਹੁੰਚ"
ઍક્સેસ સમય,ਪਹੁੰਚ ਦਾ ਸਮਾਂ
સ્વીકૃતિ,ਮਾਨਤਾ
ધ્વનિશાસ્ત્ર,ਧੁਨੀ ਵਿਗਿਆਨ
"1. ટૂંકાક્ષર, 2. સંક્ષેપ, 3. થી ટૂંકું","1. ਸੰਖੇਪ ਰੂਪ, 2. ਸੰਖੇਪ, 3. ਤੋਂ ਛੋਟਾ"
ક્રિયા સંદેશ,ਕਾਰਵਾਈ ਸੁਨੇਹਾ
સક્રિયકરણ,ਸਰਗਰਮੀ
સક્રિય સર્વર પૃષ્ઠ,ਸਰਗਰਮ ਸਰਵਰ ਪੰਨਾ
સક્રિય સંસ્કરણ,ਕਿਰਿਆਸ਼ੀਲ ਸੰਸਕਰਣ
એસાયક્લિક,acyclic
"1. એસાયક્લિક ગ્રાફ, 2. એસાયક્લિક ગ્રાફ","1. ਏਸਾਈਕਲਿਕ ਗ੍ਰਾਫ਼, 2. acyclic ਗ੍ਰਾਫ਼"
અદા કોમ્પ્યુટર ભાષા,ਅਦਾ ਕੰਪਿਊਟਰ ਭਾਸ਼ਾ
"1. ઑપ્ટિમાઇઝર, 2. ઑપ્ટિમાઇઝર","1. ਆਪਟੀਮਾਈਜ਼ਰ, 2. ਆਪਟੀਮਾਈਜ਼ਰ"
સરવાળે),ਜੋੜ)
સરવાળો ફાઇલ,sum ਫਾਈਲ
"1. એડિશન ઓપરેશન, 2. સરવાળો કામગીરી","1. ਐਡੀਸ਼ਨ ਓਪਰੇਸ਼ਨ, 2. ਸੰਯੁਕਤ ਕਾਰਵਾਈ"
ઉમેરનાર,ਜੋੜਨ ਵਾਲਾ
જાણો,ਜਾਣੋ
સરનામું બસ,ਪਤਾ ਬੱਸ
સરનામું ફાઇલ,ਐਡਰੈੱਸ ਫਾਈਲ
સરનામું ફોર્મેટ,ਪਤਾ ਫਾਰਮੈਟ
સરનામું જનરેટર,ਪਤਾ ਜਨਰੇਟਰ
એડ્રેસ લાઇન,ਐਡਰੈੱਸ ਲਾਈਨ
સરનામું મેપિંગ,ਪਤਾ ਮੈਪਿੰਗ
સરનામું સૂચક,ਪਤਾ ਸੂਚਕ
સરનામું રજીસ્ટર,ਪਤਾ ਰਜਿਸਟਰ
સરનામું ભંગાણ,ਪਤਾ ਟੁੱਟਣ
સરનામા અનુવાદ,ਪਤਾ ਅਨੁਵਾਦ
"1. એડ્રેસેબલ મેમરી, 2. એડ્રેસેબલ મેમરી","1. ਪਤਾ ਕਰਨ ਯੋਗ ਮੈਮੋਰੀ, 2. ਪਤਾ ਕਰਨ ਯੋਗ ਮੈਮੋਰੀ"
સંબોધન,ਸੰਬੋਧਨ ਕਰਦੇ ਹੋਏ
"1. પર્યાપ્તતા માપદંડ, 2. પર્યાપ્તતા માપદંડ","1. ਪੂਰਤੀ ਮਾਪਦੰਡ, 2. ਅਨੁਕੂਲਤਾ ਮਾਪਦੰਡ"
જોડાણ,ਲਗਾਵ
"1. મેનેજમેન્ટ, 2. નિયંત્રણ","1. ਪ੍ਰਬੰਧਨ, 2. ਕੰਟਰੋਲ"
"1. મેનેજર, 2. નિયંત્રક","1. ਮੈਨੇਜਰ, 2. ਕੰਟਰੋਲਰ"
એડોબ એક્રોબેટ,ਅਡੋਬ ਐਕਰੋਬੈਟ
એડોબ ફોટોશોપ,ਅਡੋਬ ਫੋਟੋਸ਼ਾਪ
ABAP (એડવાન્સ્ડ બિઝનેસ પ્રોગ્રામિંગ),ABAP (ਐਡਵਾਂਸਡ ਬਿਜ਼ਨਸ ਪ੍ਰੋਗਰਾਮਿੰਗ)
"1. અદ્યતન ડેટા, 2. અદ્યતન ડેટા","1. ਐਡਵਾਂਸਡ ਡੇਟਾ, 2. ਤਕਨੀਕੀ ਡਾਟਾ"
અદ્યતન માહિતી સિસ્ટમ,ਤਕਨੀਕੀ ਜਾਣਕਾਰੀ ਸਿਸਟਮ
એડવાન્સ ટેકનોલોજી (AT),ਐਡਵਾਂਸਡ ਟੈਕਨਾਲੋਜੀ (ਏ.ਟੀ.)
ક્રિયા,ਕਾਰਵਾਈ
એકત્રીકરણ,ਏਕੀਕਰਨ
એરબોર્ન કમ્પ્યુટર સિસ્ટમ,ਏਅਰਬੋਰਨ ਕੰਪਿਊਟਰ ਸਿਸਟਮ
aldus પૃષ્ઠ બનાવવું,aldus page-make
ચેતવણી બોક્સ,ਚੇਤਾਵਨੀ ਬਾਕਸ
અલ્ગોલ (કોમ્પ્યુટર ભાષા),ਐਲਗੋਲ (ਕੰਪਿਊਟਰ ਭਾਸ਼ਾ)
"1. અલ્ગોરિધમ , 2. અલ્ગોરિધમ","1. ਐਲਗੋਰਿਦਮ, 2. ਐਲਗੋਰਿਦਮ"
"1. અલ્ગોરિધમ વિશ્લેષણ, 2. અલ્ગોરિધમ વિશ્લેષણ","1. ਐਲਗੋਰਿਦਮ ਵਿਸ਼ਲੇਸ਼ਣ, 2. ਐਲਗੋਰਿਦਮ ਵਿਸ਼ਲੇਸ਼ਣ"
અલ્ગોરિધમ કાર્યક્ષમતા,ਐਲਗੋਰਿਦਮ ਕੁਸ਼ਲਤਾ
"1. ઈલિયાસ, 2. ઉપનામ, 3. ઉર્ફે","1. ਏਲੀਯਾਸ, 2. ਉਪਨਾਮ, 3. ਉਰਫ"
ગોઠવણી,ਅਲਾਈਨਮੈਂਟ
"1. ફાળવણી, 2. ફાળવણી","1. ਵੰਡ, 2. ਵੰਡ"
"1. આલ્ફાબેટીક, 2. મૂળાક્ષરોનો ક્રમ","1. ਵਰਣਮਾਲਾ, 2. ਵਰਣਮਾਲਾ ਕ੍ਰਮ"
આલ્ફાન્યૂમેરિક,ਅੱਖਰ ਅੰਕੀ
"1. આલ્ફાન્યૂમેરિક કીબોર્ડ ,2. આલ્ફાન્યૂમેરિક કીબોર્ડ","1. ਅਲਫਾਨਿਊਮੇਰਿਕ ਕੀਬੋਰਡ, 2. ਅੱਖਰ ਅੰਕੀ ਕੀਬੋਰਡ"
આલ્ફા-પરીક્ષણ (પ્રથમ સ્તર પરીક્ષણ),ਅਲਫ਼ਾ-ਟੈਸਟਿੰਗ (ਪਹਿਲਾ ਪੱਧਰ ਦਾ ਟੈਸਟ)
"1. આલ્ફા સંસ્કરણ, 2. આલ્ફા ફોર્મ","1. ਅਲਫ਼ਾ ਸੰਸਕਰਣ, 2. ਅਲਫ਼ਾ ਫਾਰਮ"
alt કી,alt ਕੁੰਜੀ
અલ્ટાવિસ્ટા,altavista
બહુવિધતા,ਬਹੁਲਤਾ
અસ્પષ્ટ વ્યાકરણ,ਅਸਪਸ਼ਟ ਵਿਆਕਰਣ
અમેરિકન નેશનલ સ્ટેન્ડીઝ ઇન્સ્ટિટ્યુટ (ANSI),ਅਮਰੀਕਨ ਨੈਸ਼ਨਲ ਸਟੈਂਡੀਜ਼ ਇੰਸਟੀਚਿਊਟ (ANSI)
અમેરિકન સ્ટાન્ડર્ડ કટ (ascii),ਅਮਰੀਕਨ ਸਟੈਂਡਰਡ ਕੱਟ (ascii)
"1. અનુરૂપ, 2. એનાલોગ","1. ਸਮਾਨ, 2. ਐਨਾਲਾਗ"
"1. એનાલોગ કોમ્પ્યુટર, 2. એનાલોગ કોમ્પ્યુટર","1. ਐਨਾਲਾਗ ਕੰਪਿਊਟਰ, 2. ਐਨਾਲਾਗ ਕੰਪਿਊਟਰ"
"1. એનાલોગ ઉપકરણ, 2. એનાલોગ ઉપકરણ","1. ਐਨਾਲਾਗ ਯੰਤਰ, 2. ਐਨਾਲਾਗ ਜੰਤਰ"
"1. એનાલોગ મોડેમ, 2. એનાલોગ મોડેમ","1. ਐਨਾਲਾਗ ਮਾਡਮ, 2. ਐਨਾਲਾਗ ਮਾਡਮ"
ડિજિટલ કન્વર્ટર માટે એનાલોગ,ਐਨਾਲਾਗ ਤੋਂ ਡਿਜੀਟਲ ਕਨਵਰਟਰ
અંત (ડિજિટલ/પ્લેન લોજિક &#39;અને&#39; વપરાયેલ),ਅੰਤ (ਡਿਜੀਟਲ/ਪਲੇਨ ਤਰਕ &#39;ਅਤੇ&#39; ਵਰਤਿਆ ਗਿਆ)
અંતિમ સર્કિટ,ਅੰਤ ਸਰਕਟ
અંતિમ દરવાજો અને દરવાજો,ਅੰਤ ਗੇਟ ਅਤੇ ਗੇਟ
એન્ડ નોટ ઓપરેશન (બાકાત),ਅੰਤ ਨਹੀਂ ਓਪਰੇਸ਼ਨ (ਬੇਹੱਦ)
"1. એનિમેશન, 2. કંપન","1. ਐਨੀਮੇਸ਼ਨ, 2. ਵਾਈਬ੍ਰੇਸ਼ਨ"
નૉૅધ,ਨੋਟ
અસંગતતા,ਅਸੰਗਤਤਾ
અગાઉના,ਪਿਛਲਾ
