Marathi,Kannada
"1.अॅबॅकस, 2. मोजणी","1.ಅಬ್ಯಾಕಸ್, 2. ಎಣಿಕೆ"
असामान्य शेवट,ಅಸಹಜ ಅಂತ್ಯ
इंटरसेप्ट,ತಡೆಹಿಡಿಯಿರಿ
"1. निरपेक्ष, 2. सर्वोच्च","1. ಸಂಪೂರ್ಣ, 2. ಸುಪ್ರೀಂ"
परिपूर्ण पत्ता,ಸಂಪೂರ್ಣ ವಿಳಾಸ
परिपूर्ण पत्ता योग्यता,ಸಂಪೂರ್ಣ ವಿಳಾಸ ಸಾಮರ್ಥ್ಯ
परिपूर्ण असेंबलर,ಸಂಪೂರ್ಣ ಅಸೆಂಬ್ಲರ್
"1. संपूर्ण कोड, 2. परिपूर्ण कोड","1. ಸಂಪೂರ್ಣ ಕೋಡ್, 2. ಸಂಪೂರ್ಣ ಕೋಡ್"
निरपेक्ष आज्ञा,ಸಂಪೂರ್ಣ ಆಜ್ಞೆ
"1. परिपूर्ण आकडे, 2. परिपूर्ण डेटा","1. ಸಂಪೂರ್ಣ ಅಂಕಿಅಂಶಗಳು, 2. ಸಂಪೂರ್ಣ ಡೇಟಾ"
परिपूर्ण सूचना,ಸಂಪೂರ್ಣ ಸೂಚನೆ
परिपूर्ण मोड,ಸಂಪೂರ್ಣ ಮೋಡ್
परिपूर्ण मार्ग,ಸಂಪೂರ್ಣ ಮಾರ್ಗ
"1. परिपूर्ण प्रोग्रामिंग, 2. परिपूर्ण प्रोग्रामिंग","1. ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್, 2. ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್"
अमूर्त वर्ग,ಅಮೂರ್ತ ವರ್ಗ
अमूर्त डेटा प्रकार,ಅಮೂರ್ತ ಡೇಟಾ ಪ್ರಕಾರ
अमूर्त मशीन,ಅಮೂರ್ತ ಯಂತ್ರ
अमूर्त चिन्ह,ಅಮೂರ್ತ ಚಿಹ್ನೆ
अमूर्त वाक्यरचना,ಅಮೂರ್ತ ಸಿಂಟ್ಯಾಕ್ಸ್
स्वीकृती चाचणी,ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ
प्रवेश प्रमाणपत्र,ಪ್ರವೇಶ ಪ್ರಮಾಣೀಕರಣ
"1. प्रवेश कोड, 2. प्रवेश कोड","1. ಪ್ರವೇಶ ಕೋಡ್, 2. ಪ್ರವೇಶ ಕೋಡ್"
प्रवेश नियंत्रण,ಪ್ರವೇಶ ನಿಯಂತ್ರಣ
प्रवेश स्कॅनिंग,ಪ್ರವೇಶ ಸ್ಕ್ಯಾನಿಂಗ್
उपकरणे,ಬಿಡಿಭಾಗಗಳು
लेखा,ಲೆಕ್ಕಪತ್ರ
"1. खाते आयडी, 2. लेखा ओळख","1. ಖಾತೆ ಐಡಿ, 2. ಲೆಕ್ಕಪತ್ರ ಗುರುತಿಸುವಿಕೆ"
संचयक,ಸಂಚಯಕ
"1. अचूकता, 2. अचूकता","1. ನಿಖರತೆ, 2. ನಿಖರತೆ"
प्रवेश,ಪ್ರವೇಶ
प्रवेश नियंत्रण बाइट्स,ಪ್ರವೇಶ ನಿಯಂತ್ರಣ ಬೈಟ್‌ಗಳು
प्रवेश सूचक,ಪ್ರವೇಶ ಸೂಚಕ
प्रवेश की,ಪ್ರವೇಶ ಕೀ
"1. प्रवेश मॅट्रिक्स, 2. प्रवेश मॅट्रिक्स","1. ಪ್ರವೇಶ ಮ್ಯಾಟ್ರಿಕ್ಸ್, 2. ಪ್ರವೇಶ ಮ್ಯಾಟ್ರಿಕ್ಸ್"
प्रवेश मोड,ಪ್ರವೇಶ ಮೋಡ್
प्रवेश विशेषाधिकार,ಪ್ರವೇಶ ಸವಲತ್ತುಗಳು
प्रवेश सुरक्षा,ಪ್ರವೇಶ ಭದ್ರತೆ
"1. ऍक्सेस सर्व्हर, 2. प्रवेश सर्व्हर","1. ಪ್ರವೇಶ ಸರ್ವರ್, 2. ಪ್ರವೇಶ ಸರ್ವರ್"
प्रवेश वेळ,ಪ್ರವೇಶ ಸಮಯ
पोचपावती,ಸ್ವೀಕೃತಿ
ध्वनीशास्त्र,ಅಕೌಸ್ಟಿಕ್ಸ್
"1. संक्षेप, 2. संक्षेप, 3. पासून लहान","1. ಸಂಕ್ಷಿಪ್ತ ರೂಪ, 2. ಸಂಕ್ಷೇಪಣ, 3. ನಿಂದ ಚಿಕ್ಕದಾಗಿದೆ"
क्रिया संदेश,ಕ್ರಿಯೆಯ ಸಂದೇಶ
सक्रियकरण,ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ
सक्रिय सर्व्हर पृष्ठ,ಸಕ್ರಿಯ ಸರ್ವರ್ ಪುಟ
सक्रिय आवृत्ती,ಸಕ್ರಿಯ ಆವೃತ್ತಿ
अॅसायक्लिक,ಅಸೈಕ್ಲಿಕ್
"1. अॅसायक्लिक आलेख, 2. अॅसायक्लिक आलेख","1. ಅಸಿಕ್ಲಿಕ್ ಗ್ರಾಫ್, 2. ಅಸಿಕ್ಲಿಕ್ ಗ್ರಾಫ್"
अडा संगणक भाषा,ಅದಾ ಕಂಪ್ಯೂಟರ್ ಭಾಷೆ
"1. ऑप्टिमायझर, 2. अनुकूलक","1. ಆಪ್ಟಿಮೈಜರ್, 2. ಆಪ್ಟಿಮೈಜರ್"
बेरीज करण्यासाठी),ಒಟ್ಟು)
बेरीज फाइल,ಮೊತ್ತದ ಕಡತ
"1. अॅडिशन ऑपरेशन, 2. बेरीज ऑपरेशन","1. ಸೇರ್ಪಡೆ ಕಾರ್ಯಾಚರಣೆ, 2. ಮೊತ್ತದ ಕಾರ್ಯಾಚರಣೆ"
जोडणारा,ಸೇರಿಸುವವನು
जाणून घ्या,ಗೊತ್ತು
पत्ता बस,ವಿಳಾಸ ಬಸ್
पत्ता फाइल,ವಿಳಾಸ ಫೈಲ್
पत्त्याचे स्वरूप,ವಿಳಾಸ ಸ್ವರೂಪ
पत्ता जनरेटर,ವಿಳಾಸ ಜನರೇಟರ್
पत्ता ओळ,ವಿಳಾಸ ಸಾಲು
