Bengali,Assamese
অ্যাবায়োটিক প্রজনন,অজৈৱিক প্ৰজনন
প্যারানরমাল,অস্বাভাৱিক
1. চতুর্থ পেট 2. Evomasome,১/ চতুৰ্থ পেট ২) ইভ’মাজম
স্টোমাটাল বৃদ্ধি অঙ্গ,ষ্টোমেটাল বৃদ্ধিৰ অংগ
স্তব্ধ বৃদ্ধি বীজ,স্তব্ধ বৃদ্ধিৰ বীজ
1. গর্ভপাত 2. গর্ভপাত 3. বৃদ্ধি প্রতিরোধ,১/ গৰ্ভপাত ২/ গৰ্ভপাত ৩/ বৃদ্ধি প্ৰতিৰোধ ক্ষমতা
1. অবাঞ্ছিত আগাছা 2. সম্পূর্ণ আগাছা,১/ অবাঞ্চিত অপতৃণ ২/ সম্পূৰ্ণ অপতৃণ
শোষিত ক্যাটান,শোষিত কেটিয়ন
শোষণ,শোষণ
আবিসিনিয়ান সরিষা,এবিচিনিয়ান সৰিয়হ
1. অ্যাক্যারিসাইড,১.একেৰিচাইড
কেন্দ্রমুখী,centripetal
পরিবর্ধন (কোষ),বৃদ্ধি (কোষ)
অনুমোদিত সহনশীলতা,অনুমোদিত সহনশীলতা
1.অতিরিক্ত 2.আনুষঙ্গিক 3.আনুষঙ্গিক,1.অতিৰিক্ত 2. আনুষংগিক 3. আনুষংগিক
অভিযোজন,অভিযোজন
সঞ্চয়,সঞ্চয়
1. শূন্যতা 2. নির্ভুলতা,1.vaccuracy 2. নিখুঁততা
1. অ্যাসারভাউলাস 2. স্পোরোফাইট,১.এচাৰভুলাছ ২.স্প’ৰ’ফাইট
1. অ্যাসিটাইজেশন 2. ভিনেগার তৈরি করা 3. অ্যাসিটিলেন,১/ এচিটাইজেচন ২.ভিনেগাৰ বনোৱা ৩.এচিটাইলেন
1. অ্যাসিডিফিকেশন 2. অ্যাসিডিফিকেশন,১.এচিডিকৰণ ২.এচিডিকৰণ
1. অ্যাসিডোমিটার 2. অ্যাসিডিমিটার,১.এচিডমিটাৰ ২.এচিডিমিটাৰ
অম্লতা,এচিডিটি
অ্যাসিডোফাইল,এচিডোফাইল
অম্লীয় রক ফসফেট,এচিডিফাইড ৰক ফছফেট
অ্যাসিডযুক্ত,এচিডিফাইড
aquifer,জলধাৰা
অধিগ্রহণ,অধিগ্ৰহণ
একর,একৰ
1. এলাকা 2. এলাকা,১.ক্ষেত্ৰফল ২.ক্ষেত্ৰফল
শেষ বিন্দু ক্রোমোজোম,শেষ বিন্দু ক্ৰম’জম
দূরদর্শী,আগলৈ চাই থকা
acrosome,acrosome
actinomycetes,actinomycetes
সক্রিয় কোর,সক্ৰিয় কোৰ
1. উগ্র 2. তীব্র,1. উত্তেজিত 2. তীব্ৰ
অভিযোজনযোগ্যতা,অভিযোজন ক্ষমতা
কাস্টমাইজেশন,কাষ্টমাইজেচন
1. আনুগত্য 2. আনুগত্য,১.আঠাযুক্ততা ২.আঠাযুক্ততা
sebaceous,তৈলাক্ত
সমন্বয় সমীকরণ,সমন্বয় সমীকৰণ
adobe মাটি,এডোব মাটি
ভেজাল,ব্যভিচাৰী
ectopic,এক্ট&#39;পিক
ইসিডিওস্পোর ইসিডিয়াম স্পোর,Isidiospore Isidium বিজাণু
এরোডাইনামিক প্রক্রিয়া,বায়ুগতিশীল প্ৰক্ৰিয়া
ventral,ventral
বায়ু করা,বায়ুমণ্ডলীয় কৰা
1. বায়ু 2. আকাশী,১.বায়ু ২.আকাশী
1. অ্যারোমিটার 2. অ্যারোমিটার 3. অ্যারোমিটার,১.এৰ’মিটাৰ ২.এৰ’মিটাৰ ৩.এৰ’মিটাৰ
এরোসল,এৰ&#39;ছল
1. পুষ্পমঞ্জরী 2. গ্রীষ্মকালীন সুপ্ততা,১/ পুষ্পশোভিত ২) গ্ৰীষ্মকালীন নিদ্ৰা
রোগের বিজ্ঞান,ৰোগৰ বিজ্ঞান
বনায়ন,বনানীকৰণ
1. আন্দোলন 2. অশান্তি,১.আন্দোলন ২.অস্থিৰতা
এগমার্ক,আগমাৰ্ক
1. জমি সংক্রান্ত 2. কৃষি,১/ ভূমি সম্পৰ্কীয় ২/ কৃষি
কৃষি ক্লিনিক,কৃষি ক্লিনিক
1. কৃষি শ্রম 2. কৃষি শ্রম,১/ কৃষি শ্ৰম ২) কৃষি শ্ৰম
কৃষি বিপণন,কৃষি বিপণন
কৃষি প্রযুক্তি,কৃষি প্ৰযুক্তি
1. কৃষি 2. চাষাবাদ 3. কৃষি বিজ্ঞান,1. কৃষি 2. কৃষি 3. কৃষি বিজ্ঞান
কৃষি বনায়ন,কৃষি বনজ
কৃষি জীববৈচিত্র্য,কৃষি জৈৱ বৈচিত্ৰ্য
কৃষি জৈব ত্রুটি,কৃষি জৈৱিক দোষ
কৃষি জীববিজ্ঞান,কৃষি জীৱবিজ্ঞান
কৃষি-জলবায়ু বৈচিত্র্য,কৃষি-জলবায়ু বৈচিত্ৰ্য
কৃষি জলবায়ু অঞ্চল সৃষ্টি,কৃষি জলবায়ু মণ্ডল সৃষ্টি
কৃষি বনবিদ্যা,কৃষি বনানীকৰণ
কৃষিবিদ্যা,কৃষি বিজ্ঞান
কৃষিবিজ্ঞান,কৃষিভিত্তিক
কৃষি যাজক,কৃষি পশুপালন
ফসল প্রক্রিয়াকরণ,শস্য প্ৰক্ৰিয়াকৰণ
ঘাস বিজ্ঞান,ঘাঁহ বিজ্ঞান
ফসলের ধরন,শস্যৰ প্ৰকাৰ
এপিফাইট,এপিফাইট
aikiochi মাটি,আইকিওচি মাটি
বর্ণান্ধতা,ৰঙৰ অন্ধতা
আলফিসল,আলফিছল
শৈবাল,শেলাই
শেওলা রোগ,শেলাইৰ ৰোগ
ক্ষার জল,ক্ষাৰকীয় পানী
ক্ষারীয়,ক্ষাৰকীয়
