Tamil,Kannada
அமிலத்தன்மை,ಆಸಿಡಾಯ್ಡ್
அயோலியன் மண்,ಅಯೋಲಿಯನ್ ಮಣ್ಣು
மதிப்பீட்டு,ಒಟ್ಟು
திரட்டுதல்,ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ
வேளாண்மை,ಕೃಷಿಶಾಸ್ತ್ರ
வேளாண்மை,ಕೃಷಿಶಾಸ್ತ್ರ
A- அடிவானம்,ಎ-ಹಾರಿಜಾನ್
Ao- அடிவானம்,Ao-ಹಾರಿಜಾನ್
Aoo- அடிவானம்,Aoo-ಹಾರಿಜಾನ್
மண்ணின் காற்று திறன்,ಮಣ್ಣಿನ ಗಾಳಿಯ ಸಾಮರ್ಥ್ಯ
மண்ணின் காற்றின் உள்ளடக்கம்,ಮಣ್ಣಿನ ಗಾಳಿಯ ಅಂಶ
காற்று பிக்னோமீட்டர்,ಏರ್ ಪಿಕ್ನೋಮೀಟರ್
அல்லிடிக் மண்,ಆಲಿಟಿಕ್ ಮಣ್ಣು
வண்டல் மண்,ಮೆಕ್ಕಲು ಮಣ್ಣು
ஆம்போலிடாய்டு,ಆಂಫೋಲಿಟಾಯ್ಡ್
அயன்,ಅಯಾನ್
"வெளிப்படையான குறிப்பிட்ட ஈர்ப்பு அளவு எடை அல்லது மொத்த குறிப்பிட்ட ஈர்ப்பு,&quot;","ಸ್ಪಷ್ಟವಾದ ನಿರ್ದಿಷ್ಟ ಗುರುತ್ವಾಕರ್ಷಣೆಯ ಪರಿಮಾಣದ ತೂಕ ಅಥವಾ ಬೃಹತ್ ನಿರ್ದಿಷ್ಟ ಗುರುತ್ವಾಕರ್ಷಣೆ,&quot;"
அரிஸ்,ಅರ್ರಿಸ್
Ashlar நன்றாக கொத்து,ಆಶ್ಲರ್ ಉತ್ತಮವಾದ ಕಲ್ಲು
ஆஷ்லர் கொத்து,ಆಶ್ಲರ್ ಕಲ್ಲು
அசோனல் மண்,ಅಜೋನಲ್ ಮಣ್ಣು
பின் நடிகர்,ಹಿಂದೆ ನಟ
பின் வளைவு,ಹಿಂದಿನ ಕಮಾನು
பின் இசைக்குழு,ಬ್ಯಾಕ್ ಬ್ಯಾಂಡ್
பின் தூரிகை,ಬ್ಯಾಕ್ ಬ್ರಷ್
மீண்டும் சரிபார்க்கவும்,ಹಿಂತಿರುಗಿ ಪರಿಶೀಲಿಸಿ
பின் கவுண்டர்,ಹಿಂದಿನ ಕೌಂಟರ್
முதுகு வெட்டுதல்,ಬೆನ್ನು ಕತ್ತರಿಸುವುದು
பின் வரைவு damper,ಬ್ಯಾಕ್ ಡ್ರಾಫ್ಟ್ ಡ್ಯಾಂಪರ್
பின் வடிகால்,ಬ್ಯಾಕ್ ಡ್ರೈನ್
பின் துளி,ಬ್ಯಾಕ್ ಡ್ರಾಪ್
பின் நிரப்பவும்,ಹಿಂದೆ ಭರ್ತಿ
பின் ஃபில்லட்,ಬ್ಯಾಕ್ ಫಿಲೆಟ್
பின் மடல் கீல்,ಬ್ಯಾಕ್ ಫ್ಲಾಪ್ ಹಿಂಜ್
பின் ஓட்ட இணைப்பு,ಬ್ಯಾಕ್ ಫ್ಲೋ ಸಂಪರ್ಕ
பின் ஓட்டம் தடுப்பான்,ಬ್ಯಾಕ್ ಫ್ಲೋ ತಡೆಗಟ್ಟುವಿಕೆ
பின் அளவுகோல்,ಬ್ಯಾಕ್ ಗೇಜ್
பின்புற சாக்கடை,ಹಿಂಭಾಗದ ಗಟಾರ
பின் அடுப்பு,ಹಿಂಬದಿ ಒಲೆ
ஆதரவு,ಹಿಮ್ಮೇಳ
பேக்கிங் போர்டு,ಬ್ಯಾಕಿಂಗ್ ಬೋರ್ಡ್
பின் அழுத்தம்,ಬೆನ್ನಿನ ಒತ್ತಡ
பின் முட்டு,ಬ್ಯಾಕ್ ಪ್ರಾಪ್
பின் பார்வை,ಹಿಂದಿನ ದೃಷ್ಟಿ
பின் நீர்,ಹಿಂಬದಿ ನೀರು
குழப்பம்,ಅಡ್ಡಿಪಡಿಸು
பை வேலை,ಬ್ಯಾಗ್ವರ್ಕ್
பேலாஸ்ட்,ನಿಲುಭಾರ
பந்து களிமண்,ಬಾಲ್ ಕ್ಲೇ
பந்து கூம்பு கவ்வி,ಬಾಲ್ ಕೋನ್ ಕ್ಲಾಂಪ್
முள்வேலி,ಮುಳ್ಳುತಂತಿ
பார் நாய்,ಬಾರ್ ನಾಯಿ
விசைப்படகு பலகை,ಬಾರ್ಜ್ ಬೋರ್ಡ್
பேரியம் சல்பேட் சோதனை,ಬೇರಿಯಮ್ ಸಲ್ಫೇಟ್ ಪರೀಕ್ಷೆ
சரமாரி,ಬ್ಯಾರೇಜ್
பாரெட்,ಬ್ಯಾರೆಟ್
அடித்தளம்,ಬೇಸ್
அடிப்படை பரிமாற்றம்,ಮೂಲ ವಿನಿಮಯ
அடிப்படை வரி,ಬೇಸ್ ಲೈನ್
அடித்தளம்,ನೆಲಮಾಳಿಗೆ
அடித்தள சுவர்,ನೆಲಮಾಳಿಗೆಯ ಗೋಡೆ
அடித்தட்டு,ಬೇಸ್ ಪ್ಲೇಟ್
"அடிப்படை தட்டு, சரிசெய்யக்கூடியது","ಬೇಸ್ ಪ್ಲೇಟ್, ಹೊಂದಾಣಿಕೆ"
அடிப்படை செறிவு,ಮೂಲ ಶುದ್ಧತ್ವ
பாசாய்டு,ಬಸಾಯಿಡ್
வௌவால்,ಬ್ಯಾಟ್
பாத் மற்றும் WC,ಬಾತ್ ಮತ್ತು WC
இடி ஆப்பு,ಬ್ಯಾಟರ್ ಪೆಗ್
பேட்டர் பையர்,ಬ್ಯಾಟರ್ ಪಿಯರ್
பேட்டர் விதி,ಬ್ಯಾಟರ್ ನಿಯಮ
பால்க் (பால்க்),ಬಾಲ್ಕ್ (ಬಾಲ್ಕ್)
விரிகுடா,ಕೊಲ್ಲಿ
தாங்குபவர்,ಬೇರರ್
தாங்கும் திறன்,ತಾಳಿಕೊಳ್ಳುವ ಸಾಮರ್ಥ್ಯ
தாங்கும் பைல்,ಬೇರಿಂಗ್ ಪೈಲ್
தாங்கி அடுக்கு,ಬೇರಿಂಗ್ ಸ್ಟ್ರಾಟಮ್
படுக்கை,ಹಾಸಿಗೆ
படுக்கை விமானம்,ಹಾಸಿಗೆ ವಿಮಾನ
படுக்கை கூட்டு,ಬೆಡ್ ಜಂಟಿ
படுக்கை பாறை,ಬೆಡ್ ರಾಕ್
படுக்கை அறை,ಮಲಗುವ ಕೋಣೆ
தேன் மெழுகு,ಜೇನುಮೇಣ
மணி பெட்டி,ಬೆಲ್ ಬಾಕ್ಸ್
பெல்லிங் வாளி,ಬೆಲ್ಲಿಂಗ್ ಬಕೆಟ್
பெல்லோஃப்ராம்,ಬೆಲ್ಲೋಫ್ರಾಮ್
பெஞ்ச் அடித்தளம்,ಬೆಂಚ್ಡ್ ಅಡಿಪಾಯ
பெஞ்சிங்,ಬೆಂಚಿಂಗ್
பெஞ்ச் மார்க்,ಮಾನದಂಡ
நன்மை செலவு பகுப்பாய்வு,ಲಾಭದ ವೆಚ್ಚದ ವಿಶ್ಲೇಷಣೆ
பெர்ம்,ಬೆರ್ಮ್
வளைந்த மூடல்,ಬೆವೆಲ್ಡ್ ಮುಚ್ಚುವಿಕೆ
"பி-ஹரைசன்,&quot;பி-","ಬಿ-ಹಾರಿಜಾನ್,&quot;ಬಿ-"
பயாட்,ಬಿಯಾಟ್
பைண்டர்,ಬೈಂಡರ್
பிணைப்பு பொருள்,ಬೈಂಡಿಂಗ್ ವಸ್ತು
பயோட்டின் கோட்பாடு,ಬಯೋಟ್ ಸಿದ್ಧಾಂತ
பிடுமின்,ಬಿಟುಮೆನ್
கருப்பு பருத்தி மண்,ಕಪ್ಪು ಹತ್ತಿ ಮಣ್ಣು
கருப்பு பூமி,ಕಪ್ಪು ಭೂಮಿ
கருப்பு தரை மண்,ಕಪ್ಪು ಟರ್ಫ್ ಮಣ್ಣು
கத்தி,ಬ್ಲೇಡ್
ஊது உலை கசடு சிமெண்ட்,ಬ್ಲಾಸ್ಟ್ ಫರ್ನೇಸ್ ಸ್ಲ್ಯಾಗ್ ಸಿಮೆಂಟ್
தடுப்பு அமைப்பு,ಬ್ಲಾಕ್ ರಚನೆ
போகி எதிர்ப்பு,ಬೋಗಿ ಪ್ರತಿರೋಧ
போக்-இரும்பு தாது,ಬಾಗ್-ಕಬ್ಬಿಣದ ಅದಿರು
பத்திரம்,ಕರಾರುಪತ್ರ
