Punjabi,Bengali
ਅਧੂਰਾ ਛੱਡਣਾ,গর্ভপাত
ਅਧੂਰਾ ਛੱਡੋ,গর্ভপাত টাইমার
निरपेक्ष an s,পরম ঠিকানা
ਪੂਰਨ ਪਤਾ,পরম ঠিকানা
ਸੰਪੂਰਨ ਸੰਜਮ,পরম এসেম্বলার
ਸੰਪੂਰਨ ਕੋਡ,পরম কোড
ਸੰਪੂਰਨ ਕੋਡਿੰਗ,পরম কোডিং
ਸੰਪੂਰਨ ਕਮਾਂਡ,পরম কমান্ড
ਸੰਪੂਰਨ ਕੋਆਰਡੀਨੇਟ,পরম সমন্বয়
ਸੰਪੂਰਨ ਡੇਟਾ,পরম ডেটা
ਪੂਰੀ ਗਲਤੀ,পরম ত্রুটি
ਪੂਰਨ ਸਮੀਕਰਨ,পরম অভিব্যক্তি
ਪੂਰਨ ਹਦਾਇਤ,পরম নির্দেশ
ਸੰਪੂਰਨ ਲੋਡਰ,পরম লোডার
ਸੰਪੂਰਨ ਕ੍ਰਮ,পরম আদেশ
ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ,পরম প্রোগ্রামিং
ਸੰਪੂਰਨ ਅਵਧੀ,পরম শব্দ
ਸਹੀ ਮੁੱਲ,পরম মান
ਸੰਪੂਰਨ ਵੈਕਟਰ,পরম ভেক্টর
ਸਾਰ,বিমূর্ত
ਐਬਸਟ੍ਰੈਕਟਿੰਗ,বিমূর্ত
ਸੰਖੇਪ ਪ੍ਰਤੀਕ,বিমূর্ত প্রতীক
ਪ੍ਰਵੇਗ ਦੀ ਮਿਆਦ,ত্বরণ সময়কাল
ਪ੍ਰਵੇਗ ਟਾਈਮ,ত্বরণের সময়
ਲਹਿਜ਼ਾ,অ্যাকসেন্ট
ਪ੍ਰਵਾਨਗੀ ਟੈਸਟ,স্বীকৃতি পরীক্ষা
ਪਹੁੰਚ,অ্যাক্সেস
ਐਗ ਬਾਂਹ ਨੂੰ ਐਕਸੈਸ ਕਰੋ,অ্যাক্সেস আর্ম
ਐਕਸੈਸ ਪ੍ਰਬੰਧ,অ্যাক্সেস ব্যবস্থা
ਪਹੁੰਚ ਅਥਾਰਟੀ,অ্যাক্সেস কর্তৃপক্ষ
ਐਕਸੈਸ ਚਾਰਜ,অ্যাক্সেস চার্জ
ਐਕਸੈਸ ਕਲਾਸ,অ্যাক্সেস ক্লাস
ਐਕਸੈਸ ਡੇਟਾ ਬੇਸ ਪ੍ਰਬੰਧਨ,অ্যাক্সেস ডেটা বেস ম্যানেজমেন্ট
ਐਕਸੈਸ ਵਾਤਾਵਰਣ,অ্যাক্সেস পরিবেশ
ਐਕਸੈਸ ਪਾੜਾ,অ্যাক্সেস ফাঁক
ਐਕਸੈਸ ਇੰਡੈਕਸ,অ্যাক্সেস সূচক
ਐਕਸੈਸ ਲਾਈਨ,অ্যাক্সেস লাইন
ਐਕਸੈਸ ਵਿਧੀ,অ্যাক্সেস প্রক্রিয়া
ਐਕਸੈਸ ਵਿਧੀ,অ্যাক্সেস পদ্ধতি
ਐਕਸੈਸ ਵਿਧੀ ਰੁਟੀਨ,অ্যাক্সেস পদ্ধতির রুটিন
ਐਕਸੈਸ ਮੋਡ,অ্যাক্সেস মোড
ਸਹੀ ਪਹੁੰਚ,এক্সেস অধিকার
ਐਕਸੈਸ ਸਕੈਨ,অ্যাক্সেস স্ক্যান
ਐਕਸੈਸ ਟਾਈਮ,প্রবেশাধিকার সময়
ਲੇਖਾ,অ্যাকাউন্টিং
ਲੇਖਾ ਵਿੱਤ ਸਿਸਟਮ,অ্যাকাউন্টিং ফিনান্স সিস্টেম
ਲੇਖਾ ਮਸ਼ੀਨ,অ্যাকাউন্টিং মেশিন
ਅਕਾਊਂਟ ਨੰਬਰ,হিসাব নাম্বার
ਦੁਬਾਰਾ ਪੈਦਾ ਕਰਨ ਵਾਲਾ,প্রজননকারী জমে
ਇਕੱਤਰ ਕਰਨ ਵਾਲਾ,জমে
ਇਕੱਤਰ ਕਰਨ ਵਾਲਾ ਰਜਿਸਟਰ,সংগ্রহকারী রেজিস্টার
ਇਕੱਤਰ ਕਰਨ ਵਾਲੀ ਸ਼ਿਫਟ ਹਦਾਇਤਾਂ,সংগ্রহকারী শিফট নির্দেশনা
ਸ਼ੁੱਧਤਾ,সঠিকতা
ਸ਼ੁੱਧਤਾ ਕੰਟਰੋਲ ਅੱਖਰ,নির্ভুলতা নিয়ন্ত্রণ চরিত্র
ਸ਼ੁੱਧਤਾ ਕੰਟਰੋਲ ਪ੍ਰਣਾਲੀ,নির্ভুলতা নিয়ন্ত্রণ ব্যবস্থা
ਏਸ ਪਾਇਲਟ,এস পাইলট
ਅੱਖਰ ਮੰਨੋ,চরিত্র স্বীকৃতি
ਧੁਨੀ ਕਥਾ,অ্যাকোস্টিক কাপলার
ਧੁਨੀ,অ্যাকোস্টিক কাপলিং
ਧੁਨੀ ਦੇਰੀ ਨਾਲ,অ্যাকোস্টিক বিলম্ব লাইন
ਧੁਨੀ ਯਾਦਦਾਸ਼ਤ,অ্যাকোস্টিক মেমরি
ਧੁਨੀ ਮਾਡਮ,অ্যাকোস্টিক মডেম
ਧੁਨੀ ਸੰਕੇਤ,অ্যাকোস্টিক সিগন্যাল
ਧੁਨੀ ਸਟੋਰੇਜ,অ্যাকোস্টিক স্টোরেজ
ਐਕਰੋਨਾਈਮ,সংক্ষিপ্ত বিবরণ
ਕਾਰਵਾਈ,কর্ম
ਐਕਸ਼ਨ ਚੱਕਰ,অ্যাকশন চক্র
ਐਕਸ਼ਨ ਲਾਈਨ,অ্যাকশন লাইন
ਐਕਸ਼ਨ ਸੰਦੇਸ਼,অ্যাকশন বার্তা
