Gujarati,Punjabi
અજૈવિક પ્રજનન,ਅਬਾਇਓਟਿਕ ਪ੍ਰਜਨਨ
પેરાનોર્મલ,ਅਲੌਕਿਕ
1. ચોથું પેટ 2. Evomasome,1. ਚੌਥਾ ਪੇਟ 2. ਈਵੋਮਾਸੋਮ
સ્ટોમેટલ વૃદ્ધિ અંગ,ਸਟੋਮੈਟਲ ਵਿਕਾਸ ਅੰਗ
રૂંધાયેલ વૃદ્ધિ બીજ,ਰੁਕਿਆ ਹੋਇਆ ਵਾਧਾ ਬੀਜ
1. ગર્ભપાત 2. કસુવાવડ 3. વૃદ્ધિ પ્રતિકાર,1. ਗਰਭਪਾਤ 2. ਗਰਭਪਾਤ 3. ਵਿਕਾਸ ਪ੍ਰਤੀਰੋਧ
1. અનિચ્છનીય નીંદણ 2. સંપૂર્ણ નીંદણ,1. ਅਣਚਾਹੇ ਜੰਗਲੀ ਬੂਟੀ 2. ਮੁਕੰਮਲ ਨਦੀਨ
શોષિત કેશન,ਲੀਨ cation
શોષણ,ਸਮਾਈ
એબિસિનિયન મસ્ટર્ડ,ਐਬੀਸੀਨੀਅਨ ਸਰ੍ਹੋਂ
1. એકેરિસાઇડ,1. ਐਕਰੀਸਾਈਡ
કેન્દ્રબિંદુ,centripetal
એમ્પ્લીફિકેશન (કોષ),ਪ੍ਰਸਾਰਨ (ਸੈੱਲ)
મંજૂર સહનશીલતા,ਮਨਜ਼ੂਰ ਸਹਿਣਸ਼ੀਲਤਾ
1. વધારાની 2. સહાયક 3. સહાયક,1. ਵਾਧੂ 2. ਐਕਸੈਸਰੀ 3. ਐਕਸੈਸਰੀ
અનુકૂલન,ਅਨੁਕੂਲਨ
સંચય,ਇਕੱਠਾ ਕਰਨਾ
1. શુષ્કતા 2. ચોકસાઇ,1. ਸ਼ੁੱਧਤਾ 2. ਸ਼ੁੱਧਤਾ
1. એસેર્વ્યુલસ 2. સ્પોરોફાઇટ,1. ਏਸਰਵੁਲਸ 2. ਸਪੋਰੋਫਾਈਟ
1. એસિટાઈઝેશન 2. વિનેગર બનાવવું 3. એસિટિલેન,1. ਐਸੀਟਾਈਜ਼ੇਸ਼ਨ 2. ਸਿਰਕਾ ਬਣਾਉਣਾ 3. ਐਸੀਟਿਲੇਨ
1. એસિડીકરણ 2. એસિડીકરણ,1. ਤੇਜ਼ਾਬੀਕਰਨ 2. ਤੇਜ਼ਾਬੀਕਰਨ
1. એસિડિમીટર 2. એસિડિમીટર,1. ਐਸੀਡੋਮੀਟਰ 2. ਐਸਿਡਮੀਟਰ
એસિડિટી,ਐਸਿਡਿਟੀ
એસિડોફાઇલ,ਐਸਿਡੋਫਾਈਲ
એસિડિફાઇડ રોક ફોસ્ફેટ,ਤੇਜ਼ਾਬ ਚੱਟਾਨ ਫਾਸਫੇਟ
એસિડિફાઇડ,ਤੇਜ਼ਾਬ
જલભર,aquifer
સંપાદન,ਪ੍ਰਾਪਤੀ
એકર,ਏਕੜ
1. વિસ્તાર 2. વિસ્તાર,1. ਖੇਤਰ 2. ਖੇਤਰ
અંતિમ બિંદુ રંગસૂત્ર,ਅੰਤ ਬਿੰਦੂ ਕ੍ਰੋਮੋਸੋਮ
આગળ દેખાતું,ਅਗਾਂਹਵਧੂ
એક્રોસમ,acrosome
એક્ટિનોમીસેટ્સ,ਐਕਟਿਨੋਮਾਈਸੀਟਸ
સક્રિય કોર,ਸਰਗਰਮ ਕੋਰ
1. ગુસ્સે 2. તીવ્ર,1. ਗੁੱਸੇ ਵਾਲਾ 2. ਤੀਬਰ
અનુકૂલનક્ષમતા,ਅਨੁਕੂਲਤਾ
કસ્ટમાઇઝેશન,ਕਸਟਮਾਈਜ਼ੇਸ਼ਨ
1. સંલગ્નતા 2. સંલગ્નતા,1. ਅਡੈਸ਼ਨ 2. ਅਡੈਸ਼ਨ
સેબેસીયસ,sebaceous
ગોઠવણ સમીકરણ,ਸਮਾਯੋਜਨ ਸਮੀਕਰਨ
એડોબ માટી,ਅਡੋਬ ਮਿੱਟੀ
ભેળસેળ કરનાર,ਮਿਲਾਵਟ ਕਰਨ ਵਾਲਾ
એક્ટોપિક,ਐਕਟੋਪਿਕ
ઇસિડિયોસ્પોર ઇસિડિયમ બીજકણ,ਆਈਸੀਡਿਓਸਪੋਰ ਆਈਸੀਡੀਅਮ ਸਪੋਰ
એરોડાયનેમિક પ્રક્રિયા,ਐਰੋਡਾਇਨਾਮਿਕ ਪ੍ਰਕਿਰਿਆ
વેન્ટ્રલ,ਵੈਂਟ੍ਰਲ
વાયુયુક્ત કરવું,ਹਵਾ ਦੇਣ ਲਈ
1. હવા 2. આકાશી,1. ਹਵਾ 2. ਆਕਾਸ਼ੀ
1. એરોમીટર 2. એરોમીટર 3. એરોમીટર,1. ਐਰੋਮੀਟਰ 2. ਐਰੋਮੀਟਰ 3. ਐਰੋਮੀਟਰ
એરોસોલ,ਐਰੋਸੋਲ
1. પુષ્પવૃત્તિ 2. ઉનાળાની નિષ્ક્રિયતા,1. ਫੁੱਲ 2. ਗਰਮੀਆਂ ਦੀ ਸੁਸਤਤਾ
રોગનું વિજ્ઞાન,ਬਿਮਾਰੀ ਦਾ ਵਿਗਿਆਨ
વનીકરણ,ਜੰਗਲਾਤ
1. આંદોલન 2. અશાંતિ,1. ਅੰਦੋਲਨ 2. ਗੜਬੜ
એગમાર્ક,ਐਗਮਾਰਕ
1. જમીન સંબંધિત 2. કૃષિ,1. ਜ਼ਮੀਨ ਨਾਲ ਸਬੰਧਤ 2. ਖੇਤੀਬਾੜੀ
કૃષિ ક્લિનિક,ਖੇਤੀਬਾੜੀ ਕਲੀਨਿਕ
1. ખેત મજૂરી 2. ખેત મજૂરી,1. ਖੇਤੀ ਮਜ਼ਦੂਰ 2. ਖੇਤੀ ਮਜ਼ਦੂਰ
કૃષિ માર્કેટિંગ,ਖੇਤੀਬਾੜੀ ਮੰਡੀਕਰਨ
કૃષિ ટેકનોલોજી,ਖੇਤੀਬਾੜੀ ਤਕਨਾਲੋਜੀ
1. કૃષિ 2. ખેતી 3. કૃષિ વિજ્ઞાન,1. ਖੇਤੀ 2. ਖੇਤੀ 3. ਖੇਤੀ ਵਿਗਿਆਨ
કૃષિ વનસંવર્ધન,ਖੇਤੀਬਾੜੀ ਜੰਗਲਾਤ
કૃષિ જૈવવિવિધતા,ਖੇਤੀਬਾੜੀ ਜੈਵ ਵਿਭਿੰਨਤਾ
કૃષિ કાર્બનિક ખામીઓ,ਖੇਤੀਬਾੜੀ ਜੈਵਿਕ ਨੁਕਸ
કૃષિ જીવવિજ્ઞાન,ਖੇਤੀਬਾੜੀ ਜੀਵ ਵਿਗਿਆਨ
કૃષિ-આબોહવાની વિવિધતા,ਖੇਤੀ-ਜਲਵਾਯੂ ਵਿਭਿੰਨਤਾ
એગ્રોક્લાઇમેટિક ઝોનની રચના,ਖੇਤੀ ਜਲਵਾਯੂ ਖੇਤਰ ਦੀ ਰਚਨਾ
કૃષિ વનીકરણ,ਖੇਤੀ ਜੰਗਲਾਤ
કૃષિ વિજ્ઞાન,ਖੇਤੀ ਵਿਗਿਆਨ
કૃષિવિજ્ઞાન,ਖੇਤੀ ਵਿਗਿਆਨਕ
કૃષિ પશુપાલન,ਖੇਤੀਬਾੜੀ ਪੇਸਟੋਰਲ
પાક પ્રક્રિયા,ਫਸਲ ਪ੍ਰੋਸੈਸਿੰਗ
ઘાસ વિજ્ઞાન,ਘਾਹ ਵਿਗਿਆਨ
પાકનો પ્રકાર,ਫਸਲ ਦੀ ਕਿਸਮ
એપિફાઇટ,epiphyte
aikiochi માટી,aikiochi ਮਿੱਟੀ
રંગ અંધત્વ,ਰੰਗ ਅੰਨ੍ਹਾਪਨ
આલ્ફીસોલ,alfisol
શેવાળ,ਐਲਗੀ
શેવાળ રોગ,ਐਲਗੀ ਰੋਗ
આલ્કલી પાણી,ਖਾਰੀ ਪਾਣੀ
આલ્કલાઇન,ਖਾਰੀ
વૈકલ્પિક,ਵਿਕਲਪਕ
એલેલો રસાયણશાસ્ત્ર,ਐਲੇਲੋ ਕੈਮਿਸਟਰੀ
એલીલ,ਐਲੀਲ
એલોપથી,ਐਲੇਲੋਪੈਥੀ
વેથી પાક,ਵੇਥੀ ਦੀ ਫਸਲ
પૂર્ણતા,ਸੰਪੂਰਨਤਾ
ગર્ભાધાન,ਗਰੱਭਧਾਰਣ ਕਰਨਾ
1. સાપેક્ષતા 2. એલોમેટ્રી,1. ਰਿਲੇਟੀਵਿਟੀ 2. ਐਲੋਮੈਟਰੀ
મલ્ટીપ્લોઇડી,multiploidy
1. પેરાઝીગોસિટી,1. ਪੈਰਾਜ਼ੀਗੋਸਿਟੀ
1. વૈકલ્પિક વર્ષ કાર્ય 2. વૈકલ્પિક કાર્ય,1. ਵਿਕਲਪਕ ਸਾਲ ਫੰਕਸ਼ਨ 2. ਵਿਕਲਪਕ ਫੰਕਸ਼ਨ
વૈકલ્પિક જમીનનો ઉપયોગ,ਬਦਲਵੀਂ ਜ਼ਮੀਨ ਦੀ ਵਰਤੋਂ
પર્યાવરણ,ਵਾਤਾਵਰਣ
સુધારક,ਸੁਧਾਰਕ
મિટોસિસ,ਮਾਈਟੋਸਿਸ
આમીન,ਆਮੀਨ
એમોનિયન,ਐਮੋਨੀਅਨ
એમ્નિફરસ,amniferous
1. બિનઅસરકારક સ્વરૂપ 2. અરૂપી,1. ਬੇਅਸਰ ਰੂਪ 2. ਅਰੂਪੀ
ઉભયજીવી મિશ્રણ,amphibian ਮਿਸ਼ਰਣ
એમ્ફોટેરિક,ਐਮਫੋਟੇਰਿਕ
સંગ્રહ,ਭੰਡਾਰ
1. એનારોબિક 2. એનારોબિક સજીવો,1. ਐਨਾਇਰੋਬਿਕ 2. ਐਨਾਇਰੋਬਿਕ ਜੀਵ
હેપ્લોઇડ,ਹੈਪਲੋਇਡ
કોણીય વાવેતર,ਕੋਣੀ ਲਾਉਣਾ
પશુપાલન,ਪਸ਼ੂ ਪਾਲਣ
પ્રાણીના મળમૂત્ર,ਜਾਨਵਰ ਦੇ ਮਲ-ਮੂਤਰ
જીવંત ઊર્જા,ਜੀਵਤ ਊਰਜਾ
વિસંગત,ਅਸਧਾਰਨ
એક વર્ષ જૂનો છોડ,ਇੱਕ ਸਾਲ ਪੁਰਾਣਾ ਪੌਦਾ
વાર્ષિક,ਸਾਲਾਨਾ
1. પરમાનંદ 2. ઉજાસ,1. ਅਨੰਦ 2. ਚਮਕ
એન્થ્રેક્સ,ਐਂਥ੍ਰੈਕਸ
એન્થ્રોપોજેનિક પરિબળો,ਮਾਨਵ-ਜਨਕ ਕਾਰਕ
અસ્તિત્વ,ਬਚਾਅ
1. એન્ટિબાયોટિક 2. એન્ટિબાયોટિક,1. ਐਂਟੀਬਾਇਓਟਿਕ 2. ਐਂਟੀਬਾਇਓਟਿਕ
પ્રતિકૂળ,ਘਿਣਾਉਣੀ
એન્ટીઑકિસડન્ટ,ਐਂਟੀਆਕਸੀਡੈਂਟ
એન્ટિટોક્સિન,ਐਂਟੀਟੌਕਸਿਨ
રિંગ આંગળી,ਰਿੰਗ ਉਂਗਲ
1. એફિડ 2. મહુ 3. ચેપા,1. ਐਫੀਡ 2. ਮਹੂ 3. ਚੇਪਾ
ટોચની કળી,ਚੋਟੀ ਦੇ ਮੁਕੁਲ
ટોચની અસરકારકતા,ਸਿਖਰ ਪ੍ਰਭਾਵ
મધમાખી ઉછેર,ਮਧੂ ਮੱਖੀ ਪਾਲਣ
અજાતીયતા,ਅਲੌਕਿਕਤਾ
એપોપ્ટોસિસ,apoptosis
પરિશિષ્ટ,ਜੋੜ
ભૂખ લગાડનાર,ਭੁੱਖ ਵਧਾਉਣ ਵਾਲਾ
લાગુ,ਲਾਗੂ ਕੀਤਾ
જળચર નીંદણ,ਜਲਜੀ ਬੂਟੀ
1. વૃક્ષ 2. વૃક્ષ નિવાસી,1. ਰੁੱਖ 2. ਰੁੱਖ ਨਿਵਾਸੀ
શાખાઓ,ਬ੍ਰਾਂਚਿੰਗ
પ્રોટોબોટનિકલ રેકોર્ડ્સ,ਪ੍ਰੋਟੋਬੋਟੈਨੀਕਲ ਰਿਕਾਰਡ
ઝોન નંબર,ਜ਼ੋਨ ਨੰਬਰ
1. વિસ્તાર 2. વિસ્તાર,1. ਖੇਤਰ 2. ਖੇਤਰ
શુષ્ક ઇકોસિસ્ટમ,ਖੁਸ਼ਕ ਈਕੋਸਿਸਟਮ
કોટિલેડોન,cotyledon
સૌરભ,ਸੌਰਭ
સુગંધિત છોડ,ਖੁਸ਼ਬੂਦਾਰ ਪੌਦਾ
સુગંધિત ચોખા,ਸੁਗੰਧਿਤ ਚੌਲ
ઇક્ષુ પુષ્પન,ਇਕੁ ਪੁਸ਼ਪੰ ॥
એસેપ્ટિક,ਅਸੈਪਟਿਕ
1. એસેપ્ટિક 2. એસેપ્ટિક,1. ਅਸੈਪਟਿਕ 2. ਅਸੈਪਟਿਕ
અજાતીય પ્રજનન,ਅਲੌਕਿਕ ਪ੍ਰਜਨਨ
કદ,ਆਕਾਰ
સંપત્તિ,ਸੰਪਤੀ
1. એસિમિલેશન 2. એસિમિલેશન,1. ਸਮੀਕਰਨ 2. ਸਮੀਕਰਨ
1. એસોસિએશન 2. એસોસિએશન,1. ਐਸੋਸੀਏਸ਼ਨ 2. ਐਸੋਸੀਏਸ਼ਨ
1. કૉલમ 2. અસ્પષ્ટતા,1. ਕਾਲਮ 2. astringency
હેટરોઝાયગોસિટી,heterozygosity
1. પૂર્વજ 2. એટાવિઝમ,1. ਪੂਰਵਜ 2. ਅਟਾਵਿਜ਼ਮ
કણ,ਕਣ
1. પુષ્ટિ 2. ક્ષતિ,1. ਅਪੁਸ਼ਟਤਾ 2. ਵਿਗਾੜ
સ્વ જોડી,ਸਵੈ ਜੋੜਾ
ઓટોલિસિસ,autolysis
1. સ્વયંસ્ફુરિત ઓક્સિડેશન 2. સ્વયંસ્ફુરિત ઓક્સિડેશન,1. ਸੁਭਾਵਕ ਆਕਸੀਕਰਨ 2. ਸਵੈ-ਚਾਲਤ ਆਕਸੀਕਰਨ
સ્વ મલ્ટિપ્લેક્સ્ડ,ਸਵੈ ਮਲਟੀਪਲੈਕਸ
ઓક્સિન,auxin
1. હચમચી 2. દેડકો,1. ਹਿਲਾ 2. ਟੌਡ
દંડ વાયરસ,ਸਜ਼ਾ ਵਾਇਰਸ
1. બેસિલસ 2. બેસિલસ,1. ਬੇਸੀਲਸ 2. ਬੇਸੀਲਸ
1. બેક્ટેરિયા 2. બેક્ટેરિયા,1. ਬੈਕਟੀਰੀਆ 2. ਬੈਕਟੀਰੀਆ
બેક્ટેરિયલ ઝેર,ਬੈਕਟੀਰੀਆ ਦੇ ਜ਼ਹਿਰ
બગાસ,ਬੈਗਾਸ
સરવૈયા,ਸੰਤੁਲਨ ਸ਼ੀਟ
સંતુલિત ખાતરનો ઉપયોગ,ਸੰਤੁਲਿਤ ਖਾਦ ਦੀ ਵਰਤੋਂ
બાર ગ્રાફ,ਬਾਰ ਗ੍ਰਾਫ
છાલ,ਸੱਕ
1. બેરોમીટર 2. બેરોમીટર,1. ਬੈਰੋਮੀਟਰ 2. ਬੈਰੋਮੀਟਰ
