Hindi,Assamese
अजीवात् जनन,অজৈৱিক প্ৰজনন
अपसामान्य,অস্বাভাৱিক
1. चतुर्थ आमाशय 2. ऐवोमैसम,১/ চতুৰ্থ পেট ২) ইভ’মাজম
रुद्ध-वृद्धि अंग,ষ্টোমেটাল বৃদ্ধিৰ অংগ
रुद्ध वृद्धि बीज,স্তব্ধ বৃদ্ধিৰ বীজ
1. गर्भपात 2. गर्भस्राव 3. वृद्धि विरोध,১/ গৰ্ভপাত ২/ গৰ্ভপাত ৩/ বৃদ্ধি প্ৰতিৰোধ ক্ষমতা
1. अवांछित अपतृण 2. पूर्ण खरपतवार,১/ অবাঞ্চিত অপতৃণ ২/ সম্পূৰ্ণ অপতৃণ
अवशोषित धनायन,শোষিত কেটিয়ন
अवशोषण,শোষণ
ऐबिसिनी सरसों,এবিচিনিয়ান সৰিয়হ
1.एकेरेसनाशी 2. चिचड़ीनाशी,১.একেৰিচাইড
अकेंद्री,centripetal
प्रवर्धन (कोशिका),বৃদ্ধি (কোষ)
स्वीकृत सह्यता,অনুমোদিত সহনশীলতা
1.अतिरिक्त 2. सहायक 3. गौण,1.অতিৰিক্ত 2. আনুষংগিক 3. আনুষংগিক
पर्यनुकूलन,অভিযোজন
संचय,সঞ্চয়
1.vयथार्थता 2. परिशुद्धता,1.vaccuracy 2. নিখুঁততা
1. एसर्वुलस 2. बीजाणुपात्र,১.এচাৰভুলাছ ২.স্প’ৰ’ফাইট
1. ऐसीटीकरण 2. सिरका बनाना 3. ऐसीटीलन,১/ এচিটাইজেচন ২.ভিনেগাৰ বনোৱা ৩.এচিটাইলেন
1. अम्लीकरण 2. अम्लन,১.এচিডিকৰণ ২.এচিডিকৰণ
1.अम्लतामापी 2. एसिडीमीटर,১.এচিডমিটাৰ ২.এচিডিমিটাৰ
अम्लता,এচিডিটি
अम्लरागी,এচিডোফাইল
अम्लीकृत रॉक फॉस्फेट,এচিডিফাইড ৰক ফছফেট
अम्लसह,এচিডিফাইড
जलभृत,জলধাৰা
अधिग्रहण,অধিগ্ৰহণ
एकड़,একৰ
1.क्षेत्रफल 2. रकबा,১.ক্ষেত্ৰফল ২.ক্ষেত্ৰফল
उपांत बिंदु क्रोमोसोम,শেষ বিন্দু ক্ৰম’জম
अग्राभिसारी,আগলৈ চাই থকা
ऐक्रोसोम,acrosome
एक्टिनोमाइसिटीज,actinomycetes
सक्रिय मूलक्षेत्र,সক্ৰিয় কোৰ
1.उग्र 2. तीव्र,1. উত্তেজিত 2. তীব্ৰ
अनुकूलनशीलता,অভিযোজন ক্ষমতা
अनुकूलन,কাষ্টমাইজেচন
1. आसंजन 2. अभिलाग,১.আঠাযুক্ততা ২.আঠাযুক্ততা
वसामय,তৈলাক্ত
समायोजन समीकरण,সমন্বয় সমীকৰণ
ऐडोब मृदा,এডোব মাটি
अपमिश्रक,ব্যভিচাৰী
अपस्थानिक,এক্ট&#39;পিক
इसीडियोस्पोर इसीडियम बीजाणु,Isidiospore Isidium বিজাণু
वातोढ़ प्रक्रिया,বায়ুগতিশীল প্ৰক্ৰিয়া
वातोढ़,ventral
वातन करना,বায়ুমণ্ডলীয় কৰা
1. वायव 2. आकाशी,১.বায়ু ২.আকাশী
1. ऐरोमीटर 2. वायुमापी 3. वायुघनत्वमाप,১.এৰ’মিটাৰ ২.এৰ’মিটাৰ ৩.এৰ’মিটাৰ
ऐरोसोल,এৰ&#39;ছল
1. पुष्पदलविन्यास 2. ग्रीष्मनिष्क्रियता,১/ পুষ্পশোভিত ২) গ্ৰীষ্মকালীন নিদ্ৰা
रोग हेतु विज्ञान,ৰোগৰ বিজ্ঞান
वनरोपण,বনানীকৰণ
1. विलोडन 2. प्रक्षोभन,১.আন্দোলন ২.অস্থিৰতা
ऐगमार्क,আগমাৰ্ক
1. भूमि संबंधी 2. कृषि संबंधी,১/ ভূমি সম্পৰ্কীয় ২/ কৃষি
कृषि निदानालय,কৃষি ক্লিনিক
1. कृषि श्रम 2. खेतिहर मजदूर,১/ কৃষি শ্ৰম ২) কৃষি শ্ৰম
कृषि विपणन,কৃষি বিপণন
कृषि प्रद्योगिकी,কৃষি প্ৰযুক্তি
1. कृषि 2. खेतीबारी 3. कृषि विज्ञान,1. কৃষি 2. কৃষি 3. কৃষি বিজ্ঞান
कृषि वनवर्धन,কৃষি বনজ
कृषि जैविक विविधता,কৃষি জৈৱ বৈচিত্ৰ্য
कृषि जैविक दोष,কৃষি জৈৱিক দোষ
कृषि जैविकी,কৃষি জীৱবিজ্ঞান
कृषि जलवायुवीय विविधता,কৃষি-জলবায়ু বৈচিত্ৰ্য
कृषिजलवायुवीय जोन निर्माण,কৃষি জলবায়ু মণ্ডল সৃষ্টি
कृषिवानिकी,কৃষি বনানীকৰণ
सस्य मृदा विज्ञान,কৃষি বিজ্ঞান
सस्य विज्ञान,কৃষিভিত্তিক
कृषि पशुचारणिक,কৃষি পশুপালন
फसल प्रसंस्करण,শস্য প্ৰক্ৰিয়াকৰণ
घास विज्ञान,ঘাঁহ বিজ্ঞান
सस्य प्ररूप,শস্যৰ প্ৰকাৰ
अधिपादप,এপিফাইট
ऐकिओची मृदा,আইকিওচি মাটি
वर्णकहीनता,ৰঙৰ অন্ধতা
एल्फिसॉल,আলফিছল
शैवाल,শেলাই
शैवाल रोग,শেলাইৰ ৰোগ
क्षार जल,ক্ষাৰকীয় পানী
क्षारीय,ক্ষাৰকীয়
विकल्पी,বিকল্প
एलीलो रसायन,allelo ৰসায়ন বিজ্ঞান
युग्मविकल्पी,এলিল
एलीलोपैथी,এলেল&#39;পেথী
वीथी सस्यन,ভেঠী শস্য
परनिषेक-फलता,consummation
परनिषेचन,নিষেচন কৰা
1. सापेक्षमिति 2. ऐलोमैट्री,১.আপেক্ষিকতা ২.এলোমেট্ৰি
परबहुगुणित,multiploidy
1. परयुग्मन 2. अपायुग्लन,১/ পেৰাজাইগোচিটি
1. एकातंर वर्ष फलन 2. एकांतरित फलन,1. বিকল্প বছৰৰ ফলন 2. বিকল্প ফলন
वैकल्पिक भूमि उपयोग,বিকল্প ভূমি ব্যৱহাৰ
परिवेश,পৰিৱেশ
सुधारक,সংস্কাৰক
असूत्रीविभाजन,মাইট’ছিছ
ऐमीनन,আমিনন
अमोनियन,এমোনিয়ন
अमोनीकारक,amniferous
1.अप्रभावी रूप  2.अरूपी,১.অকাৰ্যকৰী ৰূপ ২.অৰূপী
उभय मिश्रण,উভচৰ মিশ্ৰণ
उभयधर्मी,এম্ফোটেৰিক
उपचय,ষ্টকপাইলিং
1. अवायुजीव 2. अनाक्सी जीव,১/ এনাৰোবিক ২.এনাৰোবিক জীৱ
असुगुणित,হেপ্লয়ড
कोणीय रोपण,কৌণিক ৰোপণ
पशुपालन,পশুপালন
पशु उच्छिष्ट,পশুৰ মল-মূত্ৰ
सजीव ऊर्जा,জীৱন্ত শক্তি
असमगुणित,অস্বাভাৱিক
एकवर्षीय पादप,এবছৰীয়া উদ্ভিদ
वार्षिक,বছেৰেকীয়া
1. परागोद्भव 2. प्रफुल्लन,1. আনন্দ 2. উজ্জ্বলতা
ऐन्थ्रेक्स,এন্থ্ৰেক্স
मानवजनिक कारक,মানৱজনিত কাৰকসমূহ
प्रतिजीविता,জীয়াই থকা
1.प्रतिजैविक2.  ऐन्टीबायोटिक,১/ এন্টিবায়টিক ২। এন্টিবায়টিক
प्रतिकारक,repulsive
प्रतिऑक्सीकारक,এন্টিঅক্সিডেন্ট
प्रतिआविष,এন্টিটক্সিন
वलयिका,ৰিং ফিংগাৰ
1. ऐफिड 2. माहू 3. चेपा,১.এফিড ২.মহু ৩.চেপা
शीर्ष कलिका,শীৰ্ষ কলি
शिखाग्र प्रभाविता,শীৰ্ষ ফলপ্ৰসূতা
मधुमक्खी पालन,মৌমাখি ৰখা
असंगजनन,অযৌনতা
एपोप्टोसिस,এপ&#39;প্টোছিছ
उपांग,appendages
क्षुधावर्धक,appetizer
अनुप्रयुक्त,প্ৰয়োগ কৰা হৈছে
जलीय खरपतवार,জলজ অপতৃণ
1. वृक्षीय 2. वृक्षवासी,১.গছ ২.গছৰ বাসিন্দা
शाखायन,শাখা-প্ৰশাখা
आद्य वानस्पतिक अभिलेख,প্ৰ&#39;ট&#39;বোটানিকেল ৰেকৰ্ড
क्षेत्रांकड़,জ&#39;ন নম্বৰ
1. क्षेत्र 2. क्षेत्रफल,১.ক্ষেত্ৰফল ২.ক্ষেত্ৰফল
शुष्क पारितंत्र,শুকান পৰিৱেশ তন্ত্ৰ
बीजचोल,কুটিলডন
सौरभ,সৌৰভ
सुगंधी पादप,সুগন্ধিযুক্ত উদ্ভিদ
सुगंधित चावल,সুগন্ধি চাউল
इक्षु पुष्पन,ইক্ষু পুষ্পন
अपूति,বীজাণুমুক্ত
1.अपूतित 2. अजर्म,১.এচেপ্টিক ২.এচেপ্টিক
अलैंगिक प्रवर्धन,অযৌন প্ৰজনন
आमाप,আকাৰ
परिसंपत्ति,সম্পত্তি
1. स्वांगीकरण 2. आत्मसात्करण,১/ আত্মসাৎ ২. আত্মসাৎ
1. साहचर्य 2. संघ,১.সংঘ ২.সংঘ
1. स्तंभक 2. कषाय,1. স্তম্ভ 2. astringency
असूत्रयुग्मन,হেটেৰ&#39;জাইগোচিটি
1. पूर्वजता 2. ऐटाविज्म,১.পূৰ্বপুৰুষ ২.আটাভিজম
कणित्र,কণা
1.अपुष्टि 2. क्षीणता,1. অনিশ্চয়তা 2. বিকলতা
स्वयुग्मन,self pairing
स्वलयन,অটোলাইছিছ
1. स्वतः उपचयन 2. स्वतः ऑक्सीभवन,1. স্বতঃস্ফূৰ্ত অক্সিডেচন 2. স্বতঃস্ফূৰ্ত অক্সিডেচন
स्वबहुगुणित,self multiplexed
ऑक्सिन,অক্সিন
1. शूक 2. तूड़,১/ জোকাৰি যোৱা ২. টোড
दंड विषाणु,পেনাল ভাইৰাছ
1. दंडाणु 2. बैसिलस,১.বেচিলাছ ২.বেচিলাছ
1. जीवाणु 2. बैक्टीरिया,১/ বেক্টেৰিয়া ২) বেক্টেৰিয়া
जीवाणु आविष,বেক্টেৰিয়াৰ বিষাক্ত পদাৰ্থ
खोई,বাগাছ
तुलन-पत्र,বেলেন্স শ্বীট
संतुलित उर्वरक उपयोग,সুষম সাৰৰ ব্যৱহাৰ
दंड आरेख,বাৰ গ্ৰাফ
छाल,বাকলি
1. वायुदाबमापी 2. बैरोमीटर,১.বেৰ’মিটাৰ ২.বেৰ’মিটাৰ
1. बजर 2. अकृष्य 3. बांझ,১. বাজাৰ ২. নিষ্ক্ৰিয় ৩. বন্যাৰ্ত
1. आधार 2. बेस 3. कपांग,1. ভিত্তি 2. ভিত্তি 3. কুপাং
1.थाला 2. द्रोणी,১.তালা ২.বেচিন
तलाभिसारी,তালাবিছাৰী
1. बेसिस्टर्नम 2. मूलाधारक,১.বেচিষ্টেৰনাম ২.মূল ধাৰণকাৰী
खाड़ी मानसून,উপসাগৰীয় বাৰিষা
फलदायी पौधा,ফলৰ উদ্ভিদ
क्यारी,বিছনা
क्यारी - पौधा,বিচনা উদ্ভিদ
क्यारी बनाना,বিচনা চাদৰ
चुकंदर शीरा,বুটমাহৰ গুড়
धौंकनी,bellows
1. पट्टी 2. इलाका,১.ষ্ট্ৰিপ ২.ভূখণ্ড
लाभ-लागत विश्लेषण,লাভ-খৰচ বিশ্লেষণ
अभिनत (प्रतिचयन),আকাংক্ষিত (Sampling)
द्विवर्षीय पादप,দ্বিবাৰ্ষিক উদ্ভিদ
द्विपद,দ্বিপদ
जैवकारक,বায়&#39;ফেক্টৰ
जीव जलवायु,জৈৱিক জলবায়ু
जैव ऊर्जा,জৈৱ শক্তি
जीव पारिस्थितिकी,প্ৰাণীৰ পৰিস্থিতিতন্ত্ৰ
1. जैव-प्रक्रियापात्र 2. बायो रिएक्टर,১/ বায়’-প্ৰচেছৰ ২.বায়’-ৰিয়ক্টৰ
जीव-मंडल,জৈৱমণ্ডল
जीवीय,জৈৱিক
जीव प्ररूप,প্ৰাণীজগত
दविलिंगी,ডিভিলিংগি
धवलन,ধাৱলান
1.  प्रध्वसं (रोग) 2.  झोंका रोग,১/প্ৰধ্বাসন (ৰোগ) ২) গাষ্ট ৰোগ
संमिश्रण,মিশ্ৰণ
1. अंगमारी (रोग) 2.  ब्लाइट (रोग),১.আংমাৰী (ৰোগ) ২.ব্লাইট (ৰোগ) ২.
1. छाला 2. फफोला 3. उद्वर्त 4. ब्लिस्टर,১/ ফোহা ২. ফোহা ৩. বিস্ফোৰণ ৪. ফোহা
नीली क्रांति,নীলা বিপ্লৱ
तलीय ताप चैंबर,প্লেনাৰ হিটিং চেম্বাৰ
तलीय ताप तकनीक,সমতল উত্তাপন প্ৰযুক্তি
चोकर,ব্ৰাণ
शाखन,শাখা-প্ৰশাখা
1. टहनी 2. उपशाखा,১.ডাল ২.উপশাখা
नस्ल,বংশবৃদ্ধি
प्रजनन,প্ৰজনন
शीघ्र अंकुरण उपचार,আগতীয়াকৈ অংকুৰণৰ চিকিৎসা
1. शाव 2. अंड 3. भ्रूण,১. পোৱালি ২. কণী ৩. ভ্ৰূণ
कलिकायन,budding
बजट,বাজেট
1.उभयप्रतिरोधी 2. बफर,১.এম্ফোটেৰিক ২.বাফাৰ
शल्ककंद,মিঠা আলু
बंट (रोग),বান্ট (ৰোগ)
1. उपजात 2. उपोत्पाद,1. উপ-উৎপাদন 2. উপ-উৎপাদন
c नमी विशिष्टता वक्र,c আৰ্দ্ৰতা নিৰ্দিষ্টকৰণ বক্ৰ
खली,তেলৰ কেক
1. चूनेदार 2.कैल्सियमी,১.চূণ ২.কেলচিয়াম
कैल्सीयन,calcion
फॉस्फेट का निस्तापन,ফছফেট আঁতৰোৱা
1. किणता 2. कैलसता,১.কিনাটা ২.কালাটা
1.कैलस 2. किण,১.কেলাছ ২.ৰশ্মি
1. बाह्यदल पुंज 2.कैलिक्स,1. ফুলৰ গুটি 2. calyx
वाह्यदल अंत,বাহ্যিক শেষ
एधा,এধা
कैंकर (जीवाणु रोग),কেন্সাৰ (বেক্টেৰিয়াৰ ৰোগ)
डिब्बाबंदी,কেনিং
वितान,আকাশ
पूंजी,বিত্ত
परागण (अंजीर का),পৰগাছা (ডুমুৰৰ)
1. संपुट 2. संपुटिका 3. कैप्सूल,১.কেপচুল ২.কেপচুল ৩.কেপচুল
कार्बोनीकृत,কাৰ্বনাইজড
कार्बनन,কাৰ্বনেন
अंडप,carapace
मणिबंध,এপাত হাতৰ অলংকাৰ
1. ढलाई (लोहे की) 2. क्षिप्ति (कीट),1. ঢালাই (লোহা) 2. ক্ষীপতি (পোক)
अपचय,কেটাবলিজম
उत्प्रेरण,প্ৰৰোচনা
1. इल्ली 2. सूंडी,1. পোক 2. পোক
सी ड़ी. एन. ए. संग्रह,গ ঘ. এন. ক. সংগ্ৰহ
सीमा,পৰিসৰ
1. कोशिका 2. कोष्ठिका,১.কোষ ২.কোষ
केंद्रीय अग्रग प्रणाली,কেন্দ্ৰীয় ফ্ৰন্ট ব্যৱস্থা
1. सबिंदु 2. सकेंद्र,1. বিন্দু 2. ফোকাচ
अपकेंद्रण,কেন্দ্ৰচালিতকৰণ
अपकेंद्रक,কেন্দ্ৰচালিত কৰক
तारककेंद्र,তাৰকা কেন্দ্ৰ
केंद्रजनिक,এপিজেনেটিক
केंद्रजा,কেন্দ্ৰজা
लूम,loom
1. धान्य 2. सीरियल,১/ শস্যৰ বীজ ২. ছিৰিয়েল
1. प्रमाणीकरण 2. प्रमाणन,১.প্ৰমাণীকৰণ ২.প্ৰমাণীকৰণ
प्रमाणित बीज,প্ৰমাণিত বীজ
1. भूसा 2. कुट्टी 3. शल्क सहपत्र,১) খেৰ ২.কুট্টি ৩.শালক সহপাত্ৰ
1. निभाग 2. कैलाजा,১.নিভাগ ২.কৈলাজা
रसानुवर्तन,চাইম&#39;গ্ৰাফী
1. किआज्मा 2. व्यत्यस्त,১.কিয়াজমা ২.ব্যস্ত
अतिशीतन घंटे,ছুপাৰকুলিং ঘন্টা
शीतज क्षति,হিম ক্ষতি
1.  विचित्रोतकी 2. काइमेरा,১/ ভিচিৰোটাকি ২.চিমেৰা
हरित दली,সেউজীয়া দাইল
1. पर्णहरित 2. हरितक,১.পাতল ২.সেউজীয়া
हरिमाहीनता,চাইন&#39;ছিছ
जीव वितरण विज्ञान,জৈৱিক বিতৰণ বিজ্ঞান
1. क्रोमैटिड 2. अर्धगुणसूत्र,১) ক্ৰ’মেটিড ২) আধা ক্ৰম’জম
क्रोमैटिन,ক্ৰ&#39;মেটিন
वर्णलेखन,ক্ৰ&#39;মাট&#39;গ্ৰাফী
क्रोमोटिनलयन,ক্ৰ&#39;মেটিনেচন
परिसूत्र बिंदु,অলিন্দৰ বিন্দু
वर्णजनन,ক্ৰ&#39;মেট&#39;জেনেছিছ
1. क्रोमोप्रोटीन 2. वर्णकप्रोटीन,১/ ক্ৰম’প্ৰটিন ২.ৰঞ্জক প্ৰটিন
1. गुणसूत्र 2. क्रोमोसोम,১.ক্ৰম’জম ২.ক্ৰম’জম
1. चिरकाली 2. दीर्घकाली 3. जीर्ण 4. पुराना,1. দীৰ্ঘদিনীয়া 2. দীৰ্ঘদিনীয়া 3. দীৰ্ঘদিনীয়া 4. অচল
सिट्रेंज,ট্যাগ এর সাথে ছবি &#39;citrange&#39;:
पर्णाभपर्व,পতন উৎসৱ
वर्गीकरण,শ্ৰেণীবিভাজন
1.मृत्तिका 2. चिकनी मिट्टी,১.মাটি ২.মাটি
1. निर्मलन 2. मार्जन 3. सफाई 4.  शोधन,১/ পৰিষ্কাৰ কৰা ২.স্ক্ৰাব কৰা ৩. পৰিষ্কাৰ কৰা ৪.বিশুদ্ধকৰণ
अनुन्मील्य परागण,স্থায়ী পৰগাছা
क्रतिक श्वसनी फल,ক্ৰুচিফেৰাছ ফল
जलवायु,জলবায়ু
जलवायु विज्ञान,জলবায়ুবিজ্ঞান
कतरनी,shear
ढेला (मिट्टी का),গোট (মাটি)
क्लोन,ক্ল&#39;ন
1.मेघ 2. बादल,১.ডাৱৰ ২.ডাৱৰ
पुंज (क्लंप,ক্লাম্প
गुच्छ,মুঠি
1.स्थूल 2. मोटा 3. कच्चा 4. अपरिष्कृत,১.মোটা ২.ৰুক্ষ ৩.কেঁচা ৪.ৰুক্ষ
1. आवरण 2.  चर्मावरण,১.আৱৰণ ২.চামৰাৰ টুকুৰা
कोया,কয়া
1. कोएन्जाइम 2. सह-एन्जाइम,১/ কো-এনজাইম ২.কো-এনজাইম
संसंजन,সংহতি
1. रेशा (जूट पटसन) 2. नारियल जटा,১/ আঁহ (পাট পাট) ২) নাৰিকল মোটা
मूलांकुर चोल,মুলংকুৰ চোলা
,
कोलॉइड (मृदा),কলয়ড (মাটি)
1.स्तंभिका 2. कॉलुमेला,১.স্তম্ভ ২.কলমেলা
1.दंड 2. स्तंभ 3. कॉलम,১/ শাস্তি ২.স্তম্ভ ৩.স্তম্ভ
