Malayalam,Punjabi
എ ബി ക്ലാസ് ആംപ്ലിഫയർ,ਏ ਬੀ ਕਲਾਸ ਐਂਪਲੀਫਾਇਰ
അപഭ്രംശം,ਵਿਗਾੜ
അസാധാരണമായ സംക്രമണം,ਅਸਧਾਰਨ ਸੰਚਾਰ
"ഘടിപ്പിക്കാത്ത, സാധാരണയായി, കുഴികളുള്ള, ഛേദിക്കപ്പെട്ട, ഒടിഞ്ഞ","ਅਣ-ਅਟੈਚਡ, ਆਮ ਤੌਰ &#39;ਤੇ, ਟੋਏ, ਕੱਟੇ ਹੋਏ, ਖੰਡਿਤ"
സ്പെക്ട്രം കാണുന്നില്ല,ਗੁੰਮ ਸਪੈਕਟ੍ਰਮ
"കേവല, കേവല, സ്ഥിരം, തികഞ്ഞ","ਪੂਰਨ, ਸੰਪੂਰਨ, ਨਿਰੰਤਰ, ਸੰਪੂਰਨ"
കേവല ഈർപ്പം,ਪੂਰਨ ਨਮੀ
കേവല വേഗത,ਪੂਰਨ ਗਤੀ
സമ്പൂർണ നിരീക്ഷണം,ਪੂਰਨ ਨਿਰੀਖਣ
കേവല താപനില,ਪੂਰਨ ਤਾਪਮਾਨ
കേവല പൂജ്യം,ਪੂਰਨ ਜ਼ੀਰੋ
ആഗിരണം ചെയ്യുക,ਸੋਖਣਾ
"ആഗിരണം, ആഗിരണം","ਸੋਖਣ ਵਾਲਾ, ਸੋਖਣ ਵਾਲਾ"
ആഗിരണം ശേഷി,ਸਮਾਈ ਸਮਰੱਥਾ
ആഗിരണം,ਸਮਾਈ
ആഗിരണം ചെയ്യാവുന്ന,ਜਜ਼ਬ ਕਰਨ ਵਾਲਾ
ആഗിരണം,ਸਮਾਈ
ഗുണിത അനുപാതം,ਗੁਣਾ ਅਨੁਪਾਤ
ത്വരിതപ്പെടുത്തുക,ਤੇਜ਼ ਕਰੋ
തിടുക്കപ്പെട്ടു,ਜਲਦੀ
ത്വരണം,ਪ੍ਰਵੇਗ
ഗുരുത്വാകർഷണ ത്വരണം,ਗੰਭੀਰਤਾ ਦਾ ਪ੍ਰਵੇਗ
ആക്സിലറേറ്റർ,ਐਕਸਲੇਟਰ
ആക്സിലറേറ്റർ,ਐਕਸਲੇਟਰ
ആക്സിലറോമീറ്റർ,ਐਕਸਲੇਰੋਮੀਟਰ
പ്രിസ്ട്രെസർ,prestresser
സ്വീകാര്യമായ പരിശോധന,ਸਵੀਕਾਰਯੋਗ ਟੈਸਟ
സ്വീകർത്താവ്,ਸਵੀਕਾਰ ਕਰਨ ਵਾਲਾ
ദാതാവിന്റെ തന്മാത്ര,ਦਾਨੀ ਅਣੂ
"പ്രവേശനം, കാത്തിരിപ്പ്, പ്രവേശനക്ഷമത","ਪਹੁੰਚ, ਉਡੀਕ, ਪਹੁੰਚਯੋਗਤਾ"
പ്രവേശനക്ഷമത,ਪਹੁੰਚਯੋਗਤਾ
"സ്പെയർ, ആക്സസറി, ആക്സസറി (വി.), ആക്സസറികൾ (എഡി.)","ਵਾਧੂ, ਸਹਾਇਕ, ਸਹਾਇਕ (v.), ਸਹਾਇਕ ਉਪਕਰਣ (ed.)"
പ്രവേശന സമയം,ਪਹੁੰਚ ਦਾ ਸਮਾਂ
സന്ദർശക പിശക്,ਵਿਜ਼ਟਰ ਗਲਤੀ
ക്രമീകരിക്കൽ,ਵਿਵਸਥਾ
കുമിഞ്ഞുകൂടി,ਇਕੱਠਾ ਕੀਤਾ
"ശേഖരണം, ശേഖരണം","ਇਕੱਠਾ ਕਰਨਾ, ਇਕੱਠਾ ਕਰਨਾ"
ശേഖരണം,ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ
കൃത്യത,ਸ਼ੁੱਧਤਾ
റിയാലിറ്റി,ਅਸਲੀਅਤ
അക്രോമാറ്റിക് ലെൻസ്,ਅਕ੍ਰੋਮੈਟਿਕ ਲੈਂਸ
അക്രോമാറ്റിക്,ਅਕ੍ਰੋਮੈਟਿਕ
അക്രോമാറ്റിറ്റി,ਰੰਗੀਨਤਾ
അക്കോസ്റ്റിക്,ਧੁਨੀ
ശബ്ദപ്രതിരോധം,ਸਾਊਂਡਪਰੂਫ਼
അക്കോസ്റ്റിക് ഫോണോൺ,ਧੁਨੀ ਫੋਨੋਨ
ശബ്ദ യൂണിറ്റ്,ਆਵਾਜ਼ ਯੂਨਿਟ
അക്കോസ്റ്റിക്,ਧੁਨੀ
ശബ്ദ ജനറേറ്റർ,ਆਵਾਜ਼ ਜਨਰੇਟਰ
പ്രവർത്തനവും പ്രതികരണവും,ਕਾਰਵਾਈ ਅਤੇ ਪ੍ਰਤੀਕਰਮ
സജീവമാക്കൽ,ਸਰਗਰਮੀ
സജീവമാക്കൽ ഊർജ്ജം,ਸਰਗਰਮੀ ਊਰਜਾ
"ആക്റ്റിവേറ്റർ, ആക്റ്റിവേറ്റർ","ਐਕਟੀਵੇਟਰ, ਐਕਟੀਵੇਟਰ"
സജീവമാണ്,ਕਿਰਿਆਸ਼ੀਲ
ആക്ടിവിസം,ਸਰਗਰਮੀ
യഥാർത്ഥ സമ്മർദ്ദം,ਅਸਲ ਤਣਾਅ
മന്ത്രിക്കുന്നു,ਘੁਸਰ-ਮੁਸਰ
സംഗ്രഹിക്കാനായി,ਸੰਪੇਕਸ਼ਤ
"തുക, കൂട്ടിച്ചേർക്കൽ, മൊത്തം (എഡി.), സങ്കലനം (വി.)","ਜੋੜ, ਜੋੜ, ਕੁੱਲ (ਐਡੀ.), ਜੋੜ (v.)"
"സംയോജിത സ്വരം, അധിക സ്വരം (സ്വരാക്ഷരങ്ങൾ)","ਸੰਯੋਜਕ ਟੋਨ, ਵਾਧੂ ਸੁਰ (ਸਵਰ)"
സങ്കലനം,additive
അഡീഷൻ,adhesion
പശ ഊർജ്ജം,ਚਿਪਕਣ ਵਾਲੀ ਊਰਜਾ
അടിയാബാറ്റ്,adiabat
adiabatic,adiabatic
ചൂട് ഇൻസുലേറ്റിംഗ്,ਗਰਮੀ ਇੰਸੂਲੇਟਿੰਗ
ബന്ധം,ਲਗਾਵ
ക്രമീകരിക്കാവുന്ന,ਵਿਵਸਥਿਤ
നുഴഞ്ഞുകയറ്റം,ਪ੍ਰਵੇਸ਼
ആഗിരണം,ਸੋਸ਼ਣ
മുന്നോട്ട്,ਅੱਗੇ
പുരോഗമനപരമായ,ਪ੍ਰਗਤੀਸ਼ੀਲ
"ആകാശി, വായു (വി.), ഏരിയൽ (എഡി.)","ਆਕਾਸ਼ੀ, ਹਵਾ (ਵੀ.), ਏਰੀਅਲ (ਐਡੀ.)"
ആന്റിന സ്ട്രീം,ਐਂਟੀਨਾ ਸਟ੍ਰੀਮ
ഏരിയൽ സർവേ,ਹਵਾਈ ਸਰਵੇਖਣ
വായു വേഗത,ਹਵਾ ਦੀ ਗਤੀ
എയറോഡൈനാമിക് കോഫിഫിഷ്യന്റ്,ਐਰੋਡਾਇਨਾਮਿਕ ਗੁਣਾਂਕ
എയറോഡൈനാമിക്,ਐਰੋਡਾਇਨਾਮਿਕ
