Assamese,Kannada
এ চি সমতুল্য বৰ্তনী,ಎಸಿ ಸಮಾನ ಸರ್ಕ್ಯೂಟ್
এনালগ টু সংখ্যাগত ৰূপান্তৰক,ಸಂಖ್ಯಾ ಪರಿವರ್ತಕಕ್ಕೆ ಅನಲಾಗ್
নিৰপেক্ষ শূন্য,ಸಂಪೂರ್ಣ ಶೂನ್ಯ
শোষণ সহগ,ಹೀರಿಕೊಳ್ಳುವ ಗುಣಾಂಕ
শোষণ বৰ্ণালী,ಹೀರಿಕೊಳ್ಳುವ ವರ್ಣಪಟಲ
ৰিচেপ্টৰ পৰমাণু,ಗ್ರಾಹಕ ಪರಮಾಣು
বিকল্প বিদ্যুৎ প্ৰবাহ সংযোজন,ಪರ್ಯಾಯ ವಿದ್ಯುತ್ ಜೋಡಣೆ
ইলেক্ট্ৰন সংগ্ৰহ কৰা,ಎಲೆಕ್ಟ್ರಾನ್ ಕೊಯ್ಲು
ফুটা সংৰক্ষণ,ರಂಧ್ರ ಸಂಗ್ರಹಣೆ
সক্ৰিয়কৰণ শক্তি,ಸಕ್ರಿಯಗೊಳಿಸುವ ಶಕ್ತಿ
সক্ৰিয় পৰিবৰ্ধক,ಸಕ್ರಿಯ ಆಂಪ್ಲಿಫಯರ್
সক্ৰিয় ডাইঅ&#39;ড বৰ্তনী,ಸಕ್ರಿಯ ಡಯೋಡ್ ಸರ್ಕ್ಯೂಟ್
সক্ৰিয় ফিল্টাৰ,ಸಕ್ರಿಯ ಫಿಲ್ಟರ್
সক্ৰিয় উচ্চ কম্পাঙ্ক পাৰ্কেট ফিল্টাৰ,ಸಕ್ರಿಯ ಹೈ ಫ್ರೀಕ್ವೆನ್ಸಿ ಪ್ಯಾರ್ಕ್ವೆಟ್ ಫಿಲ್ಟರ್
সক্ৰিয় লোড,ಸಕ್ರಿಯ ಲೋಡ್
সক্ৰিয় কম কম্পাঙ্ক বিশ্লেষণ ফিল্টাৰ,ಸಕ್ರಿಯ ಕಡಿಮೆ ಆವರ್ತನ ಪಾರ್ಸ್ ಫಿಲ್ಟರ್
সক্ৰিয় অঞ্চল,ಸಕ್ರಿಯ ಪ್ರದೇಶ
অভিযোজিত ইলেক্ট্ৰনিক্স,ಹೊಂದಾಣಿಕೆಯ ಎಲೆಕ್ಟ್ರಾನಿಕ್ಸ್
adder,ಸೇರಿಸುವವನು
এডজাষ্টেবল বেণ্ড এক্সটেনচন,ಹೊಂದಾಣಿಕೆ ಬ್ಯಾಂಡ್ ವಿಸ್ತರಣೆ
ভেদ,ನುಗ್ಗುವಿಕೆ
এৰিয়েল,ಏರಿಯಲ್
pep কম্পাঙ্ক,ಪೆಪ್ ಆವರ್ತನ
এয়াৰ কণ্ডিচনাৰ,ಹವಾ ನಿಯಂತ್ರಣ ಯಂತ್ರ
প্ৰান্তিককৰণ,ಜೋಡಣೆ
এলগৰিদম,ಅಲ್ಗಾರಿದಮ್
সকলো পাছ ফিল্টাৰ,ಎಲ್ಲಾ ಪಾಸ್ ಫಿಲ್ಟರ್
মিশ্ৰণ সংযোগ,ಮಿಶ್ರಲೋಹ ಜಂಕ್ಷನ್
ক্ষীণকৰণ,ಕ್ಷೀಣತೆ
বিকল্প বিদ্যুৎ প্ৰবাহ,ಪರ್ಯಾಯ ಪ್ರವಾಹ
পৰিৱেশৰ উষ্ণতা,ಹೊರಗಿನ ತಾಪಮಾನ
বাইপোলাৰ,ಬೈಪೋಲಾರ್
এম্প্লিফিকেশন,ವರ್ಧನೆ
এম্প্লিফায়াৰ,ಆಂಪ್ಲಿಫಯರ್
এম্প্লিফায়াৰৰ কাৰ্যক্ষমতা,ಆಂಪ್ಲಿಫಯರ್ ದಕ್ಷತೆ
মাত্ৰাসমূহ,ಆಯಾಮಗಳು
প্ৰসাৰণ ক্ষীণকৰণ,ವೈಶಾಲ್ಯ ಕ್ಷೀಣತೆ
প্ৰসাৰণ মডুলেটেড AM দোলক,ಆಂಪ್ಲಿಟ್ಯೂಡ್ ಮಾಡ್ಯುಲೇಟೆಡ್ AM ಆಂದೋಲಕ
প্ৰসাৰণ মডুলেচন,ವೈಶಾಲ್ಯ ಮಾಡ್ಯುಲೇಶನ್
প্ৰসাৰণ মডুলেটৰ,ವೈಶಾಲ್ಯ ಮಾಡ್ಯುಲೇಟರ್
angstrom একক,ಆಂಗ್ಸ್ಟ್ರಾಮ್ ಘಟಕ
এনালগ বৰ্তনী,ಅನಲಾಗ್ ಸರ್ಕ್ಯೂಟ್
এনালগ কম্পিউটাৰ,ಅನಲಾಗ್ ಕಂಪ್ಯೂಟರ್
এনালগ ফিল্টাৰ,ಅನಲಾಗ್ ಫಿಲ್ಟರ್
