Punjabi,Tamil
ਪਰੇਸ਼ਾਨੀ,குறைப்பு
ਸੰਖੇਪ,சுருக்கம்
ਅਗਵਾ,கடத்தல்
ਧਾਰਨਾ,நிறுத்துதல்
ਯੋਗਤਾ,திறன்
ਏਬੀ ਦੀ ਸ਼ੁਰੂਆਤ,Ab initio
ਯੋਗ,முடியும்
ਅਸਧਾਰਨ,அசாதாரணமானது
ਖਤਮ,ஒழிப்பு
ਅਬੋਲੋਜੀਫ ਪੋਸਟ,இடுகை ஒழிப்பு
ਉੱਪਰ ਦੱਸਿਆ ਗਿਆ,மேலே குறிப்பிட்டுள்ள
ਉੱਪਰ ਹਵਾਲਾ ਦਿੱਤਾ,மேலே மேற்கோள் காட்டப்பட்டுள்ளது
ਉਪਰੋਕਤ ਕਿਹਾ,மேலே கூறினார்
ਗੈਰਹਾਜ਼ਰੀ,இல்லாதது
ਗੈਰਹਾਜ਼ਰ,வராதவர்
ਗੈਰਹਾਜ਼ਰ,இல்லாதது
ਗੈਰਹਾਜ਼ਰ ਬਿਆਨ,இல்லாத அறிக்கை
ਅਸੀਮ,அறுதி
ਪੂਰੀ ਏਕਾਅਧਿਕਾਰ,முழுமையான ஏகபோகம்
ਸੰਪੂਰਨ ਮਾਲਕੀ,முழுமையான உரிமை
ਸਮਾਈ,உறிஞ்சுதல்
ਸਾਰ,சுருக்கம்
ਸੰਖੇਪ,சுருக்கம்
ਬੇਹੂਦਾ,அபத்தமான
ਬਹੁਤਾਤ,ஏராளமாக
ਸ਼ਕਤੀ ਦੀ ਦੁਰਵਰਤੋਂ,அதிகார துஷ்பிரயோகம்
ਗਾਲਾਂ ਕੱ .ਣ ਵਾਲੀ ਭਾਸ਼ਾ,தவறான மொழி
ਅਕਾਦਮਿਕ,கல்வி
ਅਕਾਦਮਿਕ ਵਿਚਾਰ ਵਟਾਂਦਰੇ,கல்வி விவாதம்
ਅਕਾਦਮਿਕ ਛੁੱਟੀ,கல்வி விடுப்பு
ਅਕਾਦਮਿਕ ਯੋਗਤਾ,கல்வி தகுதி
ਅਕਾਦਮਿਕ ਰਿਕਾਰਡ,கல்வி சாதனையை
ਐੱਸ,ஏற்றுக்கொள்ளுங்கள்
ਸਵੀਕਾਰ ਕਰੋ,ஏற்றுக்கொள்
ਮਨਜ਼ੂਰ,ஏற்றுக்கொள்ளல்
ਦਫਤਰ ਦੀ ਪ੍ਰਵਾਨਗੀ,பதவியை ஏற்றுக்கொள்வது
ਟੈਂਡਰ ਦੀ ਪ੍ਰਵਾਨਗੀ,டெண்டரை ஏற்றுக்கொள்வது
ਪਹੁੰਚ,அணுகல்
ਐਕਸੈਸਿੰਗ,அணுகல்
ਸਹਾਇਕ,துணை
ਹਾਦਸਾ,விபத்து
ਅਨੁਕੂਲਤਾ,பழக்கவழக்கமயமாக்கல்
ਰਿਹਾਇਸ਼,தங்குமிடம்
ਦੇ ਨਾਲ,துணையுடன்
ਸਮਝੌਤਾ,உடன்பாடு
ਦੇ ਅਨੁਸਾਰ,ஒப்புதல்
ਇਸ ਅਨੁਸਾਰ,அதன்படி
ਖਾਤਾ,கணக்கு
ਜਵਾਬਦੇਹੀ,பொறுப்புக்கூறல்
ਜਵਾਬਦੇਹ,பொறுப்பு
ਖਾਤੇ ਦੀ,கணக்கியல்
ਲੇਖਾਕਾਰ,கணக்காளர்
ਲਈ ਖਾਤਾ,கணக்கு
ਖਾਤਾ ਸਿਰ,கணக்கு தலை
ਇਕੱਠਾ ਕੀਤਾ ਲਾਭ,திரட்டப்பட்ட நன்மை
ਇਕੱਠੀ ਕੀਤੀ ਪੈਨਸ਼ਨ,திரட்டப்பட்ட ஓய்வூதியம்
ਇਕੱਠਾ,குவிப்பு
ਸ਼ੁੱਧਤਾ,துல்லியம்
ਸਹੀ,துல்லியமானது
ਦੋਸ਼ ਲਾਉਂਦਾ ਹੈ,குற்றம்
ਦੋਸ਼ੀ,குற்றம் சாட்டப்பட்டவர்
ਪ੍ਰਾਪਤੀ,சாதனை
ਪ੍ਰਵਾਨਗੀ,ஒப்புதல்
ਬਣ ਰਹੇ,ஒப்புதல் காரணமாக
ਜਾਣ-ਪਛਾਣ,அறிமுகம்
ਗ੍ਰਹਿਣ,கையகப்படுத்தல்
ਬਰੀ,விடுவித்தல்
ਐਕਟ,நாடகம்
ਅਦਾਕਾਰੀ ਭੱਤਾ,நடிப்பு கொடுப்பனவு
ਕਾਰਵਾਈ,செயல்
ਕਾਰਵਾਈ ਜੁਗਤ,செயல் திட்டம்
ਕਿਰਿਆਸ਼ੀਲ,செயலில்
ਸਰਗਰਮੀ ਨਾਲ,சுறுசுறுப்பாக
ਕਾਰਜਕਰਤਾ,ஆர்வலர்
ਰੱਬ ਦਾ ਕੰਮ,கடவுளின் செயல்
ਦੁਰਵਿਵਹਾਰ ਦਾ ਕੰਮ,தவறான நடத்தை செயல்
