Hindi,Punjabi
अपाक्ष पृष्ठ,ਐਬੈਕਸਿਅਲ ਸਤਹ
उदर,ਪੇਟ
उदर महाधमनी,ਪੇਟ AORTA
उदर गुच्छिका,ਪੇਟ ਗੰਗਾਲੀਆ
अबेलमॉस्कस एस्कुलेन्टस,ਅਬੈਲਮੋਸਚਸ ਐਸਕੂਲਟਸ
विपथन,ਅਸਧਾਰਨ
ऐबीज (बलूत),ਅੱਛਾ
ऐबिंग्डन कछुआ,ਅਬਿੰਗਡਨ ਕਛੂਆ
अजीवात्जनन,ਅਬੀਓਜੀਨੇਸਿਸ
अजीवीय,ਅਬੀਓਟਿਕ
"अजीवीय कारक, अजैव कारक",ਅਬੀਓਟਿਕ ਕਾਰਕ
अपसामानय मूत्र,ਅਸਧਾਰਨ ਪਿਸ਼ਾਬ
ए.बी.ओ. रुधिर वर्ग,ਅਬੋ ਬਲੱਡ ਗਰੁੱਪ
एब्सिसिक अम्ल,Abscisic ਐਸਿਡ
विलगन,ਵਿਵੇਕ
अवशोषण करना,ਸੋਖਣਾ
अवशोषण शिखर,ਸਮਾਈ ਪੀਕ
अवशोषण,ਸਮਾਈ
अकेशिया कैटेच्यू,ਅੱਕੀਆ ਕੈਟੂਯੂ
अकेशिया अरेबिका (बबूल),ਅਕਾਰੀਆ ਅਰਬੀ
ऐकैप्रिन,ਐਕਾਪ੍ਰਿਨ
स्वीकार्य लैंगिक व्यवहार,ਮੰਨਣਯੋਗ ਜਿਨਸੀ ਵਿਵਹਾਰ
सहायक ग्रंथि,ਐਕਸੈਸਰੀ ਗਲੈਂਡ
अतिरिक्त ग्रंथि,ਐਕਸੈਸਰੀ ਗਲੈਂਡ
सहायक अंग,ਸਹਾਇਕ ਅੰਗ
"पर्यनुकूलन, दशानुकूलन",ਅਨੁਕੂਲਤਾ
"पर्यनुकूलित करना, दशानुकूलित करना",ਅਹਿਮ
समंजन (फोकसन),ਰਿਹਾਇਸ਼ (ਫੋਕਸ ਕਰਨਾ)
नेत्र की समंजन क्षमता,ਅੱਖ ਦੀ ਰਿਹਾਇਸ਼
अभिवर्धी वृद्धि,ਅਦਭੁਤ ਵਾਧਾ
"संचय, संचयन",ਇਕੱਠਾ
कार्बनिक पदार्थों का एकत्रीकरण,ਜੈਵਿਕ ਪਦਾਰਥ ਦਾ ਇਕੱਠਾ ਹੋਣਾ
मृदा संचयन,ਮਿੱਟੀ ਦਾ ਇਕੱਠਾ ਹੋਣਾ
अकोशिकीय,ਐਸੀਲੂਲਰ
अकोशिकीय जीव,ਐਸੀਲੂਲਰ ਜੀਵ
"श्रोणिउलूखल, ऐसीटैबुलम",ਐਸੀਟੌਮੂਲਮ
ऐसीटेल्डिहाइड,ਐਸੀਟਲਾਈਡਾਈਡ
ऐसीटिल सह-ऐंजाइम,ਐਸੀਟੇਲ ਰੀਜ਼ਨ
ऐकेटाइना,ਅਮੀਥਿਨਾ
ऐकीन प्रकार,ਅੱਕੇ
ऐकीन,ਅਕੇਸ਼ੀ
ऐक्लेमाइडोस्पोरी,AchlamyDosporeae
अम्ल वर्षा,ਐਸਿਡ ਬਾਰਸ਼
अम्लीय,ਤੇਜਾਬ
अम्लीय गैस,ਤੇਜ਼ਾਬ ਗੈਸ
अम्लता,ਐਸਿਡਿਟੀ
गुच्छकोष्ठक कोशिका,ਐਕਸੀਨਰ ਸੈੱਲ
अगुहिक,ਆਕੋਲੀਓਮੈਟ
ऐकोनिटम,ਐਕੋਨਿਟਮ
"एकॉर्न कृमि, बंजुक कृमि",ਐਕੋਰਨ ਕੀੜਾ
"ध्वानिक मंडलन, ध्वानिक जोननिर्माण",ਧੁਨੀ ਜ਼ੋਨਿੰਗ
उपार्जित लक्षण,ਪਾਤਰ ਪਾਤਰ
उपार्जित प्रतिरक्षा,ਸੀਮਤ ਸੀਮਤ
उपार्जित प्रतिरक्षा न्यूनता संलक्षण (एड्स),ਐਕੁਆਇਰਡ ਇਮੂਨੋ ਦੀ ਘਾਟ ਸਿੰਡਰੋਮ (ਏਡਜ਼)
ऐक्रैनिया,ਅਰੇਂੀਆ
एक्रिडीन रंजक,ਐਸੀਰੇਸਾਈਨ ਡਾਇ
अग्रकेंद्री,ਐਕਰੋਸੀਐਸਟ੍ਰਿਕ
अंसकूट,ਐਕਰੋਮਰ
अग्राभिसारी अनुक्रम,ਅਸ਼ੋਕਲ ਤਰਤੀਬ
अग्राभिसारी क्रम,ਐਕਰੋਪੇਟਲ ਆਰਡਰ
एक्रोसिन,ਐਕਰੋਸਿਨ
ऐक्टिन,ਐਕਟਿਨ
ऐक्टिन-सम प्रोटीन,ਐਕਟਿਨ ਵਰਗੇ ਪ੍ਰੋਟੀਨ
त्रिज्यासममित,ਐਕਟਿਨੀਮੋਰਿਕ
एक्टिनोमाइसिटीज,ਐਕਟਿਨੋਮਾਈਸਾਈਟਸ
क्रिया विभव,ਕਾਰਵਾਈ ਸੰਭਾਵਨਾ
सक्रियित आपंक,ਸਰਗਰਮ ਸਲੱਜ
सक्रियित आपंक फ्लॉक,ਸਰਗਰਮ ਸਲੈਮ ਫਾਸਟ
सक्रियण ऊर्जा,ਐਕਟੀਵੇਸ਼ਨ Energy ਰਜਾ
सक्रिय अवशोषण,ਐਕਟਿਵ ਸਮਾਈ
सक्रिय प्रतिरक्षा,ਕਿਰਿਆਸ਼ੀਲ ਛੋਟ
सक्रिय विकिरण,ਸਰਗਰਮ ਰੇਡੀਏਸ਼ਨ
सक्रिय स्थल,ਐਕਟਿਵ ਸਾਈਟ
ऐक्टिविन,ਐਕਟੀਵੇਟ
लंबाग्र,ਅਮੀਮਿਨੇਟ
ऐडैम्सिया,ਐਡਮਜ਼ੀਆ
अनुकूलनशीलता,ਅਨੁਕੂਲਤਾ
अनुकूलन,ਅਨੁਕੂਲਤਾ
प्रकाश प्रवृत्ति के प्रति अनुकूलन,ਚਾਨਣ ਸ਼ਾਸਨ ਲਈ ਅਨੁਕੂਲਤਾ
जलाभाव के प्रति अनुकूलन,ਪਾਣੀ ਦੀ ਘਾਟ ਲਈ ਅਨੁਕੂਲਤਾ
अनुकूली (अभि) लक्षण,ਅਨੁਕੂਲ ਗੁਣ
अनुकूली प्रतिरक्षा,ਅਨੁਕੂਲ ਛੋਟ
अनुकूली विकिरण,ਅਨੁਕੂਲ ਰੇਡੀਏਸ਼ਨ
अनुकूली विशेषक,ਅਨੁਕੂਲ ਗੁਣ
अभ्यक्ष पृष्ठ,ਏਕੈਕਸੀਅਲ ਸਤਹ
व्यसनी विकार,ਨਸ਼ਾ ਕਰਨ ਵਾਲੀ ਵਿਕਾਰ
ऐडेनीन,ਐਡੀਨੇਨ
ऐडिनोकॉर्टिकोट्रॉपिन,ਐਡੇਨੋਕਾਰਸਪੋਰਟ੍ਰੋਪਿਨ
ऐडेनोहाइपोफाइसिस,ਐਡੀਨੋਹਾਇਪਿਸਿਸ
ऐडेनोसिन डाइफास्फेट,ਅਡੇਨੋਸਿਨ ਡਿਇਆਪਸਫੇਟ
ऐडेनोसिन डीएमीनेज,ਐਡੀਨੋਸਾਈਨ ਡਿਮੇਨਬੇਸ
ऐडेनोसिन मोनोफॉस्फेट,ਐਡੀਨੋਸਾਈਨ ਮੋਨੋਫੋਸਫੇਟ
ऐडेनोसिन ट्राइफॉस्फेट,ਐਡੀਨੋਸਾਈਨ ਟ੍ਰਾਈਫੋਸਫੇਟ (ਏਟੀਪੀ)
एडेनिलेट साइक्लेज,ਐਡੀਨੇਲਲੇਟ ਸਾਈਕਲੇਜ
आसंजी बल,ਚਿਪਕਣ ਵਾਲੀ ਤਾਕਤ
ऐडिपेट,ਐਡਪੋਜ਼
वसाणु (वसा कोशिका),Adipocyte (ਚਰਬੀ ਸੈੱਲ)
वसा ऊतक,ਐਡਪੋਜ਼ ਟਿਸ਼ੂ
संलग्न,ਐਡਨੇਟ
संलग्न समुदाय,ਨਾਲ ਲੱਗਦੀ ਕਮਿ Community ਨਿਟੀ
अधिवृक्क,ਐਡਰੀਨਲ
अधिवृक्क ग्रंथि,ਐਡਰੇਨਲ ਗਲੈਂਡ
एड्रिनोकॉर्टिकोट्रॉपिक हॉर्मोन,ਐਡਰੇਨੋਕੋਟਰੋਪਿਕ ਹਾਰਮੋਨ (ਐਕਟਿਹ)
एड्रिनोकॉर्टिकोट्रॉपिक निर्मोचक हार्मोन,ਐਡਰੇਨੋਕਰੋਪੋਰਟਿਕੋਟਰੋਪਿਕ ਰੀਲੀਜ਼ ਹਾਰਮੋਨ (ACTRH)
अधिशोषक,ਐਡੋਰਬੈਂਟ
अधिशोषण,ਇਸ਼ਤਿਹਾਰ
उन्नत कशेरुकी,ਐਡਵਾਂਸਡ ਕੋਰਡੇਟ
लाभकारी उत्परिवर्तन,ਲਾਭਦਾਇਕ ਪਰਿਵਰਤਨ
बाह्य कंचुक,ਸਾਹਸੀ
अपस्थानिक जड़,ਸਾਹਸੀ ਜੜ
प्रतिकूल प्रभाव,ਗਲਤ ਪ੍ਰਭਾਵ
ईडीज,ਏ.ਡੀ.ਡੀ.
संवर्ध-वातन,ਸਭਿਆਚਾਰ ਦੀ ਹਵਾਬਾਜ਼ੀ
वायूतक,Énerchyma
"वायव (वि.), एरियल (सं.)",ਏਰੀਅਲ
वायव जड़,ਏਰੀਅਲ ਰੂਟ
वायव प्ररोह,ਏਰੀਅਲ ਸ਼ੂਟ
वायु श्वसन,ਐਰੋਬਿਕ ਸਾਹ
ऑक्सी श्वसन,ਐਰੋਬਿਕ ਸਾਹ
सौंदर्यबोध,ਸੁਹਜ
पुष्पदल विन्यास,ਖਰਾਸ਼
ग्रीष्मनिष्क्रियता,ਖਰਾਸ਼
अभिवाही,ਪਿਆਰ
बंधुता वर्णलेखन,ਪੱਕਾ ਐਫੀਲੀਅਸ ਕ੍ਰੋਮੈਟੋਗ੍ਰਾਫੀ
ग्रसित अंग,ਦੁਖੀ ਅੰਗ
वनरोपण,ਕਥਾ
अनिषेकबीजता,ਅਗਿਆਤ
ऐगार,ਅਗਰ
ऐगेरोस,ਅਗਿਆਤ
ऐगेरोस जेल वैद्युतकण संचलन,ਅਗਾਅਰਜ਼ ਜੈੱਲ ਐਲੀਟ੍ਰੋਫੋਨਸਿਸ
एगेरोस बहुलक जेल,ਅਗਿਆਤ ਪੋਲੀਮਰ ਜੈੱਲ
एगास्ट,ਅਤਿ
अगेव,ਅਗਾਵ
आयु अनुसार वितरण,ਉਮਰ ਵੰਡ
आयु पिरैमिड,ਉਮਰ ਪਿਰਾਮਿਡ
आश्लेषण,Agglutate
पुंज,ਸਮੁੱਚੀ
पुटक पुंज,Follicle ਦਾ ਸਮੁੱਚਾ
पुटक समुच्चय,Follicle ਦਾ ਸਮੁੱਚਾ
"समुच्चय, समुच्चयन",ਇਕੱਤਰਤਾ
आक्रामकता,ਹਮਲਾਵਰਤਾ
प्रक्षोभक तंत्र,ਐਗਰੀਏਟਰ ਸਿਸਟਮ
ऐग्नेथा,ਅਗਨੀਥਾ
अगूटी,ਅਗਾਤੀ
ग्रेना-रहित हरितलवक,ਅਗਰੰਡੀ ਕਲਰੋਲੋਪਲਾਸਟ
"अकणकीय, रवाहीन",ਅਗਰੂ
अकणिकाणु,ਅਗਰਾਨੂਲੋਸਾਈਟ
"कृषि, खेती",ਖੇਤੀ ਬਾੜੀ
कृषिवानिकी,ਐਗਰੋਫੋਰੈਸਟਰੀ
"ऐग्रोबैक्टीरियम माध्यित, कृषि-जीवाणु माध्यित",ਐਗਰੋਬੈਟਰਿਅਮ ਵਿਚੋਲਗੀ
