Punjabi,Tamil
ਏ ਬੀ ਕਲਾਸ ਐਂਪਲੀਫਾਇਰ,A B வகுப்பு பெருக்கி
ਵਿਗਾੜ,பிறழ்வு
ਅਸਧਾਰਨ ਸੰਚਾਰ,அசாதாரண பரிமாற்றம்
"ਅਣ-ਅਟੈਚਡ, ਆਮ ਤੌਰ &#39;ਤੇ, ਟੋਏ, ਕੱਟੇ ਹੋਏ, ਖੰਡਿਤ","இணைக்கப்படாத, பொதுவாக, குழி, துண்டிக்கப்பட்ட, எலும்பு முறிவு"
ਗੁੰਮ ਸਪੈਕਟ੍ਰਮ,ஸ்பெக்ட்ரம் காணவில்லை
"ਪੂਰਨ, ਸੰਪੂਰਨ, ਨਿਰੰਤਰ, ਸੰਪੂਰਨ","முழுமையான, முழுமையான, நிலையான, சரியான"
ਪੂਰਨ ਨਮੀ,முழுமையான ஈரப்பதம்
ਪੂਰਨ ਗਤੀ,முழுமையான வேகம்
ਪੂਰਨ ਨਿਰੀਖਣ,முழுமையான கவனிப்பு
ਪੂਰਨ ਤਾਪਮਾਨ,முழுமையான வெப்பநிலை
ਪੂਰਨ ਜ਼ੀਰੋ,முழுமையான பூஜ்ஜியம்
ਸੋਖਣਾ,உறிஞ்சி
"ਸੋਖਣ ਵਾਲਾ, ਸੋਖਣ ਵਾਲਾ","உறிஞ்சும், உறிஞ்சும்"
ਸਮਾਈ ਸਮਰੱਥਾ,உறிஞ்சும் திறன்
ਸਮਾਈ,உறிஞ்சுதல்
ਜਜ਼ਬ ਕਰਨ ਵਾਲਾ,உறிஞ்சக்கூடியது
ਸਮਾਈ,உறிஞ்சும் தன்மை
ਗੁਣਾ ਅਨੁਪਾਤ,பன்மடங்கு விகிதம்
ਤੇਜ਼ ਕਰੋ,முடுக்கி
ਜਲਦੀ,விரைந்தார்
ਪ੍ਰਵੇਗ,முடுக்கம்
ਗੰਭੀਰਤਾ ਦਾ ਪ੍ਰਵੇਗ,ஈர்ப்பு முடுக்கம்
ਐਕਸਲੇਟਰ,முடுக்கி
ਐਕਸਲੇਟਰ,முடுக்கி
ਐਕਸਲੇਰੋਮੀਟਰ,முடுக்கமானி
prestresser,முன் அழுத்தம் கொடுப்பவர்
ਸਵੀਕਾਰਯੋਗ ਟੈਸਟ,ஏற்றுக்கொள்ளக்கூடிய சோதனை
ਸਵੀਕਾਰ ਕਰਨ ਵਾਲਾ,ஏற்பவர்
ਦਾਨੀ ਅਣੂ,நன்கொடையாளர் மூலக்கூறு
"ਪਹੁੰਚ, ਉਡੀਕ, ਪਹੁੰਚਯੋਗਤਾ","அணுகல், காத்திருப்பு, அணுகல்"
ਪਹੁੰਚਯੋਗਤਾ,அணுகல்
"ਵਾਧੂ, ਸਹਾਇਕ, ਸਹਾਇਕ (v.), ਸਹਾਇਕ ਉਪਕਰਣ (ed.)","கூடுதல், துணை, துணை (v.), துணைக்கருவிகள் (ed.)"
ਪਹੁੰਚ ਦਾ ਸਮਾਂ,அணுகல் நேரம்
ਵਿਜ਼ਟਰ ਗਲਤੀ,பார்வையாளர் பிழை
ਵਿਵਸਥਾ,சரிசெய்தல்
ਇਕੱਠਾ ਕੀਤਾ,திரட்டப்பட்டது
