Kannada,Tamil
ಎ ಬಿ ವರ್ಗದ ಆಂಪ್ಲಿಫಯರ್,A B வகுப்பு பெருக்கி
ವಿಪಥನ,பிறழ்வு
ಅಸಹಜ ಪ್ರಸರಣ,அசாதாரண பரிமாற்றம்
"ಜೋಡಿಸದ, ಸಾಮಾನ್ಯವಾಗಿ, ಹೊಂಡ, ಕತ್ತರಿಸಿದ, ಮುರಿತ","இணைக்கப்படாத, பொதுவாக, குழி, துண்டிக்கப்பட்ட, எலும்பு முறிவு"
ಸ್ಪೆಕ್ಟ್ರಮ್ ಕಾಣೆಯಾಗಿದೆ,ஸ்பெக்ட்ரம் காணவில்லை
"ಸಂಪೂರ್ಣ, ಸಂಪೂರ್ಣ, ನಿರಂತರ, ಪರಿಪೂರ್ಣ","முழுமையான, முழுமையான, நிலையான, சரியான"
ಸಂಪೂರ್ಣ ಆರ್ದ್ರತೆ,முழுமையான ஈரப்பதம்
ಸಂಪೂರ್ಣ ವೇಗ,முழுமையான வேகம்
ಸಂಪೂರ್ಣ ವೀಕ್ಷಣೆ,முழுமையான கவனிப்பு
ಸಂಪೂರ್ಣ ತಾಪಮಾನ,முழுமையான வெப்பநிலை
ಸಂಪೂರ್ಣ ಶೂನ್ಯ,முழுமையான பூஜ்ஜியம்
ಹೀರಿಕೊಳ್ಳುತ್ತವೆ,உறிஞ்சி
"ಹೀರಿಕೊಳ್ಳುವ, ಹೀರಿಕೊಳ್ಳುವ","உறிஞ்சும், உறிஞ்சும்"
ಹೀರಿಕೊಳ್ಳುವ ಸಾಮರ್ಥ್ಯ,உறிஞ்சும் திறன்
ಹೀರಿಕೊಳ್ಳುವಿಕೆ,உறிஞ்சுதல்
ಹೀರಿಕೊಳ್ಳುವ,உறிஞ்சக்கூடியது
ಹೀರಿಕೊಳ್ಳುವಿಕೆ,உறிஞ்சும் தன்மை
ಬಹುಸಂಖ್ಯೆಯ ಅನುಪಾತ,பன்மடங்கு விகிதம்
ವೇಗವನ್ನು,முடுக்கி
ಆತುರಪಟ್ಟರು,விரைந்தார்
ವೇಗವರ್ಧನೆ,முடுக்கம்
ಗುರುತ್ವಾಕರ್ಷಣೆಯ ವೇಗವರ್ಧನೆ,ஈர்ப்பு முடுக்கம்
ವೇಗವರ್ಧಕ,முடுக்கி
ವೇಗವರ್ಧಕ,முடுக்கி
ವೇಗವರ್ಧಕ,முடுக்கமானி
ಪ್ರಿಸ್ಟ್ರೆಸರ್,முன் அழுத்தம் கொடுப்பவர்
ಸ್ವೀಕಾರಾರ್ಹ ಪರೀಕ್ಷೆ,ஏற்றுக்கொள்ளக்கூடிய சோதனை
ಸ್ವೀಕರಿಸುವವರು,ஏற்பவர்
ದಾನಿ ಅಣು,நன்கொடையாளர் மூலக்கூறு
"ಪ್ರವೇಶ, ಕಾಯುವಿಕೆ, ಪ್ರವೇಶಿಸುವಿಕೆ","அணுகல், காத்திருப்பு, அணுகல்"
ಪ್ರವೇಶಿಸುವಿಕೆ,அணுகல்
"ಹೆಚ್ಚುವರಿ, ಪರಿಕರ, ಪರಿಕರ (ವಿ.), ಪರಿಕರಗಳು (ಸಂ)","கூடுதல், துணை, துணை (v.), துணைக்கருவிகள் (ed.)"
ಪ್ರವೇಶ ಸಮಯ,அணுகல் நேரம்
ಸಂದರ್ಶಕರ ದೋಷ,பார்வையாளர் பிழை
ಹೊಂದಾಣಿಕೆ,சரிசெய்தல்
ಸಂಗ್ರಹಿಸಲಾಗಿದೆ,திரட்டப்பட்டது
"ಶೇಖರಣೆ, ಶೇಖರಣೆ","திரட்சி, குவிப்பு"
ಸಂಚಯಕ,திரட்டி
ನಿಖರತೆ,துல்லியம்
ರಿಯಾಲಿಟಿ,யதார்த்தம்
ವರ್ಣರಹಿತ ಮಸೂರ,நிறமற்ற லென்ஸ்
ವರ್ಣರಹಿತ,வண்ணமயமான
ವರ್ಣರಹಿತತೆ,வண்ணமயமான தன்மை
ಅಕೌಸ್ಟಿಕ್,ஒலியியல்
ಧ್ವನಿ ನಿರೋಧಕ,ஒலி எதிர்ப்பு
ಅಕೌಸ್ಟಿಕ್ ಫೋನಾನ್,ஒலி ஃபோனான்
