Bengali,Tamil
ওয়েস্টমিনস্টারের অ্যাবে,வெஸ்ட்மின்ஸ்டர் அபே
বর্জনীয়,துறவு
দাসত্বের সমাপ্তি,அடிமைத்தனத்தை ஒழித்தல்
আদিবাসী,பழங்குடியினர்
আব্রাহাম যুগ,ஆபிரகாம் சகாப்தம்
অনুপস্থিত জমির মালিক,இல்லாத நில உரிமையாளர்கள்
একাডেমী,கலைக்கூடம்
আকরা সম্মেলন,அக்ரா மாநாடு
সঞ্চয়,திரட்டல்கள்
সংগ্রহ,வளர்ப்பு
অ্যাসেলডামা,அசெல்டாமா
আচিয়ান (=আচিয়ান),அச்சேயன் (=ஆச்சியன்)
আচিয়ান লীগ (=আচিয়ান লীগ),அச்சேயன் லீக் (=ஆச்சியன் லீக்)
অ্যাক্রোপলিস,அக்ரோபோலிஸ்
Acta Diurna,ஆக்டா டைர்னா
Acta Senatus,ஆக்டா செனடஸ்
অ্যাক্ট অ্যাডিশনেল,Acte Additionel
সক্রিয় রেকর্ড (=বর্তমান রেকর্ড),செயலில் உள்ள பதிவு (=தற்போதைய பதிவு)
প্রাপ্তির কাজ,அடையும் செயல்
ক্ষতিপূরণ এবং বিস্মৃতির আইন,இழப்பீடு மற்றும் மறதியின் செயல்
নিষ্পত্তির আইন,தீர்வு சட்டம்
বিজ্ঞাপন চুক্তি সীল,விளம்பர ஒப்பந்த முத்திரை
আদুল্লামাইটস,அதுலமைட்டுகள்
প্রতিপক্ষ,எதிரி
প্রতিপক্ষ,எதிரி
Aeon,ஏயோன்
এরারিয়াম,ஏரேரியம்
বায়বীয় যুদ্ধ,வான்வழிப் போர்
এটোলিয়ান লীগ,ஏட்டோலியன் லீக்
বয়স,வயது
বার্ধক্য (=বার্ধক্য),முதுமை (=வயதான)
বার্ধক্য প্রক্রিয়া,வயதான செயல்முறை
এগেলাই,அகெலாய்
বীরত্বের বয়স,வீரத்தின் வயது
এনলাইটমেন্টের বয়স,அறிவாற்றல் வயது
পেরিক্লেসের বয়স,பெரிக்கிள்ஸ் வயது
কারণ বয়স,பகுத்தறிவு வயது
কৃষিবাদ,விவசாயம்
কৃষি আন্দোলন,விவசாய இயக்கம்
অ্যালবিয়ন,அல்பியன்
অ্যালবাম,ஆல்பம்
অল্ডারম্যান,ஆல்டர்மேன்
