Hindi,Malayalam
आबेली समूह,അബെലിയൻ ഗ്രൂപ്പ്
आबेली सामिसमूह,അബെലിയൻ സെമിഗ്രൂപ്പ്
भुज,abscissa
"निरपेक्ष, परम, अचर, परिशुद्‌ध",കേവല
निरपेक्ष अभिसरण,കേവലമായ ഒത്തുചേരൽ
निरपेक्ष त्रुटि,സമ്പൂർണ്ണ പിശക്
परम उच्चिष्ठ,കേവല പരമാവധി
परम निम्निष्ठ,സമ്പൂർണ്ണ മിനിമം
निरपेक्ष मान,യഥാർത്ഥ മൂല്യം
निरपेक्ष वेग,കേവല വേഗത
अमूर्त बीजगणित,അമൂർത്ത ബീജഗണിതം
अमूर्त समूह सिद्‌धांत,അമൂർത്തമായ ഗ്രൂപ്പ് സിദ്ധാന്തം
त्वरण,ത്വരണം
गुरुत्वीय त्वरण,ഗുരുത്വാകർഷണം മൂലം ത്വരണം
स्वीकार्य वरण-समुच्चय,സ്വീകാര്യമായ ചോയ്സ് സെറ്റ്
स्वीकार्य गुणता स्तर,സ്വീകാര്യമായ നിലവാരം
स्वीकार्य परिसर,സ്വീകാര്യമായ ശ്രേണി
मान्य विश्वसनीयता स्तर,സ്വീകാര്യമായ വിശ്വാസ്യത നില
स्वीकरण-प्रतिचयन,സ്വീകാര്യമായ സാമ്പിൾ
संचित त्रुटि,സഞ്ചിത പിശക്
यथार्थता,കൃത്യത
लगा हुआ बल,പ്രവർത്തന ശക്തി
" क्रिया , कर्म",നടപടി
क्रिया और प्रतिक्रिया,പ്രവർത്തനവും പ്രതികരണവും
बीमा विज्ञान,യഥാർത്ഥ ശാസ്ത്രം
न्यूनकोण त्रिभुज,നിശിത കോണുള്ള ത്രികോണം
अचक्रीय,അസൈക്ലിക്
"योग करना, जोड़ना",ചേർക്കുക
योजक,ചേർക്കുന്നയാൾ
"योग, जोड़, संकलन (स.), योगात्मक (वि.)",കൂട്ടിച്ചേർക്കൽ
योग का सूत्र,കൂട്ടിച്ചേർക്കൽ സൂത്രവാക്യം
सम्मिश्र संख्याओं का योग,സങ്കീർണ്ണ സംഖ്യകളുടെ കൂട്ടിച്ചേർക്കൽ
फलनों का योग,പ്രവർത്തനങ്ങളുടെ കൂട്ടിച്ചേർക്കൽ
आव्यूहों का योग,മെട്രിക്സുകളുടെ കൂട്ടിച്ചേർക്കൽ
बहुपदों का योग,ബഹുപദങ്ങളുടെ കൂട്ടിച്ചേർക്കൽ
प्रायिकताओं का योग,സാധ്യതകളുടെ കൂട്ടിച്ചേർക്കൽ
सदिशों का योग,വെക്റ്ററുകളുടെ കൂട്ടിച്ചേർക്കൽ
"योग प्रमेय बेरीज सिद्‌धांत,",കൂട്ടിച്ചേർക്കൽ സിദ്ധാന്തം
योज्य समूह,സങ്കലന ഗ്രൂപ്പ്
योज्य व्युत्क्रम,വിപരീത വിപരീതം
"योज्यता, योगशीलता",അഡിറ്റീവ് പ്രോപ്പർട്ടി
योज्यता,അഡിറ്റിവിറ്റി
आसन्नता आव्यूह,തൊട്ടടുത്തുള്ള മാട്രിക്സ്
" संलग्न, निकटवर्ती , आसन्न",തൊട്ടടുത്തുള്ള
आसन्न कोण,അടുത്തുള്ള കോണുകൾ
आसन्न शीर्ष,തൊട്ടടുത്തുള്ള ശീർഷകം
सहबद्‌ध करना,ചേരുക
"संलग्न संलग्नीत,",തൊട്ടടുത്തുള്ള
सहखंडज सारणिक,അനുബന്ധ ഡിറ്റർമിനന്റ്
संलग्न अवकल समीकरण,അനുബന്ധ ഡിഫറൻഷ്യൽ സമവാക്യം
संलग्न समीकरण,അനുബന്ധ സമവാക്യം
सहखंडज आव्यूह,അനുബന്ധ മാട്രിക്സ്
आव्यूह सहखंडज,മാട്രിക്സിന്റെ അനുബന്ധം
सहखंडज आव्यूह,അഡ്ജുഗേറ്റ് മാട്രിക്സ്
ग्राह्य निर्णय फलन,സ്വീകാര്യമായ തീരുമാന പ്രവർത്തനം
ग्राह्य परिकल्पना,അനുവദനീയമായ അനുമാനം
वायुगतिक बल,എയറോഡൈനാമിക് ശക്തി
वायु गतिकी,എയറോഡൈനാമിക്സ്
सजातीय ज्यामिति,അഫൈൻ ജ്യാമിതി
सजातीय प्रतिचित्रण,അഫൈൻ മാപ്പിംഗ്
सजातीय रूपांतरण,അഫൈൻ പരിവർത്തനം
समुच्चयी चर,അഗ്രഗേറ്റിംഗ് വേരിയബിളുകൾ
" बीजगणित, ऐलजेब्रा , बीजावली , बीजक्रिया",ബീജഗണിതം
"बीजतः संवृत, बीजतः",ബീജഗണിതപരമായി അടച്ചിരിക്കുന്നു
बीजीय समीकरण,ബീജഗണിത സമവാക്യം
बीजीय व्यंजक,ബീജഗണിത പദപ്രയോഗം
बीजीय समघात,ബീജഗണിത രൂപം
बीजीय फलन,ബീജഗണിത പ്രവർത്തനം
बीजीय ज्यामिति,ബീജഗണിത ജ്യാമിതി
बीजीय बहुकता,ബീജഗണിത ഗുണിതം
बीजीय निकाय,ബീജഗണിത വ്യവസ്ഥ
सर्व-पूर्णांक समस्या,എല്ലാ പൂർണ്ണസംഖ്യാ പ്രശ്നം
"नियतन समस्या वाटपप्रश्न,",വിഹിതം പ്രശ്നം
अक्षरात्मक संकेत पद्‌धति,അക്ഷരമാലാ ക്രമം
अक्षरात्मक संप्रतीक,അക്ഷരമാലാക്രമം
एकांतर कोण,ഇതര കോൺ
"एकांतर समघात प्रत्यावर्ती रूप,",ഒന്നിടവിട്ട രൂപം
एकांतर समूह,ഇതര ഗ്രൂപ്പ്
एकांतर आव्यूह,ഒന്നിടവിട്ട മാട്രിക്സ്
एकांतर श्रेणी,ഒന്നിടവിട്ട പരമ്പര
वैकल्पिक परिकल्पना,ഇതര സിദ്ധാന്തം
वैकल्पिक इष्टमत,ഇതര ഒപ്റ്റിമ
वैकल्पिक परिणाम,ഇതര ഫലം
अनुरूप-अंकीय परिवर्तक,അനലോഗ്-ടു-ഡിജിറ്റൽ കൺവെർട്ടർ
"अनुरूप कम्प्यूटर,",അനലോഗ് കമ്പ്യൂട്ടർ
विश्लेषण,വിശകലനം
सहप्रसरण-विश्लेषण,സഹവർത്തിത്വത്തിന്റെ വിശകലനം
गणन-आंकड़ों का विश्लेषण,എണ്ണൽ ഡാറ്റയുടെ വിശകലനം
प्रसरण-विश्लेषण,വ്യതിയാനത്തിന്റെ വിശകലനം
विश्लेषिक ज्यामिति,അനലിറ്റിക് ജ്യാമിതി
विश्लेषिक फलन,വിശകലന പ്രവർത്തനം
कोण,കോൺ
स्पर्श-कोण,കോൺടാക്റ്റ് കോൺ
विक्षेप-कोण,വ്യതിചലനത്തിന്റെ കോൺ
अवनमन-कोण,വിഷാദത്തിന്റെ ആംഗിൾ
विचलन-कोण,വ്യതിയാനത്തിന്റെ കോൺ
विवर्तन-कोण,ഡിഫ്രാക്ഷൻ കോൺ
उन्नयन-कोण,എലവേഷൻ കോൺ
आपतन-कोण,സംഭവത്തിന്റെ കോൺ
प्रक्षेप-कोण,പ്രൊജക്ഷൻ കോൺ
परावर्तन-कोण,പ്രതിഫലനത്തിന്റെ കോൺ
अपवर्तन-कोण,അപവർത്തന കോൺ
घूर्णन-कोण,ഭ്രമണകോണ്
पूर्ण परावर्तन-कोण,മൊത്തം പ്രതിഫലനത്തിന്റെ കോൺ
कोणीय त्वरण,കോണീയ ത്വരണം
कोणीय गति,കോണീയ ചലനം
कोणीय चाल,കോണീയ വേഗത
कोणीय वेग,കോണീയ പ്രവേഗം
वलयिका,വാർഷികം
उत्तर,ഉത്തരം
प्रति-अवकलज,ആന്റി-ഡെറിവേറ്റീവ്
प्रतिसममित फलन,ആന്റിസിമെട്രിക് പ്രവർത്തനം
"आच्छाद्य , अनु प्रयोज्य, लागू",ബാധകമാണ്
"अनुप्रयोग उपयोजन,",അപേക്ഷ
अनुप्रयुक्त गतिशील प्रोग्रामन,പ്രയോഗിച്ച ഡൈനാമിക് പ്രോഗ്രാമിംഗ്
अनुप्रयुक्त ज्यामिति,പ്രയോഗിച്ച ജ്യാമിതി
अनुप्रयुक्त गणित,പ്രയോഗിച്ച ഗണിതശാസ്ത്രം
अनुप्रयुक्त सांख्यिकी,പ്രയോഗിച്ച സ്ഥിതിവിവരക്കണക്കുകൾ
"सन्निकटतः, लगभग",ഏകദേശം
सन्निकटतः संतत फलन,ഏകദേശം തുടർച്ചയായ പ്രവർത്തനം
"स्थूल विधि, सन्निकट विधि",ഏകദേശ രീതി
सन्निकट हल,ഏകദേശ പരിഹാരം
