Marathi,English
अ‍ॅबॅक्सियल पृष्ठभाग,Abaxial surface
ओटीपोट,Abdomen
ओटीपोटात महाधमनी,Abdominal aorta
ओटीपोटात गॅंग्लिया,Abdominal ganglia
एबेलमोशस एस्क्युल्टस,Abelmoschus esculentus
विकृती,Aberration
अबीज,Abies
अबिंगडॉन कासव,Abingdon tortoise
अ‍ॅबिओजेनेसिस,Abiogenesis
अ‍ॅबिओटिक,Abiotic
अ‍ॅबिओटिक फॅक्टर,Abiotic factor
असामान्य मूत्र,Abnormal urine
अबो ब्लड ग्रुप,ABO blood group
अ‍ॅबसिसिक acid सिड,Abscisic acid
फलंदाजी,Abscission
शोषून घ्या,Absorb
शोषण शिखर,Absorption peak
शोषण,Absorption
बाभूळ कॅटेचू,Acacia catechu
अकारिया अरबीका,Acaria arabica
अकाप्रिन,Acaprin
स्वीकार्य लैंगिक वर्तन,Acceptable sexual behaviour
Ory क्सेसरी ग्रंथी,Accessory gland
Ory क्सेसरी ग्रंथी,Accessory gland
Ory क्सेसरीसाठी अवयव,Accessory organ
सहनशीलता,Acclimatization
अनुकूलित करा,Acclimatize
निवास (लक्ष केंद्रित करणे),Accommodation (focusing)
डोळ्याची निवासस्थान,Accommodation of eye
संवर्धन वाढ,Accretionary growth
संचय,Accumulation
सेंद्रिय पदार्थाचे संचय,Accumulation of organic matter
मातीचे संचय,Accumulation of soil
सेल्युलर,Acellular
एसेल्युलर जीव,Acellular organism
एसीटाबुलम,Acetabulum
एसीटाल्डिहाइड,Acetaldehyde
एसिटिल कोएन्झाइम,Acetyl coenzyme
अकॅटिना,Achatina
अचेने प्रकार,Achene type
अचेने,Achene
अक्लमिडोस्पोरिया,Achlamydosporeae
आम्ल वर्षा,Acid rain
अम्लीय,Acidic
अम्लीय वायू,Acidic gas
आंबटपणा,Acidity
एसीनार सेल,Acinar cell
एकोलोमेट,Acoelomate
On कोनिटम,Aconitum
अ‍ॅकॉर्न वर्म,Acorn worm
ध्वनिक झोनिंग,Acoustic zoning
अधिग्रहित वर्ण,Acquired character
वसूल केलेली प्रतिकारशक्ती,Acquired immunity
अधिग्रहित इम्युनो कमतरता सिंड्रोम (एड्स),Acquired immuno deficiency syndrome (AIDS)
एकरानिया,Acrania
Rid सिडिन डाई,Acridine dye
अ‍ॅक्रोसेन्ट्रिक,Acrocentric
अ‍ॅक्रोमियन,Acromion
अ‍ॅक्रोपेटल सीक्वेन्स,Acropetal sequence
अ‍ॅक्रोपेटल ऑर्डर,Acropetal order
अ‍ॅक्रोसिन,Acrosin
अ‍ॅक्टिन,Actin
अ‍ॅक्टिन-सारखी प्रथिने,Actin-like protein
अ‍ॅक्टिनोमॉर्फिक,Actinomorphic
अ‍ॅक्टिनोमाइसेट्स,Actinomycetes
कृती संभाव्यता,Action potential
सक्रिय गाळ,Activated sludge
सक्रिय गाळ फ्लॉक,Activated sludge floc
सक्रियता ऊर्जा,Activation energy
सक्रिय शोषण,Active absorption
सक्रिय प्रतिकारशक्ती,Active immunity
सक्रिय रेडिएशन,Active radiation
सक्रिय साइट,Active site
अ‍ॅक्टिव्हिन,Activin
Umicate,Acuminate
अ‍ॅडम्सिया,Adamsia
अनुकूलता,Adaptability
रुपांतर,Adaptation
हलकी व्यवस्थेशी जुळवून घेणे,Adaptation to light regime
पाण्याची कमतरता रुपांतर,Adaptation to water scarcity
अनुकूली वैशिष्ट्ये,Adaptive characteristics
अनुकूली प्रतिकारशक्ती,Adaptive immunity
अनुकूली रेडिएशन,Adaptive radiation
अनुकूली गुण,Adaptive trait
अ‍ॅडॅक्सियल पृष्ठभाग,Adaxial surface
व्यसनाधीन डिसऑर्डर,Addictive disorder
En डेनिन,Adenine
En डेनोकोर्टिकोट्रोपिन,Adenocorticotropin
En डेनोहायपोफिसिस,Adenohypophysis
