Punjabi,Gujarati
ਅਬੇਲੀ ਸਮੂਹ,અબેલી જૂથ
ਅਬੇਲੀ ਸਮੂਹ,અબેલી જૂથ
ਹੱਥ,હાથ
"ਪੂਰਨ, ਸੰਪੂਰਨ, ਸਥਿਰ, ਸਟੀਕ","નિરપેક્ષ, નિરપેક્ષ, અચળ, ચોક્કસ"
ਪੂਰਨ ਕਨਵਰਜੈਂਸ,સંપૂર્ણ સંકલન
ਪੂਰਨ ਗਲਤੀ,સંપૂર્ણ ભૂલ
ਪਰਮ ਸਰਵਉੱਚ,સર્વોચ્ચ સર્વોચ્ચ
ਸਭ ਤੋਂ ਘੱਟ,એકદમ નીચું
ਸਹੀ ਮੁੱਲ,સંપૂર્ણ મૂલ્ય
ਪੂਰਨ ਗਤੀ,સંપૂર્ણ વેગ
ਸਾਰ ਅਲਜਬਰਾ,અમૂર્ત બીજગણિત
ਐਬਸਟਰੈਕਟ ਗਰੁੱਪ ਥਿਊਰੀ,અમૂર્ત જૂથ સિદ્ધાંત
ਪ੍ਰਵੇਗ,પ્રવેગ
ਗਰੈਵੀਟੇਸ਼ਨਲ ਪ੍ਰਵੇਗ,ગુરુત્વાકર્ષણ પ્રવેગક
ਸਵੀਕਾਰਯੋਗ ਚੋਣਕਾਰ,સ્વીકાર્ય પસંદગીકાર
ਸਵੀਕਾਰਯੋਗ ਗੁਣਵੱਤਾ ਪੱਧਰ,સ્વીકાર્ય ગુણવત્તા સ્તર
ਸਵੀਕਾਰਯੋਗ ਜਗ੍ਹਾ,સ્વીકાર્ય જગ્યા
ਵੈਧ ਭਰੋਸੇਯੋਗਤਾ ਪੱਧਰ,માન્ય વિશ્વસનીયતા સ્તર
ਸਵੀਕ੍ਰਿਤੀ ਨਮੂਨਾ,સ્વીકૃતિ નમૂના
ਸੰਚਿਤ ਗਲਤੀ,સંચિત ભૂલ
ਸ਼ੁੱਧਤਾ,ચોકસાઈ
ਲਾਗੂ ਫੋਰਸ,બળ લાગુ કર્યું
"ਕਾਰਵਾਈ, ਕੰਮ","ક્રિયા, ખત"
ਕਾਰਵਾਈ ਅਤੇ ਪ੍ਰਤੀਕਰਮ,ક્રિયા અને પ્રતિક્રિયા
ਬੀਮਾ ਵਿਗਿਆਨ,વીમા વિજ્ઞાન
ਤੀਬਰ ਤਿਕੋਣ,તીવ્ર ત્રિકોણ
acyclic,એસાયક્લિક
ਸੰਪੇਕਸ਼ਤ,સારાંશ માટે
ਜੋੜਨ ਵਾਲਾ,ઉમેરનાર
"ਜੋੜ, ਜੋੜ, ਜੋੜ (c.), ਜੋੜ (v.)","સરવાળો, ઉમેરો, સરવાળો (c.), ઉમેરણ (v.)"
ਯੋਗਾ ਦਾ ਫਾਰਮੂਲਾ,યોગનું સૂત્ર
ਮਿਸ਼ਰਿਤ ਸੰਖਿਆਵਾਂ ਦਾ ਜੋੜ,જટિલ સંખ્યાઓનો સરવાળો
ਫੰਕਸ਼ਨਾਂ ਦਾ ਜੋੜ,કાર્યોનો સરવાળો
ਮੈਟ੍ਰਿਕਸ ਦਾ ਜੋੜ,મેટ્રિસિસનો સરવાળો
ਬਹੁਪਦ ਦਾ ਜੋੜ,બહુપદીનો સરવાળો
ਸੰਭਾਵਨਾਵਾਂ ਦਾ ਜੋੜ,સંભાવનાઓનો સરવાળો
ਵੈਕਟਰਾਂ ਦਾ ਜੋੜ,વેક્ટરનો સરવાળો
"ਜੋੜ ਥਿਊਰਮ, ਬੇਰੀ ਥਿਊਰੀ,","સરવાળો પ્રમેય, બેરી સિદ્ધાંત"
additive ਗਰੁੱਪ,ઉમેરણ જૂથ
additive ਉਲਟ,ઉમેરણ વ્યસ્ત
ਜੋੜਨ ਦੀ ਯੋਗਤਾ,ઉમેરણ
ਜੋੜਨ ਦੀ ਯੋਗਤਾ,ઉમેરણ
ਆਸਪਾਸ ਮੈਟ੍ਰਿਕਸ,સંલગ્નતા મેટ્રિક્સ
"ਨੇੜੇ, ਨਾਲ ਲੱਗਦੇ, ਨਾਲ ਲੱਗਦੇ","અડીને, અડીને, અડીને"
ਨੇੜੇ ਦੇ ਕੋਣ,અડીને કોણ
ਨੇੜੇ ਦਾ ਸਿਰਾ,અડીને શિરોબિંદુ
ਜੋੜਨ ਲਈ,સાંકળવું
"ਨੱਥੀ ਨੱਥੀ,",જોડાયેલ બંધ
ਆਮ ਨਿਰਣਾਇਕ,સામાન્ય નિર્ણાયક
ਅਟੈਚਡ ਡਿਫਰੈਂਸ਼ੀਅਲ ਸਮੀਕਰਨ,જોડાયેલ વિભેદક સમીકરણ
ਜੁੜੇ ਸਮੀਕਰਨ,જોડાયેલ સમીકરણ
ਕੋਹੋਮੋਜੀਨੀਅਸ ਮੈਟਰਿਕਸ,કોહોમોજીનીયસ મેટ્રિક્સ
ਮੈਟ੍ਰਿਕਸ ਕੋਵੇਰੀਅੰਸ,મેટ્રિક્સ સહપ્રવૃત્તિ
ਕੋਹੋਮੋਜੀਨੀਅਸ ਮੈਟਰਿਕਸ,કોહોમોજીનીયસ મેટ્રિક્સ
ਸਵੀਕਾਰਯੋਗ ਫੈਸਲੇ ਫੰਕਸ਼ਨ,સ્વીકાર્ય નિર્ણય કાર્ય
ਸਵੀਕਾਰਯੋਗ ਪਰਿਕਲਪਨਾ,સ્વીકાર્ય પૂર્વધારણા
ਐਰੋਡਾਇਨਾਮਿਕ ਫੋਰਸ,એરોડાયનેમિક બળ
ਐਰੋਡਾਇਨਾਮਿਕਸ,એરોડાયનેમિક્સ
ਸਮਰੂਪ ਜਿਓਮੈਟਰੀ,સજાતીય ભૂમિતિ
ਸਮਰੂਪ ਮੈਪਿੰਗ,સજાતીય મેપિંગ
ਸਮਰੂਪ ਤਬਦੀਲੀ,સજાતીય પરિવર્તન
ਕੁੱਲ ਵੇਰੀਏਬਲ,એકંદર ચલ
"algebra, algebra, algebra, algebra","બીજગણિત, બીજગણિત, બીજગણિત, બીજગણિત"
"ਬੀਜੀ ਬੰਦ, ਬੀਜੀ","સીડી બંધ, બીજરૂપે"
ਬੀਜਗਣਿਤ ਸਮੀਕਰਨ,બીજગણિતીય સમીકરણ
ਬੀਜਗਣਿਤ ਸਮੀਕਰਨ,બીજગણિતીય અભિવ્યક્તિ
ਬੀਜਗਣਿਤ ਸਮਰੂਪਤਾ,બીજગણિત એકરૂપતા
ਬੀਜਗਣਿਤ ਫੰਕਸ਼ਨ,બીજગણિત કાર્ય
ਬੀਜਗਣਿਤ ਜਿਓਮੈਟਰੀ,બીજગણિત ભૂમિતિ
ਬੀਜਗਣਿਤ ਬਹੁਲਤਾ,બીજગણિત બહુમતી
ਬੀਜਗਣਿਤ ਪ੍ਰਣਾਲੀ,બીજગણિત સિસ્ટમ
ਸਾਰੇ ਪੂਰਨ ਅੰਕ ਸਮੱਸਿਆ,તમામ પૂર્ણાંક સમસ્યા
"ਅਸਾਈਨਮੈਂਟ ਸਮੱਸਿਆ ਵਾਟ ਸਵਾਲ,",સોંપણી સમસ્યા વોટ પ્રશ્ન
ਵਰਣਮਾਲਾ ਸੰਕੇਤ,આલ્ફાબેટીકલ નોટેશન
ਵਰਣਮਾਲਾ ਦੇ ਅੱਖਰ,આલ્ફાબેટીક અક્ષર
ਬਦਲਵੇਂ ਕੋਣ,વૈકલ્પિક ખૂણા
"ਬਦਲਵੇਂ ਸਮਰੂਪ ਬਦਲਵੇਂ ਰੂਪ,",વૈકલ્પિક સજાતીય વૈકલ્પિક સ્વરૂપ
ਵਿਕਲਪਕ ਸਮੂਹ,વૈકલ્પિક જૂથ
ਵਿਕਲਪਕ ਮੈਟ੍ਰਿਕਸ,વૈકલ્પિક મેટ્રિક્સ
ਵਿਕਲਪਿਕ ਲੜੀ,વૈકલ્પિક શ્રેણી
ਵਿਕਲਪਕ ਅਨੁਮਾਨ,વૈકલ્પિક પૂર્વધારણા
ਵਿਕਲਪਿਕ ਸਰਵੋਤਮ,વૈકલ્પિક શ્રેષ્ઠ
ਵਿਕਲਪਿਕ ਨਤੀਜਾ,વૈકલ્પિક પરિણામ
ਐਨਾਲਾਗ-ਅੰਕ ਕਨਵਰਟਰ,એનાલોગ-અંક કન્વર્ટર
"ਐਨਾਲਾਗ ਕੰਪਿਊਟਰ,",એનાલોગ કમ્પ્યુટર
ਵਿਸ਼ਲੇਸ਼ਣ,વિશ્લેષણ
ਸਹਿਵਿਹਾਰ ਵਿਸ਼ਲੇਸ਼ਣ,સહપ્રવર્તન વિશ્લેષણ
