Odiya,Hindi
AC ସମାନ ସର୍କିଟ |,ए.सी. समतुल्य परिपथ
ସାଂଖ୍ୟିକ ରୂପାନ୍ତରକାରୀ ସହିତ ଅନୁରୂପ |,अनुरूप से अंकीय परिवर्तक
ସଂପୂର୍ଣ୍ଣ ଶୂନ,परम शून्य
ଶୋଷଣ ଗୁଣବତ୍ତା,अवशोषण गुणांक
ଅବଶୋଷଣ ସ୍ପେକ୍ଟ୍ରମ୍ |,अवशोषण स्पेक्ट्रम
ରିସେପ୍ଟର ପରମାଣୁ |,ग्राही परमाणु
ବ current କଳ୍ପିକ ସାମ୍ପ୍ରତିକ ଯୋଡି |,प्रत्यावर्ती धारा युग्मन
ଇଲେକ୍ଟ୍ରନ୍ ଅମଳ,इलेक्ट्रॉन संचयन
ଗର୍ତ୍ତ ସଂରକ୍ଷଣ,होल संचयन
ସକ୍ରିୟ ଶକ୍ତି,सक्रियण ऊर्जा
ସକ୍ରିୟ ଏମ୍ପ୍ଲିଫାୟର୍ |,सक्रिय प्रवर्धक
ସକ୍ରିୟ ଡାୟୋଡ୍ ସର୍କିଟ୍ |,सक्रिय डायोड परिपथ
ସକ୍ରିୟ ଫିଲ୍ଟର୍ |,सक्रिय फिल्टर
ସକ୍ରିୟ ହାଇ ଫ୍ରିକ୍ୱେନ୍ସି ପାର୍କେଟ୍ ଫିଲ୍ଟର୍ |,सक्रिय उच्च आवृत्ति पारक फिल्टर
ସକ୍ରିୟ ଭାର,सक्रिय लोड
ସକ୍ରିୟ ନିମ୍ନ ଫ୍ରିକ୍ୱେନ୍ସି ପାର୍ସ ଫିଲ୍ଟର୍ |,सक्रिय निमन आवृत्ति पारक फिल्टर
ସକ୍ରିୟ କ୍ଷେତ୍ର |,सक्रिय क्षेत्र
ଆଡାପ୍ଟିଭ୍ ଇଲେକ୍ଟ୍ରୋନିକ୍ସ |,अनुकूली इलेक्ट्रॉनिकी
ଆଡର୍,योजक
ଆଡଜଷ୍ଟେବଲ୍ ବ୍ୟାଣ୍ଡ ଏକ୍ସଟେନ୍ସନ୍ |,समायोजी बैंड विस्तार
ଅନୁପ୍ରବେଶ,प्रवेश्यता
ଆରିଏଲ,एरियल
ପେପ୍ ଫ୍ରିକ୍ୱେନ୍ସି |,स्फूर्ति आवृत्ति
