Telugu,Bengali
తగ్గింపు,অবসান
సంక్షిప్తీకరణ,সংক্ষেপণ
అపహరణ,অপহরণ
Abeyance,অবসান
సామర్థ్యం,ক্ষমতা
అబ్ ఇనిషియో,অ্যাব initio
సామర్థ్యం,সক্ষম
అసాధారణ,অস্বাভাবিক
రద్దు,বিলুপ্তি
నిర్మూలన పోస్ట్,বিলোপ পোস্ট
పైన పేర్కొన్నారు,উপর্যুক্ত
పైన కోట్ చేయబడింది,উপরে উদ্ধৃত
పైన చెప్పారు,উপরে বলেছেন
లేకపోవడం,অনুপস্থিতি
హాజరుకాని,অনুপস্থিত
హాజరుకానితనం,অনুপস্থিতি
హాజరుకాని ప్రకటన,অনুপস্থিত বিবৃতি
సంపూర్ణ,পরম
సంపూర్ణ గుత్తాధిపత్యం,পরম একচেটিয়া
సంపూర్ణ యాజమాన్యం,পরম মালিকানা
శోషణ,শোষণ
నైరూప్య,বিমূর্ত
అబ్స్ట్రాక్ట్ స్టేట్మెంట్,অ্যাবস্ট্রাক্টস্টেটমেন্ট
అసంబద్ధం,অযৌক্তিক
సమృద్ధి,প্রাচুর্য
అధికార దుర్వినియోగం,ক্ষমতার অপব্যবহার
దుర్వినియోగ భాష,অবমাননাকর ভাষা
విద్యావేత్త,একাডেমিক
విద్యా చర్చ,একাডেমিক আলোচনা
విద్యా సెలవు,একাডেমিক ছুটি
విద్యా అర్హత,শিক্ষাগত যোগ্যতা
విద్యా రికార్డు,একাডেমিক রেকর্ড
ACCEDE,প্রশংসা
అంగీకరించండి,গ্রহণ
అంగీకారం,গ্রহণযোগ্যতা
కార్యాలయం అంగీకారం,অফিস গ্রহণ
టెండర్ అంగీకారం,দরপত্র গ্রহণ
యాక్సెస్,অ্যাক্সেস
ప్రవేశం,প্রবেশ
అనుబంధ,আনুষঙ্গিক
ప్రమాదం,দুর্ঘটনা
అలవాటు,প্রশংসাপত্র
వసతి,থাকার ব্যবস্থা
తోడు,সহকারী
ఒప్పందం,চুক্তি
అనుగుణంగా,অ্যাকশন
దీని ప్రకారం,তদনুসারে
ఖాతా,অ্যাকাউন্ট
జవాబుదారీతనం,দায়িত্ব
జవాబుదారీతనం,দায়ী
అకౌంటెన్సీ,হিসাবরক্ষণ
అకౌంటెంట్,হিসাবরক্ষক
ఖాతా,কি কারণে
ఖాతా హెడ్,অ্যাকাউন্ট হেড
సేకరించిన ప్రయోజనం,অর্জিত সুবিধা
పెన్షన్ పెన్షన్,পেনশন আদায়
చేరడం,জমা
ఖచ్చితత్వం,সঠিকতা
ఖచ్చితమైనది,নির্ভুল
నిందించండి,অভিযোগ
ఆరోపణలు,অভিযুক্ত
సాధన,অর্জন
గుర్తింపు,স্বীকৃতি
రసీదు గడువు,স্বীকৃতি বকেয়া
పరిచయము,পরিচিত
సముపార్జన,অধিগ্রহণ
సముపార్జన,খালাস
చట్టం,আইন
నటన భత్యం,অভিনয় ভাতা
చర్య,কর্ম
కార్య ప్రణాళిక,অ্যাকশন প্ল্যান
క్రియాశీల,সক্রিয়
చురుకుగా,সক্রিয়ভাবে
కార్యకర్త,কর্মী
దైవఘటన,Of শ্বরের আইন
దుష్ప్రవర్తన చర్య,অসদাচরণের আইন
కమీషన్ మరియు కమీషన్,কমিশন ও বাদ দেওয়া আইন
అసలు,আসল
వాస్తవాలు,বাস্তব
అనుసరణ,অভিযোজন
అదనంగా,সংযোজন
అదనపు ఛార్జ్,অতিরিক্ত চার্জ
అదనపు ఫండ్,অতিরিক্ত তহবিল
అదనపు గ్రాంట్,অতিরিক্ত অনুদান
అదనపు సమాచారం,অতিরিক্ত তথ্য
అదనపు వేతనం,অতিরিক্ত বেতন
అదనంగా మరియు మార్పు,সংযোজন এবং পরিবর্তন
చిరునామా,ঠিকানা
చిరునామా,ঠিকানা
స్వాగత చిరునామా,স্বাগত ঠিকানা
తగినంత,পর্যাপ্ত
కట్టుబడి,মেনে চলুন
తాత్కాలిక హాక్,অ্যাডহক
తాత్కాలిక దావా,অ্যাডহক দাবি
తాత్కాలిక కమిటీ,তদর্থক কমিটি
తాత్కాలిక పెరుగుదల,অ্যাডহক বৃদ্ধি
తాత్కాలిక చెల్లింపు,অ্যাডহক পেমেন্ট
ప్రక్కనే,সংলগ্ন
ప్రక్కనే (= పరస్పర),সংলগ্ন (= সংহত)
వాయిదా,স্থগিতাদেশ
వాయిదా చలన,স্থগিতের গতি
అనుబంధం,রায়
తీర్పు,বিচারক
తీర్పు,বিচার
న్యాయాధికారి,বিচারক
సర్దుబాటు,সামঞ্জস্য
నిర్వహించండి,প্রশাসনিক
ప్రమాణం చేయండి,শপথ পরিচালনা করুন
పరిపాలన,প্রশাসন
న్యాయం యొక్క పరిపాలన,বিচার প্রশাসন
పరిపాలనా,প্রশাসনিক
పరిపాలనా చర్య,প্রশাসনিক ক্রিয়া
అడ్మినిస్ట్రేటివ్ అప్రైసల్,প্রশাসনিক মূল্যায়ন
పరిపాలనా ఆమోదం,প্রশাসনিক অনুমোদন
పరిపాలనా అధికారం,প্রশাসনিক কর্তৃপক্ষ
పరిపాలనా నియంత్రణ,প্রশাসনিক নিয়ন্ত্রণ
పరిపాలనా నిర్ణయం,প্রশাসনিক সিদ্ধান্ত
