Odiya,Malayalam
ଏକ ବି ଶ୍ରେଣୀ ଏମ୍ପ୍ଲିଫାୟର୍ |,എ ബി ക്ലാസ് ആംപ്ലിഫയർ
ଘୃଣ୍ୟତା |,അപഭ്രംശം
ଅସ୍ୱାଭାବିକ ସଂକ୍ରମଣ,അസാധാരണമായ സംക്രമണം
"ସଂଲଗ୍ନ ହୋଇନଥିବା, ସାଧାରଣତ, ପିଟ୍, ଆମ୍ପ୍ୟୁଟେଡ୍, ଭଙ୍ଗା |","ഘടിപ്പിക്കാത്ത, സാധാരണയായി, കുഴികളുള്ള, ഛേദിക്കപ്പെട്ട, ഒടിഞ്ഞ"
ସ୍ପେକ୍ଟ୍ରମ୍ ଅନୁପସ୍ଥିତ |,സ്പെക്ട്രം കാണുന്നില്ല
"ସଂପୂର୍ଣ୍ଣ, ସଂପୂର୍ଣ୍ଣ, ସ୍ଥିର, ସିଦ୍ଧ |","കേവല, കേവല, സ്ഥിരം, തികഞ്ഞ"
ସଂପୂର୍ଣ୍ଣ ଆର୍ଦ୍ରତା |,കേവല ഈർപ്പം
ସଂପୂର୍ଣ୍ଣ ଗତି,കേവല വേഗത
ସଂପୂର୍ଣ୍ଣ ନିରୀକ୍ଷଣ |,സമ്പൂർണ നിരീക്ഷണം
ସଂପୂର୍ଣ୍ଣ ତାପମାତ୍ରା |,കേവല താപനില
ସଂପୂର୍ଣ୍ଣ ଶୂନ,കേവല പൂജ്യം
ଶୋଷଣ,ആഗിരണം ചെയ്യുക
"ଶୋଷକ, ଶୋଷକ","ആഗിരണം, ആഗിരണം"
ଅବଶୋଷଣ କ୍ଷମତା |,ആഗിരണം ശേഷി
ଅବସାଦ |,ആഗിരണം
ଶୋଷକ,ആഗിരണം ചെയ്യാവുന്ന
ଶୋଷଣ,ആഗിരണം
ବହୁଗୁଣ ଅନୁପାତ |,ഗുണിത അനുപാതം
ତ୍ୱରାନ୍ୱିତ କର |,ത്വരിതപ്പെടുത്തുക
ଶୀଘ୍ର ଶୀଘ୍ର,തിടുക്കപ്പെട്ടു
ତ୍ୱରଣ,ത്വരണം
ମାଧ୍ୟାକର୍ଷଣର ତ୍ୱରଣ,ഗുരുത്വാകർഷണ ത്വരണം
ତ୍ୱରକ,ആക്സിലറേറ്റർ
ତ୍ୱରକ,ആക്സിലറേറ്റർ
ଆକ୍ସିଲେରୋମିଟର,ആക്സിലറോമീറ്റർ
ସମ୍ମାନ,പ്രിസ്ട്രെസർ
ଗ୍ରହଣୀୟ ପରୀକ୍ଷା,സ്വീകാര്യമായ പരിശോധന
ଗ୍ରହଣକାରୀ,സ്വീകർത്താവ്
ଦାତା ଅଣୁ,ദാതാവിന്റെ തന്മാത്ര
"ପ୍ରବେଶ, ଅପେକ୍ଷା, ଅଭିଗମ୍ୟତା |","പ്രവേശനം, കാത്തിരിപ്പ്, പ്രവേശനക്ഷമത"
ଅଭିଗମ୍ୟତା,പ്രവേശനക്ഷമത
"ଅତିରିକ୍ତ, ଆନୁଷଙ୍ଗିକ, ଆନୁଷଙ୍ଗିକ (v।), ଆସେସୋରିଜ୍ (ଏଡି।)","സ്പെയർ, ആക്സസറി, ആക്സസറി (വി.), ആക്സസറികൾ (എഡി.)"
ପ୍ରବେଶ ସମୟ,പ്രവേശന സമയം
ପରିଦର୍ଶକ ତ୍ରୁଟି |,സന്ദർശക പിശക്
ଆଡଜଷ୍ଟେସନ୍,ക്രമീകരിക്കൽ
ସଂଗୃହିତ,കുമിഞ്ഞുകൂടി
"ଜମା, ଜମା","ശേഖരണം, ശേഖരണം"
ଜମାକାରୀ,ശേഖരണം
ସଠିକତା,കൃത്യത
ବାସ୍ତବତା,റിയാലിറ്റി
ଆକ୍ରୋମାଟିକ୍ ଲେନ୍ସ |,അക്രോമാറ്റിക് ലെൻസ്
ଆକ୍ରୋମାଟିକ୍ |,അക്രോമാറ്റിക്
ଆକ୍ରୋମାଟିଟି,അക്രോമാറ്റിറ്റി
ଶବ୍ଦ,അക്കോസ്റ്റിക്
ସାଉଣ୍ଡ ପ୍ରୁଫ୍ |,ശബ്ദപ്രതിരോധം
ଆକାଶବାଣୀ ଫୋନନ୍ |,അക്കോസ്റ്റിക് ഫോണോൺ
ଧ୍ୱନି ଏକକ |,ശബ്ദ യൂണിറ്റ്
ଶବ୍ଦ,അക്കോസ്റ്റിക്
ଶବ୍ଦ ଜେନେରେଟର,ശബ്ദ ജനറേറ്റർ
କାର୍ଯ୍ୟ ଏବଂ ପ୍ରତିକ୍ରିୟା,പ്രവർത്തനവും പ്രതികരണവും
ସକ୍ରିୟ,സജീവമാക്കൽ
ସକ୍ରିୟ ଶକ୍ତି,സജീവമാക്കൽ ഊർജ്ജം
"ସକ୍ରିୟକାରୀ, ସକ୍ରିୟକାରୀ |","ആക്റ്റിവേറ്റർ, ആക്റ്റിവേറ്റർ"
ସକ୍ରିୟ |,സജീവമാണ്
ସକ୍ରିୟତା,ആക്ടിവിസം
ପ୍ରକୃତ ଚାପ,യഥാർത്ഥ സമ്മർദ്ദം
ଫୁସ୍ଫୁସ୍,മന്ത്രിക്കുന്നു
ସଂକ୍ଷେପରେ,സംഗ്രഹിക്കാനായി
"ରାଶି, ଯୋଗ, ସମୁଦାୟ (ଏଡି।), ଯୋଗୀ (v।)","തുക, കൂട്ടിച്ചേർക്കൽ, മൊത്തം (എഡി.), സങ്കലനം (വി.)"
"ସଂଯୋଗ ସ୍ୱର, ଅତିରିକ୍ତ ସ୍ୱର (ସ୍ ow ର)","സംയോജിത സ്വരം, അധിക സ്വരം (സ്വരാക്ഷരങ്ങൾ)"
ଯୋଗୀ,സങ്കലനം
ଆଡିଶିନ୍ |,അഡീഷൻ
ଆଡେସିଭ୍ ଶକ୍ତି |,പശ ഊർജ്ജം
adiabat,അടിയാബാറ്റ്
ଆଡିଆବାଟିକ୍ |,adiabatic
ଉତ୍ତାପ ଇନସୁଲେଟିଂ,ചൂട് ഇൻസുലേറ്റിംഗ്
ସଂଲଗ୍ନ,ബന്ധം
ନିୟନ୍ତ୍ରିତ,ക്രമീകരിക്കാവുന്ന
ଅନୁପ୍ରବେଶ,നുഴഞ്ഞുകയറ്റം
ବିଜ୍ or ାପନ,ആഗിരണം
ଆଗକୁ,മുന്നോട്ട്
ପ୍ରଗତିଶୀଳ |,പുരോഗമനപരമായ
"akashi, air (v।), aerial (ed।)","ആകാശി, വായു (വി.), ഏരിയൽ (എഡി.)"
ଆଣ୍ଟେନା ଷ୍ଟ୍ରିମ୍ |,ആന്റിന സ്ട്രീം
ବାୟୁ ସର୍ବେକ୍ଷଣ |,ഏരിയൽ സർവേ
ବାୟୁ ବେଗ,വായു വേഗത
ଏରୋଡାଇନାମିକ୍ କୋଏଫିସିଏଣ୍ଟ୍ |,എയറോഡൈനാമിക് കോഫിഫിഷ്യന്റ്
ଏରୋଡାଇନାମିକ୍ |,എയറോഡൈനാമിക്
ଏରୋଡାଇନାମିକ୍ସ |,എയറോഡൈനാമിക്സ്
ଏରୋନେଟିକାଲ୍ |,എയറോനോട്ടിക്കൽ
ଏରୋନେଟିକ୍ସ |,എയറോനോട്ടിക്സ്
ବାୟୁ ନାଡ,എയർ പൾസ്
"ବାୟୁମଣ୍ଡଳ, ଗ୍ୟାସୋସଫର |","അന്തരീക്ഷം, വാതകമണ്ഡലം"
