Gujarati,Punjabi
એબેલિયન જૂથ,ਅਬੇਲੀਅਨ ਸਮੂਹ
અબેલીયન સેમીગ્રુપ,ਅਬੇਲੀਅਨ ਸੈਮੀਗਰੁੱਪ
એબ્સીસા,abscissa
સંપૂર્ણ,ਅਸੀਮ
સંપૂર્ણ સંકલન,ਪੂਰਨ ਕਨਵਰਜੈਂਸ
સંપૂર્ણ ભૂલ,ਪੂਰਨ ਗਲਤੀ
સંપૂર્ણ મહત્તમ,ਪੂਰਨ ਅਧਿਕਤਮ
સંપૂર્ણ લઘુત્તમ,ਪੂਰਨ ਘੱਟੋ-ਘੱਟ
સંપૂર્ણ મૂલ્ય,ਸਹੀ ਮੁੱਲ
સંપૂર્ણ વેગ,ਪੂਰਨ ਗਤੀ
અમૂર્ત બીજગણિત,ਸਾਰ ਅਲਜਬਰਾ
અમૂર્ત જૂથ સિદ્ધાંત,ਐਬਸਟਰੈਕਟ ਗਰੁੱਪ ਥਿਊਰੀ
પ્રવેગ,ਪ੍ਰਵੇਗ
ગુરુત્વાકર્ષણને કારણે પ્રવેગક,ਗੰਭੀਰਤਾ ਦੇ ਕਾਰਨ ਪ੍ਰਵੇਗ
સ્વીકાર્ય પસંદગી સમૂહ,ਸਵੀਕਾਰਯੋਗ ਚੋਣ ਸੈੱਟ
સ્વીકાર્ય ગુણવત્તા સ્તર,ਸਵੀਕਾਰਯੋਗ ਗੁਣਵੱਤਾ ਪੱਧਰ
સ્વીકાર્ય શ્રેણી,ਸਵੀਕਾਰਯੋਗ ਸੀਮਾ
સ્વીકાર્ય વિશ્વસનીયતા સ્તર,ਸਵੀਕਾਰਯੋਗ ਭਰੋਸੇਯੋਗਤਾ ਦਾ ਪੱਧਰ
સ્વીકાર્ય નમૂના,ਸਵੀਕਾਰਯੋਗ ਨਮੂਨਾ
સંચિત ભૂલ,ਸੰਚਿਤ ਗਲਤੀ
ચોકસાઈ,ਸ਼ੁੱਧਤਾ
અભિનય બળ,ਐਕਟਿੰਗ ਫੋਰਸ
ક્રિયા,ਕਾਰਵਾਈ
ક્રિયા અને પ્રતિક્રિયા,ਕਾਰਵਾਈ ਅਤੇ ਪ੍ਰਤੀਕਰਮ
વાસ્તવિક વિજ્ઞાન,ਅਸਲ ਵਿਗਿਆਨ
તીવ્ર કોણીય ત્રિકોણ,ਤੀਬਰ ਕੋਣ ਵਾਲਾ ਤਿਕੋਣ
એસાયક્લિક,acyclic
ઉમેરો,ਸ਼ਾਮਲ ਕਰੋ
ઉમેરનાર,ਜੋੜਨ ਵਾਲਾ
વધુમાં,ਇਸ ਤੋਂ ਇਲਾਵਾ
વધારાનું સૂત્ર,ਜੋੜ ਫਾਰਮੂਲਾ
જટિલ સંખ્યાઓનો ઉમેરો,ਗੁੰਝਲਦਾਰ ਸੰਖਿਆਵਾਂ ਦਾ ਜੋੜ
કાર્યોનો ઉમેરો,ਫੰਕਸ਼ਨਾਂ ਦਾ ਜੋੜ
મેટ્રિસિસનો ઉમેરો,ਮੈਟ੍ਰਿਕਸ ਦੇ ਜੋੜ
બહુપદીનો ઉમેરો,ਬਹੁਪਦ ਦਾ ਜੋੜ
સંભાવનાઓનો ઉમેરો,ਸੰਭਾਵਨਾਵਾਂ ਦਾ ਜੋੜ
વેક્ટરનો ઉમેરો,ਵੈਕਟਰ ਦਾ ਜੋੜ
વધારાનું પ્રમેય,ਵਾਧੂ ਪ੍ਰਮੇਯ
ઉમેરણ જૂથ,additive ਗਰੁੱਪ
ઉમેરણ વ્યસ્ત,additive ਉਲਟ
ઉમેરણ મિલકત,additive ਸੰਪਤੀ
ઉમેરણ,additivity
સંલગ્નતા મેટ્રિક્સ,ਆਸਪਾਸ ਮੈਟ੍ਰਿਕਸ
અડીને,ਨੇੜੇ
અડીને આવેલા ખૂણા,ਨੇੜੇ ਦੇ ਕੋਣ
અડીને શિરોબિંદુ,ਨੇੜੇ ਦਾ ਸਿਰਾ
સંલગ્ન,ਨਾਲ ਜੁੜੋ
સંલગ્ન,ਨਾਲ ਲੱਗਦੇ
સંલગ્ન નિર્ણાયક,ਸੰਜੋਗ ਨਿਰਧਾਰਕ
સંલગ્ન વિભેદક સમીકરણ,ਸੰਜੋਗ ਵਿਭਿੰਨ ਸਮੀਕਰਨ
સંલગ્ન સમીકરણ,ਸੰਜੋਗ ਸਮੀਕਰਨ
