Marathi,Kannada
abeli गट,ಅಬೆಲಿ ಗುಂಪು
अबेली गट,ಅಬೆಲಿ ಗುಂಪು
हात,ಕೈ
"निरपेक्ष, निरपेक्ष, स्थिर, अचूक","ಸಂಪೂರ್ಣ, ಸಂಪೂರ್ಣ, ಸ್ಥಿರ, ನಿಖರ"
परिपूर्ण अभिसरण,ಸಂಪೂರ್ಣ ಒಮ್ಮುಖ
परिपूर्ण त्रुटी,ಸಂಪೂರ್ಣ ದೋಷ
सर्वोच्च सर्वोच्च,ಸರ್ವೋಚ್ಚ ಸರ್ವೋಚ್ಚ
परिपूर्ण सर्वात कमी,ಸಂಪೂರ್ಣ ಕಡಿಮೆ
परिपूर्ण मूल्य,ಸಂಪೂರ್ಣ ಮೌಲ್ಯ
परिपूर्ण वेग,ಸಂಪೂರ್ಣ ವೇಗ
अमूर्त बीजगणित,ಅಮೂರ್ತ ಬೀಜಗಣಿತ
अमूर्त गट सिद्धांत,ಅಮೂರ್ತ ಗುಂಪು ಸಿದ್ಧಾಂತ
प्रवेग,ವೇಗವರ್ಧನೆ
गुरुत्वाकर्षण प्रवेग,ಗುರುತ್ವಾಕರ್ಷಣೆಯ ವೇಗವರ್ಧನೆ
स्वीकार्य निवडकर्ता,ಸ್ವೀಕಾರಾರ್ಹ ಆಯ್ಕೆಗಾರ
स्वीकार्य गुणवत्ता पातळी,ಸ್ವೀಕಾರಾರ್ಹ ಗುಣಮಟ್ಟದ ಮಟ್ಟ
स्वीकार्य परिसर,ಸ್ವೀಕಾರಾರ್ಹ ಆವರಣ
वैध विश्वसनीयता पातळी,ಮಾನ್ಯವಾದ ವಿಶ್ವಾಸಾರ್ಹತೆಯ ಮಟ್ಟ
स्वीकृती नमुना,ಸ್ವೀಕಾರ ಮಾದರಿ
संचित त्रुटी,ಸಂಚಿತ ದೋಷ
अचूकता,ನಿಖರತೆ
शक्ती लागू,ಅನ್ವಯಿಸಿದ ಬಲ
"कृती, कृती","ಕ್ರಿಯೆ, ಕಾರ್ಯ"
क्रिया आणि प्रतिक्रिया,ಕ್ರಿಯೆ ಮತ್ತು ಪ್ರತಿಕ್ರಿಯೆ
विमा विज्ञान,ವಿಮಾ ವಿಜ್ಞಾನ
तीव्र त्रिकोण,ತೀವ್ರ ತ್ರಿಕೋನ
अॅसायक्लिक,ಅಸೈಕ್ಲಿಕ್
बेरीज करणे,ಒಟ್ಟುಗೂಡಿಸಲು
जोडणारा,ಸೇರಿಸುವವನು
"बेरीज, बेरीज, बेरीज (c.), बेरीज (v.)","ಮೊತ್ತ, ಸಂಕಲನ, ಸಂಕಲನ (ಸಿ.), ಸಂಯೋಜಕ (ವಿ.)"
योगाचे सूत्र,ಯೋಗದ ಸೂತ್ರ
जटिल संख्यांची बेरीज,ಸಂಕೀರ್ಣ ಸಂಖ್ಯೆಗಳ ಮೊತ್ತ
कार्यांची बेरीज,ಕಾರ್ಯಗಳ ಮೊತ್ತ
मॅट्रिक्सची बेरीज,ಮ್ಯಾಟ್ರಿಕ್ಸ್ ಮೊತ್ತ
बहुपदांची बेरीज,ಬಹುಪದಗಳ ಮೊತ್ತ
संभाव्यतेची बेरीज,ಸಂಭವನೀಯತೆಗಳ ಮೊತ್ತ
वेक्टरची बेरीज,ವಾಹಕಗಳ ಮೊತ್ತ
"बेरीज प्रमेय, बेरी सिद्धांत,","ಯೋಗ ಪ್ರಮೇಯ, ಬೆರ್ರಿ ಸಿದ್ಧಾಂತ"
मिश्रित गट,ಸಂಯೋಜಕ ಗುಂಪು
additive inverse,ಸಂಯೋಜಕ ವಿಲೋಮ
जोडणी,ಸೇರಿಸುವಿಕೆ
जोडणी,ಸೇರಿಸುವಿಕೆ
संलग्नता मॅट्रिक्स,ಪಕ್ಕದ ಮ್ಯಾಟ್ರಿಕ್ಸ್
"समीप, समीप, समीप","ಪಕ್ಕದ, ಪಕ್ಕದ, ಪಕ್ಕದ"
समीप कोन,ಪಕ್ಕದ ಕೋನ
समीप शिरोबिंदू,ಪಕ್ಕದ ಶೃಂಗ
संबद्ध करणे,ಸಂಯೋಜಿಸಲು
"संलग्न संलग्न,",ಲಗತ್ತಿಸಲಾದ ಸುತ್ತುವರಿದ
सामान्य निर्धारक,ಸಾಮಾನ್ಯ ನಿರ್ಣಾಯಕ
संलग्न विभेदक समीकरण,ಲಗತ್ತಿಸಲಾದ ಭೇದಾತ್ಮಕ ಸಮೀಕರಣ
संलग्न समीकरण,ಲಗತ್ತಿಸಲಾದ ಸಮೀಕರಣ
एकसंध मॅट्रिक्स,ಏಕರೂಪದ ಮ್ಯಾಟ್ರಿಕ್ಸ್
मॅट्रिक्स सहप्रसरण,ಮ್ಯಾಟ್ರಿಕ್ಸ್ ಒಗ್ಗಟ್ಟು
एकसंध मॅट्रिक्स,ಏಕರೂಪದ ಮ್ಯಾಟ್ರಿಕ್ಸ್
स्वीकार्य निर्णय कार्य,ಸ್ವೀಕಾರಾರ್ಹ ನಿರ್ಧಾರ ಕಾರ್ಯ
स्वीकार्य गृहीतक,ಸ್ವೀಕಾರಾರ್ಹ ಊಹೆ
वायुगतिकीय शक्ती,ವಾಯುಬಲವೈಜ್ಞಾನಿಕ ಶಕ್ತಿ
वायुगतिकी,ವಾಯುಬಲವಿಜ್ಞಾನ
एकसंध भूमिती,ಏಕರೂಪದ ಜ್ಯಾಮಿತಿ
एकसंध मॅपिंग,ಏಕರೂಪದ ಮ್ಯಾಪಿಂಗ್
एकसंध परिवर्तन,ಏಕರೂಪದ ರೂಪಾಂತರ
एकूण चल,ಒಟ್ಟು ವೇರಿಯಬಲ್
"बीजगणित, बीजगणित, बीजगणित, बीजगणित","ಬೀಜಗಣಿತ, ಬೀಜಗಣಿತ, ಬೀಜಗಣಿತ, ಬೀಜಗಣಿತ"
"बियाणे बंद, बीजारोपण","ಬೀಜದ ಮುಚ್ಚಿದ, ಬೀಜದ"
बीजगणितीय समीकरण,ಬೀಜಗಣಿತದ ಸಮೀಕರಣ
बीजगणितीय अभिव्यक्ती,ಬೀಜಗಣಿತದ ಅಭಿವ್ಯಕ್ತಿ
बीजगणितीय एकरूपता,ಬೀಜಗಣಿತದ ಏಕರೂಪತೆ
बीजगणितीय कार्य,ಬೀಜಗಣಿತದ ಕಾರ್ಯ
बीजगणितीय भूमिती,ಬೀಜಗಣಿತದ ರೇಖಾಗಣಿತ
बीजगणितीय बहुलता,ಬೀಜಗಣಿತದ ಬಹುತ್ವ
बीजगणितीय प्रणाली,ಬೀಜಗಣಿತ ವ್ಯವಸ್ಥೆ
सर्व-पूर्णांक समस्या,ಎಲ್ಲಾ ಪೂರ್ಣಾಂಕ ಸಮಸ್ಯೆ
"असाइनमेंट समस्या वॅट प्रश्न,",ನಿಯೋಜನೆ ಸಮಸ್ಯೆ ವ್ಯಾಟ್ ಪ್ರಶ್ನೆ
वर्णक्रमानुसार नोटेशन,ವರ್ಣಮಾಲೆಯ ಸಂಕೇತ
वर्णमाला वर्ण,ವರ್ಣಮಾಲೆಯ ಅಕ್ಷರ
पर्यायी कोन,ಪರ್ಯಾಯ ಕೋನಗಳು
"पर्यायी एकसंध पर्यायी फॉर्म,",ಪರ್ಯಾಯ ಏಕರೂಪದ ಪರ್ಯಾಯ ರೂಪ
पर्यायी गट,ಪರ್ಯಾಯ ಗುಂಪು
पर्यायी मॅट्रिक्स,ಪರ್ಯಾಯ ಮ್ಯಾಟ್ರಿಕ್ಸ್
पर्यायी मालिका,ಪರ್ಯಾಯ ಸರಣಿ
वैकल्पिक गृहीतक,ಪರ್ಯಾಯ ಕಲ್ಪನೆ
पर्यायी इष्टतम,ಪರ್ಯಾಯ ಆಪ್ಟಿಮಮ್
पर्यायी परिणाम,ಪರ್ಯಾಯ ಫಲಿತಾಂಶ
अॅनालॉग-अंकी कनवर्टर,ಅನಲಾಗ್-ಅಂಕಿಯ ಪರಿವರ್ತಕ
"अॅनालॉग संगणक,",ಅನಲಾಗ್ ಕಂಪ್ಯೂಟರ್
विश्लेषण,ವಿಶ್ಲೇಷಣೆ
सहप्रसरण विश्लेषण,ಸಹವರ್ತಿ ವಿಶ್ಲೇಷಣೆ
गणन-डेटा विश्लेषण,ಎಣಿಕೆ-ಡೇಟಾ ವಿಶ್ಲೇಷಣೆ
भिन्नता विश्लेषण,ವ್ಯತ್ಯಾಸ ವಿಶ್ಲೇಷಣೆ
विश्लेषणात्मक भूमिती,ವಿಶ್ಲೇಷಣಾತ್ಮಕ ಜ್ಯಾಮಿತಿ
विश्लेषणात्मक कार्य,ವಿಶ್ಲೇಷಣಾತ್ಮಕ ಕಾರ್ಯ
कोन,ಕೋನ
स्पर्शिका कोन,ಸ್ಪರ್ಶ ಕೋನ
विक्षेपण कोन,ವಿಚಲನ ಕೋನ
उदासीनता कोन,ಖಿನ್ನತೆಯ ಕೋನ
विचलन कोन,ವಿಚಲನ ಕೋನ
विवर्तन कोन,ವಿವರ್ತನೆಯ ಕೋನ
उंची कोन,ಎತ್ತರದ ಕೋನ
घटनेचा कोन,ಘಟನೆಯ ಕೋನ
प्रक्षेपण कोन,ಪ್ರೊಜೆಕ್ಷನ್ ಕೋನ
प्रतिबिंब कोन,ಪ್ರತಿಬಿಂಬದ ಕೋನ
अपवर्तन कोन,ವಕ್ರೀಭವನದ ಕೋನ
रोटेशन कोन,ತಿರುಗುವ ಕೋನ
परावर्तनाचा परिपूर्ण कोन,ಪ್ರತಿಫಲನದ ಸಂಪೂರ್ಣ ಕೋನ
कोनीय प्रवेग,ಕೋನೀಯ ವೇಗವರ್ಧನೆ
कोनीय गती,ಕೋನೀಯ ವೇಗ
कोनीय गती,ಕೋನೀಯ ವೇಗ
कोनीय गती,ಕೋನೀಯ ವೇಗ
अनामिका,ಉಂಗುರದ ಬೆರಳು
उत्तर द्या,ಉತ್ತರ
काउंटर व्युत्पन्न,ಕೌಂಟರ್ ಉತ್ಪನ್ನ
आयसोमेट्रिक फंक्शन,ಸಮಮಾಪನ ಕಾರ್ಯ
"कव्हर करण्यायोग्य, लागू, लागू","ಆವರಿಸಬಹುದಾದ, ಅನ್ವಯಿಸುವ, ಅನ್ವಯಿಸುವ"
"अर्ज अर्ज,",ಅರ್ಜಿ ಅರ್ಜಿ
लागू डायनॅमिक प्रोग्रामिंग,ಅನ್ವಯಿಕ ಡೈನಾಮಿಕ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್
लागू भूमिती,ಅನ್ವಯಿಕ ಜ್ಯಾಮಿತಿ
लागू गणित,ಅನ್ವಯಿಕ ಗಣಿತ
लागू आकडेवारी,ಅನ್ವಯಿಕ ಅಂಕಿಅಂಶಗಳು
"अंदाजे, अंदाजे","ಸರಿಸುಮಾರು, ಸರಿಸುಮಾರು"
अंदाजे सतत कार्य,ಸರಿಸುಮಾರು ನಿರಂತರ ಕಾರ್ಯ
"मॅक्रो पद्धत, अंदाजे पद्धत","ಮ್ಯಾಕ್ರೋ ವಿಧಾನ, ಅಂದಾಜು ವಿಧಾನ"
अंदाजे उपाय,ಅಂದಾಜು ಪರಿಹಾರ
अंदाजे समस्या,ಅಂದಾಜು ಸಮಸ್ಯೆ
अंदाजे मालमत्ता,ಅಂದಾಜು ಆಸ್ತಿ
योग्यता चाचणी,ಯೋಗ್ಯತಾ ಪರೀಕ್ಷೆ
आर्गॉन आकृती,ಆರ್ಗಾನ್ ರೇಖಾಚಿತ್ರ
ऐच्छिक,ಸ್ವಯಂಪ್ರೇರಿತ
"यादृच्छिक, यादृच्छिक","ಯಾದೃಚ್ಛಿಕ, ಯಾದೃಚ್ಛಿಕ"
अनियंत्रित स्थिरांक,ಅನಿಯಂತ್ರಿತ ಸ್ಥಿರ
मुक्त घटक,ಉಚಿತ ಅಂಶ
अनियंत्रित बिंदू,ಅನಿಯಂತ್ರಿತ ಬಿಂದು
आर्किमिडीजचा कायदा,ಆರ್ಕಿಮಿಡೀಸ್ ಕಾನೂನು
आर्किमिडीजचा कायदा,ಆರ್ಕಿಮಿಡಿಸ್ ಕಾನೂನು
"चाप-लांबी, चाप-लांबी","ಚಾಪ-ಉದ್ದ, ಚಾಪ-ಉದ್ದ"
वर्तुळ चाप,ವೃತ್ತದ ಚಾಪ
व्यस्त साइन वितरण,ವಿಲೋಮ ಸೈನ್ ವಿತರಣೆ
व्यस्त साइन रूपांतरण,ವಿಲೋಮ ಸೈನ್ ಪರಿವರ್ತನೆ
"क्षेत्र, क्षेत्र","ಪ್ರದೇಶ, ಪ್ರದೇಶ"
प्रादेशिक कॉन्फिगरेशन,ಪ್ರಾದೇಶಿಕ ಸಂರಚನೆ
जटिल संख्येचा कोन,ಸಂಕೀರ್ಣ ಸಂಖ್ಯೆಯ ಕೋನ
अंकगणित सरासरी,ಅಂಕಗಣಿತದ ಸರಾಸರಿ
डिजिटल ऑपरेशन,ಡಿಜಿಟಲ್ ಕಾರ್ಯಾಚರಣೆ
डिजिटल युनिट,ಡಿಜಿಟಲ್ ಘಟಕ
"कॉन्फिगरेशन, व्यवस्था","ಸಂರಚನೆ, ವ್ಯವಸ್ಥೆ"
"अॅरे, अॅरे","ವ್ಯೂಹ, ವ್ಯೂಹ"
कृत्रिम उपग्रह,ಕೃತಕ ಉಪಗ್ರಹ
कृत्रिम व्हेरिएबल,ಕೃತಕ ವೇರಿಯಬಲ್
चढणे,ಏರಲು
चढत्या,ಆರೋಹಣ
परिमाणाचा चढता क्रम,ಪರಿಮಾಣದ ಆರೋಹಣ ಕ್ರಮ
चढत्या श्रेणी,ಆರೋಹಣ ದರ್ಜೆ
असेंबलर भाषा,ಅಸೆಂಬ್ಲರ್ ಭಾಷೆ
"असाइनमेंट समस्या असाइनमेंट प्रश्न,",ನಿಯೋಜನೆ ಸಮಸ್ಯೆ ನಿಯೋಜನೆ ಪ್ರಶ್ನೆ
सहयोगी नियम,ಸಹಾಯಕ ನಿಯಮ
ऑपरेटर्सचा सहयोगी नियम,ನಿರ್ವಾಹಕರ ಸಹಾಯಕ ನಿಯಮ
सहयोगी ऑपरेशन,ಸಹಾಯಕ ಕಾರ್ಯಾಚರಣೆ
सहवास,ಒಡನಾಟ
सरासरी गृहीत धरले,ಸರಾಸರಿ ಊಹಿಸಲಾಗಿದೆ
गृहीत संभाव्यता वितरण,ಸಂಭವನೀಯತೆಯ ವಿತರಣೆಯನ್ನು ಊಹಿಸಲಾಗಿದೆ
"कल्पना केली, स्वीकारली,","ಕಲ್ಪಿಸಿಕೊಂಡ, ಒಪ್ಪಿಕೊಂಡ"
ज्योतिष,ಜ್ಯೋತಿಷ್ಯ
"अंतराळ अभियंता अंतराळ अभियंता,",ಗಗನಯಾತ್ರಿ ಎಂಜಿನಿಯರ್ ಬಾಹ್ಯಾಕಾಶ ಎಂಜಿನಿಯರ್
खगोलशास्त्रज्ञ*,ಖಗೋಳಶಾಸ್ತ್ರಜ್ಞ*
खगोलशास्त्रीय घड्याळ,ಖಗೋಳ ಗಡಿಯಾರ
खगोलशास्त्र,ಖಗೋಳಶಾಸ್ತ್ರ
असममित वक्र,ಅಸಮಪಾರ್ಶ್ವದ ಕರ್ವ್
विषमता,ಅಸಿಮ್ಮೆಟ್ರಿ
