Tamil,Assamese
"1.அபாகஸ், 2. எண்ணும்","১.এবাকাছ, ২. গণনা কৰি আছে"
அசாதாரண முடிவு,অস্বাভাৱিক অন্ত
இடைமறிக்கவும்,ইন্টাৰচেপ্ট
"1. முழுமையான, 2. உச்சம்","১.নিৰপেক্ষ, ২. পৰম"
முழுமையான முகவரி,নিৰপেক্ষ ঠিকনা
முழுமையான முகவரித்திறன்,নিৰপেক্ষ ঠিকনাযোগ্যতা
முழுமையான அசெம்பிளர்,নিৰপেক্ষ এছেম্বলাৰ
"1. முழுமையான குறியீடு, 2. முழுமையான குறியீடு","১.নিৰপেক্ষ ক&#39;ড, ২. নিৰপেক্ষ ক&#39;ড"
முழுமையான கட்டளை,নিৰপেক্ষ আদেশ
"1. முழுமையான புள்ளிவிவரங்கள், 2. முழுமையான தரவு","১.নিৰপেক্ষ চিত্ৰ, ২. নিৰপেক্ষ তথ্য"
முழுமையான அறிவுறுத்தல்,নিৰপেক্ষ নিৰ্দেশনা
முழுமையான பயன்முறை,নিৰপেক্ষ ধৰণ
முழுமையான பாதை,নিৰপেক্ষ পথ
"1. முழுமையான நிரலாக்கம், 2. முழுமையான நிரலாக்கம்","1. নিৰপেক্ষ প্ৰগ্ৰেমিং, 2. নিৰপেক্ষ প্ৰগ্ৰেমিং"
சுருக்க வர்க்கம்,বিমূৰ্ত শ্ৰেণী
சுருக்க தரவு வகை,বিমূৰ্ত তথ্যৰ ধৰণ
சுருக்க இயந்திரம்,বিমূৰ্ত মেচিন
சுருக்க சின்னம்,বিমূৰ্ত চিহ্ন
சுருக்க தொடரியல்,বিমূৰ্ত বাক্যবিন্যাস
ஏற்பு சோதனை,গ্ৰহণযোগ্যতা পৰীক্ষা
அணுகல் சான்றிதழ்,প্ৰৱেশ প্ৰমাণীকৰণ
"1. அணுகல் குறியீடு, 2. அணுகல் குறியீடு","1. প্ৰৱেশ ক&#39;ড, 2. প্ৰৱেশ ক&#39;ড"
நுழைவு கட்டுப்பாடு,প্ৰৱেশ নিয়ন্ত্ৰণ
அணுகல் ஸ்கேனிங்,অভিগম স্কেনিং
பாகங்கள்,আনুষংগিক বস্তু
கணக்கியல்,হিচাপ-নিকাচ
"1. கணக்கு ஐடி, 2. கணக்கியல் அடையாளம்","1. একাউণ্ট আইডি, 2. একাউণ্টিং চিনাক্তকৰণ"
திரட்டி,এক্যুলেটৰ
"1. துல்லியம், 2. துல்லியம்","১/ সঠিকতা, ২. শুদ্ধতা"
அணுகல்,প্ৰৱেশাধিকাৰ
அணுகல் கட்டுப்பாட்டு பைட்டுகள்,অভিগম নিয়ন্ত্ৰণ বাইটসমূহ
அணுகல் காட்டி,প্ৰৱেশ সূচক
அணுகல் விசை,অভিগম কি&#39;
"1. அணுகல் அணி, 2. அணுகல் அணி","1. অভিগম মেট্ৰিক্স, 2. অভিগম মেট্ৰিক্স"
அணுகல் முறை,অভিগম ধৰণ
அணுகல் சலுகைகள்,অভিগম বিশেষাধিকাৰসমূহ
அணுகல் பாதுகாப்பு,অভিগম সুৰক্ষা
"1. அணுகல் சேவையகம், 2. அணுகல் சர்வர்","1. অভিগম চাৰ্ভাৰ, 2. অভিগম চাৰ্ভাৰ"
அணுகல் நேரம்,প্ৰৱেশ সময়
ஒப்புகை,স্বীকৃতি
ஒலியியல்,শব্দবিজ্ঞান
"1. சுருக்கம், 2. சுருக்கம், 3. இருந்து குறுகிய","১. সংক্ষিপ্ত ৰূপ, ২. সংক্ষিপ্ত ৰূপ, ৩. ৰ পৰা চুটি"
செயல் செய்தி,কাৰ্য্য বাৰ্তা
செயல்படுத்துதல்,সক্ৰিয়কৰণ
செயலில் உள்ள சர்வர் பக்கம்,সক্ৰিয় চাৰ্ভাৰ পৃষ্ঠা
செயலில் உள்ள பதிப்பு,সক্ৰিয় সংস্কৰণ
அசைக்ளிக்,অচক্ৰীয়
"1. அசைக்ளிக் வரைபடம், 2. அசைக்ளிக் வரைபடம்","১.অচক্ৰীয় গ্ৰাফ, ২. অচক্ৰীয় গ্ৰাফ"
அட கணினி மொழி,আদা কম্পিউটাৰ ভাষা
"1. ஆப்டிமைசர், 2. உகப்பாக்கி","১.অপ্টিমাইজাৰ, ২. অপ্টিমাইজাৰ"
மொத்தத்தில்),to sum)
தொகை கோப்பு,যোগফল নথিপত্ৰ
"1. கூட்டல் செயல்பாடு, 2. மொத்த செயல்பாடு","1. যোগ কাৰ্য্য, 2. যোগফল কাৰ্য্য"
சேர்ப்பான்,adder
தெரியும்,ঠিকনা
முகவரி பேருந்து,ঠিকনা বাছ
முகவரி கோப்பு,ঠিকনা নথিপত্ৰ
முகவரி வடிவம்,ঠিকনা বিন্যাস
முகவரி ஜெனரேட்டர்,ঠিকনা উৎপাদক
முகவரி வரி,ঠিকনা ৰেখা
முகவரி மேப்பிங்,ঠিকনা মেপিং
முகவரி காட்டி,ঠিকনা সূচক
முகவரி பதிவு,ঠিকনা পঞ্জীয়ন
முகவரி முறிவு,ঠিকনা ভাঙি যোৱা
முகவரி மொழிபெயர்ப்பு,ঠিকনা অনুবাদ
"1. முகவரி நினைவகம், 2. முகவரியிடக்கூடிய நினைவகம்","1. ঠিকনাযোগ্য স্মৃতিশক্তি, 2. ঠিকনাযোগ্য মেমৰি"
உரையாற்றுதல்,সম্বোধন কৰা
"1. போதுமான அளவுகோல்கள், 2. போதுமான அளவுகோல்","১.পৰ্যাপ্ততাৰ মাপকাঠী, ২. পৰ্যাপ্ততাৰ মাপকাঠী"
இணைப்பு,সংলগ্ন কৰা হৈছে
"1. மேலாண்மை, 2. கட்டுப்பாடு","1. ব্যৱস্থাপনা, 2. নিয়ন্ত্ৰণ"
"1. மேலாளர், 2. கட்டுப்படுத்தி","১.পৰিচালক, ২. নিয়ন্ত্ৰক"
அடோப் அக்ரோபேட்,এডোব এক্ৰ&#39;বেট
அடோ போட்டோஷாப்,এডোব ফটোশ্বপ
ABAP (மேம்பட்ட வணிக நிரலாக்கம்),ABAP (উন্নত ব্যৱসায়িক প্ৰগ্ৰেমিং)
"1. மேம்பட்ட தரவு, 2. மேம்பட்ட தரவு","1. উন্নত তথ্য, 2. উন্নত তথ্য"
மேம்பட்ட தகவல் அமைப்பு,উন্নত তথ্য ব্যৱস্থা
மேம்பட்ட தொழில்நுட்பம் (AT),উন্নত প্ৰযুক্তি (AT)
நடவடிக்கை,কাৰ্য কৰা
திரட்டுதல்,একত্ৰীকৰণ
வான்வழி கணினி அமைப்பு,বায়ুমণ্ডলীয় কম্পিউটাৰ ব্যৱস্থা
அல்டஸ் பக்கம்-தயாரிப்பு,aldus পৃষ্ঠা-নিৰ্মাণ
எச்சரிக்கை பெட்டி,সতৰ্কবাণী বাকচ
அல்கோல் (கணினி மொழி),algol (কম্পিউটাৰ ভাষা)
"1. அல்காரிதம் , 2. அல்காரிதம்","1. এলগৰিদম, 2. এলগৰিদম"
"1. அல்காரிதம் பகுப்பாய்வு, 2. அல்காரிதம் பகுப்பாய்வு","১.এলগৰিদম বিশ্লেষণ, ২. এলগৰিদম বিশ্লেষণ"
அல்காரிதம் திறன்,এলগৰিদম দক্ষতা
"1. எலியாஸ், 2. புனைப்பெயர், 3. aka","১.ইলিয়াছ, ২. ডাকনাম, ৩. aka"
சீரமைப்பு,প্ৰান্তিককৰণ
"1. ஒதுக்கீடு, 2. ஒதுக்கீடு","১.আবণ্টন, ২. আবণ্টন"
"1. அகரவரிசை, 2. அகரவரிசையில்","১.বৰ্ণানুক্ৰমিক, ২. বৰ্ণানুক্ৰমিক ক্ৰম"
எண்ணெழுத்து,আলফানিউমেৰিক
"1. எண்ணெழுத்து விசைப்பலகை ,2. எண்ணெழுத்து விசைப்பலகை","1. আলফানিউমেৰিক কিবৰ্ড, 2. আলফানিউমেৰিক কিবৰ্ড"
ஆல்பா-சோதனை (1 வது நிலை சோதனை),আলফা-পৰীক্ষণ (১ম স্তৰৰ পৰীক্ষা)
"1. ஆல்பா பதிப்பு, 2. ஆல்பா வடிவம்","1. আলফা সংস্কৰণ, 2. আলফা ৰূপ"
alt விசை,alt কি&#39;
அல்டாவிஸ்டா,আলতাভিস্তা
பன்முகத்தன்மை,বহুগুণতা
