Malayalam,English
അബെലിയൻ ഗ്രൂപ്പ്,Abelian group
അബെലിയൻ സെമിഗ്രൂപ്പ്,abelian semigroup
abscissa,abscissa
കേവല,absolute
കേവലമായ ഒത്തുചേരൽ,absolute convergence
സമ്പൂർണ്ണ പിശക്,absolute error
കേവല പരമാവധി,absolute maximum
സമ്പൂർണ്ണ മിനിമം,absolute minimum
യഥാർത്ഥ മൂല്യം,absolute value
കേവല വേഗത,absolute velocity
അമൂർത്ത ബീജഗണിതം,abstract algebra
അമൂർത്തമായ ഗ്രൂപ്പ് സിദ്ധാന്തം,abstract group theory
ത്വരണം,acceleration
ഗുരുത്വാകർഷണം മൂലം ത്വരണം,acceleration due to gravity
സ്വീകാര്യമായ ചോയ്സ് സെറ്റ്,acceptable choice set
സ്വീകാര്യമായ നിലവാരം,acceptable quality level
സ്വീകാര്യമായ ശ്രേണി,acceptable range
സ്വീകാര്യമായ വിശ്വാസ്യത നില,acceptable reliability level
സ്വീകാര്യമായ സാമ്പിൾ,acceptable sampling
സഞ്ചിത പിശക്,accumulated error
കൃത്യത,accuracy
പ്രവർത്തന ശക്തി,acting force
നടപടി,action
പ്രവർത്തനവും പ്രതികരണവും,action and reaction
യഥാർത്ഥ ശാസ്ത്രം,acturial science
നിശിത കോണുള്ള ത്രികോണം,acute angled triangle
അസൈക്ലിക്,acyclic
ചേർക്കുക,add
ചേർക്കുന്നയാൾ,adder
കൂട്ടിച്ചേർക്കൽ,addition
കൂട്ടിച്ചേർക്കൽ സൂത്രവാക്യം,addition formula
സങ്കീർണ്ണ സംഖ്യകളുടെ കൂട്ടിച്ചേർക്കൽ,addition of complex numbers
പ്രവർത്തനങ്ങളുടെ കൂട്ടിച്ചേർക്കൽ,addition of functions
മെട്രിക്സുകളുടെ കൂട്ടിച്ചേർക്കൽ,addition of matrices
ബഹുപദങ്ങളുടെ കൂട്ടിച്ചേർക്കൽ,addition of polynomials
സാധ്യതകളുടെ കൂട്ടിച്ചേർക്കൽ,addition of probabilities
വെക്റ്ററുകളുടെ കൂട്ടിച്ചേർക്കൽ,addition of vectors
കൂട്ടിച്ചേർക്കൽ സിദ്ധാന്തം,addition theorem
സങ്കലന ഗ്രൂപ്പ്,additive group
വിപരീത വിപരീതം,additive inverse
അഡിറ്റീവ് പ്രോപ്പർട്ടി,additive property
അഡിറ്റിവിറ്റി,additivity
തൊട്ടടുത്തുള്ള മാട്രിക്സ്,adjacency matrix
തൊട്ടടുത്തുള്ള,adjacent
അടുത്തുള്ള കോണുകൾ,adjacent angles
തൊട്ടടുത്തുള്ള ശീർഷകം,adjacent vertex
ചേരുക,adjoin
തൊട്ടടുത്തുള്ള,adjoining
അനുബന്ധ ഡിറ്റർമിനന്റ്,adjoint determinant
അനുബന്ധ ഡിഫറൻഷ്യൽ സമവാക്യം,adjoint differential equation
അനുബന്ധ സമവാക്യം,adjoint equation
അനുബന്ധ മാട്രിക്സ്,adjoint matrix
മാട്രിക്സിന്റെ അനുബന്ധം,adjoint of matrix
അഡ്ജുഗേറ്റ് മാട്രിക്സ്,adjugate matrix
സ്വീകാര്യമായ തീരുമാന പ്രവർത്തനം,admissible decision function
അനുവദനീയമായ അനുമാനം,admissible hypothesis
എയറോഡൈനാമിക് ശക്തി,aerodynamic force
എയറോഡൈനാമിക്സ്,aerodynamics
അഫൈൻ ജ്യാമിതി,affine geometry
അഫൈൻ മാപ്പിംഗ്,affine mapping
അഫൈൻ പരിവർത്തനം,affine transformation
അഗ്രഗേറ്റിംഗ് വേരിയബിളുകൾ,aggregating variables
ബീജഗണിതം,algebra
ബീജഗണിതപരമായി അടച്ചിരിക്കുന്നു,algebraically closed
ബീജഗണിത സമവാക്യം,algebraic equation
ബീജഗണിത പദപ്രയോഗം,algebraic expression
ബീജഗണിത രൂപം,algebraic form
ബീജഗണിത പ്രവർത്തനം,algebraic function
ബീജഗണിത ജ്യാമിതി,algebraic geometry
ബീജഗണിത ഗുണിതം,algebraic multiplicity
ബീജഗണിത വ്യവസ്ഥ,algebraic system
എല്ലാ പൂർണ്ണസംഖ്യാ പ്രശ്നം,all-integer problem
വിഹിതം പ്രശ്നം,allocation problem
അക്ഷരമാലാ ക്രമം,alphabetical notation
അക്ഷരമാലാക്രമം,alphabetic character
ഇതര കോൺ,alternate angle
ഒന്നിടവിട്ട രൂപം,alternating form
ഇതര ഗ്രൂപ്പ്,alternating group
ഒന്നിടവിട്ട മാട്രിക്സ്,alternating matrix
ഒന്നിടവിട്ട പരമ്പര,alternating series
ഇതര സിദ്ധാന്തം,alternative hypothesis
ഇതര ഒപ്റ്റിമ,alternative optima
ഇതര ഫലം,alternative outcome
അനലോഗ്-ടു-ഡിജിറ്റൽ കൺവെർട്ടർ,analog-to-digital converter
അനലോഗ് കമ്പ്യൂട്ടർ,analogue computer
വിശകലനം,analysis
സഹവർത്തിത്വത്തിന്റെ വിശകലനം,analysis of covariance
എണ്ണൽ ഡാറ്റയുടെ വിശകലനം,analysis of enumeration data
വ്യതിയാനത്തിന്റെ വിശകലനം,analysis of variance
അനലിറ്റിക് ജ്യാമിതി,analytic geometry
വിശകലന പ്രവർത്തനം,analytic function
കോൺ,angle
കോൺടാക്റ്റ് കോൺ,angle of contact
വ്യതിചലനത്തിന്റെ കോൺ,angle of deflection
