Telugu,Odiya
అబ్బే ఆఫ్ వెస్ట్‌మినిస్టర్,ୱେଷ୍ଟମିନିଷ୍ଟରର ଆବି |
పదవీ విరమణ,ଅବକ୍ଷୟ
బానిసత్వ నిర్మూలన,ଦାସତ୍ୱ ରଦ୍ଦ
ఆదివాసి,ଆଦିବାସୀ
అబ్రహం యుగం,ଅବ୍ରହାମ ଏରା
గైర్హాజరు భూస్వాములు,ଅନୁପସ୍ଥିତ ଜମିଦାରମାନେ |
అకాడమీ,ଏକାଡେମୀ |
అక్ర సమావేశం,ଆକ୍ରା ସମ୍ମିଳନୀ |
సంపాదన,ଆକ୍ରୁଏଲ୍ |
సంస్కారము,ଆକଲଚ୍ୟୁଚର୍
అసెల్డామా,ଆକେଲଡାମା |
అచెయన్ (=అచియన్),ଆଖିଆନ୍ (= ଆଚିଆନ୍)
అచీయన్ లీగ్ (=అచియన్ లీగ్),ଆଚିଆନ୍ ଲିଗ୍ (= ଆଚିଆନ୍ ଲିଗ୍)
అక్రోపోలిస్,ଆକ୍ରୋପଲିସ୍ |
ఆక్టా డియుర్నా,ଆକ୍ଟା ଡିଆର୍ନା |
ఆక్టా సెనాటస్,ଆକ୍ଟା ସେନାଟସ୍ |
యాక్టే అడిషనల్,ଆକ୍ଟ ଆଡେଲ୍ |
యాక్టివ్ రికార్డ్ (=ప్రస్తుత రికార్డు),ସକ୍ରିୟ ରେକର୍ଡ (= ସାମ୍ପ୍ରତିକ ରେକର୍ଡ)
సాధించేవారి చర్య,ଆଟେଣ୍ଡର୍ ଆକ୍ଟ |
నష్టపరిహారం మరియు ఉపేక్ష చట్టం,କ୍ଷତିପୂରଣ ଏବଂ ବିସ୍ମୟର ନିୟମ |
సెటిల్మెంట్ చట్టం,ସମାଧାନ ନିୟମ
ప్రకటన ఒప్పంద ముద్ర,ବିଜ୍ଞାପନ ଚୁକ୍ତି ସିଲ୍ |
అడుల్లామైట్స్,ଆଡୁଲାମାଇଟ୍ସ |
విరోధి,ଶତ୍ରୁ
విరోధి,ଶତ୍ରୁ
అయాన్,ଆଓନ୍
ఏరోరియం,ଏରାରିୟମ୍ |
వైమానిక యుద్ధం,ବାୟୁ ଯୁଦ୍ଧ |
ఏటోలియన్ లీగ్,ଆଟୋଲିଆନ୍ ଲିଗ୍ |
వయస్సు,ବୟସ
వృద్ధాప్యం (=వృద్ధాప్యం),ବାର୍ଦ୍ଧକ୍ୟ (= ବାର୍ଦ୍ଧକ୍ୟ)
వృద్ధాప్య ప్రక్రియ,ବାର୍ଦ୍ଧକ୍ୟ ପ୍ରକ୍ରିୟା |
అగెలై,ଆଗେଲାଇ |
శౌర్య యుగం,Ival ିଭାଲିର ବୟସ |
జ్ఞానోదయం వయస్సు,ଜ୍ଞାନର ବୟସ |
పెరికిల్స్ వయస్సు,ପେରିକଲ୍ସର ବୟସ |
కారణం వయస్సు,କାରଣର ବୟସ |
వ్యవసాయం,କୃଷିବାଦ
వ్యవసాయ ఉద్యమం,କୃଷି ଆନ୍ଦୋଳନ |
అల్బియాన్,ଆଲବିଅନ୍ |
ఆల్బమ్,ଆଲବମ୍
ఆల్డర్మాన్,ଆଲଡରମ୍ୟାନ୍ |
అల్లుడు చేతులు,ଭ୍ରାନ୍ତ ବାହୁ |
సఖ్యత,ବନ୍ଧୁତା
యాంఫిక్యోనిక్ కౌన్సిల్,ଆମ୍ଫିକ୍ଟୋନିକ୍ ପରିଷଦ |
యాంఫిక్యోనిక్ లీగ్,ଆମ୍ଫିକ୍ଟୋନିକ୍ ଲିଗ୍ |
యాంఫీ థియేటర్,ଆମ୍ଫିଥେଟର
