Hindi,Punjabi
अजीवात् जनन,ਅਬਾਇਓਟਿਕ ਪ੍ਰਜਨਨ
अपसामान्य,ਅਲੌਕਿਕ
1. चतुर्थ आमाशय 2. ऐवोमैसम,1. ਚੌਥਾ ਪੇਟ 2. ਈਵੋਮਾਸੋਮ
रुद्ध-वृद्धि अंग,ਸਟੋਮੈਟਲ ਵਿਕਾਸ ਅੰਗ
रुद्ध वृद्धि बीज,ਰੁਕਿਆ ਹੋਇਆ ਵਾਧਾ ਬੀਜ
1. गर्भपात 2. गर्भस्राव 3. वृद्धि विरोध,1. ਗਰਭਪਾਤ 2. ਗਰਭਪਾਤ 3. ਵਿਕਾਸ ਪ੍ਰਤੀਰੋਧ
1. अवांछित अपतृण 2. पूर्ण खरपतवार,1. ਅਣਚਾਹੇ ਜੰਗਲੀ ਬੂਟੀ 2. ਮੁਕੰਮਲ ਨਦੀਨ
अवशोषित धनायन,ਲੀਨ cation
अवशोषण,ਸਮਾਈ
ऐबिसिनी सरसों,ਐਬੀਸੀਨੀਅਨ ਸਰ੍ਹੋਂ
1.एकेरेसनाशी 2. चिचड़ीनाशी,1. ਐਕਰੀਸਾਈਡ
अकेंद्री,centripetal
प्रवर्धन (कोशिका),ਪ੍ਰਸਾਰਨ (ਸੈੱਲ)
स्वीकृत सह्यता,ਮਨਜ਼ੂਰ ਸਹਿਣਸ਼ੀਲਤਾ
1.अतिरिक्त 2. सहायक 3. गौण,1. ਵਾਧੂ 2. ਐਕਸੈਸਰੀ 3. ਐਕਸੈਸਰੀ
पर्यनुकूलन,ਅਨੁਕੂਲਨ
संचय,ਇਕੱਠਾ ਕਰਨਾ
1.vयथार्थता 2. परिशुद्धता,1. ਸ਼ੁੱਧਤਾ 2. ਸ਼ੁੱਧਤਾ
1. एसर्वुलस 2. बीजाणुपात्र,1. ਏਸਰਵੁਲਸ 2. ਸਪੋਰੋਫਾਈਟ
1. ऐसीटीकरण 2. सिरका बनाना 3. ऐसीटीलन,1. ਐਸੀਟਾਈਜ਼ੇਸ਼ਨ 2. ਸਿਰਕਾ ਬਣਾਉਣਾ 3. ਐਸੀਟਿਲੇਨ
1. अम्लीकरण 2. अम्लन,1. ਤੇਜ਼ਾਬੀਕਰਨ 2. ਤੇਜ਼ਾਬੀਕਰਨ
1.अम्लतामापी 2. एसिडीमीटर,1. ਐਸੀਡੋਮੀਟਰ 2. ਐਸਿਡਮੀਟਰ
अम्लता,ਐਸਿਡਿਟੀ
अम्लरागी,ਐਸਿਡੋਫਾਈਲ
अम्लीकृत रॉक फॉस्फेट,ਤੇਜ਼ਾਬ ਚੱਟਾਨ ਫਾਸਫੇਟ
अम्लसह,ਤੇਜ਼ਾਬ
जलभृत,aquifer
अधिग्रहण,ਪ੍ਰਾਪਤੀ
एकड़,ਏਕੜ
1.क्षेत्रफल 2. रकबा,1. ਖੇਤਰ 2. ਖੇਤਰ
उपांत बिंदु क्रोमोसोम,ਅੰਤ ਬਿੰਦੂ ਕ੍ਰੋਮੋਸੋਮ
अग्राभिसारी,ਅਗਾਂਹਵਧੂ
ऐक्रोसोम,acrosome
एक्टिनोमाइसिटीज,ਐਕਟਿਨੋਮਾਈਸੀਟਸ
