Punjabi,Hindi
ਅਬਾਇਓਟਿਕ ਪ੍ਰਜਨਨ,अजीवात् जनन
ਅਲੌਕਿਕ,अपसामान्य
1. ਚੌਥਾ ਪੇਟ 2. ਈਵੋਮਾਸੋਮ,1. चतुर्थ आमाशय 2. ऐवोमैसम
ਸਟੋਮੈਟਲ ਵਿਕਾਸ ਅੰਗ,रुद्ध-वृद्धि अंग
ਰੁਕਿਆ ਹੋਇਆ ਵਾਧਾ ਬੀਜ,रुद्ध वृद्धि बीज
1. ਗਰਭਪਾਤ 2. ਗਰਭਪਾਤ 3. ਵਿਕਾਸ ਪ੍ਰਤੀਰੋਧ,1. गर्भपात 2. गर्भस्राव 3. वृद्धि विरोध
1. ਅਣਚਾਹੇ ਜੰਗਲੀ ਬੂਟੀ 2. ਮੁਕੰਮਲ ਨਦੀਨ,1. अवांछित अपतृण 2. पूर्ण खरपतवार
ਲੀਨ cation,अवशोषित धनायन
ਸਮਾਈ,अवशोषण
ਐਬੀਸੀਨੀਅਨ ਸਰ੍ਹੋਂ,ऐबिसिनी सरसों
1. ਐਕਰੀਸਾਈਡ,1.एकेरेसनाशी 2. चिचड़ीनाशी
centripetal,अकेंद्री
ਪ੍ਰਸਾਰਨ (ਸੈੱਲ),प्रवर्धन (कोशिका)
ਮਨਜ਼ੂਰ ਸਹਿਣਸ਼ੀਲਤਾ,स्वीकृत सह्यता
1. ਵਾਧੂ 2. ਐਕਸੈਸਰੀ 3. ਐਕਸੈਸਰੀ,1.अतिरिक्त 2. सहायक 3. गौण
ਅਨੁਕੂਲਨ,पर्यनुकूलन
ਇਕੱਠਾ ਕਰਨਾ,संचय
1. ਸ਼ੁੱਧਤਾ 2. ਸ਼ੁੱਧਤਾ,1.vयथार्थता 2. परिशुद्धता
1. ਏਸਰਵੁਲਸ 2. ਸਪੋਰੋਫਾਈਟ,1. एसर्वुलस 2. बीजाणुपात्र
1. ਐਸੀਟਾਈਜ਼ੇਸ਼ਨ 2. ਸਿਰਕਾ ਬਣਾਉਣਾ 3. ਐਸੀਟਿਲੇਨ,1. ऐसीटीकरण 2. सिरका बनाना 3. ऐसीटीलन
1. ਤੇਜ਼ਾਬੀਕਰਨ 2. ਤੇਜ਼ਾਬੀਕਰਨ,1. अम्लीकरण 2. अम्लन
1. ਐਸੀਡੋਮੀਟਰ 2. ਐਸਿਡਮੀਟਰ,1.अम्लतामापी 2. एसिडीमीटर
ਐਸਿਡਿਟੀ,अम्लता
ਐਸਿਡੋਫਾਈਲ,अम्लरागी
ਤੇਜ਼ਾਬ ਚੱਟਾਨ ਫਾਸਫੇਟ,अम्लीकृत रॉक फॉस्फेट
ਤੇਜ਼ਾਬ,अम्लसह
aquifer,जलभृत
ਪ੍ਰਾਪਤੀ,अधिग्रहण
ਏਕੜ,एकड़
1. ਖੇਤਰ 2. ਖੇਤਰ,1.क्षेत्रफल 2. रकबा
