Malayalam,Kannada
നിർത്തലാക്കിയ അവയവം,ಸ್ಥಗಿತಗೊಂಡ ಅಂಗ
നിർത്തലാക്കിയ വിത്ത്,ಸ್ಥಗಿತಗೊಂಡ ಬೀಜ
ഗര്ഭഛിദം,ಗರ್ಭಪಾತ
കേവല കള,ಸಂಪೂರ್ಣ ಕಳೆ
ആഗിരണം ചെയ്യപ്പെട്ട വ്യാജം,ಹೀರಿಕೊಳ್ಳುವ ಕ್ಯಾಷನ್
ആഗിരണം,ಹೀರುವಿಕೆ
അബിസീനിയൻ കടുക്,ಪ್ರಪಾತದ ಸಾಸಿವೆ
Ala എഴുതിയത്,ಉಜ್ಜೆ
അക്വെൻട്രിക്,ಉಪನಾಮದ
ആക്സന്റ്വേറ്റ് (സെൽ),ಎದ್ದು ಕಾಣುವುದು (ಕೋಶ)
അംഗീകരിച്ച സഹിഷ്ണുത,ಅಂಗೀಕರಿಸಿದ ಸಹಿಷ್ಣುತೆ
ഉപസാധനം,ಪರಿಕರ
ACCLIMATIES,ಒಗ್ಗೂಡಿಸುವಿಕೆ
കൂന്വാരം,ಸಂಗ್ರಹಣೆ
കൃതത,ನಿಖರತೆ
Aiverulus,ಕಸಚೂಕು
അസഹീകരണം,ಸಮಗ್ರೀಕರಣ
അസിഡിറ്റി,ಆಮ್ಲೀಕರಣ
ആദിമീറ്റര്,ಆಚಿಮೀಟರ್ ಚೀಟಿ
അസിഡിറ്റി,ಅಚ್ಚುಕಟ್ಟಾಗಿತ್ವ
അഡോഫിലിക്,ಸಿಹಿನೀರಿನ
അസിഡിലേറ്റഡ് റോക്ക് ഫോസ്ഫേറ്റ്,ಆಮ್ಲೀಯ
അയ്യോണിക്,ಸಂಚೇಮದ
അക്വിഫർ,ಜಲಚರಗಳು
കൈവശപ്പെടുത്തൽ,ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು
ഏന്വുല്ല്,ಎಕರೆ
പസ്താര,ಎಕರೆ
അക്രോസൻട്രിക് ക്രോമസോം,ಅಕ್ರೊಸೆಂಟ್ರಿಕ್ ವರ್ಣತಂತು
അക്രോപോറ്റൽ,ಖುಷಿಯ
അക്രോസോം,ಸುಣ್ಣ
ആക്റ്റിനോമൈസെറ്റുകൾ,ಅಂಧ
സജീവ റൂട്ട് സോൺ,ಸಕ್ರಿಯ ಮೂಲ ವಲಯ
തുളച്ചുകയറുന്ന,ತೀವ್ರ
പൊരുത്തപ്പെടലി,ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ
പൊരുത്തപ്പെടുത്തൽ,ರೂಪಾಂತರ
അഷൈൻ,ಅಂಟಿಕೊಳ್ಳುವಿಕೆ
അദിപ്പോസ്,ಅಡಿ
ക്രമീകരണ സമവാക്യം,ಹೊಂದಾಣಿಕೆ ಸಮೀಕರಣ
അഡോബ് മണ്ണ്,ಮಣ್ಣು
പ്രത്യേകത,ವ್ಯಭಿಚಾರಮಾಡುವ
സാഹസികത,ಸಾಹಸದ
Aecidiossoror,ಅಕ್ಸಿಯೊಸ್ಪೋರ್
ഓലിയൻ പ്രക്രിയ,ಅಯೋಲಿಯನ್ ಪ್ರಕ್ರಿಯೆ
Aiolian,ಅಯೋಲಿಯನ್
ഓറേറ്റ്,ಗಾಳಿಗೊಡ್ಡು
ഏരിയൽ,ವೈಮಾನಿಕ
ഏയ്റോമീറ്റർ,ವಾಯುಮಾಪಕ
എയറോസോൾ,ವಾಯುಪಾವತಿ
പകർച്ചവ്വാധം,ಅಸ್ವಸ್ಥತೆ
Aetiiology (etiology),ಏಟಿಯಾಲಜಿ (ಎಟಿಯಾಲಜಿ)
വനനം,ಸಂಯಮ
പ്രക്ഷോഭക്തി,ಆಂದೋಲನ
ന്വര്,ಅಣಕೇಡು
കാർഷികം,ಕೃಷಿ
കാർഷിക ക്ലിനിക്,ಕೃಷಿ ಚಿಕಿತ್ಸಾಲಯ
കാർഷിക തൊഴിലാളി,ಕೃಷಿ ದುಡಿಮೆ
കാർഷിക മാർക്കറ്റിംഗ്,ಕೃಷಿ ಮಾರಾಟ
കാർഷിക സാങ്കേതികവിദ്യ,ಕೃಷಿ ತಂತ್ರಜ್ಞಾನ
കൃഷിപ്പണി,ಕೃಷಿ
അഗ്രിസിൾവികൾച്ചർ,ಕೃಪಣಸಾಮರಿ
കാർഷികൈവൻവിറ്റി,ಕೃಷಿ -ವೈವಿಧ್ಯತೆ
അഗ്രോബയോളജിക്കൽ വൈകല്യങ്ങൾ,ಕೃಷಿ ಜೀವವಿಜ್ಞಾನದ ದೋಷಗಳು
അഗ്രോബയോളജി,ಕೃಷಿ ಜೀವವಿಜ್ಞಾನ
അഗ്രോകീല വൈവിധ്യമാർന്ന വൈവിധ്യമാർന്ന,ಕೃಷಿ -ವೈವಿಧ್ಯತೆ
അഗ്രോക്ലിമാറ്റിക് സോണിംഗ്,ಕೃಷಿ ವಲಯ
അഗ്രോഫോറസ്ട്രി,ಕೃಚಾರಕ
ങ്ങളോട്,ಕೃಷಿ ಶಾಸ್ತ್ರ
അഗ്രോണമി,ಕೃಷಿ ವಿಜ್ಞಾನ
അഗ്രോപസ്റ്റോറൽ,ಅಬ್ವಿಶರ
കാർഷികസംരക്ഷണം,ಕೃಷಿಪ್ರೊಸೆಸಿಂಗ್
അഗ്രോസ്റ്റോസ്റ്റിയോളജി,Agrostology
അഗ്രോട്ടിപ്പ്,ಕೃಪೆ
എയർ പ്ലാന്റ്,ಗಾಳಿ ಸಸ್ಯ
അക്കിയോച്ചി മണ്ണ്,ಅಕೋಚಿ ಮಣ್ಣು
ആൽബിനിസം,ಆಲ್ಬೋ
ആൽഫിസോളുകൾ,ಆಲ್ಫಿಸೋಲ್ಸ್
ആല്ഗകൾ,ಪಾಚಿ
ആൽഗൽ രോഗം,ಪಾಚಿಯ ಕಾಯಿಲೆ
ക്ഷാളി വെള്ളം,ಕ್ಷಾರ ನೀರು
ആൽക്കലൈൻ,ಕ್ಷಾರೀಯ
അല്ലലേ,ಇಳಿಜಾರು
അല്ലോകെമിക്കലുകൾ,ಆಲಿನೋಕೆಮಿಕಲ್ಸ್
AllloMorph,ಅನನುಕಣ
നിയോവദാതി,ಅಲಲೋಪತಿ
ഓൺലൈൻ ക്രോപ്പിംഗ്,ಅಲ್ಲೆ ಕ್ರಾಪಿಂಗ್
അലോക്കർപി,ನಿಯೋಜಕ
അലോഗാമി,ಅಲೋಗಮಿ
അലറിരം,ಮಾಪಕ
Allopolyplogid,ಸೂತ್ರ
Allosynapsis (Allowsyndesis),ಅಲೋಸೈನಾಪ್ಸಿಸ್ (ಅಲೋಸಿಂಡೆಸಿಸ್)
ഇതര ബെയറിംഗ്,ಪರ್ಯಾಯ ಬೇರಿಂಗ್
ഇതര ഭൂമി ഉപയോഗം,ಪರ್ಯಾಯ ಭೂ ಬಳಕೆ
ആംബിയന്റ്സ്,ಸುತ್ತುವರಿಯುವ
സൗഹാർഭോഗം,ಅಚಲ
അമിറ്റോസിസ്,ಅಮೀಟಾಸಿ
അമിനിവൽക്കരണം,ಕಸಚುಗಾರ
അമ്മോണിഫിക്കേഷൻ,ಅಮೋನೀಕರಣ
അമോമോണിഫയർ,ಅಮೋನಿಗೆ ಮಾಡುವವ
അമോഫ്,ಅಬ್ಬರಿಸು
ആംഫിമിക്സിസ്,ಉಭಯಮತ್ರ
ആംഫോടെക്,ಉದ್ದವಾದ
അനാബോളിസം,ಅನಾಬಾಲಿಸಂ
അയ്റോബ്,ಬಯೆರೋಲೆ
Aneuplogode,ಅನೆಲಾಯ್ಡ್
ആംഗിൾ നടുക്കം,ಕೋನ ನೆಡುವುದು
മൃഗസംരക്ഷണം,ಪಶುಸಂಗೋಪನೆ
മൃഗങ്ങളെ പ്രതിഫലിപ്പിക്കൽ,ಪ್ರಾಣಿಗಳ ನಿರಾಕರಣೆ
ആത്യന്തിക .ർജ്ജം,ಅನಿಮೇಟ್ ಎನರ್ಜಿ
Anisoplode,ಹದಮೆರಗಿ
വാർഷിക സസ്യം,ವಾರ್ಷಿಕ ಸಸ್ಯ
ആണ്ടുതോറുമുള്ള,ವಾರ್ಷಿಕ
ആന്തീസിസ്,ಸ ೦ ಗೀತ
ആന്ത്രാക്സ്,ಆಂಥ್ರಾಕ್ಸ್
ആന്ത്രോപെനിക് ഘടകം,ಮಾನವಜನ್ಯದ ಅಂಶ
ആന്റിബിയോസിസ്,ಪ್ರತಿಜೀವಕ
രോഗനാശിനി,ಪ್ರತಿಜೀವಕ
മറുമരുന്ന്,ಪ್ರತಿವಿಷ
ആന്റിഓക്സിഡന്റുകൾ,ಆವರಣಕಾರಕ
ആന്റിടോക്സിൻ,ಪ್ರತಿಚರಣ
അപര്യാഘാതം,ಉಚ್ಚಾರಣಾ
ആഫിഡ്,ಮುನಸು
അഗ്രമുദിനം,ಸುಲಿಯ ಮೊಗ್ಗು
അഗ്ര ആധിപത്യം,ಅಪಿಕಲ್ ಪ್ರಾಬಲ್ಯ
അപ്പോർച്ചർ (ബീ സൂപ്പർഡിംഗ്),ಅಪಿಕಲ್ಚರ್ (ಬೀ ಕೀಪಿಂಗ್)
അപ്പോമിക്സിസ്,ತಿಕ್ಕಲು
അപ്പോപ്ടോസിസ്,ಅಪಶೂನ್ಯತೆ
അനുബന്ധം,ಅನುಬಂಧ
വിശപ്പ്,ಜೀರ್ಣಕಾರಕವಾಗಿ
പ്രയോഗിച്ചു,ಅನ್ವಯಿಕ
അക്വാട്ടിക് കള,ಜಲಚರಗಳು
അർബോറിയൽ,ಆಕ್ಷರ
അർബോറൈസേഷൻ,ಗುಂಡಿನ ಕವಚ
