Bengali,Tamil
গর্ভপাত,கருக்கலைப்பு
গর্ভপাত টাইমার,டைமரை நிறுத்துங்கள்
পরম ঠিকানা,முழுமையான முகவரி
পরম ঠিকানা,முழுமையான முகவரி
পরম এসেম্বলার,முழுமையான அசெம்பிளர்
পরম কোড,முழுமையான குறியீடு
পরম কোডিং,முழுமையான குறியீட்டு முறை
পরম কমান্ড,முழுமையான கட்டளை
পরম সমন্বয়,முழுமையான ஒருங்கிணைப்பு
পরম ডেটা,முழுமையான தரவு
পরম ত্রুটি,முழுமையான பிழை
পরম অভিব্যক্তি,முழுமையான வெளிப்பாடு
পরম নির্দেশ,முழுமையான அறிவுறுத்தல்
পরম লোডার,முழுமையான ஏற்றி
পরম আদেশ,முழுமையான வரிசை
পরম প্রোগ্রামিং,முழுமையான நிரலாக்க
পরম শব্দ,முழுமையான சொல்
পরম মান,துல்லியமான மதிப்பு
পরম ভেক্টর,முழுமையான திசையன்
বিমূর্ত,சுருக்கம்
বিমূর্ত,சுருக்கம்
বিমূর্ত প্রতীক,சுருக்க சின்னம்
ত্বরণ সময়কাল,முடுக்கம் காலம்
ত্বরণের সময়,முடுக்கம் நேரம்
অ্যাকসেন্ট,உச்சரிப்பு
স্বীকৃতি পরীক্ষা,ஏற்பு சோதனை
অ্যাক্সেস,அணுகல்
অ্যাক্সেস আর্ম,அணுகல் கை
অ্যাক্সেস ব্যবস্থা,அணுகல் ஏற்பாடு
অ্যাক্সেস কর্তৃপক্ষ,அணுகல் அதிகாரம்
অ্যাক্সেস চার্জ,அணுகல் கட்டணம்
অ্যাক্সেস ক্লাস,அணுகல் வகுப்பு
অ্যাক্সেস ডেটা বেস ম্যানেজমেন্ট,தரவு அடிப்படை நிர்வாகத்தை அணுகவும்
অ্যাক্সেস পরিবেশ,அணுகல் சூழல்
অ্যাক্সেস ফাঁক,அணுகல் இடைவெளி
অ্যাক্সেস সূচক,அணுகல் அட்டவணை
অ্যাক্সেস লাইন,அணுகல் வரி
অ্যাক্সেস প্রক্রিয়া,அணுகல் பொறிமுறை
অ্যাক্সেস পদ্ধতি,அணுகல் முறை
অ্যাক্সেস পদ্ধতির রুটিন,அணுகல் முறை வழக்கமான
অ্যাক্সেস মোড,அணுகல் பயன்முறை
এক্সেস অধিকার,அணுகல் உரிமை
অ্যাক্সেস স্ক্যান,அணுகல் ஸ்கேன்
প্রবেশাধিকার সময়,அணுகல் நேரம்
অ্যাকাউন্টিং,கணக்கியல்
অ্যাকাউন্টিং ফিনান্স সিস্টেম,கணக்கியல் நிதி அமைப்பு
অ্যাকাউন্টিং মেশিন,கணக்கியல் இயந்திரம்
হিসাব নাম্বার,கணக்கு எண்
প্রজননকারী জমে,திரட்டுதல் இனப்பெருக்கம்
জমে,குவிப்பான்
সংগ্রহকারী রেজিস্টার,குவிப்பான் பதிவு
সংগ্রহকারী শিফট নির্দেশনা,திரட்டல் ஷிப்ட் வழிமுறை
সঠিকতা,துல்லியம்
নির্ভুলতা নিয়ন্ত্রণ চরিত্র,துல்லியம் கட்டுப்பாட்டு தன்மை
নির্ভুলতা নিয়ন্ত্রণ ব্যবস্থা,துல்லியம் கட்டுப்பாட்டு அமைப்பு
এস পাইলট,ஏஸ் பைலட்
