Hindi,Assamese
आबेली समूह,এবেলিয়ান গোট
आबेली सामिसमूह,abelian অৰ্ধগোট
भुज,abscissa
"निरपेक्ष, परम, अचर, परिशुद्‌ध",নিৰপেক্ষ
निरपेक्ष अभिसरण,নিৰপেক্ষ অভিসৰণ
निरपेक्ष त्रुटि,নিৰপেক্ষ ভুল
परम उच्चिष्ठ,নিৰপেক্ষ সৰ্বোচ্চ
परम निम्निष्ठ,নিৰপেক্ষ নূন্যতম
निरपेक्ष मान,নিৰপেক্ষ মূল্য
निरपेक्ष वेग,নিৰপেক্ষ বেগ
अमूर्त बीजगणित,বিমূৰ্ত বীজগণিত
अमूर्त समूह सिद्‌धांत,বিমূৰ্ত গোট তত্ত্ব
त्वरण,বেগ বৃদ্ধি
गुरुत्वीय त्वरण,মাধ্যাকৰ্ষণৰ ফলত হোৱা ত্বৰণ
स्वीकार्य वरण-समुच्चय,গ্ৰহণযোগ্য পছন্দৰ ছেট
स्वीकार्य गुणता स्तर,গ্ৰহণযোগ্য গুণগত মানৰ স্তৰ
स्वीकार्य परिसर,গ্ৰহণযোগ্য পৰিসৰ
मान्य विश्वसनीयता स्तर,গ্ৰহণযোগ্য নিৰ্ভৰযোগ্যতা স্তৰ
स्वीकरण-प्रतिचयन,গ্ৰহণযোগ্য নমুনা সংগ্ৰহ কৰা
संचित त्रुटि,সঞ্চিত ভুল
यथार्थता,শুদ্ধতা
लगा हुआ बल,ক্ৰিয়াশীল শক্তি
" क्रिया , कर्म",কাৰ্য কৰা
क्रिया और प्रतिक्रिया,ক্ৰিয়া আৰু প্ৰতিক্ৰিয়া
बीमा विज्ञान,কৃষি বিজ্ঞান
न्यूनकोण त्रिभुज,তীব্ৰ কোণীয়া ত্ৰিভুজ
अचक्रीय,অচক্ৰীয়
"योग करना, जोड़ना",যোগ কৰা
योजक,adder
"योग, जोड़, संकलन (स.), योगात्मक (वि.)",যোগ
योग का सूत्र,যোগ সূত্ৰ
सम्मिश्र संख्याओं का योग,জটিল সংখ্যাৰ সংযোজন
फलनों का योग,ফলনসমূহৰ সংযোজন
आव्यूहों का योग,মেট্ৰিক্সৰ সংযোজন
बहुपदों का योग,বহুপদ যোগ কৰা
प्रायिकताओं का योग,সম্ভাৱনাৰ সংযোজন
सदिशों का योग,ভেক্টৰৰ সংযোজন
"योग प्रमेय बेरीज सिद्‌धांत,",যোগ উপপাদ্য
योज्य समूह,যোগকৰণ গোট
योज्य व्युत्क्रम,যোগকৰণৰ বিপৰীত
"योज्यता, योगशीलता",যোগসূত্ৰৰ বৈশিষ্ট্য
योज्यता,যোগকৰণ
आसन्नता आव्यूह,সংলগ্নতা মেট্ৰিক্স
" संलग्न, निकटवर्ती , आसन्न",পাৰ্শ্বৱৰ্তী
आसन्न कोण,কাষৰীয়া কোণ
आसन्न शीर्ष,কাষৰীয়া শিখৰ
सहबद्‌ध करना,adjoin
"संलग्न संलग्नीत,",সংলগ্ন
सहखंडज सारणिक,সংযুক্ত নিৰ্ণায়ক
संलग्न अवकल समीकरण,সংযুক্ত অৱভেদ্য সমীকৰণ
संलग्न समीकरण,সংযুক্ত সমীকৰণ
सहखंडज आव्यूह,সংলগ্ন মেট্ৰিক্স
आव्यूह सहखंडज,মেট্ৰিক্সৰ সংযুক্ত
सहखंडज आव्यूह,এডজুগেট মেট্ৰিক্স
ग्राह्य निर्णय फलन,গ্ৰহণযোগ্য সিদ্ধান্ত কাৰ্য্য
ग्राह्य परिकल्पना,গ্ৰহণযোগ্য অনুমান
वायुगतिक बल,বায়ুগতিবিদ্যা বল
वायु गतिकी,বায়ুগতিবিদ্যা
सजातीय ज्यामिति,affine জ্যামিতি
सजातीय प्रतिचित्रण,affine মেপিং
सजातीय रूपांतरण,affine ৰূপান্তৰ
समुच्चयी चर,চলকসমূহ একত্ৰিত কৰা
" बीजगणित, ऐलजेब्रा , बीजावली , बीजक्रिया",বীজগণিত
"बीजतः संवृत, बीजतः",বীজগণিতীয়ভাৱে বন্ধ কৰা হৈছে
बीजीय समीकरण,বীজগণিতীয় সমীকৰণ
बीजीय व्यंजक,বীজগণিতীয় প্ৰকাশ
बीजीय समघात,বীজগণিতীয় ৰূপ
बीजीय फलन,বীজগণিতীয় ফলন
बीजीय ज्यामिति,বীজগণিতীয় জ্যামিতি
बीजीय बहुकता,বীজগণিতীয় বহুগুণতা
