Marathi,English
अजैविक पुनरुत्पादन,abiogenesis
अलौकिक,abnormal
1. चौथे पोट 2. इवोमासोम,abomasum
रंध्र वाढीचा अवयव,aborted organ
वाढ खुंटलेले बीज,aborted seed
1. गर्भपात 2. गर्भपात 3. वाढीचा प्रतिकार,abortion
1. अवांछित तण 2. पूर्ण तण,absolute weed
शोषलेले केशन,absorbed cation
शोषण,absorption
Abyssinian मोहरी,abyssinian mustard
1. ऍकेरिसाइड,acaricide
केंद्राभिमुख,accentric
प्रवर्धन (सेल),accentuate (cell)
मंजूर सहिष्णुता,accepted tolerance
1.अतिरिक्त 2.अॅक्सेसरी 3.अॅक्सेसरी,accessory
रुपांतर,acclimatization
जमा,accumulation
1. अचूकता 2. अचूकता,accuracy
1. एसरव्हुलस 2. स्पोरोफाइट,acervulus
1. एसिटायझेशन 2. व्हिनेगर बनवणे 3. एसिटिलीन,acetification
1. आम्लीकरण 2. आम्लीकरण,acidification
1. ऍसिडोमीटर 2. ऍसिडीमीटर,acidimeter
आंबटपणा,acidity
ऍसिडोफाइल,acidophilic
ऍसिडिफाइड रॉक फॉस्फेट,acidulated rock phosphate
आम्लीकृत,aciduric
जलचर,acquifer
संपादन,acquisition
एकर,acre
1. क्षेत्रफळ 2. क्षेत्रफळ,acreage
अंतिम बिंदू गुणसूत्र,acrocentric chromosome
पुढे दिसणारा,acropetal
acrosome,acrosome
actinomycetes,actinomycetes
सक्रिय कोर,active root zone
1. उग्र 2. तीव्र,acute
अनुकूलता,adaptability
सानुकूलन,adaptation
1. आसंजन 2. आसंजन,adhesion
सेबेशियस,adipose
समायोजन समीकरण,adjustment equation
adobe माती,adobe soil
भेसळ करणारा,adulterant
एक्टोपिक,adventitious
Isidiospore Isidium बीजाणू,aecidiospore
वायुगतिकीय प्रक्रिया,aeolian process
वेंट्रल,aeolian
वायुवीजन करणे,aerate
1. हवा 2. आकाशी,aerial
1. एरोमीटर 2. एरोमीटर 3. एरोमीटर,aerometer
एरोसोल,aerosol
1. फुलणे 2. उन्हाळी सुप्तता,aestivation
रोग विज्ञान,aetiology (etiology)
वनीकरण,afforestation
1. आंदोलन 2. अशांतता,agitation
Agmark,agmark
1. जमिनीशी संबंधित 2. कृषी,agrarian
कृषी चिकित्सालय,agricultural clinic
1. शेतमजूर 2. शेतमजूर,agricultural labour
कृषी विपणन,agricultural marketing
कृषी तंत्रज्ञान,agricultural technology
1. शेती 2. शेती 3. कृषी विज्ञान,agriculture
कृषी वनीकरण,agrisilviculture
कृषी जैवविविधता,agrobiodiversity
कृषी सेंद्रिय दोष,agrobiological defects
कृषी जीवशास्त्र,agrobiology
कृषी-हवामान विविधता,agroclimatic diversity
कृषी हवामान क्षेत्र निर्मिती,agroclimatic zoning
कृषी वनीकरण,agroforestry
कृषीशास्त्र,agrology
कृषीविषयक,agronomy
कृषी खेडूत,agropastoral
पीक प्रक्रिया,agroprocessing
गवत विज्ञान,agrostology
पीक प्रकार,agrotype
epiphyte,air plant
aikiochi माती,akiochi soil
रंगाधळेपण,albinism
अल्फिसोल,alfisols
एकपेशीय वनस्पती,algae
एकपेशीय वनस्पती रोग,algal disease
अल्कली पाणी,alkali water
अल्कधर्मी,alkaline
पर्यायी,allele
allelo रसायनशास्त्र,allelochemicals
एलील,allelomorph
ऍलेलोपॅथी,allelopathy
