Tamil,Odiya
ஏசி சமமான சுற்று,AC ସମାନ ସର୍କିଟ |
எண் மாற்றிக்கு ஒப்புமை,ସାଂଖ୍ୟିକ ରୂପାନ୍ତରକାରୀ ସହିତ ଅନୁରୂପ |
முழுமையான பூஜ்ஜியம்,ସଂପୂର୍ଣ୍ଣ ଶୂନ
உறிஞ்சுதல் குணகம்,ଶୋଷଣ ଗୁଣବତ୍ତା
உறிஞ்சுதல் நிறமாலை,ଅବଶୋଷଣ ସ୍ପେକ୍ଟ୍ରମ୍ |
ஏற்பி அணு,ରିସେପ୍ଟର ପରମାଣୁ |
மாற்று மின்னோட்ட இணைப்பு,ବ current କଳ୍ପିକ ସାମ୍ପ୍ରତିକ ଯୋଡି |
எலக்ட்ரான் அறுவடை,ଇଲେକ୍ଟ୍ରନ୍ ଅମଳ
துளை சேமிப்பு,ଗର୍ତ୍ତ ସଂରକ୍ଷଣ
செயல்படுத்தும் ஆற்றல்,ସକ୍ରିୟ ଶକ୍ତି
செயலில் பெருக்கி,ସକ୍ରିୟ ଏମ୍ପ୍ଲିଫାୟର୍ |
செயலில் உள்ள டையோடு சுற்று,ସକ୍ରିୟ ଡାୟୋଡ୍ ସର୍କିଟ୍ |
செயலில் வடிகட்டி,ସକ୍ରିୟ ଫିଲ୍ଟର୍ |
செயலில் உள்ள உயர் அதிர்வெண் பார்க்வெட் வடிகட்டி,ସକ୍ରିୟ ହାଇ ଫ୍ରିକ୍ୱେନ୍ସି ପାର୍କେଟ୍ ଫିଲ୍ଟର୍ |
செயலில் சுமை,ସକ୍ରିୟ ଭାର
செயலில் குறைந்த அதிர்வெண் பாகுபடுத்தும் வடிகட்டி,ସକ୍ରିୟ ନିମ୍ନ ଫ୍ରିକ୍ୱେନ୍ସି ପାର୍ସ ଫିଲ୍ଟର୍ |
செயலில் உள்ள பகுதி,ସକ୍ରିୟ କ୍ଷେତ୍ର |
தகவமைப்பு மின்னணுவியல்,ଆଡାପ୍ଟିଭ୍ ଇଲେକ୍ଟ୍ରୋନିକ୍ସ |
சேர்ப்பான்,ଆଡର୍
சரிசெய்யக்கூடிய இசைக்குழு நீட்டிப்பு,ଆଡଜଷ୍ଟେବଲ୍ ବ୍ୟାଣ୍ଡ ଏକ୍ସଟେନ୍ସନ୍ |
ஊடுருவல்,ଅନୁପ୍ରବେଶ
ஏரியல்,ଆରିଏଲ
பெப் அதிர்வெண்,ପେପ୍ ଫ୍ରିକ୍ୱେନ୍ସି |
காற்றுச்சீரமைப்பி,ଶିତତାପ ନିୟନ୍ତ୍ରଣକାରି
சீரமைப்பு,ଶ୍ରେଣୀବଦ୍ଧତା |
அல்காரிதம்,ଆଲଗୋରିଦମ |
அனைத்து பாஸ் வடிகட்டி,ସମସ୍ତ ପାସ୍ ଫିଲ୍ଟର୍ |
அலாய் சந்திப்பு,ମିଶ୍ରିତ ଜଙ୍କସନ |
தணிவு,ଆଘାତ
மாறுதிசை மின்னோட்டம்,ବ current କଳ୍ପିକ କରେଣ୍ଟ୍ |
சுற்றுப்புற வெப்பநிலை,ପରିବେଶର ତାପମାତ୍ରା |
இருமுனை,ଦ୍ୱିପାକ୍ଷିକ
பெருக்கம்,ବୃଦ୍ଧି
பெருக்கி,ଏମ୍ପ୍ଲିଫାୟର୍
பெருக்கி செயல்திறன்,ଏମ୍ପ୍ଲିଫାୟର୍ ଦକ୍ଷତା |
பரிமாணங்கள்,ପରିମାପ
வீச்சு குறைதல்,ପ୍ରଶସ୍ତତା ଆଘାତ
அலைவீச்சு மாடுலேட்டட் AM ஆஸிலேட்டர்,ବିସ୍ତାର ମଡ୍ୟୁଲେଡ୍ ଏମ୍ ଓସିଲେଟର
வீச்சு பண்பேற்றம்,ପ୍ରଶସ୍ତିକରଣ ମୋଡ୍ୟୁଲେସନ
வீச்சு மாடுலேட்டர்,ପ୍ରଶସ୍ତିକରଣ ମଡ୍ୟୁଲେଟର
angstrom அலகு,ଆଙ୍ଗଷ୍ଟ୍ରମ୍ ୟୁନିଟ୍ |
அனலாக் சுற்று,ଆନାଗଲ୍ ସର୍କିଟ୍ |
அனலாக் கணினி,ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର |
அனலாக் வடிகட்டி,ଆନାଲଗ୍ ଫିଲ୍ଟର୍ |
அனலாக் மல்டிமீட்டர்,ଆନାଗଲ୍ ମଲ୍ଟିମିଟର |
அனலாக் சுவிட்ச்,ଆନାଗଲ୍ ସୁଇଚ୍ |
மற்றும் வாயில்,ଏବଂ ଫାଟକ |
கோண அதிர்வெண்,କୋଣ ଅନୁକୋଣ
"அயனி, அயனி","ଆୟନ, ଆୟନ"
அனீலிங் வெப்பநிலை,ଆନ୍ନାଲିଙ୍ଗ୍ ତାପମାତ୍ରା |
நேர்மின்முனை,anode
அனோட் பெருக்கி,ଆନାଡ୍ ଏମ୍ପ୍ଲିଫାୟର୍ |
அனோடைன்,anodyne
ஆண்டெனா,ଆଣ୍ଟେନା |
ஆண்டெனா கூறு,ଆଣ୍ଟେନା ଉପାଦାନ |
எதிர்ப்பு பிரதிபலிப்பு பூச்சு,ଆଣ୍ଟି-ପ୍ରତିଫଳିତ ଆବରଣ |
ஆன்டிலோகின் பெருக்கி,ଆଣ୍ଟିଲୋଜିନ ଏମ୍ପ୍ଲିଫାୟର୍ |
எதிரொலி சுற்று,ଆଣ୍ଟିରେସୋନାଣ୍ଟ ସର୍କିଟ |
துவாரகர் காலம்,ଦ୍ୱାରକ ଅବଧି |
மெய்நிகர் சக்தி,ଭର୍ଚୁଆଲ୍ ଶକ୍ତି |
கம்பி இணைப்பு,ତାର ସଂଯୋଗ
தோராயமான மின்னழுத்த ஆதாயம்,ଆନୁମାନିକ ଭୋଲଟେଜ୍ ଲାଭ |
ஆர்ம்ஸ்ட்ராங் மாடுலேட்டர்,ବାହୁବଳୀ ମଡ୍ୟୁଲେଟର
ஆண்டெனா வரிசை,ଆଣ୍ଟେନା ଆରେ |
"அளவு விகிதம், தோற்ற விகிதம்","ଆକାର ଅନୁପାତ, ଆସପେକ୍ଟ ଅନୁପାତ |"
மிதக்கும் சுற்று (இலவச இயக்க சுற்று),ଭାସମାନ ସର୍କିଟ (ମାଗଣା ଅପରେଟିଂ ସର୍କିଟ)
தானியங்கி மல்டிவிபிரேட்டர்,ସ୍ୱୟଂଚାଳିତ ମଲ୍ଟିଭାଇବ୍ରେଟର |
மிதக்கும் மல்டிவிபிரேட்டர்,ଭାସମାନ ମଲ୍ଟିଭାଇବ୍ରେଟର |
சமச்சீரற்ற சந்திப்பு,ଅସୀମିତ ଜଙ୍କସନ
ஒத்திசைவற்ற கால்குலேட்டர்,ଅସନ୍ତୁଳିତ କାଲକୁଲେଟର |
அணுக்கரு,ପରମାଣୁ
அணு எண்,ପରମାଣୁ ସଂଖ୍ୟା
அணு அமைப்பு,ପରମାଣୁ ଗଠନ
ஒலி பெருக்கி,ଅଡିଓ ଏମ୍ପ୍ଲିଫାୟର୍ |
ஒலி பெருக்கி,ଅଡିଓ ଏମ୍ପ୍ଲିଫାୟର୍ |
ஆடியோ கேசட்,ଅଡିଓ କ୍ୟାସେଟ୍ |
ஒலி சுற்று,ଅଡିଓ ସର୍କିଟ |
கேட்கக்கூடிய அதிர்வெண்,ଶ୍ରବଣ ଫ୍ରିକ୍ୱେନ୍ସି |
தானியங்கி மின்னழுத்த கட்டுப்பாடு,ସ୍ୱୟଂଚାଳିତ ଭୋଲଟେଜ୍ ନିୟନ୍ତ୍ରଣ |
பனிச்சரிவு,ବାଘ
சராசரி கண்டுபிடிப்பான்,ହାରାହାରି ଡିଟେକ୍ଟର |
அச்சு முறை,ଅକ୍ଷୀୟ ମୋଡ୍ |
அச்சு விகிதம்,ଅକ୍ଷୀୟ ଅନୁପାତ |
ஆண்டெனா,ଆଣ୍ଟେନା |
பின் மின்னோட்ட விசை,ପଛକୁ ଇଲେକ୍ଟ୍ରୋମୋଟିଭ୍ ଫୋର୍ସ |
பின் பகுதி,ପଛ କ୍ଷେତ୍ର
மீண்டும் சிதறல்,ପଛ ବିଛାଇବା |
பின்னணி கட்டணம்,ପୃଷ୍ଠଭୂମି ଚାର୍ଜ |
பக்க சத்தம்,ପାର୍ଶ୍ୱ ଶବ୍ଦ |
பின்னடைவு,ପ୍ରତ୍ୟାବର୍ତ୍ତନ
பின்புற கதிர்வீச்சு,ପରବର୍ତ୍ତୀ ବିକିରଣ |
பின்னோக்கி டையோடு / பின்தங்கிய டையோடு,ପଛୁଆ ଡାୟୋଡ୍ / ପଛୁଆ ଡାୟୋଡ୍ |
பின்னோக்கி அலை ஆஸிலேட்டர்,ପଛୁଆ ତରଙ୍ଗ ଓସିଲେଟର |
"தடை, தடை","ବାଧା, ବାଧା"
தடை,ବାଧା
சீரான பாலம்,ସନ୍ତୁଳିତ ସେତୁ |
சமநிலை மாடுலேட்டர்,ସନ୍ତୁଳିତ ମଡ୍ୟୁଲେଟର
சமநிலை மாடுலேட்டர்,ସନ୍ତୁଳିତ ମଡ୍ୟୁଲେଟର
சமநிலை சுற்று,ସନ୍ତୁଳିତ ସର୍କିଟ |
சமச்சீர் சாய்வு கண்டறிதல்,ସନ୍ତୁଳିତ ଗ୍ରେଡିଏଣ୍ଟ ଡିଟେକ୍ଟର |
தற்போதைய நிலைப்படுத்தி எதிர்ப்பு,ସାମ୍ପ୍ରତିକ ଷ୍ଟାବିଲାଇଜର୍ ପ୍ରତିରୋଧ |
போலோமீட்டர்,ବୋଲୋମିଟର |
போலோமீட்டர் பாலம்,ବୋଲୋମିଟର ବ୍ରିଜ୍ |
பலூன்,ବେଲୁନ୍ |
வாழை பலா,ବାନା ଜ୍ୟାକ୍ |
