Marathi,Tamil
अजैविक पुनरुत्पादन,உயிரற்ற இனப்பெருக்கம்
अलौकिक,அமானுஷ்ய
1. चौथे पोट 2. इवोमासोम,1. நான்காவது வயிறு 2. எவோமாசோம்
रंध्र वाढीचा अवयव,வயிற்று வளர்ச்சி உறுப்பு
वाढ खुंटलेले बीज,வளர்ச்சி குன்றிய விதை
1. गर्भपात 2. गर्भपात 3. वाढीचा प्रतिकार,1. கருக்கலைப்பு 2. கருச்சிதைவு 3. வளர்ச்சி எதிர்ப்பு
1. अवांछित तण 2. पूर्ण तण,1. தேவையற்ற களைகள் 2. முழுமையான களைகள்
शोषलेले केशन,உறிஞ்சப்பட்ட கேஷன்
शोषण,உறிஞ்சுதல்
Abyssinian मोहरी,அபிசீனிய கடுகு
1. ऍकेरिसाइड,1. காரக்கொல்லி
केंद्राभिमुख,மையவிலக்கு
प्रवर्धन (सेल),பெருக்கம் (செல்)
मंजूर सहिष्णुता,அனுமதிக்கப்பட்ட சகிப்புத்தன்மை
1.अतिरिक्त 2.अॅक्सेसरी 3.अॅक्सेसरी,1.கூடுதல் 2.துணை 3.துணை
रुपांतर,தழுவல்
जमा,திரட்சி
1. अचूकता 2. अचूकता,1.vacuracy 2. துல்லியம்
1. एसरव्हुलस 2. स्पोरोफाइट,1. அசெர்வலஸ் 2. ஸ்போரோஃபைட்
1. एसिटायझेशन 2. व्हिनेगर बनवणे 3. एसिटिलीन,1. அசிடைசேஷன் 2. வினிகர் தயாரித்தல் 3. அசிட்டிலின்
1. आम्लीकरण 2. आम्लीकरण,1. அமிலமயமாக்கல் 2. அமிலமயமாக்கல்
1. ऍसिडोमीटर 2. ऍसिडीमीटर,1. அமிலமானி 2. அமிலமானி
आंबटपणा,அமிலத்தன்மை
ऍसिडोफाइल,அமிலத்தன்மை
ऍसिडिफाइड रॉक फॉस्फेट,அமிலமாக்கப்பட்ட ராக் பாஸ்பேட்
आम्लीकृत,அமிலமாக்கப்பட்ட
जलचर,நீர்நிலை
संपादन,கையகப்படுத்தல்
एकर,ஏக்கர்
1. क्षेत्रफळ 2. क्षेत्रफळ,1. பகுதி 2. பகுதி
अंतिम बिंदू गुणसूत्र,இறுதி புள்ளி குரோமோசோம்
पुढे दिसणारा,முன்னோக்கு
acrosome,குரோசோம்
actinomycetes,ஆக்டினோமைசீட்ஸ்
सक्रिय कोर,செயலில் உள்ள மைய
1. उग्र 2. तीव्र,1. சீற்றம் 2. தீவிரம்
अनुकूलता,தழுவல்
सानुकूलन,தனிப்பயனாக்கம்
1. आसंजन 2. आसंजन,1. ஒட்டுதல் 2. ஒட்டுதல்
सेबेशियस,செபாசியஸ்
समायोजन समीकरण,சரிசெய்தல் சமன்பாடு
adobe माती,அடோப் மண்
भेसळ करणारा,கலப்படம்
एक्टोपिक,எக்டோபிக்
Isidiospore Isidium बीजाणू,இசிடியோஸ்போர் இசிடியம் ஸ்போர்
वायुगतिकीय प्रक्रिया,ஏரோடைனமிக் செயல்முறை
वेंट्रल,வென்ட்ரல்
वायुवीजन करणे,காற்றோட்டம் செய்ய
1. हवा 2. आकाशी,1. காற்று 2. ஆகாஷி
1. एरोमीटर 2. एरोमीटर 3. एरोमीटर,1. ஏரோமீட்டர் 2. ஏரோமீட்டர் 3. ஏரோமீட்டர்
एरोसोल,ஏரோசல்
1. फुलणे 2. उन्हाळी सुप्तता,1. மஞ்சரி 2. கோடை உறக்கம்
रोग विज्ञान,நோய் அறிவியல்
वनीकरण,காடு வளர்ப்பு
1. आंदोलन 2. अशांतता,1. கிளர்ச்சி 2. கொந்தளிப்பு
Agmark,அக்மார்க்
1. जमिनीशी संबंधित 2. कृषी,1. நிலம் தொடர்பான 2. விவசாயம்
कृषी चिकित्सालय,விவசாய மருத்துவமனை
1. शेतमजूर 2. शेतमजूर,1. விவசாயத் தொழிலாளர்கள் 2. விவசாயத் தொழிலாளர்கள்
कृषी विपणन,விவசாய சந்தைப்படுத்தல்
कृषी तंत्रज्ञान,விவசாய தொழில்நுட்பம்
1. शेती 2. शेती 3. कृषी विज्ञान,1. விவசாயம் 2. விவசாயம் 3. விவசாய அறிவியல்
कृषी वनीकरण,விவசாய காடுகள்
कृषी जैवविविधता,விவசாய பல்லுயிர்
कृषी सेंद्रिय दोष,விவசாய கரிம குறைபாடுகள்
कृषी जीवशास्त्र,விவசாய உயிரியல்
कृषी-हवामान विविधता,விவசாய காலநிலை பன்முகத்தன்மை
कृषी हवामान क्षेत्र निर्मिती,வேளாண் காலநிலை மண்டலத்தை உருவாக்குதல்
कृषी वनीकरण,வளர்ப்பு
कृषीशास्त्र,வேளாண்மை
कृषीविषयक,வேளாண்மை
कृषी खेडूत,விவசாய மேய்ச்சல்
पीक प्रक्रिया,பயிர் செயலாக்கம்
गवत विज्ञान,புல் அறிவியல்
पीक प्रकार,பயிர் வகை
epiphyte,எபிஃபைட்
aikiochi माती,aikiochi மண்
रंगाधळेपण,வண்ண குருட்டுத்தன்மை
अल्फिसोल,அல்பிசோல்
एकपेशीय वनस्पती,பாசி
एकपेशीय वनस्पती रोग,பாசி நோய்
अल्कली पाणी,காரம் நீர்
अल्कधर्मी,காரமானது
पर्यायी,மாற்று
allelo रसायनशास्त्र,அலெலோ வேதியியல்
एलील,அலீல்
ऍलेलोपॅथी,அலெலோபதி
वेठी पीक,வேத்தி பயிர்
पूर्णता,நிறைவு
गर्भाधान,கருத்தரித்தல்
1. सापेक्षता 2. अॅलोमेट्री,1. சார்பியல் 2. அலோமெட்ரி
मल्टिप्लॉइडी,பலவகை
1. पॅराझिगोसिटी,1. Parazygosity
1. पर्यायी वर्ष कार्य 2. पर्यायी कार्य,1. மாற்று ஆண்டு செயல்பாடு 2. மாற்று செயல்பாடு
पर्यायी जमिनीचा वापर,மாற்று நில பயன்பாடு
वातावरण,சூழல்
सुधारक,சீர்திருத்தவாதி
मायटोसिस,மைடோசிஸ்
आमीनान,அமீனன்
अमोनियन,அம்மோனியன்
amniferous,அம்னிஃபெரஸ்
1. अप्रभावी रूप 2. अरुपी,1. பயனற்ற வடிவம் 2. அரூபி
उभयचर मिश्रण,நீர்வீழ்ச்சி கலவை
एम्फोटेरिक,ஆம்போடெரிக்
साठा करणे,கையிருப்பு
1. ऍनेरोबिक 2. ऍनेरोबिक जीव,1. காற்றில்லா 2. காற்றில்லா உயிரினங்கள்
हॅप्लॉइड,ஹாப்ளாய்டு
टोकदार लागवड,கோண நடவு
पशुसंवर्धन,கால்நடை வளர்ப்பு
प्राण्यांचे मलमूत्र,விலங்கு மலம்
जिवंत ऊर्जा,வாழ்க்கை ஆற்றல்
विसंगत,முரண்பாடான
एक वर्ष जुनी वनस्पती,ஒரு வருடம் பழமையான ஆலை
वार्षिक,ஆண்டு
1. परमानंद 2. तेज,1. பரவசம் 2. பிரகாசம்
ऍन्थ्रॅक्स,ஆந்த்ராக்ஸ்
मानववंशजन्य घटक,மானுடவியல் காரணிகள்
जगणे,உயிர்வாழ்தல்
1. प्रतिजैविक 2. प्रतिजैविक,1. ஆன்டிபயாடிக் 2. நுண்ணுயிர்க்கொல்லி
तिरस्करणीय,விரட்டும்
अँटिऑक्सिडंट,ஆக்ஸிஜனேற்ற
अँटीटॉक्सिन,ஆன்டிடாக்சின்
अनामिका,மோதிர விரல்
1. ऍफिड 2. महू 3. चेपा,1. அசுவினி 2. மஹு 3. செபா
शीर्ष अंकुर,மேல் மொட்டு
शिखर प्रभावीता,உச்ச செயல்திறன்
मधमाशी पालन,தேனீ வளர்ப்பு
लैंगिकता,ஓரினச்சேர்க்கை
apoptosis,அப்போப்டொசிஸ்
परिशिष्ट,பிற்சேர்க்கைகள்
भूक वाढवणारे,பசியை உண்டாக்கும்
लागू,விண்ணப்பித்தார்
जलीय तण,நீர்வாழ் களை
