Odiya,Malayalam
ୱେଷ୍ଟମିନିଷ୍ଟରର ଆବି |,വെസ്റ്റ്മിൻസ്റ്ററിലെ ആബി
ଅବକ୍ଷୟ,ഒഴിഞ്ഞുമാറുക
ଦାସତ୍ୱ ରଦ୍ଦ,അടിമത്തം നിർത്തലാക്കൽ
ଆଦିବାସୀ,ആദിവാസികൾ
ଅବ୍ରହାମ ଏରା,അബ്രഹാം യുഗം
ଅନୁପସ୍ଥିତ ଜମିଦାରମାନେ |,ഹാജരാകാത്ത ഭൂവുടമകൾ
ଏକାଡେମୀ |,അക്കാദമി
ଆକ୍ରା ସମ୍ମିଳନୀ |,അക്ര സമ്മേളനം
ଆକ୍ରୁଏଲ୍ |,സമാഹരണങ്ങൾ
ଆକଲଚ୍ୟୁଚର୍,സംസ്കരണം
ଆକେଲଡାମା |,അസെൽഡാമ
ଆଖିଆନ୍ (= ଆଚିଆନ୍),അച്ചായൻ (=അച്ചിയൻ)
ଆଚିଆନ୍ ଲିଗ୍ (= ଆଚିଆନ୍ ଲିଗ୍),അച്ചിയൻ ലീഗ് (=അച്ചിയൻ ലീഗ്)
ଆକ୍ରୋପଲିସ୍ |,അക്രോപോളിസ്
ଆକ୍ଟା ଡିଆର୍ନା |,ആക്റ്റ ദിയുർന
ଆକ୍ଟା ସେନାଟସ୍ |,ആക്റ്റ സെനറ്റസ്
ଆକ୍ଟ ଆଡେଲ୍ |,ആക്റ്റ് അഡീഷണൽ
ସକ୍ରିୟ ରେକର୍ଡ (= ସାମ୍ପ୍ରତିକ ରେକର୍ଡ),സജീവ റെക്കോർഡ് (=നിലവിലെ റെക്കോർഡ്)
ଆଟେଣ୍ଡର୍ ଆକ୍ଟ |,നേടിയെടുക്കുന്നവരുടെ പ്രവർത്തനം
କ୍ଷତିପୂରଣ ଏବଂ ବିସ୍ମୟର ନିୟମ |,നഷ്ടപരിഹാരത്തിന്റെയും മറവിയുടെയും പ്രവർത്തനം
ସମାଧାନ ନିୟମ,സെറ്റിൽമെന്റ് നിയമം
ବିଜ୍ଞାପନ ଚୁକ୍ତି ସିଲ୍ |,പരസ്യ കരാർ മുദ്ര
ଆଡୁଲାମାଇଟ୍ସ |,അഡുല്ലമൈറ്റുകൾ
ଶତ୍ରୁ,എതിരാളി
ଶତ୍ରୁ,എതിരാളി
ଆଓନ୍,അയോൺ
ଏରାରିୟମ୍ |,എയറേറിയം
ବାୟୁ ଯୁଦ୍ଧ |,ആകാശ യുദ്ധം
ଆଟୋଲିଆନ୍ ଲିଗ୍ |,എറ്റോലിയൻ ലീഗ്
ବୟସ,വയസ്സ്
ବାର୍ଦ୍ଧକ୍ୟ (= ବାର୍ଦ୍ଧକ୍ୟ),വാർദ്ധക്യം (=വാർദ്ധക്യം)
ବାର୍ଦ୍ଧକ୍ୟ ପ୍ରକ୍ରିୟା |,പ്രായമാകൽ പ്രക്രിയ
ଆଗେଲାଇ |,അഗെലൈ
Ival ିଭାଲିର ବୟସ |,ധീരതയുടെ പ്രായം
ଜ୍ଞାନର ବୟସ |,എൻഗ്ലൈറ്റ്മെന്റ് പ്രായം
ପେରିକଲ୍ସର ବୟସ |,പെരിക്കിൾസിന്റെ പ്രായം
କାରଣର ବୟସ |,യുക്തിയുടെ പ്രായം
କୃଷିବାଦ,കാർഷികവാദം
କୃଷି ଆନ୍ଦୋଳନ |,കാർഷിക പ്രസ്ഥാനം
ଆଲବିଅନ୍ |,ആൽബിയോൺ
ଆଲବମ୍,ആൽബം
ଆଲଡରମ୍ୟାନ୍ |,ആൽഡർമാൻ
ଭ୍ରାନ୍ତ ବାହୁ |,വശീകരിക്കുന്ന ആയുധങ്ങൾ
ବନ୍ଧୁତା,അമിറ്റി
ଆମ୍ଫିକ୍ଟୋନିକ୍ ପରିଷଦ |,ആംഫിക്റ്റോണിക് കൗൺസിൽ
ଆମ୍ଫିକ୍ଟୋନିକ୍ ଲିଗ୍ |,ആംഫിക്റ്റോണിക് ലീഗ്
ଆମ୍ଫିଥେଟର,ആംഫി തിയേറ്റർ
ଅମ୍ରି ନାଲ୍ ଗୋଷ୍ଠୀ (କୁମ୍ଭାରର),അമ്രി നാൽ ഗ്രൂപ്പ് (മൺപാത്രങ്ങൾ)
ଆନାକ୍ରୋନିଜିମ୍ |,അനാക്രോണിസം
ଆନାକ୍ରୋନିଷ୍ଟିକ୍ |,അനാക്രോണിസ്റ്റിക്
ପୂର୍ବପୁରୁଷ,പൂർവ്വികൻ
ପୂର୍ବପୁରୁଷ ପୂଜା |,പൂർവിക ആരാധന
ପିତୃପୁରୁଷ,വംശപരമ്പര
ପିତୃପୁରୁଷ,വംശപരമ്പര
ପିତୃପୁରୁଷ,വംശപരമ്പര
ପିତୃପୁରୁଷ,വംശപരമ്പര
ପ୍ରାଚୀନ ଶାସନ,പുരാതന ഭരണം
ପ୍ରାଚୀନ,പുരാതന
ପ୍ରାଚୀନ ବାଲାଡ୍ |,പുരാതന ബാലഡ്
ପ୍ରାଚୀନ ବିଶ୍ୱାସ,പുരാതന വിശ്വാസം
ପ୍ରାଚୀନ ପ୍ରଥା,പുരാതന ആചാരം
ପ୍ରାଚୀନ ଇତିହାସ,പുരാതനമായ ചരിത്രം
ପ୍ରାଚୀନ ସ୍ମାରକୀ,പുരാതന സ്മാരകങ്ങൾ
ଉପନ୍ୟାସ,ഉപകഥ
ଆଞ୍ଜେଲଟ୍ |,ആഞ്ചലോട്ട്
ଆଞ୍ଜେଲସ୍ |,ആഞ്ചലസ്
ଆଞ୍ଜେଭିନ୍ (= ଆଞ୍ଜେଭିନ୍),ആഞ്ജെവിൻ (=ആഞ്ജെവിൻ)
କୋଣ,കോണുകൾ
ଅଙ୍ଗଲିକାନ୍ |,ആംഗ്ലിക്കൻ
ଅଙ୍ଗଲିକାନ୍ ଯୋଗାଯୋଗ |,ആംഗ്ലിക്കൻ കൂട്ടായ്മ
ଅଙ୍ଗଲିକାନିଜିମ୍ |,ആംഗ്ലിക്കനിസം
ଆଙ୍ଗ୍ଲୋ-ଫୋବେ |,ആംഗ്ലോ-ഫോബ്
ଆଙ୍ଗ୍ଲୋ-ଫୋବିୟା |,ആംഗ്ലോ-ഫോബിയ
ଆଙ୍ଗ୍ଲୋ-ସାକ୍ସନ୍ |,ആംഗ്ലോ-സാക്സൺ
ଆଙ୍ଗ୍ଲୋ-ସାକ୍ସୋନିଜିମ୍ |,ആംഗ്ലോ-സാക്‌സോണിസം
ଆନ୍ନାଲିଷ୍ଟ |,അനലിസ്റ്റ്
ବାର୍ଷିକ,വാർഷികങ്ങൾ
ସଂଲଗ୍ନ,കൂട്ടിച്ചേർക്കൽ
ଆଣ୍ଟେ-ବେଲମ୍ |,ആന്റി-ബെല്ലം
ଆଣ୍ଟେ ତାରିଖ |,മുൻ തീയതി
ଧର୍ମ-ବିରୋଧୀ,പൗരോഹിത്യ വിരുദ്ധത
ଧର୍ମ-ବିରୋଧୀ ନିୟମ,വൈദിക വിരുദ്ധ നിയമം
ପ୍ରାଚୀନତା,പൗരാണികത
ଆଣ୍ଟି-ଭଡା,വാടക വിരുദ്ധം
ଆଣ୍ଟି-ଭଡା,വാടക വിരുദ്ധം
ବିରୋଧୀ ଦଳ,സെമിറ്റിസം വിരുദ്ധത
ଅଞ୍ଜାକ |,അൻസാക്ക്
ଆପେଲା |,അപ്പെല്ല
ଅରୁଲୁ |,അരലു
ଆର୍ ବିଶପ୍ |,ആർച്ച് ബിഷപ്പ്
ଆର୍ ଡୁଚି |,ആർച്ച് ഡച്ചി
ଆର୍ ଡ୍ୟୁକ୍ |,ആർച്ച് ഡ്യൂക്ക്
ଆର୍କିଫ୍ (= ଅଭିଲେଖାଗାର ସଂଗ୍ରହ),ആർക്കൈഫ് (=ആർക്കൈവൽ ശേഖരം)
ଆର୍କିପିସ୍କୋପେଟ୍ |,ആർക്കിഎപ്പിസ്കോപ്പേറ്റ്
ଆଭିମୁଖ୍ୟ,പ്രഭുവർഗ്ഗം
ଆରିଷ୍ଟୋକ୍ରାଟ୍ |,പ്രഭു
