Hindi,Kannada
विफलन,ಸ್ಥಗಿತಗೊಳಿಸು
विफलन कालद,ಟೈಮರ್ ಅನ್ನು ಸ್ಥಗಿತಗೊಳಿಸಿ
निरपेक्ष पता,ಸಂಪೂರ್ಣ ವಿಳಾಸ
निरपेक्ष पताभिगमन,ಸಂಪೂರ್ಣ ವಿಳಾಸ
निरपेक्ष कोडांतरक,ಸಂಪೂರ್ಣ ಅಸೆಂಬ್ಲರ್
निरपेक्ष कूट,ಸಂಪೂರ್ಣ ಕೋಡ್
निरपेक्ष कूटलेखन,ಸಂಪೂರ್ಣ ಕೋಡಿಂಗ್
निरपेक्ष समादेश,ಸಂಪೂರ್ಣ ಆಜ್ಞೆ
निरपेक्ष निर्देशांक,ಸಂಪೂರ್ಣ ಸಮನ್ವಯ
निरपेक्ष आंकड़े,ಸಂಪೂರ್ಣ ಡೇಟಾ
निरपेक्ष त्रुटि,ಸಂಪೂರ್ಣ ದೋಷ
निरपेक्ष व्यंजक,ಸಂಪೂರ್ಣ ಅಭಿವ್ಯಕ್ತಿ
निरपेक्ष अनुदेश,ಸಂಪೂರ್ಣ ಸೂಚನೆ
निरपेक्ष भारक,ಸಂಪೂರ್ಣ ಲೋಡರ್
निरपेक्ष आदेश,ಸಂಪೂರ್ಣ ಕ್ರಮ
निरपेक्ष क्रमादेशन,ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್
निरपेक्ष पद,ಸಂಪೂರ್ಣ ಪದ
निरपेक्ष मान,ಸಂಪೂರ್ಣ ಮೌಲ್ಯ
निरपेक्ष सदिश,ಸಂಪೂರ್ಣ ವೆಕ್ಟರ್
"सारांश, अमूर्त",ಅಮೂರ್ತ
"सारांशन, अमूर्तकरण, साराहरण",ಅಮೂರ್ತಗೊಳಿಸುವ
अमूर्त प्रतीक,ಅಮೂರ್ತ ಚಿಹ್ನೆ
त्वरण अवधि,ವೇಗವರ್ಧನೆ ಅವಧಿ
त्वरण काल,ವೇಗವರ್ಧಕ ಸಮಯ
उच्चारण चिह्न,ಉಚ್ಚಾರಣಾ
स्वीकरण परीक्षण,ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ
अभिगम,ಪ್ರವೇಶ
अभिगम बाहु,ಪ್ರವೇಶ
अभिगम व्यवस्था,ಪ್ರವೇಶ ವ್ಯವಸ್ಥೆ
अभिगम प्राधिकारक,ಪ್ರವೇಶ
