Bengali,Marathi
অস্বাভাবিক,असामान्य
গর্ভপাত,गर्भपात
ঘর্ষণ,घर्षण
আকস্মিক,अचानक
পরম ক্ষেত্র শক্তি,परिपूर्ण फील्ड सामर्थ्य
পরম তাপমাত্রা,परिपूर्ण तापमान
পরম মান,परिपूर्ण मूल्य
শোষণ,शोषून घ्या
শোষণ গুণাঙ্ক,शोषण सह-कार्यक्षम
শোষণ ক্ষতি,शोषण तोटा
বিমূর্ত,गोषवारा
অ্যাক্সিলোমিটার,एक्सेलरोमीटर
স্বীকৃতি পরীক্ষা,स्वीकृती चाचणी
অ্যাক্সেস,प्रवेश
প্রবেশাধিকার নিয়ন্ত্রণ,प्रवेश नियंत्रण
এক্সেস পয়েন্ট,प्रवेश बिंदू
প্রবেশাধিকার সময়,प्रवेश वेळ
অ্যাক্সেসযোগ্যতা,प्रवेशयोग्यता
একুমুলেটর সেল,संचयक सेल
সঠিকতা,अचूकता
নির্ভুল,अचूक
অ্যাক্রোমেটিক লেন্স,अ‍ॅक्रोमॅटिक लेन्स
অ্যাসিড,आम्ल
অ্যাসিড প্রুফ,आम्ल पुरावा
অম্লতা,आंबटपणा
স্বীকৃতি বিট,पावती बिट
অ্যাকোস্টিক,ध्वनिक
অ্যাকোস্টিক যোগাযোগ,ध्वनिक संप्रेषण
অ্যাকোস্টিক প্রসারণ,ध्वनिक प्रसार
অ্যাকোস্টিক ইকুয়ালাইজার,ध्वनिक समतुल्य
অ্যাকোস্টিক প্রতিক্রিয়া,ध्वनिक अभिप्राय
অ্যাকোস্টিক ফিল্টার,ध्वनिक फिल्टर
শব্দের সংরোধ,ध्वनिक प्रतिबाधा
অ্যাকোস্টিক মাস্কিং,ध्वनिक मास्किंग
অ্যাকোস্টিক শক্তি,ध्वनिक शक्ती
অ্যাকোস্টিক সম্পত্তি,ध्वनिक मालमत्ता
অ্যাকোস্টিক রিঅ্যাক্ট্যান্স,ध्वनिक प्रतिक्रिया
অ্যাকোস্টিক রিফ্লেক্স,ध्वनिक प्रतिक्षेप
অ্যাকোস্টিক টাইল,ध्वनिक टाइल
অ্যাকোস্টিক তরঙ্গ,ध्वनिक लाट
শাব্দিক শোষণ,ध्वनिक शोषण
