Kannada,Telugu
ಅಸಹಜ,అసాధారణ
ಸ್ಥಗಿತಗೊಳಿಸು,అబార్ట్
ಸವೆದುಹೋಗುವಿಕೆ,అబ్రేషన్
ಹಠಾತ್ತಾಗಿ,ఆకస్మిక
ಸಂಪೂರ್ಣ ಕ್ಷೇತ್ರ ಶಕ್ತಿ,సంపూర్ణ క్షేత్ర బలం
ಸಂಪೂರ್ಣ ತಾಪಮಾನ,సంపూర్ణ ఉష్ణోగ్రత
ಸಂಪೂರ್ಣ ಮೌಲ್ಯ,సంపూర్ణ విలువ
ಹೀರಿಕೊಳ್ಳಿ,గ్రహించండి
ಹೀರಿಕೊಳ್ಳುವ ಸಹ-ಸಮರ್ಥ,శోషణ సహ-సమర్థత
ಹೀರಿಕೊಳ್ಳುವ ನಷ್ಟ,శోషణ నష్టం
ಅಮೂರ್ತ,నైరూప్య
ವೇಗವರ್ಧಕ ಮಾಪಕ,యాక్సిలెరోమీటర్
ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ,అంగీకార పరీక్ష
ಪ್ರವೇಶ,యాక్సెస్
ಪ್ರವೇಶ ನಿಯಂತ್ರಣ,యాక్సెస్ నియంత్రణ
ಪ್ರವೇಶ,యాక్సెస్ పాయింట్
ಪ್ರವೇಶ ಸಮಯ,ప్రాప్యత సమయం
ಪ್ರವೇಶಿಸುವಿಕೆ,సౌలభ్యాన్ని
ಸಂಚಯಕ ಕೋಶ,సంచిత కణం
ನಿಖರತೆ,ఖచ్చితత్వం
ನಿಖರವಾದ,ఖచ్చితమైనది
ವರ್ಣರಂಜಿತ ಮಸೂರದ,అచ్రోమాటిక్ లెన్స్
ಆಮ್ಲ,ఆమ్లము
ಆಮ್ಲ ಪುರಾವೆ,యాసిడ్ ప్రూఫ్
ಅಚ್ಚುಕಟ್ಟಾಗಿತ್ವ,ఆమ్లత్వం
ಸ್ವೀಕೃತ ಬಿಟ್,రసీదు బిట్
Acೇಳ್ಳರದ,శబ్ద
ಅಕೌಸ್ಟಿಕ್ ಸಂವಹನ,ఎకౌస్టిక్ కమ్యూనికేషన్
ಅಕೌಸ್ಟಿಕ್ ಪ್ರಸರಣ,శబ్ద వ్యాప్తి
ಅಕೌಸ್ಟಿಕ್ ಸಮೀಕರಣ,ఎకౌస్టిక్ ఈక్వలైజర్
ಅಕೌಸ್ಟಿಕ್ ಪ್ರತಿಕ್ರಿಯೆ,శబ్ద అభిప్రాయం
ಕೊಳೆತ ಫಿಲ್ಟರ್,శబ్ద వడపోత
ಸಕಲಿಯ ಪ್ರತಿರೋಧ,శబ్ద ఇంపెడెన్స్
ಅಕೌಸ್ಟಿಕ್ ಮರೆಮಾಚುವ,ఎకౌస్టిక్ మాస్కింగ్
ಅಕೌಸ್ಟಿಕ್ ಶಕ್ತಿ,శబ్ద శక్తి
ಅಕೌಸ್ಟಿಕ್ ಆಸ್ತಿ,శబ్ద ఆస్తి
ಅಕೌಸ್ಟಿಕ್ ಪ್ರತಿಕ್ರಿಯೆ,శబ్ద ప్రతిచర్య
ಅಕೌಸ್ಟಿಕ್ ರಿಫ್ಲೆಕ್ಸ್,ఎకౌస్టిక్ రిఫ్లెక్స్
ಅಕೌಸ್ಟಿಕ್ ಟೈಲ್,శబ్ద టైల్
ಸ ೦ ವರ ತರಂಗ,శబ్ద వేవ్
ಅಕೌಸ್ಟಿಕ್ ಹೀರಿಕೊಳ್ಳುವಿಕೆ,శబ్ద శోషణ
ಅಕೌಸ್ಟಿಕ್ ಅಟೆನ್ಯೂಯೇಷನ್ ​​ಸ್ಥಿರ,శబ్ద అటెన్యుయేషన్ స్థిరాంకం
ಕೊಳೆತ ಡ್ಯಾಂಪಿಂಗ್,శబ్ద డంపింగ్
ಅಕೌಸ್ಟಿಕ್ ವಿಳಂಬ ರೇಖೆ,శబ్ద ఆలస్యం రేఖ
ಅಕೌಸ್ಟಿಕ್ ಅಸ್ಪಷ್ಟತೆ,శబ్ద వక్రీకరణ
ಅಕೌಟಿಕಲ್ ನಾಳ,శబ్ద వాహిక
ಅಕೌಟಿಕಲ್ ಶಕ್ತಿ,శబ్ద శక్తి
ಅಕೌಸ್ಟಿಕ್ ಪ್ರತಿಕ್ರಿಯೆ,శబ్ద అభిప్రాయం
ಕೊಳೆತ ಫಿಲ್ಟರ್,శబ్ద వడపోత
ಕೊಳೆತ ಪ್ರತಿರೋಧ,శబ్ద ఇంపెడెన్స్
ಅಕೌಸ್ಟಿಕ್ ಪ್ರಸರಣ ಸ್ಥಿರ,శబ్ద ప్రచారం స్థిరాంకం
ಅಕೌಟಿಕಲ್ ಪ್ರತಿರೋಧ,శబ్ద నిరోధకత
ಅಕೌಸ್ಟಿಕ್ ವಿಂಗಡಣೆಯ,శబ్దపరంగా ఇన్సులేట్ చేయబడింది
ಸ್ರವಿಸುವ,ధ్వని
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು,సముపార్జన
ಸಂಕ್ಷಿಪ್ತ ರೂಪ,ఎక్రోనిం
ಕಾರ್ಯ ಪ್ರದೇಶ,కార్యాచరణ ప్రాంతం
ಸಕ್ರಿಯ ತಂತು,సక్రియం చేయబడిన ఫిలమెంట్
ಸಕ್ರಿಯ,క్రియాశీల
ಸಕ್ರಿಯ ಪ್ರದೇಶ,క్రియాశీల ప్రాంతం
ಸಕ್ರಿಯ ಕಿಟಕಿ,క్రియాశీల విండో
ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ,అనుకూలత
ಅಡಾಪ್ಟರ್ (ಅಡಾಪ್ಟರ್),అడాప్టర్
ಅಡಾಪ್ಟಿವ್ ಡಿಫರೆನ್ಷಿಯಲ್ ಪಲ್ಸ್ ಕೋಡ್ ಮಾಡ್ಯುಲೇಷನ್,అడాప్టివ్ డిఫరెన్షియల్ పల్స్ కోడ్ మాడ్యులేషన్
ವಿಳಾಸ ಪುಸ್ತಕ,చిరునామా పుస్తకం
ವಿಳಾಸ ಬಸ್,చిరునామా బస్సు
ವಿಳಾಸ ಪರಿಹಾರ,చిరునామా తీర్మానం
ಪಕ್ಕದ ಚಾನಲ್ ಹಸ್ತಕ್ಷೇಪ,ప్రక్కనే ఉన్న ఛానల్ జోక్యం
ಪಕ್ಕದ ಚಾನಲ್ ಆಯ್ಕೆ,ప్రక్కనే ఉన్న ఛానల్ సెలెక్టివిటీ
ಪಕ್ಕದ ಆವರ್ತನ,ప్రక్కనే ఉన్న ఫ్రీక్వెన్సీ
ಪಕ್ಕದ ಆವರ್ತನ ಚಾನಲ್,ప్రక్కనే ఉన్న ఫ్రీక్వెన్సీ ఛానల్
ಪಕ್ಕದ ಚಿತ್ರ ವಾಹಕ,ప్రక్కనే ఉన్న పిక్చర్ క్యారియర్
ಪಕ್ಕದ ಧ್ವನಿ ವಾಹಕ,ప్రక్కనే ఉన్న సౌండ్ క్యారియర్
ಪಕ್ಕದ ನಿಲ್ದಾಣ,ప్రక్కనే ఉన్న స్టేషన్
ಹೊಂದಿಸಲಾಗುವ,సర్దుబాటు
ಹೊಂದಾಣಿಕೆ ಕಂಡೆನ್ಸರ್,సర్దుబాటు కండెన్సర్
ಒತ್ತಡವನ್ನು ಹೊಂದಿಸುವುದು,సర్దుబాటు ఒత్తిడిని
ವ್ರೆಂಚ್ ಹೊಂದಿಸಲಾಗುತ್ತಿದೆ,రెంచ్ సర్దుబాటు
ಹೊಂದಾಣಿಕೆ,సర్దుబాటు
ನಿರ್ವಾಹಕ,నిర్వాహకుడు
ಸುಧಾರಿತ ತಂತ್ರಜ್ಞಾನ,అధునాతన సాంకేతిక పరిజ్ఞానం
ವೈಮಾನಿಕ,ఆకాశయాన
ವೈಮಾನಿಕ ರಚನೆ,వైమానిక శ్రేణి
ವೈಮಾನಿಕ ಬೂಸ್ಟರ್,వైమానిక బూస్టర్
ವೈಮಾನಿಕ ಪ್ರವಾಹ,వైమానిక ప్రవాహం
ವೈಮಾನಿಕ ಅರ್ಥಿಂಗ್ ಸ್ವಿಚ್,వైమానిక ఎర్తింగ్ స్విచ్
ವೈಮಾನಿಕ ದಕ್ಷತೆ,వైమానిక సామర్థ్యం
ವೈಮಾನಿಕ ಪ್ರತಿರೋಧ,వైమానిక ఇంపెడెన్స్
ವೈಮಾನಿಕ ಪ್ರಚೋದನೆ,వైమానిక ఇండక్టెన్స్
ವೈಮಾನಿಕ ಅವಾಹಕ,వైమానిక అవాహకం
ವೈಮಾನಿಕ ಲೋಡಿಂಗ್ ಕಾಯಿಲ್,వైమానిక లోడింగ్ కాయిల్
ವೈಮಾನಿಕ ography ಾಯಾಗ್ರಹಣ,వైమానిక ఫోటోగ్రఫీ
ವೈಮಾನಿಕ ಶಕ್ತಿ,వైమానిక శక్తి
ವೈಮಾನಿಕ ವಿಕಿರಣ ಮರುಪರಿಶೀಲನೆ,వైమానిక రేడియేషన్ రీస్టెన్స్
ವೈಮಾನಿಕ ಪ್ರತಿಕ್ರಿಯಾತ್ಮಕ,వైమానిక ప్రతిచర్య
ಧಾರ್ಮಿಕತೆ,ఏరోడైనమిక్స్
ವಾಗ್ದಾನ,ఏజెన్సీ
ವಾಯು ಸಂಕೋಚಕ,వాయువుని కుదించునది
ವಾಯುಮಂಡಲ,ఎయిర్ కండెన్సర్
ಗಾಳಿ ತಣ್ಣಗಾಯಿತು,గాలి చల్లబడింది
ಏರ್ ಕೋರ್ಡ್ ಕಾಯಿಲ್,ఎయిర్ కోర్డ్ కాయిల్
ಹವಾನಿಯಂತ್ರಣ,ఎయిర్ కండిషనింగ్
ಪಂಥದ,ఆల్బెడో
ಅಲ್ಗಾರಿದಮ್,అల్గోరిథం
ಅಲಿಯಾಸೆ,అలియాసింగ్
ಜೋಡಣೆ,సమలేఖనం
ಜೋಡಣೆ,అమరిక
ಎಲ್ಲಾ ತರಂಗ ವೈಮಾನಿಕ,అన్ని వేవ్ వైమానిక
ಮನವಸಿಕೆ,కేటాయింపు
ವರ್ಣಮಾಲೆಯ,అక్షరాలు
ವರ್ಣಮಾಲೆಯ,ఆల్ఫాన్యూమరిక్
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಪಾತ್ರ,ఆల్ఫాన్యూమరిక్ పాత్ర
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಮಾಹಿತಿ,ఆల్ఫాన్యూమరిక్ సమాచారం
ಪರ್ಯಾಯ ಪ್ರವಾಹ (ಎ.ಸಿ.),ప్రత్యామ్నాయ కరెంట్ (a.c.)
ಪರ್ಯಾಯ,ప్రత్యామ్నాయం
ಆವರ್ತಕ,ఆల్టర్నేటర్
ಎತ್ತರ,ఎత్తు
ಅಪೊಗೀ ಎತ್ತರ,పొక్కు ఎత్తు
ಪೆರಿಜಿಯ ಎತ್ತರ,మూత యొక్క ఎత్తు
ಹವ್ಯಾಸಿ ರೇಡಿಯೋ ಸಂವಹನ,Te త్సాహిక రేడియో కమ్యూనికేషన్
ಒಳಭಾಗ,వాతావరణం
ವಾತಾವರಣ ಮೈಕ್ರೊಫೋನ್,వాతావరణ మైక్రోఫోన్
ಸುತ್ತುವರಿದ ಸ್ಥಿತಿ,పరిసర పరిస్థితి
ಸುತ್ತುವರಿದ ಬೆಳಕು,పరిసర లైటింగ్
ಸುತ್ತುವರಿದ ಶಬ್ದ,పరిసర శబ్దం
ಹೊರಗಿನ ತಾಪಮಾನ,పరిసర ఉష్ణోగ్రత
ಅಮೇರಿಕನ್ ಸ್ಟ್ಯಾಂಡರ್ಡ್ ಕೋಡ್,అమెరికన్ స్టాండర్డ్ కోడ్
ಒಂದು ಬಗೆಯ ಕಂತು,Ampere
ಕಪಾಟಿ ಮೀಟರ್,ఆంపియర్ మీటర్
ವರ್ಧನೆ,విస్తరణ
ವರ್ಧನೆ ಅಂಶ,యాంప్లిఫికేషన్ కారకం
ಉಲ್ಬಣಕ,యాంప్లిఫైయర్
ಆಂಪ್ಲಿಫಯರ್ ಗಳಿಕೆ,యాంప్లిఫైయర్ లాభం
ವರ್ಧಕ ಶಬ್ದ,యాంప్లిఫైయర్ శబ్దం
ಉಪಕರಣಗಳನ್ನು ವರ್ಧಿಸುವುದು,పరికరాలను విస్తరించడం
ಕ್ಲೈಸ್ಟ್ರಾನ್ ಅನ್ನು ವರ್ಧಿಸುವುದು,క్లైస్ట్రాన్ విస్తరించడం
ವರ್ಧಿಸುವ ಘಟಕ,యాంప్లిఫైయింగ్ యూనిట్
ವೈಶಾಲ್ಯ,వ్యాప్తి
ವೈಶಾಲ್ಯ ಅಸ್ಪಷ್ಟತೆ,వ్యాప్తి వక్రీకరణ
