Bengali,Odiya
অ্যাব্যাক্সিয়াল পৃষ্ঠ,ଅବକାଶର ପୃଷ୍ଠ |
পেট,ପେଟ
পেটের মহাধমনী,ପେଟର ଆର୍ଟା |
পেটের গ্যাংলিয়া,ପେଟର ଗ୍ୟାଙ୍ଗଲିଆ |
আবেলমোসচাস এসকুলেন্টাস,ଆବେଲୋମୋସସ୍ ଏସ୍କୁଲେଣ୍ଟସ୍ |
অবসন্নতা,ଆବର୍ଗନ
Abies,ଆବିସ୍
অ্যাবিংডন কচ্ছপ,ଆବିଙ୍ଗଡନ୍ କଇଁଛ |
অ্যাবোজেনেসিস,Abognescesis
অ্যাবায়োটিক,ଅବିଟ
জীবক্রিয়া ফ্যাক্টর,ଅବିଟିକ୍ ଫ୍ୟାକ୍ଟର୍ |
অস্বাভাবিক প্রস্রাব,ଅସ୍ୱାଭାବିକ ପରିସ୍ରା |
আবো ব্লাড গ্রুপ,ଆବୋ ରକ୍ତ ଗୋଷ୍ଠୀ |
অ্যাবসিসিক অ্যাসিড,ଅବସିସିକ୍ ଏସିଡ୍ |
অ্যাবসিশন,ଅବସିସନ
শোষণ,ଶୋଷଣ
শোষণ শিখর,ଅବଶୋଷଣ ଶିଖର |
শোষণ,ଶୋଷଣ
বাবলা ক্যাটেকু,ଆକାସିଆ କ୍ୟାଚଚୁ |
অ্যাকারিয়া আরবিকা,ଆକାରିଆ ଆରବୀ |
অ্যাকাপ্রিন,ଆକ୍ରିନ
গ্রহণযোগ্য যৌন আচরণ,ଗ୍ରହଣୀୟ ଯ sexual ନ ଆଚରଣ |
আনুষঙ্গিক গ্রন্থি,ଆନୁଷଙ୍ଗିକ ଗ୍ରନ୍ଥି |
আনুষঙ্গিক গ্রন্থি,ଆନୁଷଙ୍ଗିକ ଗ୍ରନ୍ଥି |
আনুষঙ্গিক অঙ্গ,ଆନୁଷଙ୍ଗିକ ଅଙ୍ଗ |
প্রশংসাপত্র,ସୁକମ୍ଲାଇଜେସନ୍
প্রশংসিত,ଆକ୍ସଲାଇଜାଇଜ୍ କରନ୍ତୁ |
আবাসন (ফোকাসিং),ଆବାସ (ଧ୍ୟାନ)
চোখের থাকার ব্যবস্থা,ଆଖିରେ ରହିବା
স্বীকৃত বৃদ্ধি,ଆକ୍ରେଟେନାରୀ ଅଭିବୃଦ୍ଧି |
জমা,ଜମା
জৈব পদার্থ জমে,ଜମାକାରୀ ପଦାର୍ଥର ଜମା |
মাটি জমে,ମାଟିର ଜମା |
অ্যাসেলুলার,Acellululula |
অ্যাসেলুলার জীব,ଆରେଲେଲୁଲାର୍ ଜୀବଜନ୍ତୁ |
অ্যাসিটাবুলাম,ଏସିଟାବୁଲମ୍
অ্যাসিটালডিহাইড,ACTalDeyDee
এসিটাইল কোএনজাইম,ACETIL କୋଏନୋଜିମ୍ |
আছাটিনা,ଆଖିନିନା |
অ্যাকিন টাইপ,ଅହିଯାଉଥିବା ପ୍ରକାର |
আচিন,ଅହିଯେ
Achlamydosporye,ଅଖ୍ଲଣିଡୋସପୋରିଆ |
এসিড বৃষ্টি,ଅମ୍ଳ ବର୍ଷା
অ্যাসিডিক,ଅମ୍ଳୀୟ
অ্যাসিডিক গ্যাস,ଅମ୍ଳୀୟ ଗ୍ୟାସ୍ |
অম্লতা,ଅମ୍ଳତା
অ্যাকিনার সেল,ଆଖର ସେଲ୍ |
অ্যাকোলোমেট,ଆକ୍ୱେମିଲେଟ୍ |
অ্যাকোনিটাম,ଆକୋନିଟମ୍
অ্যাকর্ন কৃমি,ଆକ୍ୟୁନ୍ ପୋକ |
অ্যাকোস্টিক জোনিং,ଆକାଶବାଣୀ ଜୋନିଂ |
অর্জিত চরিত্র,ଅର୍ଜନ ବର୍ଣ୍ଣ
অনাক্রম্যতা অর্জিত,ଅଜାଣତର କାରଣ
অর্জিত ইমিউনো ঘাটতি সিন্ড্রোম (এইডস),ଇମ୍ପୁନାଓ ଅଭାବ ସିଣ୍ଡ୍ରୋମ (ଏଡସ୍) ହାସଲ କରିଛି |
অ্যাক্রানিয়া,ଅକାନିଆ
অ্যাক্রিডিন ডাই,ଆକ୍ରିଡାଇନ୍ ରଙ୍ଗ
অ্যাক্রোসেন্ট্রিক,ଆକ୍ରୋସେଣ୍ଟ୍ରିକ୍ |
অ্যাক্রোমিয়ন,ଆକ୍ରୋମିଅନ୍ |
অ্যাক্রোপেটাল সিকোয়েন্স,ଆକ୍ରୋପେଟାଲ୍ କ୍ରମ |
অ্যাক্রোপেটাল অর্ডার,ଆକ୍ରୋପେଟାଲ୍ କ୍ରମ |
অ্যাক্রোসিন,ଆକ୍ରୋସିନ୍ |
অ্যাক্টিন,ଆକ୍ଟିନ୍ |
অ্যাক্টিনের মতো প্রোটিন,ଆକ୍ଟିନ୍-ପ୍ରୋଟିନ୍ |
অ্যাক্টিনোমর্ফিক,ଆକ୍ଟିନୋମୋରଫିକ୍ଫିକ୍ |
অ্যাক্টিনোমাইসেটস,ଆକ୍ଟିନୋମିସେସିସ୍ |
কর্ম সম্ভাব্য,କାର୍ଯ୍ୟ ସମ୍ଭାବନା
সক্রিয় কর্দম,ସକ୍ରିୟ ସ୍ଲେଜ୍ |
সক্রিয় স্ল্যাজ ফ্লক,ସକ୍ରିୟ ସ୍ଲେଜ୍ ଫ୍ଲୋକ |
অ্যাক্টিভেশন শক্তি,ସକ୍ରିୟ ଶକ୍ତି
সক্রিয় শোষণ,ସକ୍ରିୟ ଶୋଷଣ
সক্রিয় অনাক্রম্যতা,ସକ୍ରିୟ ପ୍ରତିରୋଧକତା |
সক্রিয় বিকিরণ,ସକ୍ରିୟ ବିକିରଣ |
সক্রিয় সাইট,ସକ୍ରିୟ ସାଇଟ୍
অ্যাক্টিভিন,କାର୍ଯ୍ୟକର୍ତ୍ତା
একুমিনেট,ଆକ୍ରମିନେଟ୍ |
অ্যাডামসিয়া,ଆଡାମାସିଆ |
অভিযোজনযোগ্যতা,ଅନୁକେତ
অভিযোজন,ଆଡାପ୍ଟେସନ୍
হালকা শাসনের সাথে অভিযোজন,ହାଲୁକା ଶାସନ ପାଇଁ ଆଡାପ୍ଟେସନ୍ |
জলের ঘাটতির সাথে অভিযোজন,ଜଳ ଅଭାବରୁ ଆଡାପ୍ଟେସନ୍ |
অভিযোজিত বৈশিষ্ট্য,ଆଡାପ୍ଟିଭ୍ ବ characteristics ଶିଷ୍ଟ୍ୟଗୁଡିକ |
অভিযোজিত অনাক্রম্যতা,ଆଡାପ୍ଟିଭ୍ ଇନମୁନିଟି |
অভিযোজিত বিকিরণ,ଆଡାପ୍ଟିଭ୍ ବିକିରଣ |
অভিযোজিত বৈশিষ্ট্য,ଆଡାପ୍ଟିଭ୍ ଗୁଣ |
অ্যাড্যাক্সিয়াল পৃষ্ঠ,ଆଡକ୍ସିଆଲ୍ ଭୂପୃଷ୍ଠ |
আসক্তিজনিত ব্যাধি,ନିଶା ବ୍ୟାଧି |
অ্যাডেনিন,ଆଡେନିନ୍
অ্যাডেনোকোর্টিকোট্রপিন,ଆଡେନୋକର୍ଟିକୋଟ୍ରୋପିନ୍ |
অ্যাডেনোহাইপোফাইসিস,Adenehiopophisisisis
অ্যাডেনোসিন ডিফোসফেট,ଆଡେନୋଜିନ୍ ଡିଫୋସେଫେଟ୍ |
অ্যাডেনোসিন ডায়ামিনেজ,ଆଡେନୁସିନ୍ ତ୍ୟାଗ କର |
অ্যাডেনোসিন মনোফসফেট,ଆଡେନୁସିନ୍ ମୋନୋଫୋସଫେଟ୍ |
অ্যাডেনোসিন ট্রাইফোসফেট (এটিপি),ଆଡେନୁସିନ୍ ଟ୍ରିପ୍ଫେଟ୍ (ATP)
অ্যাডিনলেট সাইক্লাস,ଆଡେନିଲେଟ୍ ସାଇକ୍ଲାଜିନ୍ |
আঠালো শক্তি,ଆଡେସିଭ୍ ଫୋର୍ସ |
Adipate,ଆଡିପେଟ୍ କରନ୍ତୁ |
অ্যাডিপোকাইট (ফ্যাট সেল),Adipocyte (ଫ୍ୟାଟ୍ ସେଲ୍)
মেদ কলা,ସିସ୍ୟୁଜ୍ ଟିସୁ |
অ্যাডনেট,ଆଡନେଟ୍ |
সংলগ্ন সম্প্রদায়,ସଂଲଗ୍ନ ସମ୍ପ୍ରଦାୟର |
অ্যাড্রিনাল,ଆଡ୍ରେନାଲ୍
অ্যাড্রিনাল গ্রন্থি,ଆଡ୍ରେନାଲ୍ ଗ୍ରନ୍ଥି |
অ্যাড্রেনোকোর্টিকোট্রপিক হরমোন (এসিটিএইচ),ଆଡ୍ରେନିକୋ ବୋଟ୍ରୋପିକ୍ ହରମୋନ୍ (ACTH)
অ্যাড্রেনোকোর্টিকোট্রপিক রিলিজিং হরমোন (ACTRH),ଆଡ୍ରେନାକର୍ଟିକୋଟ୍ରପିକ୍ ରିଲିଜ୍ ହରମୋନ୍ (ACTRH)
Adsorbent,ଆଡସରବେଣ୍ଟ
শোষণ,ଆଡେର୍ସନ୍
উন্নত কর্ডেট,ଉନ୍ନତ ମୂଲ୍ୟ |
সুবিধাজনক মিউটেশন,ଲାଭଦାୟକ ଗଣିତ |
অ্যাডভেন্টিয়াল,ଦୁ vent ସାହସିକ କାର୍ଯ୍ୟ |
অ্যাডভেনটিয়াস রুট,ଖରାପ ମୂଳ
বিরূপ প্রভাব,ପ୍ରତିକୂଳ ପ୍ରଭାବ
এডেস,AED ଗୁଡିକ
সংস্কৃতি বায়ুচালনা,ସଂସ୍କୃତିର ଆରେସନ୍
এরিচাইমা,ଆତଙ୍କିତାମା |
এরিয়াল,ବାୟୁ
বায়বীয় মূল,ବାୟୁଏଟ୍ ମୂଳ |
এরিয়াল শ্যুট,ଏରିଲ୍ ସୁଟ୍ |
বায়ুজীবী শ্বসন,ଏରୋବିକ୍ ଶ୍ iration ଗଡା |
বায়ুজীবী শ্বসন,ଏରୋବିକ୍ ଶ୍ iration ଗଡା |
নান্দনিকতা,ସ est ନ୍ଦର୍ଯ୍ୟ
এ্যাস্টিভেশন,ବାୟେ
এ্যাস্টিভেশন,ବାୟେ
Afferent,ବିଶଙ୍ଗ
অ্যাফিনিটি ক্রোমাটোগ্রাফি,ଆଫିନିଟି କ୍ରୋମାଟୋଗ୍ରାଫି |
ক্ষতিগ্রস্থ অঙ্গ,ଅଙ୍ଗପ୍ରତ୍ୟଙ୍ଗ ଅଙ୍ଗ |
Afforastation,ଆଗ ଶତ୍ରୁମାନଙ୍କର
আগামোস্পার্মি,ଆଗାମୋପର୍ମୀ |
আগর,ଅଗର
আগারোজ,ଆଗ୍ରୋଜ୍
আগারোজ জেল এ্যালেট্রোফোরেসিস,ଆଗାରୋସ୍ ଗେଲ୍ ଇଟ୍ରୋଫୋରସ୍ |
আগারোজ পলিমার জেল,ଆର୍ଗ୍ରୋଜ ପଲିମର ଜେଲ୍ |
আগস্ট,ଆଗିଷ୍ଟ
আগাভা,ଆଗେଭ୍
বয়স বিতরণ,ବୟସ ବଣ୍ଟନ |
বয়স পিরামিড,ବୟସ ପିରାମିଡ୍ |
আগ্রাসন,Agglutination
সমষ্টি,ସମୁଦାୟ
ফলিকেলের সমষ্টি,ଫୋଲିକଲିକ୍ ର ସମୁଦାୟ |
ফলিকেলের সমষ্টি,ଫୋଲିକଲିକ୍ ର ସମୁଦାୟ |
সমষ্টি,ମିଳନ
আগ্রাসন,ଆକ୍ରମଣାତ୍ମକତା
