English,Kannada
A B amplifier,ಎ ಬಿ ವರ್ಗದ ಆಂಪ್ಲಿಫಯರ್
aberration,ವಿಪಥನ
abnormal propagation,ಅಸಹಜ ಪ್ರಸರಣ
abrupt,"ಜೋಡಿಸದ, ಸಾಮಾನ್ಯವಾಗಿ, ಹೊಂಡ, ಕತ್ತರಿಸಿದ, ಮುರಿತ"
absent spectrum,ಸ್ಪೆಕ್ಟ್ರಮ್ ಕಾಣೆಯಾಗಿದೆ
absolute,"ಸಂಪೂರ್ಣ, ಸಂಪೂರ್ಣ, ನಿರಂತರ, ಪರಿಪೂರ್ಣ"
absolute humidity,ಸಂಪೂರ್ಣ ಆರ್ದ್ರತೆ
absolute motion,ಸಂಪೂರ್ಣ ವೇಗ
absolute observation,ಸಂಪೂರ್ಣ ವೀಕ್ಷಣೆ
absolute temperature,ಸಂಪೂರ್ಣ ತಾಪಮಾನ
absolute zero,ಸಂಪೂರ್ಣ ಶೂನ್ಯ
absorb,ಹೀರಿಕೊಳ್ಳುತ್ತವೆ
absorber,"ಹೀರಿಕೊಳ್ಳುವ, ಹೀರಿಕೊಳ್ಳುವ"
absorbing power,ಹೀರಿಕೊಳ್ಳುವ ಸಾಮರ್ಥ್ಯ
absorptance,ಹೀರಿಕೊಳ್ಳುವಿಕೆ
absorptive,ಹೀರಿಕೊಳ್ಳುವ
absorptivity,ಹೀರಿಕೊಳ್ಳುವಿಕೆ
abundance ratio,ಬಹುಸಂಖ್ಯೆಯ ಅನುಪಾತ
accelerate,ವೇಗವನ್ನು
accelerated,ಆತುರಪಟ್ಟರು
acceleration,ವೇಗವರ್ಧನೆ
acceleration of gravity,ಗುರುತ್ವಾಕರ್ಷಣೆಯ ವೇಗವರ್ಧನೆ
accelerative,ವೇಗವರ್ಧಕ
accelerator,ವೇಗವರ್ಧಕ
accelerometer,ವೇಗವರ್ಧಕ
accentuator,ಪ್ರಿಸ್ಟ್ರೆಸರ್
acceptance test,ಸ್ವೀಕಾರಾರ್ಹ ಪರೀಕ್ಷೆ
acceptor,ಸ್ವೀಕರಿಸುವವರು
acceptor molecule,ದಾನಿ ಅಣು
access,"ಪ್ರವೇಶ, ಕಾಯುವಿಕೆ, ಪ್ರವೇಶಿಸುವಿಕೆ"
accessibility,ಪ್ರವೇಶಿಸುವಿಕೆ
accessory,"ಹೆಚ್ಚುವರಿ, ಪರಿಕರ, ಪರಿಕರ (ವಿ.), ಪರಿಕರಗಳು (ಸಂ)"
access time,ಪ್ರವೇಶ ಸಮಯ
accidental error,ಸಂದರ್ಶಕರ ದೋಷ
accommodation,ಹೊಂದಾಣಿಕೆ
accumulated,ಸಂಗ್ರಹಿಸಲಾಗಿದೆ
accumulation,"ಶೇಖರಣೆ, ಶೇಖರಣೆ"
accumulator,ಸಂಚಯಕ
accuracy,ನಿಖರತೆ
accurate,ರಿಯಾಲಿಟಿ
achromat,ವರ್ಣರಹಿತ ಮಸೂರ
achromatic,ವರ್ಣರಹಿತ
achromatism,ವರ್ಣರಹಿತತೆ
acoustical,ಅಕೌಸ್ಟಿಕ್
acoustically insulated,ಧ್ವನಿ ನಿರೋಧಕ
acoustical phonon,ಅಕೌಸ್ಟಿಕ್ ಫೋನಾನ್
acoustical unit,ಧ್ವನಿ ಘಟಕ
acoustic,ಅಕೌಸ್ಟಿಕ್
acoustic generator,ಧ್ವನಿ ಜನರೇಟರ್
action and reaction,ಕ್ರಿಯೆ ಮತ್ತು ಪ್ರತಿಕ್ರಿಯೆ
activation,ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ
"activation, energy",ಸಕ್ರಿಯಗೊಳಿಸುವ ಶಕ್ತಿ
activator,"ಆಕ್ಟಿವೇಟರ್, ಆಕ್ಟಿವೇಟರ್"
active,ಸಕ್ರಿಯ
activity,ಕ್ರಿಯಾಶೀಲತೆ
actual stress,ನಿಜವಾದ ಒತ್ತಡ
acute exposure,ಗುಸುಗುಸು
add,ಒಟ್ಟುಗೂಡಿಸಲು
addition,"ಮೊತ್ತ, ಸಂಕಲನ, ಒಟ್ಟು (ed.), ಸಂಯೋಜಕ (v.)"
additional tone,"ಸಂಯೋಜಕ ಸ್ವರ, ಹೆಚ್ಚುವರಿ ಸ್ವರ (ಸ್ವರ)"
additive,ಸಂಯೋಜಕ
adhesion,ಅಂಟಿಕೊಳ್ಳುವಿಕೆ
adhesional energy,ಅಂಟಿಕೊಳ್ಳುವ ಶಕ್ತಿ
