Tamil,Hindi
கருக்கலைப்பு,विफलन
டைமரை நிறுத்துங்கள்,विफलन कालद
முழுமையான முகவரி,निरपेक्ष पता
முழுமையான முகவரி,निरपेक्ष पताभिगमन
முழுமையான அசெம்பிளர்,निरपेक्ष कोडांतरक
முழுமையான குறியீடு,निरपेक्ष कूट
முழுமையான குறியீட்டு முறை,निरपेक्ष कूटलेखन
முழுமையான கட்டளை,निरपेक्ष समादेश
முழுமையான ஒருங்கிணைப்பு,निरपेक्ष निर्देशांक
முழுமையான தரவு,निरपेक्ष आंकड़े
முழுமையான பிழை,निरपेक्ष त्रुटि
முழுமையான வெளிப்பாடு,निरपेक्ष व्यंजक
முழுமையான அறிவுறுத்தல்,निरपेक्ष अनुदेश
முழுமையான ஏற்றி,निरपेक्ष भारक
முழுமையான வரிசை,निरपेक्ष आदेश
முழுமையான நிரலாக்க,निरपेक्ष क्रमादेशन
முழுமையான சொல்,निरपेक्ष पद
துல்லியமான மதிப்பு,निरपेक्ष मान
முழுமையான திசையன்,निरपेक्ष सदिश
சுருக்கம்,"सारांश, अमूर्त"
சுருக்கம்,"सारांशन, अमूर्तकरण, साराहरण"
சுருக்க சின்னம்,अमूर्त प्रतीक
முடுக்கம் காலம்,त्वरण अवधि
முடுக்கம் நேரம்,त्वरण काल
உச்சரிப்பு,उच्चारण चिह्न
ஏற்பு சோதனை,स्वीकरण परीक्षण
அணுகல்,अभिगम
அணுகல் கை,अभिगम बाहु
அணுகல் ஏற்பாடு,अभिगम व्यवस्था
அணுகல் அதிகாரம்,अभिगम प्राधिकारक
அணுகல் கட்டணம்,अभिगम शुल्क
அணுகல் வகுப்பு,अभिगम वर्ग
தரவு அடிப்படை நிர்வாகத்தை அணுகவும்,अभिगम आँकड़ासंचय प्रबंध
அணுகல் சூழல்,अभिगम परिवेश
அணுகல் இடைவெளி,अभिगम अंतराल
அணுகல் அட்டவணை,अभिगम सूचक
அணுகல் வரி,अभिगम लाइन
அணுகல் பொறிமுறை,अभिगम यांत्रिकत्व
அணுகல் முறை,अभिगम विधि
அணுகல் முறை வழக்கமான,अभिगम विधि नेमका
அணுகல் பயன்முறை,अभिगम विधा
அணுகல் உரிமை,अभिगम अधिकार
அணுகல் ஸ்கேன்,अभिगम क्रमवीक्षण
அணுகல் நேரம்,अभिगम काल
கணக்கியல்,लेखा कार्य
கணக்கியல் நிதி அமைப்பு,लेखाकार्य वित्त तंत्र
கணக்கியல் இயந்திரம்,लेखा यंत्र
கணக்கு எண்,खाता संख्या
திரட்டுதல் இனப்பெருக்கம்,संचयी पुनरुत्पादक
குவிப்பான்,संचायक
குவிப்பான் பதிவு,संचायक पंजी
திரட்டல் ஷிப்ட் வழிமுறை,संचायक विस्थापन अनुदेश
துல்லியம்,परिशुद्धता
துல்லியம் கட்டுப்பாட்டு தன்மை,परिशुद्धता नियंत्रण संप्रतीक
துல்லியம் கட்டுப்பாட்டு அமைப்பு,परिशुद्धता नियंत्रण तंत्र
ஏஸ் பைலட்,उत्कृष्ठ मार्गदर्शी
தன்மையை ஒப்புக் கொள்ளுங்கள்,पावती संप्रतीक
ஒலி கப்ளர்,ध्वनिक युग्मक
ஒலி இணைப்பு,ध्वनिक युग्मन
ஒலி தாமத வரி,ध्वनिक विलंब लाइन
ஒலி நினைவகம்,ध्वनिक स्मृति
ஒலி மோடம்,ध्वनिक मोडेम
ஒலி சமிக்ஞை,ध्वनिक संकेत
ஒலி சேமிப்பு,ध्वनिक भंडारण
சுருக்கம்,परिवर्णी शब्द
செயல்,क्रिया
செயல் சுழற்சி,क्रिया चक्र
செயல் வரி,क्रिया लाइन
செயல் செய்தி,क्रिया संदेश
செயல் விவரக்குறிப்பு,क्रिया विनिर्देश
செயல்படுத்தல்,सक्रियण
செயலில்,सक्रिय
செயலில் உள்ள கோப்பு,सक्रिय संचिका
செயலில் வரி,सक्रिय लाइन
செயலில் இணைப்பு,सक्रिय कड़ी
செயலில் உள்ள முதன்மை கோப்பு,सक्रिय प्रधान संचिका
செயலில் உள்ள முதன்மை உருப்படி,सक्रिय प्रधान मद
செயலில் உள்ள செயற்கைக்கோள்,सक्रिय उपग्रह
செயலில் நிலையம்,सक्रिय केन्द्र
செயலில் சேமிப்பு,सक्रिय भंडारण
செயல்பாடு,सक्रियता
செயல்பாட்டு நிலை,सक्रियता स्तर
செயல்பாடு ஏற்றுதல்,सक्रियता भारण
செயல்பாட்டு விகிதம்,सक्रियता अनुपात
உண்மையான முகவரி (= முழுமையான முகவரி),निरपेक्ष पता
உண்மையான குறியீடு (= முழுமையான குறியீடு),निरपेक्ष कूट
உண்மையான தரவு பரிமாற்ற வீதம்,वास्तविक आँकडा स्थानांतरण दर
