Malayalam,Hindi
അബെലി ഗ്രൂപ്പ്,आबेली समूह
അബെലി ഗ്രൂപ്പ്,आबेली सामिसमूह
കൈ,भुज
"കേവലം, കേവലം, സ്ഥിരം, കൃത്യമായ","निरपेक्ष, परम, अचर, परिशुद्‌ध"
കേവലമായ ഒത്തുചേരൽ,निरपेक्ष अभिसरण
സമ്പൂർണ്ണ പിശക്,निरपेक्ष त्रुटि
പരമോന്നത പരമോന്നത,परम उच्चिष्ठ
ഏറ്റവും താഴ്ന്നത്,परम निम्निष्ठ
യഥാർത്ഥ മൂല്യം,निरपेक्ष मान
കേവല വേഗത,निरपेक्ष वेग
അമൂർത്ത ബീജഗണിതം,अमूर्त बीजगणित
അമൂർത്തമായ ഗ്രൂപ്പ് സിദ്ധാന്തം,अमूर्त समूह सिद्‌धांत
ത്വരണം,त्वरण
ഗുരുത്വാകർഷണ ത്വരണം,गुरुत्वीय त्वरण
സ്വീകാര്യമായ സെലക്ടർ,स्वीकार्य वरण-समुच्चय
സ്വീകാര്യമായ നിലവാരം,स्वीकार्य गुणता स्तर
സ്വീകാര്യമായ പരിസരം,स्वीकार्य परिसर
സാധുവായ വിശ്വാസ്യത നില,मान्य विश्वसनीयता स्तर
സ്വീകാര്യത സാമ്പിൾ,स्वीकरण-प्रतिचयन
സഞ്ചിത പിശക്,संचित त्रुटि
കൃത്യത,यथार्थता
പ്രയോഗിച്ച ബലം,लगा हुआ बल
"പ്രവൃത്തി, പ്രവൃത്തി","क्रिया, कर्म"
പ്രവർത്തനവും പ്രതികരണവും,क्रिया और प्रतिक्रिया
ഇൻഷുറൻസ് ശാസ്ത്രം,बीमा विज्ञान
നിശിത ത്രികോണം,न्यूनकोण त्रिभुज
അസൈക്ലിക്,अचक्रीय
സംഗ്രഹിക്കാനായി,"योग करना, जोड़ना"
ചേർക്കുന്നയാൾ,योजक
"തുക, കൂട്ടിച്ചേർക്കൽ, സംഗ്രഹം (സി.), സങ്കലനം (വി.)","योग, जोड़, संकलन (स.), योगात्मक (वि.)"
യോഗയുടെ ഫോർമുല,योग का सूत्र
സങ്കീർണ്ണ സംഖ്യകളുടെ ആകെത്തുക,सम्मिश्र संख्याओं का योग
പ്രവർത്തനങ്ങളുടെ ആകെത്തുക,फलनों का योग
മെട്രിക്സുകളുടെ ആകെത്തുക,आव्यूहों का योग
ബഹുപദങ്ങളുടെ ആകെത്തുക,बहुपदों का योग
സാധ്യതകളുടെ ആകെത്തുക,प्रायिकताओं का योग
വെക്റ്ററുകളുടെ ആകെത്തുക,सदिशों का योग
"സം സിദ്ധാന്തം, സരസഫല സിദ്ധാന്തം,",योग प्रमेय बेरीज सिद्‌धांत
സങ്കലന ഗ്രൂപ്പ്,योज्य समूह
വിപരീത വിപരീതം,योज्य व्युत्क्रम
കൂട്ടിച്ചേർക്കൽ,"योज्यता, योगशीलता"
കൂട്ടിച്ചേർക്കൽ,योज्यता
തൊട്ടടുത്തുള്ള മാട്രിക്സ്,आसन्नता आव्यूह
"തൊട്ടടുത്തുള്ള, തൊട്ടടുത്തുള്ള, തൊട്ടടുത്തുള്ള","संलग्न, निकटवर्ती, आसन्न"
അടുത്തുള്ള കോൺ,आसन्न कोण
തൊട്ടടുത്തുള്ള ശീർഷകം,आसन्न शीर्ष
സഹകരിക്കാൻ,सहबद्‌ध करना
"ഘടിപ്പിച്ച വലയം,",संलग्न संलग्नीत
പൊതുവായ ഡിറ്റർമിനന്റ്,सहखंडज सारणिक
ഡിഫറൻഷ്യൽ സമവാക്യം ചേർത്തു,संलग्न अवकल समीकरण
ഘടിപ്പിച്ച സമവാക്യം,संलग्न समीकरण
ഏകീകൃത മാട്രിക്സ്,सहखंडज आव्यूह
മാട്രിക്സ് കോവേരിയൻസ്,आव्यूह सहखंडज
ഏകീകൃത മാട്രിക്സ്,सहखंडज आव्यूह
സ്വീകാര്യമായ തീരുമാന പ്രവർത്തനം,ग्राह्य निर्णय फलन
സ്വീകാര്യമായ സിദ്ധാന്തം,ग्राह्य परिकल्पना
എയറോഡൈനാമിക് ശക്തി,वायुगतिक बल
എയറോഡൈനാമിക്സ്,वायु गतिकी
ഏകതാനമായ ജ്യാമിതി,सजातीय ज्यामिति
ഏകതാനമായ മാപ്പിംഗ്,सजातीय प्रतिचित्रण
ഏകതാനമായ പരിവർത്തനം,सजातीय रूपांतरण
മൊത്തം വേരിയബിൾ,समुच्चयी चर
"ബീജഗണിതം, ബീജഗണിതം, ബീജഗണിതം, ബീജഗണിതം","बीजगणित, ऐलजेब्रा, बीजावली, बीजक्रिया"
"സീഡി അടഞ്ഞ, വിത്ത്","बीजतः संवृत, बीजतः"
ബീജഗണിത സമവാക്യം,बीजीय समीकरण
ബീജഗണിത പദപ്രയോഗം,बीजीय व्यंजक
ബീജഗണിത ഏകത,बीजीय समघात
ബീജഗണിത പ്രവർത്തനം,बीजीय फलन
ബീജഗണിത ജ്യാമിതി,बीजीय ज्यामिति
ബീജഗണിത ബഹുത്വം,बीजीय बहुकता
ബീജഗണിത വ്യവസ്ഥ,बीजीय निकाय
എല്ലാ-പൂർണ്ണസംഖ്യാ പ്രശ്നം,सर्व-पूर्णांक समस्या
