Marathi,Bengali
"1.अॅबॅकस, 2. मोजणी","1.অ্যাবাকাস, 2. গণনা"
असामान्य शेवट,অস্বাভাবিক সমাপ্তি
इंटरसेप्ट,পথিমধ্যে রোধ করা
"1. निरपेक्ष, 2. सर्वोच्च","1. পরম, 2. সর্বোচ্চ"
परिपूर्ण पत्ता,পরম ঠিকানা
परिपूर्ण पत्ता योग्यता,পরম ঠিকানাযোগ্যতা
परिपूर्ण असेंबलर,পরম সংযোজনকারী
"1. संपूर्ण कोड, 2. परिपूर्ण कोड","1. পরম কোড, 2. পরম কোড"
निरपेक्ष आज्ञा,পরম আদেশ
"1. परिपूर्ण आकडे, 2. परिपूर्ण डेटा","1. পরম পরিসংখ্যান, 2. পরম তথ্য"
परिपूर्ण सूचना,পরম নির্দেশ
परिपूर्ण मोड,পরম মোড
परिपूर्ण मार्ग,পরম পথ
"1. परिपूर्ण प्रोग्रामिंग, 2. परिपूर्ण प्रोग्रामिंग","1. পরম প্রোগ্রামিং, 2. পরম প্রোগ্রামিং"
अमूर्त वर्ग,বিমূর্ত ক্লাস
अमूर्त डेटा प्रकार,বিমূর্ত তথ্য প্রকার
अमूर्त मशीन,বিমূর্ত মেশিন
अमूर्त चिन्ह,বিমূর্ত প্রতীক
अमूर्त वाक्यरचना,বিমূর্ত বাক্য গঠন
स्वीकृती चाचणी,স্বীকৃতি পরীক্ষা
प्रवेश प्रमाणपत्र,অ্যাক্সেস সার্টিফিকেশন
"1. प्रवेश कोड, 2. प्रवेश कोड","1. অ্যাক্সেস কোড, 2. প্রবেশাধিকার কোড"
प्रवेश नियंत्रण,প্রবেশাধিকার নিয়ন্ত্রণ
प्रवेश स्कॅनिंग,অ্যাক্সেস স্ক্যানিং
उपकरणे,আনুষাঙ্গিক
लेखा,অ্যাকাউন্টিং
"1. खाते आयडी, 2. लेखा ओळख","1. অ্যাকাউন্ট আইডি, 2। অ্যাকাউন্টিং সনাক্তকরণ"
संचयक,সঞ্চয়কারী
"1. अचूकता, 2. अचूकता","1. নির্ভুলতা, 2. সঠিকতা"
प्रवेश,অ্যাক্সেস
प्रवेश नियंत्रण बाइट्स,অ্যাক্সেস নিয়ন্ত্রণ বাইট
