Punjabi,Odiya
abacus,ଆବାକସ୍ |
ਅਸਧਾਰਨ ਸਮਾਪਤੀ,ଅସ୍ୱାଭାବିକ ସମାପ୍ତି |
ਅਧੂਰਾ ਛੱਡੋ,ପରିତ୍ୟାଗ
ਅਸੀਮ,ସଂପୂର୍ଣ୍ଣ
ਪੂਰਾ ਪਤਾ,ସଂପୂର୍ଣ୍ଣ ଠିକଣା
ਪੂਰਨ ਸੰਬੋਧਨ,ସଂପୂର୍ଣ୍ଣ ଠିକଣା
ਪੂਰਨ ਅਸੈਂਬਲਰ,ସଂପୂର୍ଣ୍ଣ ସମାବେଶକାରୀ |
ਪੂਰਨ ਕੋਡ,ସଂପୂର୍ଣ୍ଣ କୋଡ୍
ਪੂਰਨ ਹੁਕਮ,ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ |
ਪੂਰਨ ਡਾਟਾ,ସଂପୂର୍ଣ୍ଣ ତଥ୍ୟ |
ਪੂਰਨ ਹਿਦਾਇਤ,ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ
ਪੂਰਨ ਮੋਡ,ସଂପୂର୍ଣ୍ଣ ମୋଡ୍ |
ਪੂਰਨ ਮਾਰਗ,ସଂପୂର୍ଣ୍ଣ ପଥ
ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ,ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ |
ਐਬਸਟਰੈਕਟ ਕਲਾਸ,ବିସ୍ତୃତ ଶ୍ରେଣୀ |
ਸੰਖੇਪ ਡਾਟਾ ਕਿਸਮ,ବିସ୍ତୃତ ତଥ୍ୟ ପ୍ରକାର |
ਐਬਸਟਰੈਕਟ ਮਸ਼ੀਨ,ବିସ୍ତୃତ ମେସିନ୍ |
ਸੰਖੇਪ ਚਿੰਨ੍ਹ,ବିସ୍ତୃତ ପ୍ରତୀକ |
ਸੰਖੇਪ ਸੰਟੈਕਸ,ବିସ୍ତୃତ ବାକ୍ୟବିନ୍ୟାସ |
ਸਵੀਕ੍ਰਿਤੀ ਟੈਸਟਿੰਗ,ଗ୍ରହଣ ପରୀକ୍ଷା
ਪਹੁੰਚ ਪ੍ਰਮਾਣਿਕਤਾ,ପ୍ରାମାଣିକିକରଣକୁ ପ୍ରବେଶ କରନ୍ତୁ |
ਐਕਸੈਸ ਕੋਡ,ପ୍ରବେଶ କୋଡ୍
ਪਹੁੰਚ ਕੰਟਰੋਲ,ପ୍ରବେଶ ନିୟନ୍ତ୍ରଣ
ਐਕਸੈਸ ਸਕੈਨ,ଆକ୍ସେସ୍ ସ୍କାନ୍ |
ਸਹਾਇਕ,ଆନୁଷଙ୍ଗିକ
ਖਾਤਾ,ଖାତା
ਖਾਤਾ ID,ଖାତା ID
ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ,ଜମାକାରୀ
ਸ਼ੁੱਧਤਾ,ସଠିକତା
ਪਹੁੰਚ,acess
ਐਕਸੈਸ ਕੰਟਰੋਲ ਬਾਈਟ,ଏସିସ୍ ନିୟନ୍ତ୍ରଣ ବାଇଟ୍ |
ਐਕਸੈਸ ਇੰਡੈਕਸ,acess index
ਪਹੁੰਚ ਕੁੰਜੀ,acess କି
ਐਕਸੈਸ ਮੈਟ੍ਰਿਕਸ,acess matrix
ਪਹੁੰਚ ਮੋਡ,acess ମୋଡ୍ |
ਪਹੁੰਚ ਵਿਸ਼ੇਸ਼ਤਾ,acess ଅଧିକାର
ਸੁਰੱਖਿਆ ਤੱਕ ਪਹੁੰਚ,acess ସୁରକ୍ଷା |
ਪਹੁੰਚ ਸਰਵਰ,acess ସର୍ଭର |
ਪਹੁੰਚ ਦਾ ਸਮਾਂ,ଆକସେସ୍ ସମୟ |
ਮਾਨਤਾ,ସ୍ୱୀକୃତି
ਧੁਨੀ ਵਿਗਿਆਨ,ଆକାଶବାଣୀ
ਸੰਖੇਪ ਸ਼ਬਦ,ସଂକ୍ଷିପ୍ତ ଶବ୍ଦ
ਕਾਰਵਾਈ ਸੁਨੇਹਾ,କାର୍ଯ୍ୟ ବାର୍ତ୍ତା |
ਸਰਗਰਮੀ,ସକ୍ରିୟ
ਐਕਟਿਵ ਸਰਵਰ ਪੇਜ (ਏਐਸਪੀ),ସକ୍ରିୟ ସର୍ଭର ପୃଷ୍ଠା (ASP)
ਕਿਰਿਆਸ਼ੀਲ ਸੰਸਕਰਣ,ସକ୍ରିୟ ସଂସ୍କରଣ |
acyclic,acyclic
acyclic ਗ੍ਰਾਫ਼,acyclic ଗ୍ରାଫ୍ |
ਅਦਾ ਭਾਸ਼ਾ,ଅଦା ଭାଷା |
ਅਡਾਪਟਰ,ଆଡାପ୍ଟର
ਸ਼ਾਮਲ ਕਰੋ,ଯୋଡନ୍ତୁ |
ਫਾਇਲ ਸ਼ਾਮਿਲ ਕਰੋ,ଫାଇଲ୍ ଯୋଡନ୍ତୁ |
ਕਾਰਵਾਈ ਸ਼ਾਮਲ ਕਰੋ,ଅପରେସନ୍ ଯୋଡନ୍ତୁ |
ਜੋੜਨ ਵਾਲਾ,ଆଡର୍
ਪਤਾ,ଠିକଣା
ਪਤਾ ਬੱਸ,ଠିକଣା ବସ୍
ਐਡਰੈੱਸ ਫਾਈਲ,ଠିକଣା ଫାଇଲ୍ |
ਪਤਾ ਫਾਰਮੈਟ,ଠିକଣା ଫର୍ମାଟ୍
ਪਤਾ ਜਨਰੇਟਰ,ଠିକଣା ଜେନେରେଟର
ਐਡਰੈੱਸ ਲਾਈਨ,ଠିକଣା ରେଖା
ਪਤਾ ਮੈਪਿੰਗ,ଠିକଣା ମ୍ୟାପିଂ
ਪਤਾ ਸੰਕੇਤਕ,ଠିକଣା ସୂଚକ
ਪਤਾ ਰਜਿਸਟਰ,ଠିକଣା ରେଜିଷ୍ଟର
ਪਤਾ ਹੱਲ,ଠିକଣା ରେଜୋଲୁସନ
ਪਤਾ ਅਨੁਵਾਦ,ଠିକଣା ଅନୁବାଦ
ਸੰਬੋਧਿਤ ਮੈਮੋਰੀ,ଠିକଣା ସ୍ମୃତି
ਸੰਬੋਧਨ,ଠିକଣା
ਅਨੁਕੂਲਤਾ ਦੇ ਮਾਪਦੰਡ,ପର୍ଯ୍ୟାପ୍ତ ମାନଦଣ୍ଡ
adjoint,ଯୋଗ
ਪ੍ਰਸ਼ਾਸਨ,ପ୍ରଶାସନ
ਪ੍ਰਬੰਧਕ,ପ୍ରଶାସକ
ਅਡੋਬ ਐਕਰੋਬੈਟ,ଆଡୋବ ଆକ୍ରୋବାଟ୍ |
ਅਡੋਬ ਫੋਟੋਸ਼ਾਪ,ଆଡୋବ ଫଟୋଶପ୍ |
ਐਡਵਾਂਸ ਬਿਜ਼ਨਸ ਐਪਲੀਕੇਸ਼ਨ ਪ੍ਰੋਗਰਾਮਿੰਗ (ABAP),ଆଡଭାନ୍ସ ବ୍ୟବସାୟ ଆବେଦନ ପ୍ରୋଗ୍ରାମିଂ (ABAP)
ਉੱਨਤ ਡਾਟਾ,ଉନ୍ନତ ତଥ୍ୟ
ਤਕਨੀਕੀ ਜਾਣਕਾਰੀ ਸਿਸਟਮ,ଉନ୍ନତ ସୂଚନା ପ୍ରଣାଳୀ |
ਉੱਨਤ ਤਕਨਾਲੋਜੀ (ਏ.ਟੀ.),ଉନ୍ନତ ଜ୍ଞାନକ technology ଶଳ (AT)
ਏਜੰਟ,ଏଜେଣ୍ଟ
ਏਕੀਕਰਨ,ଏକୀକରଣ
ਏਅਰਬੋਰਨ ਕੰਪਿਊਟਰ ਸਿਸਟਮ,ବାୟୁବାହୀ କମ୍ପ୍ୟୁଟର ସିଷ୍ଟମ୍ |
aldus ਪੇਜ ਮੇਕਰ,aldus ପୃଷ୍ଠା ନିର୍ମାତା |
ਚੇਤਾਵਨੀ ਬਾਕਸ,ଆଲର୍ଟ ବାକ୍ସ
ਐਲਗੋਲ,ଆଲଗୋଲ୍
ਐਲਗੋਰਿਦਮ,ଆଲଗୋରିଦମ |
ਐਲਗੋਰਿਦਮ ਵਿਸ਼ਲੇਸ਼ਣ,ଆଲଗୋରିଦମ ବିଶ୍ଳେଷଣ |
