Gujarati,Bengali
A B વર્ગ એમ્પ્લીફાયર,A B শ্রেণীর পরিবর্ধক
વિકૃતિ,বিকৃতি
અસામાન્ય ટ્રાન્સમિશન,অস্বাভাবিক সংক্রমণ
"જોડાણ વિનાનું, સામાન્ય રીતે, ખાડો, અંગવિચ્છેદન, અસ્થિભંગ","অসংলগ্ন, সাধারণত, পিট করা, অঙ্গচ্ছেদ করা, ভাঙা"
ગુમ થયેલ સ્પેક્ટ્રમ,অনুপস্থিত বর্ণালী
"નિરપેક્ષ, નિરપેક્ષ, અચળ, સંપૂર્ણ","পরম, পরম, ধ্রুবক, নিখুঁত"
સંપૂર્ણ ભેજ,পরম আর্দ্রতা
સંપૂર્ણ ગતિ,পরম গতি
સંપૂર્ણ અવલોકન,পরম পর্যবেক্ষণ
સંપૂર્ણ તાપમાન,পরম তাপমাত্রা
સંપૂર્ણ શૂન્ય,পরম শূন্য
શોષી લેવું,শোষণ করা
"શોષક, શોષક","শোষক, শোষক"
શોષણ ક્ષમતા,শোষণ ক্ষমতা
શોષણ,শোষণ
શોષક,শোষক
શોષકતા,শোষণ
ગુણાકાર ગુણોત્તર,বহুগুণ অনুপাত
વેગ આપો,ত্বরান্বিত করা
ઉતાવળ કરી,তাড়াতাড়ি
પ્રવેગ,ত্বরণ
ગુરુત્વાકર્ષણ પ્રવેગક,অভিকর্ষের ত্বরণ
પ્રવેગક,এক্সিলারেটর
પ્રવેગક,এক্সিলারেটর
એક્સેલરોમીટર,অ্যাক্সিলোমিটার
prestresser,prestresser
સ્વીકાર્ય પરીક્ષણ,গ্রহণযোগ্য পরীক্ষা
સ્વીકારનાર,গ্রহণকারী
દાતા પરમાણુ,দাতা অণু
"પ્રવેશ, રાહ, સુલભતા","অ্যাক্সেস, অপেক্ষা, অ্যাক্সেসযোগ্যতা"
ઉપલ્બધતા,অ্যাক্সেসযোগ্যতা
"ફાજલ, સહાયક, સહાયક (v.), ઉપસાધનો (ed.)","অতিরিক্ত, আনুষঙ্গিক, আনুষঙ্গিক (v.), আনুষাঙ্গিক (সম্পাদনা)"
ઍક્સેસ સમય,প্রবেশাধিকার সময়
મુલાકાતી ભૂલ,ভিজিটর ত্রুটি
ગોઠવણ,সমন্বয়
સંચિત,পুঞ্জীভূত
"સંચય, સંચય","accumulation, accumulation"
સંચયક,সঞ্চয়কারী
ચોકસાઈ,সঠিকতা
વાસ્તવિકતા,বাস্তবতা
વર્ણહીન લેન્સ,অ্যাক্রোমেটিক লেন্স
વર્ણહીન,অ্যাক্রোমেটিক
વર્ણહીનતા,বর্ণহীনতা
એકોસ્ટિક,শাব্দিক
સાઉન્ડપ્રૂફ,শব্দরোধী
એકોસ્ટિક ફોનોન,শাব্দিক ফোনন
ધ્વનિ એકમ,শব্দ ইউনিট
એકોસ્ટિક,শাব্দিক
અવાજ જનરેટર,শব্দ জেনারেটর
ક્રિયા અને પ્રતિક્રિયા,কর্ম এবং প্রতিক্রিয়া
સક્રિયકરણ,সক্রিয়করণ
સક્રિયકરણ ઊર્જા,অ্যাক্টিভেশন শক্তি
"એક્ટિવેટર, એક્ટિવેટર","সক্রিয়কারী, সক্রিয়কারী"
સક્રિય,সক্রিয়
સક્રિયતા,সক্রিয়তা
વાસ્તવિક તણાવ,প্রকৃত চাপ
બબડાટ,ফিসফিস
સારાંશ માટે,যোগফল
"સરવાળો, ઉમેરો, એકંદર (સં.), ઉમેરણ (વિ.)","যোগফল, যোগ, সমষ্টি (সম্পাদনা), যোজক (v.)"
"સંયોજક સ્વર, વધારાનો સ્વર (સ્વર)","সংযোজক স্বর, অতিরিক্ত স্বর (স্বর)"
ઉમેરણ,সংযোজনকারী
સંલગ્નતા,আনুগত্য
એડહેસિવ ઊર્જા,আঠালো শক্তি
adiabat,adiabat
એડિબેટિક,adiabatic
હીટ ઇન્સ્યુલેટીંગ,তাপ নিরোধক
જોડાણ,সংযুক্তি
એડજસ્ટેબલ,সামঞ্জস্যযোগ্য
પ્રવેશ,অনুপ্রবেশ
શોષણ,শোষণ
આગળ,এগিয়ে
પ્રગતિશીલ,প্রগতিশীল
"આકાશી, હવા (વિ.), હવાઈ (સં.)","আকাশী, ভাইভা (v.), বায়বীয় (ed.)"
એન્ટેના સ્ટ્રીમ,অ্যান্টেনা প্রবাহ
હવાઈ સર્વેક્ષણ,বায়বীয় জরিপ
હવાનો વેગ,বায়ু বেগ
એરોડાયનેમિક ગુણાંક,এরোডাইনামিক সহগ
એરોડાયનેમિક,এরোডাইনামিক
એરોડાયનેમિક્સ,বায়ুগতিবিদ্যা
એરોનોટિકલ,বৈমানিক
એરોનોટિક્સ,বৈমানিক
હવા નાડી,বায়ু নাড়ি
"વાતાવરણ, ગેસોસ્ફિયર","বায়ুমণ্ডল, গ্যাসোস্ফিয়ার"
ફોકસ સિસ્ટમ,ফোকাস সিস্টেম
પાછળની ઇગ્નીશન,পিছনে ইগনিশন
પાછળનો પ્રકાશ,পিছনের আলো
ઉશ્કેરાટ,আঘাত
"ઉંમર, ઉંમર, ઉંમર, યુગ (ed.), સમયને અસર કરવા માટે (ver.), સમય, સમય દ્વારા પ્રભાવિત થવો","বয়স, বয়স, বয়স, যুগ (সম্পাদনা), সময়কে প্রভাবিত করতে (ভার।), সময়, সময়ের দ্বারা প্রভাবিত হওয়া"
અસરગ્રસ્ત સમય,সময় প্রভাবিত
"વૃદ્ધાવસ્થા, વૃદ્ધત્વ","বার্ধক্য, বার্ধক্য"
સમયની અસર,সময়ের প্রভাব
સમય અસર પરીક્ષણ,সময় প্রভাব পরীক্ষা
ગુરુત્વાકર્ષણ રહિત,মাধ্যাকর্ষণহীন
સમાધાન,পুনর্মিলন
"એરબોર્ન રડાર, એરિયલ રડાર","বায়ুবাহিত রাডার, বায়বীয় রাডার"
"હવાઈ લક્ષ્ય, હવાઈ લક્ષ્ય","বায়বীয় লক্ষ্য, বায়বীয় লক্ষ্য"
હવા શ્વસન કરનાર,বায়ু শ্বাসযন্ত্র
એર કન્ડીશનીંગ,এয়ার কন্ডিশনিং
એરક્રુ ટ્રાન્સફોર્મર,এয়ারক্রু ট্রান্সফরমার
વિમાન,বিমান
ગોઠવણી,প্রান্তিককরণ
સંરેખણ ભૂલ,প্রান্তিককরণ ত্রুটি
જીવંત સર્કિટ,লাইভ সার্কিট
સંપૂર્ણ કાચની નળી,সম্পূর্ণ কাচের টিউব
આખી મેટલ ટ્યુબ,পুরো ধাতব টিউব
ઠીક,ঠিক করতে
"મિશ્રાતુ (સં.), મિશ્રત્વન (cr.)","মিসরাতু (সম্পাদনা), মিশ্রাতভান (ক্রি.)"
મિશ્રત્વ,mishratvan
સર્વવ્યાપક માધ્યમ,সর্বব্যাপী মাধ্যম
ઓમ્ની એન્ટેના,ওমনি অ্যান্টেনা
પંચાંગ,পঞ্জিকা
આલ્ફા,আলফা
આલ્ફા-પ્રવૃત્તિ,আলফা-ক্রিয়াকলাপ
આલ્ફાન્યૂમેરિક,আলফানিউমেরিক
આલ્ફા કિરણ,আলফা রশ্মি
બદલો,পরিবর্তন
"વૈકલ્પિક, વૈકલ્પિક","বিকল্প, বিকল্প"
વૈકલ્પિક,বিকল্প
અલ્ટિમીટર,altimeter
અલ્ટિમીટર,altimeter
અલ્ટાઇમટ્રી,অলটাইমেট্রি
"ઊંચાઈ, ઊંચાઈ, ઊંચાઈ, ઊંચાઈ","উচ্চতা, উচ্চতা, উচ্চতা, উচ্চতা"
અંકગણિત તર્ક એકમ (ALU),অ্যারিথমেটিক রিজনিং ইউনিট (ALU)
amaget નિયમ,amaget নিয়ম
પર્યાવરણ,পরিবেশ
એમીક્રોન,অ্যামিক্রন
એમીટર,অ্যামিটার
એમ્પીયર,অ্যাম্পিয়ার
એમ્પીયર કાયદો,অ্যাম্পিয়ার-ল
ઉભયજીવી આયન,উভচর আয়ন
એમ્પ્લીફિકેશન,পরিবর্ধন
એમ્પ્લીફાયર,পরিবর্ধক
"કોણ, પરિમાણ","কোণ, মাত্রা"
a એમ. યુ. (અણુ સમૂહ એકમ),ক এম.উ. (পারমাণবিক ভর একক)
સુસંગત,উপযুক্ত
સામ્યતા,সাদৃশ্য
વિશ્લેષક,বিশ্লেষক
વિશ્લેષણ,বিশ্লেষণ
વિશ્લેષણાત્મક,বিশ্লেষণাত্মক
બિન-બિંદુ,অ-বিন্দু
વિસંગત,অস্বাভাবিক
અને દરવાજો,এবং দরজা
બિન-એકોસ્ટિક,অ শাব্দিক
વિસંગત સ્થિતિસ્થાપકતા,অস্বাভাবিক স্থিতিস্থাপকতা
નિર્જળ,নির্জল
કોણ,কোণ
એંગસ્ટ્રોમ એકમ,অ্যাংস্ট্রম ইউনিট
કોણીય,কৌণিক
પ્રોટ્રેક્ટર વેર્નિયર,প্রটেক্টর ভার্নিয়ার
વિવાદાસ્પદ,বিতর্কিত
આદરહીન,অসম্মান
વર્ણહીન ચુંબકીયકરણ,অ্যাক্রোম্যাটিক চুম্বকীয়করণ
ઢીલું,শিথিল
anion,anion
અસમપ્રમાણ,অপ্রতিসম
આઇસોટ્રોપિક,আইসোট্রপিক
