Marathi,Gujarati
अबेलियन गट,એબેલિયન જૂથ
अबेलियन अर्धसमूह,અબેલીયન સેમીગ્રુપ
abscissa,એબ્સીસા
निरपेक्ष,સંપૂર્ણ
परिपूर्ण अभिसरण,સંપૂર્ણ સંકલન
पूर्ण त्रुटी,સંપૂર્ણ ભૂલ
परिपूर्ण कमाल,સંપૂર્ણ મહત્તમ
परिपूर्ण किमान,સંપૂર્ણ લઘુત્તમ
परिपूर्ण मूल्य,સંપૂર્ણ મૂલ્ય
परिपूर्ण वेग,સંપૂર્ણ વેગ
अमूर्त बीजगणित,અમૂર્ત બીજગણિત
अमूर्त गट सिद्धांत,અમૂર્ત જૂથ સિદ્ધાંત
प्रवेग,પ્રવેગ
गुरुत्वाकर्षणामुळे प्रवेग,ગુરુત્વાકર્ષણને કારણે પ્રવેગક
स्वीकार्य निवड संच,સ્વીકાર્ય પસંદગી સમૂહ
स्वीकार्य गुणवत्ता पातळी,સ્વીકાર્ય ગુણવત્તા સ્તર
स्वीकार्य श्रेणी,સ્વીકાર્ય શ્રેણી
स्वीकार्य विश्वसनीयता पातळी,સ્વીકાર્ય વિશ્વસનીયતા સ્તર
स्वीकार्य नमुना,સ્વીકાર્ય નમૂના
संचित त्रुटी,સંચિત ભૂલ
अचूकता,ચોકસાઈ
अभिनय शक्ती,અભિનય બળ
क्रिया,ક્રિયા
क्रिया आणि प्रतिक्रिया,ક્રિયા અને પ્રતિક્રિયા
वास्तविक विज्ञान,વાસ્તવિક વિજ્ઞાન
तीव्र कोन त्रिकोण,તીવ્ર કોણીય ત્રિકોણ
अॅसायक्लिक,એસાયક્લિક
जोडा,ઉમેરો
जोडणारा,ઉમેરનાર
या व्यतिरिक्त,વધુમાં
जोड सूत्र,વધારાનું સૂત્ર
जटिल संख्यांची बेरीज,જટિલ સંખ્યાઓનો ઉમેરો
कार्ये जोडणे,કાર્યોનો ઉમેરો
मॅट्रिक्स जोडणे,મેટ્રિસિસનો ઉમેરો
बहुपदी जोडणे,બહુપદીનો ઉમેરો
संभाव्यता जोडणे,સંભાવનાઓનો ઉમેરો
वेक्टर जोडणे,વેક્ટરનો ઉમેરો
अतिरिक्त प्रमेय,વધારાનું પ્રમેય
मिश्रित गट,ઉમેરણ જૂથ
additive inverse,ઉમેરણ વ્યસ્ત
अतिरिक्त गुणधर्म,ઉમેરણ મિલકત
जोड,ઉમેરણ
संलग्नता मॅट्रिक्स,સંલગ્નતા મેટ્રિક્સ
समीप,અડીને
समीप कोन,અડીને આવેલા ખૂણા
समीप शिरोबिंदू,અડીને શિરોબિંદુ
संलग्न,સંલગ્ન
शेजारील,સંલગ્ન
संलग्न निर्धारक,સંલગ્ન નિર્ણાયક
संलग्न विभेदक समीकरण,સંલગ્ન વિભેદક સમીકરણ
संलग्न समीकरण,સંલગ્ન સમીકરણ
संलग्न मॅट्रिक्स,સંલગ્ન મેટ્રિક્સ
मॅट्रिक्सचा संलग्न,મેટ્રિક્સનો સંલગ્ન ભાગ
मॅट्रिक्स समायोजित करा,એડજ્યુગેટ મેટ્રિક્સ
स्वीकार्य निर्णय कार्य,સ્વીકાર્ય નિર્ણય કાર્ય
स्वीकार्य गृहीतक,સ્વીકાર્ય પૂર્વધારણા
वायुगतिकीय शक्ती,એરોડાયનેમિક બળ
वायुगतिकी,એરોડાયનેમિક્સ
affine भूमिती,સંલગ્ન ભૂમિતિ
affine मॅपिंग,affine મેપિંગ
affine परिवर्तन,સંલગ્ન રૂપાંતર
एकत्रित व्हेरिएबल्स,એકંદર ચલો
बीजगणित,બીજગણિત
बीजगणितानुसार बंद,બીજગણિતીય રીતે બંધ
बीजगणितीय समीकरण,બીજગણિતીય સમીકરણ
बीजगणितीय अभिव्यक्ती,બીજગણિતીય અભિવ્યક્તિ
बीजगणितीय फॉर्म,બીજગણિત સ્વરૂપ
बीजगणितीय कार्य,બીજગણિત કાર્ય
बीजगणितीय भूमिती,બીજગણિત ભૂમિતિ
बीजगणितीय गुणाकार,બીજગણિત ગુણાકાર
बीजगणित प्रणाली,બીજગણિત સિસ્ટમ
सर्व-पूर्णांक समस्या,તમામ પૂર્ણાંક સમસ્યા
वाटप समस्या,ફાળવણી સમસ્યા
वर्णक्रमानुसार नोटेशन,આલ્ફાબેટીકલ નોટેશન
वर्णमाला वर्ण,આલ્ફાબેટીક અક્ષર
पर्यायी कोन,વૈકલ્પિક કોણ
पर्यायी फॉर्म,વૈકલ્પિક સ્વરૂપ
पर्यायी गट,વૈકલ્પિક જૂથ
पर्यायी मॅट्रिक्स,વૈકલ્પિક મેટ્રિક્સ
पर्यायी मालिका,વૈકલ્પિક શ્રેણી
पर्यायी गृहीतक,વૈકલ્પિક પૂર્વધારણા
पर्यायी ऑप्टिमा,વૈકલ્પિક ઓપ્ટિમા
पर्यायी परिणाम,વૈકલ્પિક પરિણામ
अॅनालॉग-टू-डिजिटल कनवर्टर,એનાલોગ-ટુ-ડિજિટલ કન્વર્ટર
अॅनालॉग संगणक,એનાલોગ કમ્પ્યુટર
विश्लेषण,વિશ્લેષણ
सहप्रसरणाचे विश्लेषण,સહપ્રવૃત્તિનું વિશ્લેષણ
गणना डेटाचे विश्लेषण,ગણતરી માહિતીનું વિશ્લેષણ
भिन्नतेचे विश्लेषण,વિચલનનું વિશ્લેષણ
विश्लेषणात्मक भूमिती,વિશ્લેષણાત્મક ભૂમિતિ
विश्लेषणात्मक कार्य,વિશ્લેષણાત્મક કાર્ય
कोन,કોણ
संपर्क कोन,સંપર્ક કોણ
विक्षेपण कोन,વિચલન કોણ
उदासीनता कोन,હતાશાનો કોણ
विचलन कोन,વિચલન કોણ
विवर्तन कोन,વિવર્તન કોણ
उंचीचा कोन,એલિવેશન કોણ
घटनेचा कोन,ઘટના કોણ
प्रक्षेपण कोन,પ્રક્ષેપણ કોણ
परावर्तन कोन,પ્રતિબિંબ કોણ
अपवर्तन कोन,રીફ્રેક્શન કોણ
रोटेशनचा कोन,પરિભ્રમણ કોણ
एकूण परावर्तनाचा कोन,કુલ પ્રતિબિંબ કોણ
कोनीय प्रवेग,કોણીય પ્રવેગક
कोणीय गती,કોણીય ગતિ
कोनीय गती,કોણીય ઝડપ
कोनीय गती,કોણીય વેગ
वलय,વલય
उत्तर,જવાબ
विरोधी व्युत्पन्न,વિરોધી વ્યુત્પન્ન
विषमताविरोधी कार्य,એન્ટિસપ્રમાણ કાર્ય
लागू,લાગુ
अर्ज,અરજી
लागू डायनॅमिक प्रोग्रामिंग,લાગુ ડાયનેમિક પ્રોગ્રામિંગ
लागू भूमिती,લાગુ ભૂમિતિ
लागू गणित,લાગુ ગણિત
लागू आकडेवारी,લાગુ આંકડા
अंदाजे,લગભગ
अंदाजे सतत कार्य,લગભગ સતત કાર્ય
अंदाजे पद्धत,અંદાજિત પદ્ધતિ
अंदाजे उपाय,અંદાજિત ઉકેલ
अंदाजे समस्या,અંદાજની સમસ્યા
अंदाजे मालमत्ता,અંદાજિત મિલકત
योग्यता चाचणी बॅटरी,યોગ્યતા પરીક્ષણ બેટરી
आर्गंड आकृती,આર્ગાન્ડ ડાયાગ્રામ
अनियंत्रितपणे निवडले,મનસ્વી રીતે પસંદ કરેલ
अनियंत्रित,મનસ્વી
अनियंत्रित स्थिरांक,મનસ્વી સતત
अनियंत्रित घटक,મનસ્વી તત્વ
अनियंत्रित बिंदू,મનસ્વી બિંદુ
आर्किमेडियन कायदा,આર્કેમીડિયન કાયદો
आर्किमिडीज तत्त्व,આર્કિમિડીઝ સિદ્ધાંત
चाप लांबी,ચાપ લંબાઈ
वर्तुळाचा चाप,વર્તુળની ચાપ
आर्क साइन वितरण,આર્ક સાઈન વિતરણ
चाप साइन परिवर्तन,આર્ક સાઈન ટ્રાન્સફોર્મેશન
क्षेत्र,વિસ્તાર
क्षेत्रीय पोत,ક્ષેત્રીય રચના
जटिल संख्येचा युक्तिवाद,જટિલ સંખ્યાની દલીલ
अंकगणित सरासरी,અંકગણિત સરેરાશ
अंकगणित ऑपरेशन,અંકગણિત કામગીરી
अंकगणित एकक,અંકગણિત એકમ
व्यवस्था,વ્યવસ્થા
रचना,એરે
कृत्रिम उपग्रह,કૃત્રિમ ઉપગ્રહ
कृत्रिम व्हेरिएबल,કૃત્રિમ ચલ
चढणे,ચડવું
चढत्या,ચડતા
परिमाणाचा चढता क्रम,તીવ્રતાનો ચડતો ક્રમ
चढत्या मालिका,ચડતી શ્રેણી
असेंबलर भाषा,એસેમ્બલર ભાષા
असाइनमेंट समस्या,સોંપણીની સમસ્યા
सहयोगी कायदा,સહયોગી કાયદો
ऑपरेटर्सचा सहयोगी कायदा,ઓપરેટરોનો સહયોગી કાયદો
सहयोगी ऑपरेशन,સહયોગી કામગીરી
सहवास,સહયોગ
सरासरी गृहीत धरले,ધાર્યું સરેરાશ
गृहीत संभाव्यता वितरण,અનુમાનિત સંભાવના વિતરણ
गृहीतक,ધારણા
ज्योतिष,જ્યોતિષ
अंतराळवीर अभियंता,એસ્ટ્રોનોટિકલ એન્જિનિયર
खगोलशास्त्रज्ञ,ખગોળશાસ્ત્રી
खगोलशास्त्रीय घड्याळ,ખગોળશાસ્ત્રીય ઘડિયાળ
खगोलशास्त्र,ખગોળશાસ્ત્ર
असममित वक्र,અસમપ્રમાણ વળાંક
विषमता,અસમપ્રમાણતા
लक्षणे,એસિમ્પ્ટોટ
लक्षणे नसलेला,એસિમ્પટોટિક
असिम्प्टोटिकली कार्यक्षम अंदाजकर्ता,એસિમ્પટોટિકલી કાર્યક્ષમ અંદાજકાર
asymptotically निष्पक्ष अंदाजकर्ता,એસિમ્પટોટિકલી નિષ્પક્ષ અંદાજકર્તા
लक्षणे नसलेले वर्तन,એસિમ્પ્ટોટિક વર્તન
