Tamil,Kannada
வெஸ்ட்மின்ஸ்டர் அபே,ವೆಸ್ಟ್‌ಮಿನಿಸ್ಟರ್‌ನ ಅಬ್ಬೆ
துறவு,ವ್ಯಭಿಚಾರ
அடிமைத்தனத்தை ஒழித்தல்,ಗುಲಾಮಗಿರಿಯ ನಿರ್ಮೂಲನೆ
பழங்குடியினர்,ಮೂಲನಿವಾಸಿಗಳು
ஆபிரகாம் சகாப்தம்,ಅಬ್ರಹಾಂ ಯುಗ
இல்லாத நில உரிமையாளர்கள்,ಗೈರುಹಾಜರಾದ ಭೂಮಾಲೀಕರು
கலைக்கூடம்,ಅಕಾಡೆಮಿ
அக்ரா மாநாடு,ಅಕ್ರಾ ಸಮ್ಮೇಳನ
திரட்டல்கள்,ಸಂಚಯಗಳು
வளர்ப்பு,ಸಂಸ್ಕಾರ
அசெல்டாமா,ಅಸೆಲ್ಡಾಮಾ
அச்சேயன் (=ஆச்சியன்),ಅಚೆಯನ್ (=ಅಚಿಯನ್)
அச்சேயன் லீக் (=ஆச்சியன் லீக்),ಅಚೆಯನ್ ಲೀಗ್ (=ಅಚಿಯನ್ ಲೀಗ್)
அக்ரோபோலிஸ்,ಆಕ್ರೊಪೊಲಿಸ್
ஆக்டா டைர்னா,ಆಕ್ಟಾ ಡೈರ್ನಾ
ஆக்டா செனடஸ்,ಆಕ್ಟಾ ಸೆನಾಟಸ್
Acte Additionel,ಆಕ್ಟೆ ಹೆಚ್ಚುವರಿ
செயலில் உள்ள பதிவு (=தற்போதைய பதிவு),ಸಕ್ರಿಯ ದಾಖಲೆ (=ಪ್ರಸ್ತುತ ದಾಖಲೆ)
அடையும் செயல்,ಸಾಧಿಸುವವರ ಕ್ರಿಯೆ
இழப்பீடு மற்றும் மறதியின் செயல்,ನಷ್ಟ ಪರಿಹಾರ ಮತ್ತು ಮರೆವಿನ ಕಾಯಿದೆ
தீர்வு சட்டம்,ವಸಾಹತು ಕಾಯಿದೆ
விளம்பர ஒப்பந்த முத்திரை,ಜಾಹೀರಾತು ಒಪ್ಪಂದದ ಮುದ್ರೆ
அதுலமைட்டுகள்,ಅಡುಲಮೈಟ್ಸ್
எதிரி,ಎದುರಾಳಿ
எதிரி,ಎದುರಾಳಿ
ஏயோன்,ಏಯಾನ್
ஏரேரியம்,ಏರೋರಿಯಮ್
வான்வழிப் போர்,ವೈಮಾನಿಕ ಯುದ್ಧ
ஏட்டோலியன் லீக்,ಏಟೋಲಿಯನ್ ಲೀಗ್
வயது,ವಯಸ್ಸು
முதுமை (=வயதான),ವಯಸ್ಸಾಗುವಿಕೆ (=ವಯಸ್ಸಾದ)
வயதான செயல்முறை,ವಯಸ್ಸಾದ ಪ್ರಕ್ರಿಯೆ
அகெலாய்,ಅಗೆಲೈ
வீரத்தின் வயது,ಅಶ್ವದಳದ ವಯಸ್ಸು
அறிவாற்றல் வயது,ಜ್ಞಾನೋದಯದ ವಯಸ್ಸು
பெரிக்கிள்ஸ் வயது,ಪೆರಿಕಲ್ಸ್ ವಯಸ್ಸು
பகுத்தறிவு வயது,ಕಾರಣದ ವಯಸ್ಸು
விவசாயம்,ಕೃಷಿಧರ್ಮ
விவசாய இயக்கம்,ಕೃಷಿ ಚಳುವಳಿ
அல்பியன்,ಅಲ್ಬಿಯಾನ್
ஆல்பம்,ಆಲ್ಬಮ್
ஆல்டர்மேன்,ಆಲ್ಡರ್ಮನ್
கவர்ச்சியான ஆயுதங்கள்,ಸೂಚಿಸುವ ತೋಳುಗಳು
அமிட்டி,ಸೌಹಾರ್ದತೆ
ஆம்ஃபிக்டியோனிக் கவுன்சில்,ಆಂಫಿಕ್ಟಿಯೋನಿಕ್ ಕೌನ್ಸಿಲ್
ஆம்ஃபிக்டியோனிக் லீக்,ಆಂಫಿಕ್ಟಿಯೋನಿಕ್ ಲೀಗ್
ஆம்பிதியேட்டர்,ಆಂಫಿಥಿಯೇಟರ್
அம்ரி நல் குழு (மட்பாண்டங்கள்),ಅಮ್ರಿ ನಲ್ ಗುಂಪು (ಕುಂಬಾರಿಕೆ)
அனாக்ரோனிசம்,ಅನಾಕ್ರೊನಿಸಂ
காலமற்ற,ಅನಾಕ್ರೊನಿಸ್ಟಿಕ್
மூதாதையர்,ಪೂರ್ವಜ
முன்னோர் வழிபாடு,ಪೂರ್ವಜರ ಆರಾಧನೆ
பரம்பரை,ಪೂರ್ವಜರು
பரம்பரை,ಪೂರ್ವಜರು
பரம்பரை,ಪೂರ್ವಜರು
பரம்பரை,ಪೂರ್ವಜರು
பண்டைய ஆட்சி,ಪ್ರಾಚೀನ ಆಡಳಿತ
பண்டைய,ಪ್ರಾಚೀನ
பழங்கால பாலாட்,ಪ್ರಾಚೀನ ಲಾವಣಿ
பண்டைய நம்பிக்கை,ಪ್ರಾಚೀನ ನಂಬಿಕೆ
பண்டைய வழக்கம்,ಪ್ರಾಚೀನ ಪದ್ಧತಿ
பண்டைய வரலாறு,ಪುರಾತನ ಇತಿಹಾಸ
பழங்கால நினைவுச்சின்னங்கள்,ಪ್ರಾಚೀನ ಸ್ಮಾರಕಗಳು
சிறுகதை,ಉಪಾಖ್ಯಾನ
ஏஞ்சலோட்,ಏಂಜೆಲೋಟ್
ஏஞ்சலஸ்,ಏಂಜೆಲಸ್
ஆஞ்செவின் (=அஞ்செவின்),ಆಂಜೆವಿನ್ (=ಆಂಜೆವಿನ್)
கோணங்கள்,ಕೋನಗಳು
ஆங்கிலிகன்,ಆಂಗ್ಲಿಕನ್
ஆங்கிலிகன் ஒற்றுமை,ಆಂಗ್ಲಿಕನ್ ಕಮ್ಯುನಿಯನ್
ஆங்கிலிக்கனிசம்,ಆಂಗ್ಲಿಕನಿಸಂ
ஆங்கிலோ-போப்,ಆಂಗ್ಲೋ-ಫೋಬ್
ஆங்கிலோ-ஃபோபியா,ಆಂಗ್ಲೋ-ಫೋಬಿಯಾ
ஆங்கிலோ-சாக்சன்,ಆಂಗ್ಲೋ-ಸ್ಯಾಕ್ಸನ್
ஆங்கிலோ-சாக்சோனிசம்,ಆಂಗ್ಲೋ-ಸ್ಯಾಕ್ಸೋನಿಸಂ
அன்னாலிஸ்ட்,ಅನಾಲಿಸ್ಟ್
அன்னல்,ಆನಲ್ಸ್
இணைப்பு,ಅನುಬಂಧ
ஆன்டி-பெல்லம்,ಆಂಟೆ-ಬೆಲ್ಲಮ್
முன் தேதி,ಹಿಂದಿನ ದಿನಾಂಕ
மதகுருத்துவத்திற்கு எதிரானது,ಪುರೋಹಿತಶಾಹಿ ವಿರೋಧಿ
மதகுருவுக்கு எதிரான சட்டம்,ವಿರೋಧಿ ಪಾದ್ರಿಗಳ ಶಾಸನ
பழமை,ಪ್ರಾಚೀನತೆ
எதிர்ப்பு வாடகை,ಬಾಡಿಗೆ ವಿರೋಧಿ
எதிர்ப்பு வாடகை,ಬಾಡಿಗೆ ವಿರೋಧಿ
